@relation 'Imagette-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ChiSquaredAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ChiSquaredAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 50'

@attribute Airs_Center_X_0 numeric
@attribute Mass_Center_X_0 numeric
@attribute Hough_Lines_Horizontal_Global numeric
@attribute Airs_Center_X_2 numeric
@attribute Hough_Circles_Radius_Global numeric
@attribute Hough_Lines_DiagonalPos_Global numeric
@attribute Airs_Center_X_8 numeric
@attribute Hough_Lines_Vertical_4 numeric
@attribute Mass_Center_Y_0 numeric
@attribute Mass_Center_Y_2 numeric
@attribute Airs_Center_X_4 numeric
@attribute Hough_Lines_Horizontal_4 numeric
@attribute Airs_Triangle_1_X_0 numeric
@attribute Hough_Lines_DiagonalNeg_Global numeric
@attribute Airs_Triangle_1_Y_4 numeric
@attribute Black_Pixel_4 numeric
@attribute Hough_Lines_Vertical_Global numeric
@attribute Airs_Center_X_GLOBAL numeric
@attribute Mass_Center_Y_8 numeric
@attribute Mass_Center_X_2 numeric
@attribute Airs_Center_X_5 numeric
@attribute Mass_Center_X_8 numeric
@attribute Mass_Center_Y_7 numeric
@attribute Hough_Lines_Horizontal_1 numeric
@attribute Mass_Center_Y_4 numeric
@attribute Harris_Corners_X_0 numeric
@attribute Airs_Center_X_7 numeric
@attribute Airs_Center_X_3 numeric
@attribute Hough_Lines_Nb_4 numeric
@attribute Airs_Center_Y_3 numeric
@attribute Airs_Center_X_1 numeric
@attribute Hough_Lines_DiagonalPos_6 numeric
@attribute Mass_Center_X_6 numeric
@attribute Airs_Triangle_1_Y_8 numeric
@attribute Airs_Center_Y_7 numeric
@attribute Black_Pixel_7 numeric
@attribute Airs_Length_Contours_4 numeric
@attribute Mass_Center_Y_3 numeric
@attribute Hough_Lines_Horizontal_0 numeric
@attribute Airs_Triangle_1_X_GLOBAL numeric
@attribute Hough_Lines_Horizontal_7 numeric
@attribute Hough_Lines_Horizontal_6 numeric
@attribute Airs_Center_X_6 numeric
@attribute Mass_Center_X_7 numeric
@attribute Airs_Triangle_1_Y_7 numeric
@attribute Mass_Center_Y_1 numeric
@attribute Hough_Lines_DiagonalPos_8 numeric
@attribute Airs_Triangle_1_X_7 numeric
@attribute Mass_Center_Y_Global numeric
@attribute Hough_Lines_DiagonalNeg_7 numeric
@attribute Class {accident,bomb,car,casualty,electricity,fire-brigade,fire,flood,gas,injury,paramedics,person,police,road-block}

@data
0,0,18.5185,4.41176,25.1488,29.6296,47.9049,66.6667,0,0,51.854,0,0,11.1111,361.328,16.1765,40.7407,47.559,0.419588,0,19.1176,0.537183,0.433494,0,0.38631,0,48.5294,77.9412,3,219.727,61.7647,50,0.310158,-28.9601,214.844,14.3382,55.5,0.759569,0,-9.09771,100,33.3333,45.079,0.372172,87.8906,0.669133,0,44.1176,0.637931,0,accident
0,0,28,6.66667,24.753,28,52.13,100,0,0.044444,47.9348,0,0,4,11.1111,20.2222,40,50.951,0.655218,0.055556,25,0.54538,0.539136,0,0.186655,76.6667,47.2691,73.3333,3,216.667,61.6667,16.6667,0.1971,-50.6643,187.55,19.3333,53.5,0.676852,0,97.3776,40,50,50.4877,0.593364,-26.5033,0.578321,0,46.2064,0.73747,20,accident
0,0,23.8095,0,23.1481,23.8095,53.3463,100,0,0,36.5385,0,0,14.2857,15.4321,10.1496,38.0952,48.452,0.820106,0,34.6154,0.668498,0,0,0.08642,96.1538,48.0769,50,3,138.889,50.7525,0,0,-33.9506,136.574,12.8205,4,0.742097,0,-23.5138,50,100,45.5686,0,239.198,0.34783,0,1.28205,0.394621,0,accident
0,0,31.5789,26.9231,29.1406,26.3158,73.834,100,0,0.196429,78.8462,0,0,10.5263,5.66893,7.69231,31.5789,67.9692,0.425926,0.192308,0,0.768162,0,0,0.400794,96.1538,48.0769,0,1,0,88.4615,0,0,-24.093,61.6497,7.69231,8,0,0,-19.5054,100,100,44.3144,0,96.3719,0.597222,0,-54.3956,0.378963,0,accident
0,0,26.087,20.6897,23.9048,26.087,41.2861,100,0,0.728571,46.5517,0,0,8.69565,305.209,13.8916,39.1304,48.6665,0.694188,0.155172,36.2069,0.629296,0.08254,0,0.116667,91.3793,44.7887,58.6207,2,163.265,58.6207,33.3333,0.099138,269.388,153.905,12.6108,14.5,0.651196,0,-21.8399,50,33.3333,57.6526,0.183908,269.388,0.684167,20,-3.44828,0.572904,0,accident
0,0,25,5.71429,21.8889,20.8333,49.0826,100,0,0,60,0,0,4.16667,-177.469,11.1905,50,47.619,0.442196,0,22.8571,0.56689,0,0,0.907407,97.1429,48.5714,81.4286,2,200.617,55.7143,50,0.203393,-44.3673,185.185,10.6349,21.5,0,0,62.6739,100,50,48.5714,0,243.509,0.522062,0,-62.9412,0.563337,0,accident
0,0,32.1429,28.5714,25.2941,21.4286,48.5714,80,0,0.355392,56.52,0,0,3.57143,132.229,13.1933,42.8571,43.6703,0.319444,0.19619,51.4286,0.698413,0.44704,0,0.472051,97.1429,41.4286,82.8571,5,211.938,67.1429,20,0.543934,121.57,129.758,11.7647,8.5,0.767507,0,-7.41161,50,40,45.4964,0.605882,156.496,0.632763,0,97.2294,0.478734,0,accident
0,0,11.5385,47.9466,30.0137,50,47.1429,60,0,0.271537,47.1429,0,0,0,-103.806,21.5126,38.4615,42.8571,0.237473,0.342728,61.4286,0.342434,0.036765,0,0.388728,0,42.8571,91.4286,5,268.166,80,66.6667,0.494913,161.27,125.433,15.1261,494,0.911765,0,86.8139,33.3333,33.3333,48.5714,0.196429,-10.2554,0.820811,50,81.073,0.551668,0,accident
0,0,21.7391,54.3103,21.1037,30.4348,46.5517,0,0,0.260915,53.8916,0,0,0,296.99,15.7328,47.8261,47.1264,0.835317,0.507849,44.8276,0.796114,0.208664,0,0.220626,0,48.2759,81.0345,2,249.023,75.8621,60,0.310218,-46.4179,141.602,17.3491,77.5,0.845734,0,-11.9413,50,0,46.6445,0.467159,273.593,0.831963,0,2.0214,0.614805,0,accident
0,0,28.5714,53.4217,30.0654,47.619,40.5405,0,0,0.42793,51.3312,0,0,0,-43.1929,15.7248,23.8095,47.7679,0.494604,0.550325,47.2973,0.390872,0.099128,0,0.642703,0,44.5946,83.7838,4,257.117,82.4324,25,0.173841,-17.9662,142.332,18.3456,163.5,0.883838,0,91.0031,57.1429,75,49.7174,0.28861,290.153,0.855734,0,-36.1603,0.548182,0,accident
0,0,13.6364,50,20.2941,54.5455,63.3333,100,0,0.246732,38.3333,0,0,0,-112.199,20.2941,31.8182,48.7909,0.744281,0.196296,39.9288,0.690278,0.149782,0,0.495804,0,50,76.6667,3,229.239,73.3333,50,0.317901,204.511,162.825,16.7647,398,0.821078,0,-14.4766,75,25,48.3333,0.282099,-97.8318,0.773444,0,74.5564,0.550647,0,accident
0,0,23.0769,54.6541,27,26.9231,59.6764,0,0,0.333059,48.3333,0,0,0,-103.638,16.7619,50,46.7391,0.276323,0.405692,49.8263,0.366358,0.13099,0,0.449244,0,48.3333,90,2,261.224,85,66.6667,0.438139,-37.7944,110.204,14.7619,60,0.920635,0,-3.39164,100,33.3333,48.3333,0.447019,12.2449,0.857143,0,93.3333,0.517257,0,accident
0,0,15,15.493,20.1115,27.5,47.591,100,0,0.750331,39.4366,0,0,17.5,2.1004,6.10329,40,50.2096,0.294686,0.13651,51.4085,0.321596,0.185518,8.33333,0.312077,98.5916,50.7042,72.5352,3,79.8152,43.04,50,0.167063,-9.87947,138.889,5.55215,122.5,0.591019,0,-4.15657,100,25,26.7606,0.220495,71.7889,0.407262,0,67.4025,0.241258,0,accident
93.662,0,5.12821,11.2676,20.9832,20.5128,80.9859,100,0,0.857012,43.662,0,90.1408,15.3846,-69.2042,6.58658,58.9744,49.7653,0.638503,0.091549,42.9577,0.889885,0.460438,11.7647,0,98.5916,53.5211,71.1268,4,72.4481,49.2958,60,0.158984,22.9239,50.8218,3.18973,9,0.659743,0,-5.65564,0,0,26.0563,0.530976,99.481,0.578955,0,45.1735,0.43664,0,accident
0,0,11.1111,19.2857,28.3175,18.5185,82.633,100,0,0.756839,28.5714,0,0,25.9259,-5.33393,6.88312,44.4444,49.2951,0.473485,0.165172,63.5714,0.378571,0.206865,14.2857,0.114581,98.5714,31.4286,74.2857,7,87.236,46.5809,75,0.234728,146.924,79.693,3.74459,239,0.598169,0,60.0269,33.3333,25,47.1429,0.358179,-13.7741,0.361012,0,52.0635,0.594281,0,accident
0,0,19.1489,10.2941,19.1076,14.8936,50.1939,100,0,0.856548,33.8814,0,0,19.1489,1.44727,6.53361,46.8085,49.6001,0.719669,0.080882,36.7647,0.79021,0.162408,9.09091,0.063333,98.5294,46.5036,75,3,71.4286,42.3269,40,0.195058,-8.16327,83.8609,8.44538,18,0.617867,0,54.9323,100,10,47.568,0.27088,-4.98453,0.564032,0,54.9963,0.515132,0,accident
92.1429,0.960714,22.2222,3.57143,21.5773,18.5185,48.5714,100,0.787879,0.919192,48.5714,0,87.1429,16.6667,197.004,6.25541,42.5926,50.6467,0.62407,0.035714,28.5714,0.632584,0.166293,0,0,98.5714,50.6778,72.8571,3,74.6097,54.6867,33.3333,0.249927,-18.3655,93.5198,7.8355,25,0.598822,0,45.921,100,66.6667,48.3774,0.163139,146.924,0.443677,0,-4.80519,0.484777,0,accident
0,0,25.8065,2.27273,23.1164,19.3548,51.6102,100,0,0,49.3036,0,0,19.3548,5.40833,6.87104,35.4839,50.92,0.478267,0,31.8182,0.72114,0.121318,0,0.168789,93.1818,50.9213,72.7273,2,121.687,45.8704,40,0.235091,-42.5831,146.703,11.9979,129,0.606142,0,49.1549,100,60,43.2077,0.281818,157.893,0.594085,0,-10.2389,0.545488,0,accident
0,0,28.5714,7.95455,25.6298,14.2857,52.6163,100,0,0,43.1818,0,0,7.14286,5.40833,13.3721,50,48.6723,0.616037,0,26.1364,0.670928,0.829457,0,0.077326,84.0909,49.533,73.8636,3,143.321,52.2727,25,0.232549,-21.6333,132.097,13.2135,116,0.662493,0,61.6821,100,50,46.2346,0.113636,-4.3967,0.414327,0,62.034,0.664674,0,accident
0,0,21.875,16.3043,18.9604,34.375,43.4783,75,0,0.669872,47.8261,0,0,9.375,190.491,13.9214,34.375,39.7663,0.297329,0.137681,52.1739,0.362164,0.356007,0,0.324728,85.5072,47.0432,78.2609,4,123.891,59.7826,37.5,0.146739,-9.46649,119.458,10.3261,22.5,0.744231,0,-3.85073,100,37.5,41.619,0.34015,36.9271,0.402705,40,74.8864,0.618407,0,accident
0,0,21.875,11.9565,24.7757,31.25,48.3636,60,0,0.75,45.6434,0,0,12.5,149.251,14.9068,34.375,47.5277,0.453968,0.095109,40.2174,0.624155,0.201239,0,0.26349,93.4783,48.3774,86.9565,5,189.909,64.1304,57.1429,0.486215,193.704,129.846,13.6646,84.5,0.834656,0,62.2298,100,28.5714,44.1394,0.21569,-2.26757,0.523545,0,68.2609,0.493684,0,accident
0,0,30.303,10.8696,24.8139,24.2424,49.7475,100,0,0.743902,36.9565,0,0,12.1212,5.94884,9.96819,33.3333,50.3911,0.717694,0.076087,30.4348,0.657386,0.430352,0,0.214802,97.8261,48.913,66.3044,2,133.849,43.4783,22.2222,0.187654,-20.8859,211.184,15.9067,8,0.595991,0,-10.1582,83.3333,66.6667,50,0.286473,218.357,0.408808,0,117.136,0.616129,16.6667,accident
96.4286,0.966667,9.52381,20,21.7378,33.3333,47.8571,100,0.962963,0.734586,40.7143,0,95.7143,23.8095,2.51953,7.61905,33.3333,50.3185,0.590508,0.173202,61.4286,0.936652,0.234206,0,0,98.5714,56.4286,64.2857,6,79.3651,45.503,25,0.147157,153.691,78.1053,7.25624,27,0.505504,0,-13.6792,22.2222,0,26.4286,0.739436,-62.9882,0.503625,0,90.1905,0.572181,0,accident
77.4648,0.814515,4.65116,3.52113,21.1497,13.9535,80.2817,100,0.650913,0.938095,48.5915,0,97.1831,39.5349,138.776,7.1831,41.8605,53.9971,0.446529,0.035211,39.4366,0.880584,0.4082,0,0,98.5916,45.7746,37.3239,5,70.4082,52.8169,0,0.113059,175.169,60.2041,9.09457,103.5,0.440923,0,40.6096,16.6667,0,23.9437,0.517665,120.49,0.546778,0,21.9676,0.561114,0,accident
88.2353,0.903887,13.5135,2.94118,19.5227,16.2162,68.0365,100,0.854082,0,49.2647,0,79.4118,24.3243,-8.62642,7.85714,45.9459,50.3138,0.117399,0,40.4412,0.584135,0.345756,0,0,98.5294,61.7647,60.2941,4,70.4082,57.965,11.1111,0.20514,-57.1429,57.1429,6.7437,25,0.366239,0,-4.79105,0,22.2222,25.7353,0.60503,-20.5095,0.424421,0,53.4522,0.396311,0,accident
72.6027,0.709116,4.08163,0,23.0844,8.16327,62.3288,50,0.58829,0,47.9257,0,87.0069,26.5306,-67.5695,11.7061,61.2245,49.7717,0.569782,0,17.8082,0.738082,0.519136,0,0.15795,93.1507,23.2877,42.4658,8,74.6097,35.6164,25,0.121233,-25.6473,66.5748,7.70029,74.5,0.265152,0,32.1256,0,0,15.7534,0.248046,-25.4076,0.453226,0,27.1566,0.566174,0,accident
87.6812,0.912319,0,0,22.1843,4.34783,69.5652,50,0.695,0,50.7246,0,97.1014,23.913,-11.3813,10.6355,71.7391,49.5937,0.375976,0,23.913,0.709848,0.314132,0,0.120444,98.5507,50,57.2464,4,75.7396,39.1304,12.5,0.189614,2.36686,65.0888,6.33222,48.5,0.463499,0,-2.22208,62.5,0,18.8406,0.290819,131.923,0.369576,0,40.0396,0.599509,12.5,accident
0,0,15.3846,13.3333,42.5532,23.0769,48.8506,0,0,0.666667,33.3333,0,0,7.69231,321.368,18.2222,53.8462,52.5467,0.405556,0.1,30,0.411111,0.648148,0,0.211111,46.6667,46.6667,56.6667,0,311.111,46.6667,0,0.350794,475.986,400,30.2222,5.5,0.596732,0,-8.3795,0,0,46.6667,0.792593,311.111,0.41037,0,86.6667,0.445003,0,accident
0,0,10,0,33.6957,20,36.186,100,0,0,42.8571,0,0,10,44.4444,31.9048,60,48.2702,0.39798,0,25,0.497835,0,0,0.074074,71.4286,53.5714,60.7143,1,311.111,43.1185,0,0.319444,496.97,355.556,36.6667,7,0.604762,0,-4.49325,0,0,48.5714,0,512.281,0.57284,0,-9.02256,0.544564,0,accident
0,0,20,6.25,25.641,20,40.625,100,0,0,46.875,0,0,20,34.6021,22.0588,40,46.0522,0.446003,0,40.625,0.689423,0.387488,0,0.467865,78.125,43.75,62.5,1,328.72,46.875,0,0.255208,520.99,207.612,26.1029,57,0.663866,0,104.278,0,50,46.875,0.373016,110.727,0.328665,0,70,0.4705,0,accident
0,0,21.4286,15.9091,38.3333,35.7143,41.0606,100,0,0.0375,47.7273,0,0,7.14286,-200,29.5455,35.7143,48.4848,0.583636,0.056818,36.3636,0.560262,0.309277,0,0.426439,95.4545,48.3171,84.0909,3,387.5,68.1818,75,0.473064,-150,394.179,15.2273,20.5,0.783333,0,69.6189,100,25,47.7273,0.360206,181.667,0.64375,0,83.9394,0.709876,0,accident
0,0,20,11.7647,27,40,41.257,0,0,0,38.2353,0,0,0,564.904,31.9853,40,46.2089,0.491927,0,32.3529,0.46924,0.586458,0,0.421306,94.1176,47.0588,79.4118,1,468.75,57.9679,100,0.505782,-134.243,390.625,27.2059,50.5,0.770833,0,62.3067,0,0,47.0588,0.626471,91.6773,0.591146,0,74.3097,0.590963,0,accident
75.6944,0.775574,4.7619,30.5556,25.5128,21.4286,96.5278,100,0.624304,0.532677,61.1111,0,49.359,9.52381,275.51,15.496,64.2857,47.2652,0,0.281339,74.3056,0,0.498452,31.25,0.112608,98.0556,63.1944,38.1944,13,70.4082,53.6539,25,0.069444,2.04082,68.3673,10.6151,162,0.346821,0,-12.4731,22.7273,0,10.4167,0.671037,-34.3559,0.407658,0,47.0718,0.485072,36.3636,accident
89.4366,0.91338,3.84615,26.0563,22.661,17.3077,81.6901,82.6087,0.85625,0.614139,57.7465,0,102.347,13.4615,2.44141,20.4665,65.3846,49.0576,0.464914,0.241981,69.0141,0.69598,0.438029,33.3333,0.173374,97.8873,55.6338,57.7465,23,76.9043,49.2958,50,0.162911,-61.3839,72.0215,10.0792,99.5,0.455764,0,-7.51174,4.7619,50,29.8543,0.564395,147.461,0.614718,0,38.0282,0.597936,19.0476,accident
82.1429,0.853869,4.54545,24.2857,27.3581,22.7273,92.8571,100,0.668811,0.634359,45,0,115.714,20.4545,209.824,5.18908,52.2727,49.5283,0.069853,0.222053,69.2857,0.942857,0.607607,50,0,98.5714,36.4286,50,3,72.4481,49.2857,20,0.094841,0.642944,71.3668,5.46218,14.5,0.352124,0,-10.6132,0,0,15.7143,0.451854,-22.6846,0.168233,0,47.5684,0.674584,0,accident
74.2857,0.766936,0,25,31.1412,21.875,94.2857,100,0.60741,0.530327,44.2857,0,48.4793,18.75,149.001,6.10766,59.375,42.8299,0.062802,0.219048,69.2857,0.640079,0.553677,0,0,98.0952,35,38.5714,6,71.4136,52.2789,33.3333,0.06131,2.1004,61.9618,3.31263,61,0.268116,0,-14.8368,0,0,14.2857,0.388813,121.823,0.216329,0,23.7662,0.45924,0,accident
71.4286,0.755787,0,22.8571,23.6933,4.7619,85,100,0.408035,0.19282,50.7143,0,50.8766,7.14286,2.1004,6.23188,88.0952,52.4428,0.519192,0.117727,57.1429,0.891616,0.65064,0,0,50,52.1429,34.2857,3,71.4136,50.3064,0,0.145238,-36.8883,63.012,4.80331,6,0.582126,0,-11.8546,0,0,12.8571,0.557511,129.093,0.270129,0,40.2219,0.629274,0,accident
93.5897,0.940171,24,0,22.8159,20,58.9744,100,0.945736,0,47.4359,0,92.3077,20,5.40833,14.4902,36,55.0231,0.466819,0,19.2308,0.607455,0.111296,0,0.093023,97.4359,49.7411,58.9744,3,113.575,47.4359,25,0.22477,-25.5276,98.0821,14.0727,5,0.517336,0,-6.18755,100,50,54.1667,0.123016,-7.86666,0.504401,0,10.9557,0.488486,0,accident
89.1892,0.891892,23.3333,0,21.2308,6.66667,54.8228,100,0.820513,0,60.8108,0,83.7838,13.3333,6.57462,11.5731,56.6667,51.4653,0.525707,0,24.3243,0.687457,0.134554,0,0.233974,97.2973,48.6487,60.8108,2,124.918,52.5033,0,0.102769,-33.1925,174.227,14.2758,1.5,0.413332,0,-5.35171,66.6667,33.3333,49.4484,0.11849,62.5954,0.352665,0,27.0011,0.509402,0,accident
0,0,29.1667,13.6364,24.8768,37.5,39.8367,85.7143,0,0.39883,43.2382,0,0,0,257.114,19.7767,33.3333,44.0168,0.463128,0.070875,22.7273,0.641842,0.421053,0,0.441245,0,48.5841,83.3333,7,211.219,74.2424,40,0.264206,-32.8668,190.504,14.0351,163.5,0.863722,0,72.4777,100,20,42.4242,0.510101,70.6371,0.716914,0,53.9394,0.560479,0,accident
0,0,33.3333,0,22.5183,28.5714,40.1129,100,0,0,47.0665,0,0,4.7619,6.92521,17.9094,33.3333,47.9431,0.305936,0,19.4444,0.638762,0.270572,11.1111,0.08433,91.6667,48.6111,63.8889,3,141.967,48.6111,20,0.21156,-31.856,151.132,14.8392,92,0.595732,0,-23.7976,75,40,58.2877,0.207672,-13.4522,0.451542,60,42.4308,0.620595,25,accident
