@relation 'Imagette-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute Airs_Center_X_GLOBAL numeric
@attribute Airs_Triangle_1_X_GLOBAL numeric
@attribute Harris_Corners_X_GLOBAL numeric
@attribute Mass_Center_X_Global numeric
@attribute Mass_Center_Y_Global numeric
@attribute Hough_Lines_Vertical_Global numeric
@attribute Hough_Lines_Horizontal_Global numeric
@attribute Hough_Lines_DiagonalPos_Global numeric
@attribute Hough_Lines_DiagonalNeg_Global numeric
@attribute Hough_Circles_X_Global numeric
@attribute Hough_Circles_Y_Global numeric
@attribute Hough_Circles_Radius_Global numeric
@attribute Rows_Or_Cols_Global numeric
@attribute Airs_Center_X_0 numeric
@attribute Airs_Triangle_1_X_0 numeric
@attribute Harris_Corners_X_0 numeric
@attribute Mass_Center_X_0 numeric
@attribute Mass_Center_Y_0 numeric
@attribute Hough_Lines_Vertical_0 numeric
@attribute Hough_Lines_Horizontal_0 numeric
@attribute Hough_Lines_DiagonalPos_0 numeric
@attribute Hough_Lines_DiagonalNeg_0 numeric
@attribute Hough_Circles_Radius_0 numeric
@attribute Airs_Center_X_1 numeric
@attribute Airs_Triangle_1_X_1 numeric
@attribute Airs_Triangle_1_Y_1 numeric
@attribute Harris_Corners_X_1 numeric
@attribute Mass_Center_Y_1 numeric
@attribute Hough_Lines_Horizontal_1 numeric
@attribute Hough_Lines_DiagonalPos_1 numeric
@attribute Hough_Lines_DiagonalNeg_1 numeric
@attribute Airs_Center_X_2 numeric
@attribute Harris_Corners_X_2 numeric
@attribute Mass_Center_X_2 numeric
@attribute Mass_Center_Y_2 numeric
@attribute Hough_Lines_Vertical_2 numeric
@attribute Hough_Lines_DiagonalPos_2 numeric
@attribute Hough_Lines_DiagonalNeg_2 numeric
@attribute Airs_Center_X_3 numeric
@attribute Airs_Center_Y_3 numeric
@attribute Airs_Triangle_1_Y_3 numeric
@attribute Airs_Length_Contours_3 numeric
@attribute Harris_Corners_X_3 numeric
@attribute Mass_Center_X_3 numeric
@attribute Mass_Center_Y_3 numeric
@attribute Hough_Lines_Vertical_3 numeric
@attribute Hough_Lines_DiagonalPos_3 numeric
@attribute Hough_Lines_DiagonalNeg_3 numeric
@attribute Black_Pixel_4 numeric
@attribute Airs_Center_X_4 numeric
@attribute Airs_Triangle_1_Y_4 numeric
@attribute Airs_Length_Contours_4 numeric
@attribute Mass_Center_Y_4 numeric
@attribute Hough_Lines_Vertical_4 numeric
@attribute Hough_Lines_Horizontal_4 numeric
@attribute Hough_Lines_Nb_4 numeric
@attribute Airs_Center_X_5 numeric
@attribute Airs_Triangle_1_Y_5 numeric
@attribute Airs_Triangle_2_X_5 numeric
@attribute Harris_Corners_X_5 numeric
@attribute Mass_Center_Y_5 numeric
@attribute Hough_Lines_Vertical_5 numeric
@attribute Hough_Lines_Horizontal_5 numeric
@attribute Hough_Lines_DiagonalPos_5 numeric
@attribute Hough_Lines_DiagonalNeg_5 numeric
@attribute Black_Pixel_6 numeric
@attribute Airs_Center_X_6 numeric
@attribute Airs_Triangle_1_X_6 numeric
@attribute Airs_Triangle_1_Y_6 numeric
@attribute Mass_Center_X_6 numeric
@attribute Mass_Center_Y_6 numeric
@attribute Hough_Lines_Vertical_6 numeric
@attribute Hough_Lines_Horizontal_6 numeric
@attribute Hough_Lines_DiagonalPos_6 numeric
@attribute Hough_Lines_DiagonalNeg_6 numeric
@attribute Black_Pixel_7 numeric
@attribute Airs_Center_X_7 numeric
@attribute Airs_Center_Y_7 numeric
@attribute Airs_Triangle_1_X_7 numeric
@attribute Airs_Triangle_1_Y_7 numeric
@attribute Airs_Length_Contours_7 numeric
@attribute Mass_Center_X_7 numeric
@attribute Mass_Center_Y_7 numeric
@attribute Hough_Lines_Vertical_7 numeric
@attribute Hough_Lines_Horizontal_7 numeric
@attribute Hough_Lines_DiagonalNeg_7 numeric
@attribute Airs_Center_X_8 numeric
@attribute Airs_Triangle_1_Y_8 numeric
@attribute Mass_Center_X_8 numeric
@attribute Mass_Center_Y_8 numeric
@attribute Hough_Lines_Vertical_8 numeric
@attribute Hough_Lines_DiagonalPos_8 numeric
@attribute Hough_Lines_DiagonalNeg_8 numeric
@attribute Class {accident,bomb,car,casualty,electricity,fire-brigade,fire,flood,gas,injury,paramedics,person,police,road-block}

@data
47.24,-3.48152,92.5928,0.364916,0.335504,39.2857,32.1429,14.2857,14.2857,36.776,46.5537,39.5763,0,0,0,0,0,0,0,0,0,0,0,50,56.3768,-47.1658,62.5,0.346382,0,33.3333,0,10,1.25,0.05625,0.794872,100,0,0,0,0,0,0,85,0,0,50,50,0,7.88462,76.25,39.4477,111.5,0.497182,100,0,2,35,6.57462,87.5,20,0.539011,100,0,0,0,12.9487,44.5246,56.9626,-40.9839,0.03125,0.458333,14.2857,42.8571,42.8571,0,11.859,48.75,203.813,95,165.377,29.5,0,0,0,100,0,48.75,-8.80935,0.724908,0.413082,0,0,50,accident
48.6604,58.087,93.1117,0.376186,0.470957,40,28,24,8,48.6538,53.1776,25.4673,1,0,0,95.5882,0,0,0,0,0,0,0,51.4706,20.5882,269.388,70.5882,0.471799,0,25,0,0,2.94118,0,0,0,0,0,77.9412,179.592,103.154,21,77.451,0.802134,0.659552,0,100,0,14.3697,52.9412,294.223,135,0.273016,100,0,2,17.6471,320,112.457,1.47059,0.528571,100,0,0,0,17.8151,47.0588,98.7395,269.388,0.150735,0.40172,0,40,60,0,13.7815,48.2665,218.196,58.4984,68.6699,26.5,0.277117,0.20233,0,100,0,47.2992,-40.8163,0.561256,0.521447,33.3333,0,33.3333,accident
47.4728,45.4871,88.3,0.338991,0.634195,16,40,24,20,53.277,43.5813,26.5289,0,93.0233,90.6977,91.8605,0.930233,0.888889,0,0,0,0,0,40.6977,36.844,-26.6123,37.2093,0.573106,0,50,33.3333,0,5.81395,0,0,0,0,0,68.6047,135.031,13.5802,58.5,97.6744,0.67907,0.494542,50,50,0,13.5013,53.4884,-91.3148,136,0.335709,75,0,4,19.7674,262.346,26.757,8.60465,0.74793,50,0,0,50,19.0568,46.6551,30.643,-41.3036,0.118182,0.342055,33.3333,33.3333,33.3333,0,12.5323,48.8372,192.901,17.8295,162.037,26.5,0,0,0,100,0,47.7449,-27.1306,0.596202,0.327511,0,0,25,accident
47.559,-9.09771,94.3743,0.485885,0.637931,40.7407,18.5185,29.6296,11.1111,55.0162,47.619,25.1488,0,0,0,0,0,0,0,0,0,0,0,61.7647,94.1176,292.969,61.7647,0.669133,0,40,0,4.41176,52.9114,0,0,100,0,0,77.9412,219.727,136.719,30.5,90.1961,0.825288,0.759569,100,0,0,16.1765,51.854,361.328,55.5,0.38631,66.6667,0,3,19.1176,311.641,100.289,8.40336,0.859375,100,0,0,0,22.7022,45.079,-5.90018,277.225,0.310158,0.491581,16.6667,33.3333,50,0,14.3382,48.5294,214.844,44.1176,87.8906,2.5,0.372172,0.433494,0,100,0,47.9049,-28.9601,0.537183,0.419588,0,0,57.1429,accident
50.951,97.3776,90.0117,0.512195,0.73747,40,28,28,4,54.1502,47.7273,24.753,0,0,0,76.6667,0,0,0,0,0,0,0,61.6667,28.8506,311.494,95.3333,0.578321,0,66.6667,0,6.66667,6.66667,0.055556,0.044444,100,0,0,73.3333,216.667,315.447,40,58.3333,0.756061,0.676852,0,100,0,20.2222,47.9348,11.1111,53.5,0.186655,100,0,3,25,-117.46,11.1111,23.3333,0.4,100,0,0,0,23.8889,50.4877,41.7949,-52.9915,0.1971,0.449128,33.3333,50,16.6667,0,19.3333,47.2691,187.55,46.2064,-26.5033,44.5,0.593364,0.539136,0,40,20,52.13,-50.6643,0.54538,0.655218,50,0,25,accident
48.452,-23.5138,73.5677,0.431297,0.394621,38.0952,23.8095,23.8095,14.2857,43.8819,66.4609,23.1481,1,0,0,96.1538,0,0,0,0,0,0,0,50.7525,-6.96581,253.687,50,0.34783,0,60,0,0,7.69231,0,0,0,0,0,50,138.889,-43.2099,45.5,34.6154,0.27849,0.742097,0,100,0,10.1496,36.5385,15.4321,4,0.08642,100,0,3,34.6154,-19.7724,-5.08506,46.1538,0,25,0,0,75,11.0043,45.5686,3.84615,-113.536,0,0,0,100,0,0,12.8205,48.0769,136.574,1.28205,239.198,3.5,0,0,50,50,0,53.3463,-33.9506,0.668498,0.820106,66.6667,0,0,accident
67.9692,-19.5054,93.9174,0.595407,0.378963,31.5789,31.5789,26.3158,10.5263,37.9487,47.6562,29.1406,1,0,0,96.1538,0,0,0,0,0,0,0,88.4615,92.3077,5.66893,88.4615,0.597222,0,25,0,26.9231,30.7692,0.192308,0.196429,66.6667,0,33.3333,0,0,0,0,10,0,0,0,100,0,7.69231,78.8462,5.66893,8,0.400794,100,0,1,0,0,0,61.5385,0,100,0,0,0,8.33333,44.3144,3.84615,115.15,0,0,0,100,0,0,7.69231,48.0769,61.6497,-54.3956,96.3719,80.5,0,0,0,100,0,73.834,-24.093,0.768162,0.425926,50,0,0,accident
48.6665,-21.8399,78.0632,0.56844,0.572904,39.1304,26.087,26.087,8.69565,51.9318,50.0952,23.9048,1,0,0,91.3793,0,0,0,0,0,0,0,58.6207,97.7011,8.16327,74.1379,0.684167,0,50,0,20.6897,3.94089,0.155172,0.728571,100,0,0,58.6207,163.265,417.415,25,95.4023,0.672414,0.651196,0,100,0,13.8916,46.5517,305.209,14.5,0.116667,100,0,2,36.2069,8.16327,129.475,43.9655,0,100,0,0,0,14.5813,57.6526,-19.4036,238.064,0.099138,0.10102,33.3333,33.3333,33.3333,0,12.6108,44.7887,153.905,-3.44828,269.388,223.5,0.183908,0.08254,50,50,0,41.2861,269.388,0.629296,0.694188,60,20,0,accident
47.619,62.6739,67.4026,0.533783,0.563337,50,25,20.8333,4.16667,53.0286,50.7407,21.8889,1,0,0,97.1429,0,0,0,0,0,0,0,55.7143,94.2857,262.346,88.5714,0.522062,0,75,0,5.71429,1.42857,0,0,100,0,0,81.4286,200.617,262.346,0,97.1429,0,0,50,50,0,11.1905,60,-177.469,21.5,0.907407,100,0,2,22.8571,-51.908,8.16327,24.2857,0.736111,0,0,0,100,16.0317,48.5714,58.5925,-18.4593,0.203393,0.410185,0,50,50,0,10.6349,48.5714,185.185,-62.9412,243.509,18,0,0,0,100,0,49.0826,-44.3673,0.56689,0.442196,50,0,0,accident
43.6703,-7.41161,59.2702,0.559586,0.478734,42.8571,32.1429,21.4286,3.57143,45.2381,42.9412,25.2941,0,0,0,97.1429,0,0,0,0,0,0,0,67.1429,34.257,316.809,62.1429,0.632763,0,66.6667,0,28.5714,7.14286,0.19619,0.355392,0,0,100,82.8571,211.938,144.782,6,97.1429,0.85034,0.767507,100,0,0,13.1933,56.52,132.229,8.5,0.472051,80,0,5,51.4286,8.65052,161.905,59.0476,0,100,0,0,0,15.3782,45.4964,0.700461,272.854,0.543934,0.503608,40,40,20,0,11.7647,41.4286,129.758,97.2294,156.496,5,0.605882,0.44704,0,50,0,48.5714,121.57,0.698413,0.319444,0,0,0,accident
42.8571,86.8139,69.791,0.626162,0.551668,38.4615,11.5385,50,0,42.449,41.0027,30.0137,0,0,0,0,0,0,0,0,0,0,0,80,65.7143,276.817,97.1429,0.820811,0,0,0,47.9466,47.1429,0.342728,0.271537,40,40,20,91.4286,268.166,276.817,0,97.1429,0.928571,0.911765,0,0,0,21.5126,47.1429,-103.806,494,0.388728,60,0,5,61.4286,-190.311,204.082,69.5238,0,100,0,0,0,24.7059,48.5714,94.2857,-28.1943,0.494913,0.564091,0,33.3333,66.6667,0,15.1261,42.8571,125.433,81.073,-10.2554,81.5,0.196429,0.036765,33.3333,33.3333,0,47.1429,161.27,0.342434,0.237473,0,50,0,accident
47.1264,-11.9413,93.7106,0.523062,0.614805,47.8261,21.7391,30.4348,0,53.4145,51.4251,21.1037,1,0,0,0,0,0,0,0,0,0,0,75.8621,58.6207,292.969,95.4023,0.831963,0,0,0,54.3103,72.4138,0.507849,0.260915,40,60,0,81.0345,249.023,292.969,1.5,96.5517,0.85728,0.845734,0,0,0,15.7328,53.8916,296.99,77.5,0.220626,0,0,2,44.8276,373.987,266.438,10.3448,0.173611,100,0,0,0,24.1379,46.6445,-17.361,310.242,0.310218,0.598763,40,0,60,0,17.3491,48.2759,141.602,2.0214,273.593,41,0.467159,0.208664,0,50,0,46.5517,-46.4179,0.796114,0.835317,50,0,0,accident
47.7679,91.0031,94.0228,0.656782,0.548182,23.8095,28.5714,47.619,0,50.6303,48.0689,30.0654,0,0,0,0,0,0,0,0,0,0,0,82.4324,70.2703,284.665,86.4865,0.855734,0,0,0,53.4217,56.7568,0.550325,0.42793,16.6667,66.6667,0,83.7838,257.117,221.697,1,94.5946,0.885135,0.883838,0,0,0,15.7248,51.3312,-43.1929,163.5,0.642703,0,0,4,47.2973,290.616,211.017,51.3514,0.182941,50,0,50,0,19.1646,49.7174,-19.8093,291.678,0.173841,0.07602,0,75,25,0,18.3456,44.5946,142.332,-36.1603,290.153,43,0.28861,0.099128,0,57.1429,0,40.5405,-17.9662,0.390872,0.494604,50,0,0,accident
48.7909,-14.4766,82.4342,0.424298,0.550647,31.8182,13.6364,54.5455,0,46.5556,48.1373,20.2941,1,0,0,0,0,0,0,0,0,0,0,73.3333,93.3333,147.059,95.5556,0.773444,0,100,0,50,40,0.196296,0.246732,75,0,0,76.6667,229.239,276.817,7,93.3333,0.824183,0.821078,0,0,0,20.2941,38.3333,-112.199,398,0.495804,100,0,3,39.9288,320.459,191.992,1.66667,0.094771,100,0,0,0,19.3137,48.3333,69.2827,-38.6536,0.317901,0.498555,25,25,50,0,16.7647,50,162.825,74.5564,-97.8318,146,0.282099,0.149782,25,75,0,63.3333,204.511,0.690278,0.744281,100,0,0,accident
46.7391,-3.39164,93.2927,0.526689,0.517257,50,23.0769,26.9231,0,39.2391,38.5714,27,1,0,0,0,0,0,0,0,0,0,0,85,76.6667,269.388,95.5556,0.857143,0,0,0,54.6541,70,0.405692,0.333059,75,25,0,90,261.224,269.388,0,93.3333,0.907407,0.920635,0,0,0,16.7619,48.3333,-103.638,60,0.449244,0,0,2,49.8263,274.857,282.96,35.5556,0.204004,75,0,25,0,20,48.3333,-29.9099,224.306,0.438139,0.401512,0,33.3333,66.6667,0,14.7619,48.3333,110.204,93.3333,12.2449,14,0.447019,0.13099,0,100,0,59.6764,-37.7944,0.366358,0.276323,100,0,0,accident
50.2096,-4.15657,53.5435,0.247157,0.241258,40,15,27.5,17.5,49.0669,44.3197,20.1115,0,0,0,98.5916,0,0,0,0,0,0,0,43.04,-7.39437,140.727,98.5916,0.407262,8.33333,33.3333,33.3333,15.493,0.704225,0.13651,0.750331,75,0,25,72.5352,79.8152,163.831,44,84.1549,0.746159,0.591019,20,80,0,6.10329,39.4366,2.1004,122.5,0.312077,100,0,3,51.4085,-65.7168,0.727853,32.3944,0.31913,33.3333,0,0,66.6667,6.67483,26.7606,-7.68862,132.283,0.167063,0.263795,25,25,50,0,5.55215,50.7042,138.889,67.4025,71.7889,785.5,0.220495,0.185518,0,100,0,47.591,-9.87947,0.321596,0.294686,40,0,40,accident
49.7653,-5.65564,46.2486,0.405869,0.43664,58.9744,5.12821,20.5128,15.3846,50.151,46.7915,20.9832,0,93.662,90.1408,98.5916,0,0,100,0,0,0,0,49.2958,-15.5461,179.77,98.5916,0.578955,11.7647,23.5294,35.2941,11.2676,0.704225,0.091549,0.857012,50,0,50,71.1268,72.4481,61.7701,31,58.4507,0.665082,0.659743,50,50,0,6.58658,43.662,-69.2042,9,0,100,0,4,42.9577,-6.53248,17.7718,24.7887,0.313726,16.6667,0,0,83.3333,7.68434,26.0563,53.7445,-23.1236,0.158984,0.281803,40,0,60,0,3.18973,53.5211,50.8218,45.1735,99.481,92,0.530976,0.460438,100,0,0,80.9859,22.9239,0.889885,0.638503,100,0,0,accident
