%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE  Airs_9 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
2,19,16,2,0,17,6,15,13,accident
18,29,13,3,4.5,8.5,7.5,2.5,5.5,accident
8,54.5,10,10.5,5.5,15.5,11.5,2,15.5,accident
14,12.5,17.5,1,1,2,2.5,2.5,6.5,accident
9,18,3,11,1,0,7.5,3,15.5,accident
10,17,21.5,6,0,0,6.5,9.5,17.5,accident
24,3.5,13.5,1,0,1,7,14.5,11,accident
11,33.5,15.5,5,12,1,7,3,11.5,accident
11,19.5,0,0,9.5,30,0,7,2.5,accident
11.5,26,3.5,14,0,23,7.5,0,4,accident
11,25.5,0,10,7,31,6.5,0,7.5,accident
6,26.5,0,9,17.5,17,0,8,5.5,accident
6,34.5,5,21,3,27.5,7,38,8,accident
8,26.5,0,16,3,30.5,7,22,17.5,accident
15,19,0,22,11.5,30.5,2,17.5,48,accident
0,32,0,27,7,25.5,2,0,16.5,accident
2,31,0,11,7.5,32.5,13.5,0,8,accident
7,26,0,10,14,26.5,4,0,64.5,accident
0,12,0,17,12,28,26.5,5.5,19,accident
14,20,0,22,11.5,29.5,2.5,2.5,8.5,accident
0,26,0,12.5,8.5,26.5,7,3,19,accident
9,31,0,19,5,27,7.5,0,11.5,accident
12,25.5,0,18,9.5,20,1,4.5,15,accident
5,34.5,0,2,4.5,29.5,3.5,57,12,accident
0,19,1,1,1,1,10,8.5,1.5,accident
0,14,9,3,2,0,3,18,3.5,accident
0,18.5,0,7,8,8,10,96.5,18,accident
1,29.5,2.5,8,188,35.5,45,32.5,6.5,accident
0,14,6,13,0,8,20,11,23,accident
1,30,0,0,4,2,0,4.5,1.5,accident
0,22,0,7,14,8.5,42,6,10,accident
0,19.5,3,2,7,0,34.5,10,55,accident
0,25.5,0,12,9,1,8.5,0.5,3,accident
0,21,6,0,0,59.5,0,0,0,accident
0,31,11.5,0,0,28.5,15,13.5,0,accident
0,21,4.5,0,0,23,12,8,13,accident
0,21,10,4,0,28,27.5,4.5,0,accident
0,40.5,3,23.5,0,27,2,15,7,accident
0,27.5,0,8,4,20.5,10.5,3,33,accident
0,15.5,0,28.5,4,0,23,4.5,24.5,accident
0,6.5,0,13.5,12,15.5,26,104.5,13,accident
2,26,0,0,1,9,9.5,105,13.5,accident
0,19,0,9,6,2.5,31,16.5,15,accident
0,22,0,0,5,7,19.5,87,19.5,accident
1,26,1,0,0,0,3,3,4,accident
0,21,0,0,0,1,18,19.5,5.5,accident
0,11,0,3,1,9,15.5,7.5,20.5,accident
0,3,0,2,9,2,41.5,2.5,12.5,accident
0,21,0,3.5,4,24.5,0,13,18,accident
0,63.5,0,0,3.5,35,6,32,8,accident
17,26.5,0,11,11,31,0,0,16.5,accident
4,31,0,23,6,29.5,7.5,0,12.5,accident
0,28,0,11,2.5,34,15,4,13,accident
0,14,0,3,14.5,0,1,23,1,bomb
0,10,0,9,14,0,7.5,10.5,3,bomb
0,17.5,0,5,20,3.5,4,18,2,bomb
0,14.5,0,10.5,17,0,9.5,9.5,9,bomb
0,19,0,0,7.5,0,5,16.5,4,bomb
0,15.5,7.5,0,14.5,9.5,11,11.5,7,bomb
0,47,0,0,0,5,3,21,4,bomb
0,36,0,0,0,7,9,12,0,bomb
0,21.5,0,0,0,2,17,10.5,11.5,bomb
0,18.5,0,0,0,8.5,13,12.5,17,bomb
0,24.5,1,0,14.5,7.5,5.5,12.5,9,bomb
0,18,0,4,14.5,4,7.5,9.5,8,bomb
0,24,7,8.5,19,0,8.5,10,10,bomb
0,17,23,14,10,0,10,22.5,0,bomb
2.5,16.5,8.5,6,18.5,3.5,10.5,5.5,11.5,bomb
0,24,0,7,12,0,11,9.5,9,bomb
0,21,0,0,15.5,6.5,5,16,6,bomb
0,19,0,10.5,8,10.5,12,13.5,10,bomb
0,27,0,8.5,12.5,3,12.5,10.5,15,bomb
15.5,8,12.5,0,0,2.5,16.5,6.5,18,bomb
0,16,0,8,0,5,18,12,17,bomb
0,17.5,8,0,0.5,10.5,16,3.5,14,bomb
0,37.5,0,0,0,11.5,18,10,14.5,bomb
0,19.5,3,0,0,10,15.5,10,13,bomb
0,17.5,2,0,7,10.5,8.5,19.5,8,bomb
0,20,0,8.5,19,9,6.5,2,10.5,bomb
0,30,0,0,18.5,0,8,16,10,bomb
0,22.5,0,4.5,15,8.5,9,10,8.5,bomb
0,13,0,9,12.5,9,9.5,11.5,9.5,bomb
0,30,0,4.5,11,10,10.5,9,13,bomb
0,25,0,0,2.5,9.5,15.5,0,19,bomb
0,19.5,0,11.5,0,14.5,21.5,8.5,19.5,bomb
0,15.5,0,0,0,22.5,17.5,15.5,17,bomb
0,24.5,0,0,11,10.5,12,9.5,9,bomb
0,18,0,17.5,1.5,17.5,15.5,6,16.5,bomb
0,33.5,0,1.5,11,0,6,12.5,5,bomb
0,3.5,0,4.5,30.5,8,13.5,9.5,13.5,bomb
0,6.5,2.5,8.5,27,15.5,11.5,5,15.5,bomb
0,28,0,0,22,5,14.5,11,8,bomb
0,21,2,5,37,11,20.5,4.5,15.5,bomb
0,9,0,10,8,0,9,13,9,bomb
0,24.5,0,6.5,10,7,9.5,15,3,bomb
0,14.5,0,0,18,0,6,14.5,1,bomb
0,16.5,0,0,23,0,2,18,2,bomb
0,19.5,1,0,20.5,0,0,23,0,bomb
0,7.5,0,0,6,0,1,13.5,3,bomb
0,11.5,0,0,16.5,0,0,759,0,bomb
0,23,0,0,11.5,0,4,9,4,bomb
0,12.5,0,0,39,0,0,21,0,bomb
0,6.5,8,0,8.5,0,12.5,12.5,0,bomb
0,14.5,7.5,11,18.5,0,12,6.5,15.5,bomb
0,21.5,0,0,18.5,0,0,24.5,0,bomb
0,17,0,10,24,0,7,14.5,10,bomb
0,9.5,4.5,0,19,0,11,15.5,11,bomb
0,16.5,6.5,0,16,0,6,16.5,0,bomb
0,6,0,0,25.5,8,5.5,18.5,10,bomb
0,32.5,5.5,0,39.5,3,6,26.5,3,bomb
0,21.5,6,1,23.5,2.5,8,26,0,bomb
0,23.5,2,10.5,5.5,17.5,12.5,6,19.5,bomb
0,10,4,0,31.5,0,19,6,19,bomb
0,10,18.5,11,26.5,6,4.5,18.5,10.5,bomb
0,19.5,3,0,10.5,3,6,22,1,bomb
0,0,0,2,20,0,3.5,14.5,0,bomb
0,19.5,0,0,165,0,10,5,11,bomb
0,10,9.5,6,0,4.5,10,24,14.5,bomb
0,3,0,0,0,0,0,5,0,bomb
0,7.5,0,0,0,0,0,0,5,bomb
0,0,0,0.5,0,0,2,12.5,8.5,bomb
0,5,0,0,13,0,0,8,0,bomb
0,28,0,0,0,0,9,4,10,bomb
0,42,12,0,0,3,19,10,14.5,bomb
4,15,0,0,20,13.5,12,18.5,11.5,bomb
0,23,0,0,0,13.5,18.5,7,17.5,bomb
0,3,14,0,0,12.5,14,10.5,16,bomb
0,7,0,0,12,0,7.5,0,18.5,bomb
0,3,0,2,16,0,2,23,2,bomb
0,18,0,0,30.5,0,3,23,0,bomb
0,14,0,0,19.5,0,0,30,0,bomb
0,11.5,0,0,34,0,2,23,0,bomb
0,17.5,5.5,8,20.5,0,7,15,0,bomb
0,0,11.5,6,6,0,14,0,16,bomb
0,6,1.5,0,0,0,0.5,16.5,0,bomb
0,0,0,0,0,0,0.5,0,0,bomb
0,3.5,8.5,0,0,0,15.5,0,20.5,bomb
0,0,0,0,0,0,0,0,0,bomb
0,6.5,2.5,16.5,0,12.5,19,12.5,16,bomb
0,11.5,3.5,0,0,21,24,0,18.5,bomb
0,9,13,0,0,12.5,17.5,5,19,bomb
0,14.5,10.5,0,0,11.5,15.5,2,17.5,bomb
0,20,0,0,0,17.5,21,5,24.5,bomb
0,16,0,8,29,0,7,18,6,bomb
0,10,0,0,15.5,0,4,14,5.5,bomb
0,16,0,1,28.5,0,1,23,4.5,bomb
0,8.5,0,0,14,0,0,28,0,bomb
0,15.5,0,0,69.5,0,0,17,0,bomb
0,33.5,2,0,34.5,0,9.5,0,0,bomb
0,14,0,0,16.5,0,0,63.5,0,bomb
12,14.5,0,9.5,11.5,9,7,10.5,3,bomb
0,1.5,0,0,13,0,1,13.5,0,bomb
0,8,0,3,21,8.5,16,1,11.5,bomb
0,13,0,0,22.5,0,0,24.5,0,bomb
0,23.5,0,0,29.5,0,0,24.5,0,bomb
0,21,0,0,20,0,0,25,0,bomb
0,18,0,0,6.5,0,0,30,0,bomb
0,30,1,0,21.5,0,1,34.5,0,bomb
0,17,0,0,17.5,0,1.5,21,2,bomb
0,17.5,0,0,37.5,1,10.5,14.5,9,bomb
0,0,0,0,23.5,0,0,36.5,0,bomb
0,8,0,2,19,0,5,18,7,bomb
0,26,4,0,29,0,5.5,14,5,bomb
0,19.5,0,6,3,10.5,14.5,10,15,bomb
0,14.5,0,0,0,11.5,17.5,10.5,15.5,bomb
0,7,9.5,0,0,9,19.5,6.5,28.5,bomb
0,11.5,0,0,7.5,17,15.5,8.5,14,bomb
0,7,0,0,30.5,9.5,10,14.5,8,bomb
0,0,0,0,3,0,0,22,0,bomb
0,22,2,0,4,3,8,17,6,bomb
0,11.5,5,0,0,15,11.5,18.5,11,bomb
0,10.5,14.5,0,0,5,21.5,17.5,10.5,bomb
0,12,0,0,7,9.5,12.5,16,12,bomb
0,13.5,0,0,22,0,8.5,16,8,bomb
0,17,0,0,56,0,6,13,9.5,bomb
0,21,0,5,32,0,5,8.5,15.5,bomb
0,23.5,0,0,13,0,2,19.5,0,bomb
0,30.5,0,0,14,1,0,23,1,bomb
0,8.5,0,10.5,9,10,11.5,9.5,10,bomb
0,14,0,3.5,12,7,10,14,8,bomb
0,22,0,0,29,3,3,19,1,bomb
0,13.5,0,0,17.5,10.5,11.5,20.5,12,bomb
0,11.5,4,0,8.5,0,8,15,4,bomb
0,10,1.5,32,9.5,17,11,5,4.5,car
2.5,0,4,19,27,38.5,2,1,1,car
0,7,0,36.5,18.5,10.5,4,3,2,car
3.5,0,0,23.5,23.5,13.5,2,2,2,car
8.5,5.5,3.5,28,37.5,253,7.5,5.5,12,car
0,0,4.5,5.5,1,34,0,6.5,0,car
1.5,0,3.5,6,6,24.5,3.5,4,0,car
1.5,0,0,9,12.5,57,0,3.5,2.5,car
2.5,0,2.5,3.5,2.5,27.5,1,0,2.5,car
2.5,0,0,8.5,4.5,12.5,0,1.5,0.5,car
9.5,2,1.5,18.5,0,2.5,25,11,10,car
17,0,3.5,15.5,0,6,12,12,10,car
28,0,8,13.5,1.5,2.5,12.5,5.5,3.5,car
10.5,4.5,4.5,30.5,0,5.5,57,11,6.5,car
16.5,0,2.5,24.5,0,1.5,50.5,17,9,car
10.5,1.5,2.5,38.5,16,48.5,2.5,7.5,9.5,car
17.5,2,3.5,13.5,12.5,16.5,12.5,9.5,12.5,car
7.5,8,0,22.5,21,21,8.5,7.5,9.5,car
0,8.5,1.5,29,20,34,4,3.5,6.5,car
0.5,11.5,0,28,11,38,2.5,5.5,5.5,car
9.5,6,7.5,26,0,10,7,11.5,15.5,car
10.5,1.5,14.5,8.5,6,14,10,7,10.5,car
10.5,7.5,4.5,21.5,0,1.5,4,14.5,23,car
15,0,2.5,7,0,9,54.5,12.5,16,car
7,0,5.5,2,0,11.5,21.5,28,3,car
8.5,0,0,14,4,15,3.5,4,6,car
0,0,0,18.5,11.5,27,0,0,0,car
4.5,0,0,5.5,2,21,7.5,4.5,2,car
3.5,0,1.5,2,6,30,0,80,0,car
1,0,1,10,67.5,23,5.5,4.5,0,car
0.5,21,4.5,35,0,5,1.5,7.5,7,car
10,3,0.5,26.5,2.5,5.5,3.5,5.5,0,car
13,1.5,1.5,19,7,7,10,5,2.5,car
5,0,1.5,15.5,0,2,29,11,9,car
5.5,5,2.5,32.5,0,3,3.5,16.5,18.5,car
12,0,3.5,22,13.5,13.5,6.5,2,3,car
12.5,0,0,20,8,7.5,8,1,0,car
4.5,6,0,28,17.5,20,6.5,6,4,car
1.5,6.5,1.5,50,9.5,5,6.5,6.5,4,car
0,42,0,32.5,13.5,31.5,5,20,11,car
3.5,1,0,23.5,6,8.5,0,5,0,car
5.5,0,0,3.5,0,27,0,5.5,0,car
2.5,0,0,32.5,7,31,4,1.5,0,car
2.5,0,1.5,14.5,0,25,9.5,9,2.5,car
2.5,0,6,10,6.5,31.5,4,11.5,2,car
9.5,0,7,7,0,18,11,5.5,10.5,car
6.5,0,12,3,0,7,4,5.5,5.5,car
1.5,0,1.5,12.5,0,19.5,5.5,10.5,9,car
1.5,0,8,1,0,15.5,128,13,4.5,car
1.5,0,2.5,7.5,2,19,1,0,8,car
13,4.5,6,26,0,5.5,8.5,15,37,car
14,2,3.5,22,0,4,12.5,12,106,car
23,0,3.5,13.5,0,5.5,9.5,43.5,27.5,car
6.5,0,2.5,8.5,0,5,2.5,23,7,car
23,1,2.5,9,0,1.5,48.5,28,12,car
0,11,14.5,23,23.5,20.5,5.5,11.5,12.5,car
17.5,5.5,2.5,18,13.5,16.5,4.5,22,14,car
18,7.5,1,22.5,4.5,19.5,7.5,7.5,14,car
19,2.5,0,18,20.5,47,6.5,12.5,11.5,car
5.5,22,0,27,12.5,10,6.5,18,15.5,car
2.5,2,0,16,11.5,29,4.5,5.5,6,car
1.5,0,0.5,12,3.5,16.5,0,6.5,9,car
4.5,6,0,12,5.5,8.5,5,4,15,car
1.5,0,0.5,13,6,23.5,3,2,2.5,car
1.5,0,0,27.5,7.5,14,0.5,2.5,5,car
13,0,0.5,22,3,9,21.5,14.5,14.5,car
10.5,28.5,3,24.5,8.5,13,8,18.5,20.5,car
0,11.5,1.5,28,14,18,7.5,9,15,car
1.5,32.5,1.5,19.5,14,5,9.5,29.5,41.5,car
0,32.5,8,41,5,10.5,45.5,11.5,19,car
11.5,2,3,25.5,26.5,11,6.5,6.5,10.5,car
12,0,9,56,38,11.5,4,4.5,10.5,car
10,0,9.5,25.5,24,18,5.5,6.5,8.5,car
13,7,4.5,34,10.5,18,12.5,9.5,14.5,car
15,2,13.5,23.5,19,19,16,14.5,0,car
3.5,1,0,9.5,10.5,9.5,9,11.5,9.5,car
0.5,0,0,16.5,6.5,32.5,0,4.5,3,car
3.5,0,0,14,7,22,5,0,5.5,car
2.5,0,1,11.5,4,22,5.5,10,2,car
0,4.5,0,25.5,15,14,2,5,3.5,car
10.5,13,0,29.5,7,20.5,8.5,5.5,16,car
0.5,1,0,8.5,11.5,30.5,0,5.5,2.5,car
2.5,2,0,17,6,7.5,0,2.5,5.5,car
7,1.5,0,11,4,20.5,13,3,5,car
7.5,0,0,11.5,9.5,18,0,3.5,8,car
4.5,0,2.5,4,0,3.5,5.5,9,15.5,car
6.5,0,0.5,16,4.5,6.5,8,14.5,9,car
2.5,0,2,7,0,18.5,3,15,8.5,car
5.5,0,2,19.5,2,8.5,1,6.5,10,car
5.5,0,9.5,24,0,42,2,15.5,7,car
2.5,1.5,5.5,29,30.5,31,5.5,9,1,car
13.5,3,0.5,25,16,30,8.5,18.5,9.5,car
6,0,1.5,26,211,36,3,3,5,car
0,11,0,25.5,12,24.5,0,3.5,4,car
0,6,2.5,49.5,11,27.5,0,2.5,3,car
0,0,0,14.5,24.5,102,0,0,0,car
2,0,0.5,24.5,8,19.5,0,0,5.5,car
0.5,3.5,1,27.5,12.5,66.5,0,5.5,3.5,car
1.5,1,1.5,77,8.5,32.5,0,2.5,2,car
0,6,0,34,9.5,14.5,3,6,3.5,car
8.5,3,0,46.5,5,41,7.5,4.5,6.5,car
5.5,1,0,27.5,11.5,18.5,0,4,4.5,car
7.5,0,0.5,25.5,2,10,6.5,12,4.5,car
2,0,0,21,5.5,16,9,4.5,26,car
5.5,0,1.5,16,3.5,14.5,0,9.5,3,car
9.5,12,0,13,3,16.5,0,0,3.5,car
13.5,3.5,0,3,11.5,16,11,10,7,car
12.5,13,0,23,3.5,14,14.5,4.5,5.5,car
12.5,8,0,2,8,24,8.5,20,6,car
1,2,0,4.5,21.5,15.5,0,15.5,11,car
0,11,0,26,11.5,18.5,4.5,8.5,9,car
1,0,2.5,15,9,17,0,2.5,5,car
3,8,0,46.5,9,18,5.5,7,4,car
2.5,0,2,28.5,19.5,61,5.5,4.5,6.5,car
1.5,1,3,23.5,128,57,0,3.5,4,car
5.5,4.5,0,29.5,18,5,5.5,9,9.5,car
6.5,5,3.5,48,15,9,6.5,7.5,11,car
9.5,4,1.5,49.5,13.5,9.5,5.5,4.5,7.5,car
5.5,2,1,26.5,4,31,4.5,5.5,9,car
11.5,4.5,3,24.5,16,8.5,6.5,8.5,29,car
1.5,0,0,47.5,96,129.5,0,0,0,car
0,3.5,0,22.5,10.5,44,1,4.5,5,car
0.5,0,0,21.5,14,30.5,0,2,2,car
1.5,0,0,21,11,40.5,0,4,3,car
23,9,0,8,16,12.5,8.5,11.5,13.5,car
13,6.5,0,6,5,21.5,11,11,9,car
0.5,0,0,4.5,8,20,0,3.5,2.5,car
8.5,0,0,14.5,7,24.5,3,11,3.5,car
5.5,1,0,23.5,5.5,35,9,3.5,9,car
0,7,8.5,18.5,34.5,10,23.5,39,13,casualty
7,3.5,0,11,26,1,9,33.5,9.5,casualty
0,17.5,9,11,16,12,11,34,13,casualty
1,16.5,0,26,8,11,3,31.5,3.5,casualty
8,23.5,0,8,18.5,9.5,7.5,25.5,12.5,casualty
24.5,9.5,0,12,42.5,0,42.5,5,20.5,casualty
20,10.5,2,18.5,26,0,28,17.5,5,casualty
8,0,5,31.5,21.5,22.5,1,29.5,23,casualty
18.5,0,0,20,17.5,19.5,38.5,10.5,1,casualty
20,0,16,14.5,29,0,33,16.5,6,casualty
3,6.5,17.5,3,27,16.5,29,32.5,4,casualty
19.5,23,30,4,26,1,5.5,17,16.5,casualty
2,5.5,20,0,27.5,11.5,18.5,15,18,casualty
8,19,34.5,19.5,19,12.5,35.5,31.5,0,casualty
0,13.5,11.5,0,27,4,25,18.5,4.5,casualty
0,0,10.5,19,13,20.5,2.5,27.5,16,casualty
7,0,6,2,25,21.5,2,10,0,casualty
0,0,14,36,14.5,18.5,13,22,1,casualty
19,0,7,13,23,23.5,7,18,0,casualty
3.5,1,13,23,19,26,41,13.5,1,casualty
22.5,6,12,215,20.5,14,0,29.5,0,casualty
0,34.5,33.5,14,34,11,8,37,1.5,casualty
5,26.5,33.5,1,21,3.5,18,44.5,0,casualty
22.5,44.5,43,2,26,7.5,35.5,36.5,1,casualty
10.5,74.5,9.5,3,53.5,0,15,22,2,casualty
13.5,18.5,0,15,21.5,19.5,9,32,17,casualty
5,11.5,0,36,13,11.5,18,44,12,casualty
8,5,13.5,26.5,19.5,18,10.5,38,10,casualty
10.5,11,2,41,7,42,14.5,30.5,10,casualty
14.5,15,6,42.5,30,19.5,38,32,11,casualty
1,0,7,12.5,6.5,6.5,21.5,2.5,0,casualty
0,0,11,16,8.5,11,5,22.5,22.5,casualty
8,2.5,7.5,22.5,13.5,1,18.5,18.5,5.5,casualty
7,4.5,17,11.5,19,13,27,20,16,casualty
0,2,12.5,10,20.5,9,28,10.5,48,casualty
0.5,6,16.5,2,27,11.5,12,37.5,15.5,casualty
5,22,18.5,6,26,2,33,29.5,0,casualty
1,8.5,16,3,29.5,8.5,38,25,0,casualty
7,17.5,53.5,41,28,7,18.5,31.5,0,casualty
45.5,10,16.5,9,269.5,11.5,53,37.5,8.5,casualty
11.5,8.5,48,31,34.5,2.5,46,26,0,casualty
0,9,11.5,0,24.5,8,16,36.5,7.5,casualty
2,15.5,0,17.5,14.5,15,6.5,33,0,casualty
6,5.5,20.5,11.5,28,9,15,17,8,casualty
13,9.5,7.5,9.5,16.5,12,10.5,30.5,0,casualty
0,10.5,17,3,22,2.5,16,34.5,0,casualty
0,25,7.5,1.5,39.5,12.5,18,32.5,0,casualty
9,20.5,8.5,3.5,47.5,1.5,15,8.5,0,casualty
1,25,0,4,18,18,33,18.5,0,casualty
6,25,13,6.5,34,4,20.5,4,0,casualty
9.5,0,3,28,14.5,8.5,10,54,15.5,casualty
4,8.5,15.5,10,16,7,19,94.5,0,casualty
2,11.5,16,0,24.5,3,5.5,36,4,casualty
7,10,0,6,5.5,13,7.5,64.5,0,casualty
2,14.5,7,4,13.5,7,8,33,19.5,casualty
9,6,0,15,6,15.5,0,33.5,5,casualty
11,19.5,14.5,28.5,10.5,13,21,26,9,casualty
14,20,10.5,5.5,27.5,9.5,25.5,20.5,0,casualty
11.5,21.5,0,11,14,5.5,10,28.5,17,casualty
0,41.5,9,0,19,38.5,26,32,0,casualty
10,3.5,7,15.5,23,4,12.5,24.5,12.5,casualty
1,5,0,14.5,18.5,8,19,27.5,7,casualty
0,13,10.5,0,16.5,18.5,20,25.5,0,casualty
2,4.5,10,16.5,18.5,21.5,0,39,14,casualty
2,14,15,25,17,12.5,25.5,29.5,4,casualty
1,14.5,0,6,21,7.5,8,31.5,0,casualty
0,22.5,13,9.5,14,12.5,16,52.5,0,casualty
0,24,6,0,17.5,10.5,12.5,36,7,casualty
5.5,21,13.5,3.5,18.5,11.5,13,35,10,casualty
5,31,0,10,16,6.5,16,31.5,11,casualty
23,62.5,20,23,32,0,51,11,15,casualty
20.5,0,16.5,5.5,29.5,14,21,8.5,1,casualty
6.5,0,5.5,23.5,15,20,0,41.5,2.5,casualty
0,2.5,10,13.5,10.5,20,9.5,25,0,casualty
2,7,20,30.5,11.5,6.5,20,14,0,casualty
6.5,0,10.5,11,14,34.5,15,21,0,casualty
21.5,4.5,12.5,0,18.5,20.5,9,28,0,casualty
10.5,0,12.5,16,19.5,13.5,30,21.5,27,casualty
9.5,4,17,0,40.5,0,30,0,10.5,casualty
8,0,14.5,57,35,11,36,11.5,10.5,casualty
0,16,6.5,9,19,5,5,37.5,0,casualty
0,19.5,7.5,0,16,5,8,32.5,0,casualty
0,38.5,7.5,0,16.5,12,13,34,9,casualty
1,29,0,21,14.5,2.5,5.5,48,15,casualty
16.5,5,0,18,16.5,7,14,29.5,20,casualty
8,0,5.5,13,10.5,8.5,19,22.5,0,casualty
4,0,5,12.5,14,2,49.5,4,10,casualty
3,0,0,21,14.5,2,24.5,0,0,casualty
12,0,17.5,17.5,9.5,16,17.5,15.5,12.5,casualty
7.5,16.5,0,25,24.5,0,11,4,16,casualty
0,8.5,6,19.5,15,14,14,16,0,casualty
2,0,15.5,25,15,9.5,0,18,11.5,casualty
7,0,20.5,24,10.5,4.5,36.5,8.5,12,casualty
5.5,12.5,0,28.5,23,0,26.5,10,3.5,casualty
6,0,9.5,22.5,26.5,18,31.5,15,16,casualty
4.5,12.5,0,10.5,39,10.5,12,35.5,8,casualty
9,33.5,0,10,12.5,18,11.5,28.5,13,casualty
0,21.5,41.5,23.5,15.5,28.5,25,33.5,21,casualty
0,22,8.5,8,14.5,8.5,4,36.5,0,casualty
1,16.5,3,1,13,9,14,26.5,0,casualty
0,15.5,0,14,16.5,5,8.5,30.5,4.5,casualty
8.5,0,19.5,22.5,6.5,16,26,14.5,0,casualty
8,0,1,29,18.5,24,13,21.5,0,casualty
3,9.5,0,13,32,0,20.5,23,13.5,casualty
0,0,7,21.5,25,6,28.5,10,2,casualty
13.5,8,0,17,21,0,13,11,29,casualty
14,2,16.5,34.5,2,1,8,51,0,casualty
