%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Length_Area_1 NUMERIC
@ATTRIBUTE  Length_Area_2 NUMERIC
@ATTRIBUTE  Length_Area_3 NUMERIC
@ATTRIBUTE  Length_Area_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
596,289,505,412,37,42.5,31.5,19,215.279,132.208,133.941,125.054,36.8766,22.7806,34.375,53.0207,accident
318,179,376,269,49.5,38,15,10,330.576,140.309,138.912,129.799,35.7447,26.3631,10.3081,20.7716,accident
362,209,381,361,27,29.5,12.5,6,160.167,157.581,151.941,226.468,20.8831,35.8434,14.1239,24.9833,accident
338,178,381,345,43,38,13.5,11.5,276.392,129.48,141.64,239.439,31.5829,19.1244,14.117,49.9824,accident
311,337,446,397,27,34.5,20.5,7.5,197.137,170.551,245.238,232.669,36.5714,14.1373,18.664,20.2613,accident
418,184,459,376,142,30.5,7.5,12,464.784,131.924,135.355,233.054,49.6404,29.4372,14.3451,38.5457,accident
178,343,237,364,27,16,12.5,15.5,125.681,202.711,263.723,290.569,49.6589,12.0037,24.4049,15.2266,accident
217,278,331,281,21,14,4.5,3.5,132.024,179.397,232.024,130.627,52.5675,16.0148,23.6706,9.58333,accident
185,244,334,190,31,13,4,1,129.338,181.882,125.255,133.941,49.9105,13.2782,14.6905,20.25,accident
235,323,233,352,32,11.5,10,13,152.995,165.296,93.9411,307.338,45.2658,13.4319,24.1694,42.3201,accident
290,238,368,303,21.5,12.5,5,13,156.267,159.296,195.64,169.255,31.3563,17.7574,21.4639,20.2464,accident
449,473,603,920,17.5,19,41,30.5,147.782,117.054,270.049,227.38,54.188,6.58393,22.024,22.0223,accident
557,289,801,380,25,0,25,27,152.267,30.1421,281.764,150.51,41.9322,0,44.1876,27.4245,accident
356,426,646,476,29.5,19,27,36,117.924,75.397,208.652,176.551,52.6166,11.3904,36.8973,17.9753,accident
469,488,661,498,26.5,31,17,11.5,151.924,161.823,223.196,180.468,49.78,25.1288,32.782,34.7222,accident
575,416,718,508,26.5,5.5,8.5,35,200.894,72.8701,217.296,158.309,31.6567,39.463,35.693,34.8536,accident
291,288,282,152,18.5,22.5,7,3.5,148.61,195.581,96.2843,55.6569,47.1568,24.2691,17.9315,18.8365,accident
260,190,268,220,24,37.5,4,19.5,141.983,141.38,136.426,154.953,44.2754,20.814,18.8222,11.5523,accident
332,242,260,163,11,43.5,7,13,258.51,170.693,70.8701,88.9117,19.2375,35.6491,14.0234,29.9092,accident
288,219,245,320,23,36.5,9.5,6.5,234.451,153.723,71.4558,212.811,45.0576,27.1667,13.0688,16.32,accident
324,238,361,319,30.5,39.5,15.5,18.5,197.037,153.723,162.953,203.095,34.7929,31.6372,20.3184,41.1046,accident
313,290,397,324,24.5,18.5,2.5,7.5,153.581,147.782,124.385,218.811,28.0045,22.2367,13.9944,26.6217,accident
364,197,385,215,56.5,2,7,15.5,318.718,134.77,154.912,123.64,34.122,17.75,26.2315,19.3453,accident
448,199,511,321,26.5,21,7.5,20.5,124.267,91.0538,205.983,157.782,28.5763,25.7507,27.5597,18.9508,accident
412,282,365,296,29.5,14.5,8.5,26.5,196.894,163.296,122.142,157.581,27.0073,35.5434,17.7588,20.365,accident
383,417,648,401,53,28,9,12.5,277.706,198.794,230.953,180.468,53.3742,12.686,20.923,28.8897,accident
948,439,647,745,24.5,28.5,7.5,29.5,135.095,118.267,107.841,130.267,30.6452,20.6206,48.2333,41.3197,accident
1131,586,693,898,22.5,33,11,11.5,172.409,127.823,84.0833,86.6274,38.0907,15.5601,8.13148,32.15,accident
821,451,542,610,20.5,37.5,6.5,20.5,169.095,142.551,133.941,108.953,25.4436,27.1753,1.64815,43.8709,accident
871,249,313,507,24.5,25.5,6,20,228.208,79.2965,49.4558,135.196,35.1593,11.2396,55,26.8798,accident
745,447,416,697,28.5,40,26,40,155.238,141.966,166.995,68.3848,35.2824,13.7563,18.5442,31.1283,accident
482,313,496,465,32.5,36,13,39,151.823,126.652,248.669,196.108,44.9477,21.7031,10.7393,53.1252,accident
419,208,341,421,45.5,28.5,17.5,91,162.108,96.6102,205.456,227.22,29.6577,16.3458,26.9437,29.4966,accident
316,315,293,497,35.5,30,3,31.5,168.551,108.853,15.3137,158.409,56.6889,15,2.25,30.7258,accident
467,265,470,376,24,34.5,20.5,44.5,184.652,107.581,133.941,169.522,51.1692,17.9199,14.6726,51.5594,accident
559,185,404,451,38,26.5,11,86,270.735,80.9533,232.77,157.48,35.4633,12.6799,4.84343,46.4501,accident
510,237,427,619,14,27.5,41,41,142.811,105.439,252.392,241.179,39.7327,14.5335,27.9417,22.0081,accident
513,194,324,450,36.5,27.5,13,29.5,233.38,92.6102,168.184,141.924,45.2061,15.226,13.9417,38.4535,accident
556,300,564,540,28,26.5,10.5,36,183.823,126.853,169.497,169.137,44.5577,15.1354,26.0762,44.8935,accident
344,366,326,582,34,31.5,19,29,187.137,127.924,103.314,125.681,43.4725,8.42381,13.5761,39.021,accident
663,224,343,523,29,25,7,30,267.48,101.539,147.941,152.167,43.14,14.05,30.9875,31.3417,accident
537,207,453,423,26,34,17.5,19.5,208.309,108.167,225.539,100.912,34.6229,18.8465,25.3231,34.234,accident
287,417,387,552,8,11,14,5.5,128.569,155.054,212.167,203.012,58.6042,8.25719,47.5377,16.179,accident
259,448,291,476,6,17.5,18,27,137.74,160.711,167.64,145.355,59.5,8.56426,35.581,12.4098,accident
551,208,771,544,9.5,15,27.5,29.5,135.598,94.9117,250.066,203.723,34.5356,8.20833,40.89,24.5398,accident
605,365,700,401,15,39,55,47,151.296,149.966,263.764,140.936,41.2952,22.9885,42.8815,16.0003,accident
255,378,435,396,8.5,22.5,32.5,30,147.64,159.095,271.664,339.563,44.0624,12.9007,26.1041,15.3347,accident
391,169,281,323,16,17,4.5,6.5,170.711,111.882,70.6274,179.497,31.4304,9.53137,26.2037,20.4519,accident
157,464,498,380,15,15,65,19.5,78.0833,192.125,313.647,149.782,56.3833,3.59829,36.14,19.1584,accident
238,385,471,341,9,19,67,32.5,86.4264,203.338,315.019,348.149,39.3611,15.0665,43.1827,18.1029,accident
229,463,423,398,22,14.5,15.5,5,116.711,176.61,217.054,247.681,51.4364,11.1936,28.5508,26.0079,accident
242,214,50,109,2,45,0,23,27.6569,161.279,0,77.8822,25.6667,23.0369,0,53.0942,accident
131,292,238,236,0,85.5,22.5,14.5,0,310.316,114.61,129.556,0,9.51137,5.08333,33.1931,accident
146,258,168,182,7,35,12,42.5,61.1127,221.48,129.054,161.037,41.5,9.50961,7.5,18.6745,accident
244,210,308,218,5,44,35,13,140.569,164.108,295.563,44.7696,24.625,23.2159,44.2769,53.8889,accident
195,186,169,235,5,38,15,26,150.083,147.48,63.2548,146.853,20.7778,19.25,8.00702,54.4097,accident
418,180,558,498,12.5,29,19.5,47.5,170.368,112.853,194.409,338.149,47.3472,14.4168,14.4039,23.2316,accident
378,327,521,574,12,10.5,34.5,24.5,143.882,143.154,145.238,260.693,52.7778,8.8869,22.262,26.0205,accident
340,206,610,530,9.5,8,42.5,33.5,142.811,119.74,171.054,200.693,43.935,12.125,27.2987,20.0643,accident
472,275,608,461,14,10.5,39.5,16.5,155.054,137.296,146.326,223.439,32.1547,8.05952,22.2848,18.1087,accident
292,348,555,605,5,16,42.5,17,129.74,152.711,158.208,183.782,34.4667,6.09522,21.6064,20.4219,accident
407,179,516,400,14,15,23.5,26.5,184.368,107.397,207.48,179.581,35.1095,8.87692,18.3056,20.2406,accident
230,324,353,423,17.5,13.5,3,6.5,148.125,153.296,113.941,185.012,53.6381,10.5159,25.9167,14.3095,accident
337,244,428,290,8,12,17,5.5,151.74,137.882,217.823,140.811,58.0023,5.1,46.5505,17.4421,accident
263,247,577,398,8.5,5.5,18,27.5,145.296,142.225,269.48,195.439,38.1032,14.4395,18.611,30.3201,accident
157,341,419,528,6,3,56.5,11.5,97.598,138.912,277.605,269.238,55.1667,4.84259,17.3756,24.2551,accident
370,242,319,518,17.5,28,13,38.5,126.426,126.853,28.9706,206.35,55.7206,14.8882,31.5453,50.0537,accident
290,217,241,350,39,36.5,6,30.5,151.137,119.238,108.77,194.309,53.9889,18.1666,37.8375,34.3953,accident
431,177,214,373,42,28.5,5,39,204.593,98.6102,35.799,163.137,36.7997,16.3387,3.38889,50.4328,accident
378,209,395,366,34,32.5,21.5,32,175.966,115.924,85.6396,142.652,36.0981,16.0014,11.3423,51.031,accident
302,233,249,386,13,34.5,25,30.5,79.0122,110.409,122.368,128.752,54.1104,18.9723,13.4171,27.0846,accident
93,172,213,189,4,20.5,22,23,58.6274,106.125,168.024,160.267,30,9.12714,45.2766,15.5342,bomb
222,123,228,209,19.5,8.5,9.5,18.5,160.953,60.5269,92.1838,156.953,54.819,10.3856,37.3528,16.1865,bomb
138,97,218,233,13,6.5,24,24,84.4264,60.5269,182.368,168.51,54.5318,3.37121,44.1061,12.3977,bomb
171,130,240,234,11,7.5,16.5,22.5,72.7696,50.0416,98.1838,125.782,56.0374,4.53333,36.8397,18.3789,bomb
199,22,249,214,22.5,0,16.5,27,135.439,19.6569,145.054,152.853,52.0974,0,51.7431,7.555,bomb
171,336,356,342,9,27,22,17.5,58.5269,134.51,174.853,166.953,52.2659,11.8599,40.6858,24.244,bomb
154,193,295,289,7,19,15.5,22.5,39.4558,96.2254,162.468,160.267,58.4242,9.3844,47.3886,19.5739,bomb
179,71,156,276,8,4,11.5,18.5,46.2843,32.9706,79.0122,157.782,60.5741,2,37.8032,7.55026,bomb
192,236,257,302,0,42,22.5,21,0,198.25,161.439,171.924,0,10.2675,34.5696,25.0274,bomb
101,238,311,300,0,24.5,19,36,0,118.61,174.61,170.309,0,11.2326,36.7365,25.8529,bomb
160,230,205,198,18,26.5,4.5,31,96.5685,151.924,73.2132,161.823,45.3822,11.8816,24.0617,20.5905,bomb
168,163,341,281,19,12.5,32,32,112.225,93.4975,423.019,191.622,45.7073,4.35062,35.0627,19.3153,bomb
352,280,384,346,33,7,21,31,188.309,93.598,192.368,173.48,44.6443,12.066,43.0935,19.0716,bomb
197,295,359,237,9,47,20,18.5,59.4558,304.676,192.024,84.8112,53.5393,21.1779,42.156,11.7089,bomb
264,280,334,270,20.5,30,23.5,18.5,127.296,124.51,199.924,106.468,30.681,16.6415,47.3451,20.6141,bomb
351,223,358,361,24,13,16.5,18.5,99.6396,96.0833,137.154,136.125,45.1144,6.97711,35.2366,19.3232,bomb
157,221,340,368,9.5,26,14,26,38.8701,114.368,168.225,193.823,58.4848,9.57026,42.367,19.3533,bomb
296,233,352,309,14.5,14.5,15.5,25.5,78.669,74.669,185.397,155.924,44.9968,17.256,33.3091,18.5974,bomb
226,192,482,443,21,14.5,26,29.5,108.711,88.3259,191.924,194.652,56.2282,12.8592,35.899,20.2961,bomb
360,447,433,396,20,18.5,16.5,29.5,158.51,108.953,197.296,165.581,29.0832,25.4839,26.5758,31.2754,bomb
367,457,427,397,6.5,16.5,24.5,23.5,54.0416,125.539,183.924,171.095,43.2667,22.2113,34.7087,16.0461,bomb
272,500,381,371,2,35.5,27,18.5,42.1421,174.894,168.652,147.296,62,19.1479,33.695,30.9134,bomb
247,396,310,370,17.5,16,25.5,18.5,104.468,103.054,144.61,174.125,33.0159,15.1786,44.2116,24.6717,bomb
328,330,347,362,17.5,13,15.5,27,83.7401,133.397,137.154,168.995,54.1385,22.0942,42.4097,25.3016,bomb
147,420,376,328,0,26.5,11.5,26.5,0,134.61,189.397,148.267,0,15.595,46.0731,14.6478,bomb
146,168,211,282,11,21.5,24,26,81.2548,74.8112,152.853,188.167,60.7727,7.70126,35.5222,25.8043,bomb
133,67,242,215,11,15,16.5,31,66.7696,63.2548,106.811,129.338,58.25,4.55429,42.9364,15.9967,bomb
111,109,280,318,16.5,18.5,27.5,28.5,92.8112,67.9828,211.823,184.894,59.1869,4.66004,41.1048,15.4772,bomb
166,144,265,221,6,7.5,24,34,81.9411,38.9706,195.338,171.137,41.1111,5.7037,25.6855,22.799,bomb
105,209,254,288,7.5,28,26,37,83.0122,138.024,203.48,178.794,61.8571,6.99621,39.6433,19.1125,bomb
130,129,179,190,13,18,18.5,23.5,64.4264,75.7401,158.953,163.439,57.9579,19.2978,28.4312,20.019,bomb
214,252,223,218,17.5,26,30.5,20.5,77.9828,164.167,175.823,144.125,38.227,26.4838,35.1994,17.5874,bomb
186,191,180,190,11,12,28.5,23.5,81.598,81.3553,131.095,138.953,53.8533,24.2368,38.486,24.6677,bomb
215,182,170,228,8.5,19,13.5,26.5,50.8701,97.0538,104.326,166.995,44.182,9.99841,22.3822,22.8779,bomb
229,162,218,239,13.5,7,15.5,30,90.0833,35.799,117.983,176.652,54.5929,2.99405,25.7069,30.3224,bomb
231,125,353,304,23.5,13.5,23,36,150.953,44.1838,152.024,171.48,51.9555,5.77339,37.416,11.0161,bomb
104,308,298,295,2,14.5,25,36,134.284,124.811,174.51,182.451,16.7083,6.99253,46.2405,17.3566,bomb
75,345,302,279,1.5,12,53,36,44.7279,99.2548,395.647,187.966,46.8889,11.0326,43.4956,27.3408,bomb
82,213,261,323,7,10,29.5,26,57.4558,160.426,182.066,169.338,36.6333,6.41111,43.3166,13.4709,bomb
62,255,342,337,7.5,21.5,43.5,41,42.8701,139.782,240.35,198.451,29.3778,6.63889,45.6345,15.6269,bomb
56,236,207,187,0,24.5,22,22.5,0,161.095,168.953,163.439,0,8.65772,38.9055,18.7047,bomb
124,171,236,227,16.5,20,28,22,82.3259,73.397,208.995,156.61,59.0062,6.65609,26.2107,19.1111,bomb
136,95,221,263,12.5,11.5,26,23,104.326,46.5269,183.581,166.853,59.0339,5.17315,45.4289,16.4879,bomb
98,77,204,182,7.5,11.5,50.5,16.5,92.1838,40.5269,309.806,73.4975,61.5,5.75459,36.5877,14.3071,bomb
56,161,203,213,4,17,23.5,25,48.6274,60.0833,166.61,174.167,61.5,11.834,48.4674,11.0281,bomb
204,2,198,246,14.5,0,29.5,25.5,139.64,0,135.924,147.095,54.8839,0,46.8391,12.9574,bomb
187,8,299,163,20.5,0,24,39,149.439,0,184.51,182.451,55.8806,0,52.9988,7.06823,bomb
202,45,254,276,21,8,12.5,10.5,130.368,28.6274,92.3259,76.7696,54.2,3.6875,37.4951,21.7069,bomb
198,63,237,306,12,4.5,25.5,23,131.397,29.5563,160.752,191.48,60.5139,4.54321,56.7272,9.85438,bomb
161,120,309,259,3,14,29,27.5,98.2843,82.9117,164.853,139.095,30.4167,20.8472,47.9938,7.36,bomb
205,211,386,418,26,12.5,32,32,111.196,99.1543,201.966,190.309,53.9218,12.8424,39.2205,25.2205,bomb
186,105,193,329,20,11,7.5,44,111.054,69.598,65.2132,216.25,56.7275,11.7516,34.141,11.475,bomb
325,213,337,469,13,11.5,20,36,95.1543,77.8406,180.853,177.137,38.3184,7.71694,40.194,14.3867,bomb
121,202,255,381,5,10,13,34,78.2843,92.7696,124.569,151.48,62,8.46389,45.4103,15.9369,bomb
166,138,273,313,8.5,15.5,11.5,32,108.669,74.3259,84.8701,138.995,58.4958,11.8642,31.8602,10.4477,bomb
81,364,264,269,2.5,14.5,27.5,34.5,49.5563,165.782,104.61,152.894,45.7222,5.52381,46.7957,11.2348,bomb
115,332,276,233,12,24.5,16.5,28,68.4264,122.953,79.598,132.51,57.4048,13.5223,50.6392,14.2723,bomb
160,334,405,234,12.5,25.5,72.5,26,81.8406,123.439,147.983,125.681,40.2722,12.5649,36.604,12.1396,bomb
186,390,498,500,10.5,19.5,26,34,65.3553,93.9828,246.066,188.309,60.2132,16.6407,10.9893,28.2995,bomb
18,383,464,450,0,28,34,35.5,0,160.167,246.108,204.208,0,12.9936,47.4467,17.6335,bomb
232,609,447,638,13.5,38.5,23,65.5,71.4975,181.037,120.711,291.889,51.2133,13.916,39.4955,15.9259,bomb
242,327,462,559,17,13.5,6.5,26.5,95.397,107.255,74.8701,132.267,58.8618,19.9105,37.6667,10.5852,bomb
201,490,487,556,0,9.5,12.5,23.5,0,89.3553,114.326,153.581,0,20.5,47.1573,9.64355,bomb
225,266,481,429,13.5,14.5,12,15.5,72.3259,69.0122,134.225,108.811,57.9246,8.62278,31.274,18.6922,bomb
352,507,1067,659,0,20,36,28.5,0,109.882,196.794,154.752,0,19.1767,44.3152,21.7147,bomb
464,413,173,218,0.5,3,1.5,2.5,33.4142,60.1421,47.5563,68.5269,51.3333,0,17.1111,11.6667,bomb
742,545,779,696,0,0,0,5,0,29.6569,0,97.9411,0,0,0,48.5,bomb
656,459,586,712,1.5,0,3,19,53.0711,0,79.799,116.711,0,0,16.7222,12.0011,bomb
161,109,134,175,4,2.5,4.5,1.5,22.1421,31.5563,30.7279,43.5563,59.6571,0,59.4833,3.88889,bomb
505,395,644,705,6,12.5,11.5,13.5,24.9706,75.4975,99.8406,115.497,60.5,6.34259,50.3105,26.3162,bomb
195,301,271,335,12.5,19.5,58,16.5,53.3553,130.267,265.505,181.296,52.3882,26.098,35.8426,28.5326,bomb
295,293,279,391,15.5,21,31,19,95.1543,111.882,130.167,186.853,46.7849,15.5021,48.458,29.7796,bomb
208,365,342,430,5,17,19.5,25.5,24.1421,88.5685,140.125,175.924,58.6,19.781,18.687,26.0782,bomb
272,558,410,415,0,21,17.5,25.5,0,121.539,168.61,171.924,0,30.5059,33.0417,23.768,bomb
440,122,352,421,11.5,0,8.5,31,143.154,0,51.6985,168.995,57.8594,0,18.6968,27.8928,bomb
316,114,283,250,9.5,8.5,9.5,31,100.627,45.6985,167.983,157.823,38.2339,4.49444,44.283,18.5606,bomb
249,32,293,255,28.5,1,12.5,35,140.51,22.1421,147.64,161.137,53.2417,1.5,49.8618,11.7589,bomb
136,69,253,203,1,13,18,32.5,93.3137,52.7696,156.711,142.066,62.5,6.61111,53.6074,8.25415,bomb
145,208,224,228,0,12.5,24,38.5,0,152.125,184.51,172.693,0,5.87879,48.625,8.83335,bomb
40,257,243,250,5,27,24,32,32.9706,163.338,172.267,152.652,52.8,8.02879,47.7072,9.3685,bomb
474,1076,873,1098,6.5,12,14,26.5,58.8701,122.225,117.054,147.924,62,29.2803,14.1889,20.3783,bomb
218,628,304,260,0,12,2,30.5,0,104.184,70.1421,146.409,0,18.409,40.3333,11.3776,bomb
381,973,405,461,0,0,0.5,0,0,68.9706,45.0711,0,0,0,34.3333,0,bomb
758,970,666,761,0,8,0,29.5,0,85.1127,54.1421,156.267,0,15.8765,0,38.559,bomb
467,405,697,510,0,0,0,0,54.6274,0,0,0,0,0,0,0,bomb
215,245,230,236,5.5,18,30.5,19.5,58.8701,255.622,172.409,171.782,59.4392,27.9703,39.2938,28.1049,bomb
90,275,198,185,2,21.5,28.5,20.5,9.65685,107.154,134.752,107.64,61,28.2169,27.3322,29.956,bomb
135,261,244,231,2,18,17.5,26.5,7.65685,113.054,135.64,168.752,61.5,30.8451,28.7071,28.9595,bomb
136,246,265,296,0.5,25.5,18.5,20.5,3.41421,118.953,156.953,186.267,62.6667,14.7448,20.6157,31.5517,bomb
202,225,265,294,4,18,20,32.5,30.9706,85.397,146.368,186.894,61,20.9897,19.6858,31.9871,bomb
225,210,342,355,16,23,22.5,28,82.0833,74.7696,164.953,177.681,55.5859,5.75758,42.9246,19.4199,bomb
316,21,339,265,10,0,7.5,18,140.569,0,97.8406,158.024,52.7534,0,43.1361,17.4217,bomb
284,22,321,248,21.5,0,15.5,82,158.51,10.8284,171.782,296.96,55.2511,0,51.1893,14.6091,bomb
93,151,298,263,0,9.5,23,24.5,60.4853,100.426,162.853,163.338,0,9.29167,34.6707,11.2452,bomb
84,153,270,286,0,14.5,25,98,61.3137,101.983,172.51,344.475,0,12.0805,49.9108,12.0757,bomb
185,96,163,246,29.5,17,20.5,24,123.095,68.0833,107.64,73.8822,53.8023,11.1312,32.2772,13.4322,bomb
67,123,171,78,4.5,18.5,16.5,32.5,58.8701,125.882,93.9828,130.894,46.7725,8.84795,48.8587,13.7681,bomb
278,2,183,269,47,0,23.5,19.5,195.421,0,129.782,170.61,42.2245,0,30.9062,23.2437,bomb
170,35,184,232,1.5,0,19.5,19,132.87,0,120.468,153.539,58.6389,0,48.9867,12.6054,bomb
91,139,233,261,5,17,23,26.5,68.2843,54.0833,174.853,179.238,61.9,5.52167,35.6933,25.3524,bomb
411,86,430,382,17,5.5,14,15,146.953,22.7279,128.569,97.7401,56.2083,4.5,58.0387,7.2933,bomb
325,51,304,371,28,5,17,21.5,140.024,26.1421,123.054,117.397,52.0309,2.63889,58.3792,10.0448,bomb
179,161,361,344,3,17,25,23.5,87.9411,75.7401,181.338,152.953,60.5,9.08824,50.9075,9.75139,bomb
358,98,481,355,15,6,12,10.5,135.882,39.799,126.125,68.5269,53.1659,2.25,49.1599,8.61571,bomb
248,196,481,306,19.5,21,25.5,23.5,93.6396,84.2254,194.066,112.267,53.7585,11.1667,49.9997,11.3569,bomb
