%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_9 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
34.7137,13.6978,0,0,34.1404,18.6905,0,5.24242,4.26667,accident
33.4815,14.5653,3,20.5679,0,18.5098,3.53571,0,18.8571,accident
22.2547,20.4977,0,6.49524,24.65,23.802,3.14815,0,14.9719,accident
34.6458,11.9056,0,23.2099,34.2509,7.55882,0,27.2778,10.1585,accident
38,17.3265,3.46667,24.5112,22.0833,16.5833,8.69444,35.5833,31.4658,accident
37.5179,16.9881,0,19.4074,21.5556,21.0994,4.5,18.0556,32.4518,accident
33.9211,13.7785,0,12.4789,21.2373,17.8009,7.5,7.15143,33.4297,accident
0,19.5759,0,28.3333,39,12.1258,2,0,22.2418,accident
37.75,18.1354,0,22.5545,38.9556,18.4706,16.3534,0,36.713,accident
37.787,11.2934,0,15.6004,22.7723,14.7689,3,0,31.8101,accident
0,16.4714,0,33.2222,29.4167,14.4063,13.9167,12.5062,30.3398,accident
35.0532,15.3327,0,15.995,35.796,16.8236,19.7778,5.55556,36.6395,accident
0,16.4295,0,23.2522,38.3726,14.5959,13.9167,6.77778,32.7422,accident
35.4537,16.2463,0,20.322,30.1111,13.25,14.5,0,31.6909,accident
32.9493,13.6903,0,14.7754,37.4055,9.87634,0,9.91667,25.8535,accident
32.5519,18.8255,0,7.5,17.6358,14.8743,9.19048,8.41667,32.4208,accident
0,25.6376,1.5,37.5,6.91667,8.5,34.25,25.301,8.62963,accident
0,27.2018,4.55556,40.1667,8.16667,0,27.7778,25.8088,4.48571,accident
0,9.40279,0,34.9623,20.1833,3.5,23.2525,14.2832,15.6473,accident
40.5,16.5633,2.66667,34.4611,10.7229,17.4213,23.7167,16.2365,4.25641,accident
0,26.3256,4.91667,33.4979,0,19.1042,10.3687,6.20635,32.1594,accident
19.25,9.04634,0,0,19.75,1.25,0,9.91204,4.40741,accident
0,18.4924,0,38.75,10.7695,14.0931,26.4885,23.9167,23.1101,accident
0,28.0767,3.33333,40,3.21429,0,28.5851,17.0944,19.3738,accident
0,27.3973,0,34.9444,13.7,15,17.0357,9.66667,11.4583,accident
0,31.3738,3,0,0,22.9048,0,0,0,accident
0,19.3292,5.75459,0,0,26.6257,5.41667,34.0556,0,accident
0,20.7644,2.37963,0,0,17.6571,7.5,25.7333,34.8462,accident
0,17.75,5.25,27.7083,0,25.1242,11.8606,16.1667,0,accident
0,15.3992,2.5,11.5694,0,18.3758,2,21,37.3395,accident
0,12.4589,0,28.5875,13,10.7579,4.17063,2.28889,31.1382,accident
0,23.1423,0,33.7645,1.4,0,13.046,4,21.0492,accident
0,8.9881,0,35.7457,18.8611,7.2858,23.1916,12.3111,25.0675,accident
39.9167,16.1554,0,0,19.6667,7.13889,20.9762,3.77778,18.2882,accident
0,28.7076,0,37.6204,8.04167,8.71667,11.5212,4.8642,14.7052,accident
0,12.8901,0,0,18.5375,5.32143,17.1111,7.5,21.6538,accident
40.5,22.4555,1.25,0,0,0,13.625,15.4444,7.19048,accident
0,20.1656,0,0,0,0.75,13.4444,13.3667,14.1273,accident
0,17.7609,0,36.5833,10.5,7.39583,18.9345,5.09778,21.0078,accident
0,28.6111,0,40,4.5,2.25,19.075,12.4722,12.0637,accident
0,18.5086,0,6,39,11.8759,0,12.8407,34.5,accident
0,18.3036,0,0,22.8016,18.2622,16.7381,25.5926,38.8333,accident
31.8437,14.521,0,6.83712,35.8543,20.2616,0,0,33.9778,accident
37.5,15.3865,0,22.5,39.25,14.9803,4.25185,0,34.941,accident
0,22.2873,0,23.552,39.7333,17,8.28333,28.5,25.8972,accident
0,25.5012,0,39.6667,24.2444,0,40.5,20.9533,0.75,bomb
0,14,0,37.9444,11.1012,0,17.7278,23.5895,2.16667,bomb
0,15.056,0,39.25,25.6597,1.33333,39.75,20.6386,1,bomb
0,15.6216,0,35.4722,25.0323,0,22.7107,22.5497,5,bomb
0,8.25556,0,0,15.5371,0,38.9833,18.6866,1.5,bomb
0,32.3816,1.82222,0,4.54167,5.93254,36.1439,21.1337,4.07143,bomb
0,28.24,0,0,0,1.87037,40,20.7981,2.375,bomb
0,19.345,0,0,0,7,34.9282,16.7333,0,bomb
0,31.9581,0,0,0,15.5,31.0174,20.1932,15,bomb
0,35.4688,0,0,0,14.5,34.3193,21.4526,7.13333,bomb
0,26.4642,1.5,0,30.9149,6,35.631,34.1533,4.75,bomb
0,19.0542,0,38.75,16.1914,3.5,25.0852,23.8129,4.91071,bomb
0,18.8796,2.74603,37.3431,20.0294,0,35.586,22.2667,5.6,bomb
0,27.7592,12.186,34.1232,8.57926,0,17.7611,27.7984,0,bomb
39.2667,5.18813,5.0063,39,24.2223,2.7619,35.3391,35.9242,6.82971,bomb
0,20.3989,0,36.0494,3.31111,0,36.25,24.4615,5.12037,bomb
0,28.2644,0,0,29.1925,3,38.5,24.1034,3.66667,bomb
0,15.4189,0,32.9992,25.9429,8.71905,34.0072,22.8971,5.89474,bomb
0,16.0017,0,28.8788,29.0192,6,34.3336,21.7916,7.57018,bomb
29.7609,34.5926,6.08816,0,0,17.4,25.8817,32.55,13.1098,bomb
0,27.5386,0,0,0,14.619,31.0333,21.7222,8.52273,bomb
0,30.5062,4.6875,0,20.3333,9.82584,31.6317,3.04762,9.12333,bomb
0,20.4559,0,0,0,11.1167,32.2007,22.4463,7.12333,bomb
0,14.4796,8.72222,0,0,10.0508,32.4726,33.575,7.25135,bomb
0,15.9054,2,0,37.081,6.17879,35.1185,29.9196,5.375,bomb
0,20.377,0,36.6667,34.0208,5.32804,31.7821,39.5,3.31151,bomb
0,24.1615,0,0,9.4918,0,39.4167,28.545,3,bomb
0,17.9695,0,39.2407,19.7541,8,36.4722,22.0583,3.85256,bomb
0,22.9666,0,36.7778,24.4982,5.5,35.255,32.1983,5.99536,bomb
0,29.8564,0,39.7037,18.7189,6.1,35.2376,23.3333,6.5,bomb
0,19.6154,0,0,30.2222,18.3593,27.7087,0,12.2635,bomb
0,23.6455,0,14.9776,0,20.1203,24.1458,8.83333,15.2819,bomb
0,13.1173,0,0,0,15.2068,32.5929,21.0378,8.44608,bomb
0,19.6847,0,0,21.3833,8.81046,33.0281,35.244,5.12698,bomb
0,12.2538,0,26.4773,19,11.9866,27.7667,36.1,9.52316,bomb
0,18.2325,0,39.7778,21.6259,0,39.7083,21.9782,2.58333,bomb
0,20,0,37.608,25.2157,6.38333,34.6316,22.8784,6.96849,bomb
0,33.5115,1.36667,36.9608,24.4792,6.78429,28.5423,34.8,10.2584,bomb
0,23.8244,0,0,24.1569,2.75,37.4314,16.634,4.5,bomb
0,21.4332,1,38.25,19.8703,5.29293,29.6304,37.8148,9.42918,bomb
0,31.8775,0,36.25,29.2833,0,36.8914,22.8969,4.72222,bomb
0,21.4402,0,38.3782,30.9167,4.11905,36.6798,22.0333,3.16667,bomb
0,18.4596,0,0,21.9431,0,19.75,13.5909,1.5,bomb
0,24.6264,0,0,15.0344,0,20.25,13.6762,2,bomb
0,18.8204,1.5,0,19.5446,0,0,15.7013,0,bomb
0,12.006,0,0,15.0648,0,20.25,21.3005,1.5,bomb
0,10.2556,0,0,10.8214,0,0,14.3838,0,bomb
0,11.3012,0,0,7.84155,0,39.25,17.9815,3.07619,bomb
0,13.9717,0,0,21.5115,0,0,21.525,0,bomb
0,24.7657,4.25,0,19.6667,0,37.9878,20.3587,0,bomb
0,25.4345,1.72222,35.5192,17.8239,0,36,19.0256,8.99813,bomb
0,23.2105,0,0,18.7347,0,0,22.8473,0,bomb
0,21.7971,0,37.1996,17.1381,0,38.25,21.0883,4.39286,bomb
0,22.9396,5.12593,0,19.1972,0,35.9394,20.9898,4.93314,bomb
0,26.7727,4.37179,0,27.1821,0,37.9253,26.2391,0,bomb
0,34.9365,0,0,20.6351,5.24444,34.2104,31.3274,5,bomb
0,25.9149,4.80864,0,26.6206,1.33333,35.125,26.7632,2.5,bomb
0,23.1362,4.69444,40,19.1797,2.26667,35.163,24.3183,0,bomb
0,25.9399,4.33333,32.6121,17.1782,13.5445,23.8809,33,11.9808,bomb
0,28.1853,2,0,20.5726,0,34.1629,28.0667,7.39804,bomb
0,34.9242,6.56049,34.5094,17.0517,10.3333,29.6713,31.1529,6.25397,bomb
0,11.6966,5.44444,0,22.1852,2.5,37.7222,30.1838,2.5,bomb
0,0,0,39.7778,20.2084,0,39.4762,13.1191,0,bomb
0,27.4892,0,0,23.825,0,35.7752,38.1,4.75,bomb
0,32.3095,5.94444,37.2593,0,17.5,29.1639,16.7379,8.25997,bomb
0,4.16667,0,0,0,0,0,10.5,0,bomb
0,36.5556,0,0,0,0,0,0,20.3333,bomb
0,0,0,32.3333,0,0,32.4444,30.7464,4.74359,bomb
0,8,0,0,17.3833,0,0,19.45,0,bomb
0,23.549,0,0,0,0,32.549,20.9917,8.33333,bomb
0,19.2181,11.4899,0,0,8.58333,31.2066,18.3233,9.80651,bomb
39.5,14.1428,0,0,34.6111,7.11365,33.7,11.5456,10.4092,bomb
0,27.3451,0,0,0,10.4673,26.5925,35.375,10.7952,bomb
0,36.3333,5.31018,0,0,14.7178,31.9864,22.1376,9.09821,bomb
0,15.75,0,0,14.9226,0,18.1519,0,11.971,bomb
0,20.5,0,20,12.534,0,19.75,20.4739,2.25,bomb
0,12.3333,0,0,20.5218,0,20.25,14.95,0,bomb
0,27.4643,0,0,12.8501,0,0,14.8401,0,bomb
0,31.598,0,0,22.9215,0,20.25,17.0118,0,bomb
0,30.4839,5.06061,38,20.554,0,38.1786,24.3146,0,bomb
0,0,7.67677,16.1111,3.33333,0,17.3722,0,8.06734,bomb
0,38.2143,2.5,0,0,0,40.3333,31.3974,0,bomb
0,0,0,0,0,0,34.3333,0,0,bomb
0,18.75,10.8333,0,0,0,15.9444,0,18.024,bomb
0,0,0,0,0,0,0,0,0,bomb
0,17.3165,2.41667,0,0,10.5113,32.2237,19.3261,9.25361,bomb
0,33.0301,1,0,0,21.375,24.2857,0,16.1048,bomb
0,27.3556,6.29727,0,0,14.403,27.2998,34.2667,12.8276,bomb
0,31.1641,3.21795,0,0,20.6814,30.4077,26,12.7105,bomb
0,27.9328,0,0,0,24.3079,19.7998,32.4381,16.435,bomb
0,23.4403,0,38.1278,19.184,0,38.1905,20.3894,2.83333,bomb
0,12,0,0,4.28747,0,39.75,27.4627,2,bomb
0,13.75,0,40.5,14.3395,0,20.25,24.987,1.59259,bomb
0,31.601,0,0,18.5556,0,0,21.1627,0,bomb
0,33.0296,0,0,16.6511,0,0,23.4434,0,bomb
0,20.1427,3.5,0,23.3584,0,23.9123,0,0,bomb
0,34.75,0,0,11.1521,0,0,18.1234,0,bomb
34.7708,9.1989,0,35.4655,17.7681,6.1875,38.1667,5.35043,10.1111,bomb
0,15.6389,0,0,28.5486,0,40.5,19.0361,0,bomb
0,21.2232,0,37.3333,31.25,5.78431,33.8027,36.5,7.45226,bomb
0,11.9679,0,0,19.9771,0,0,32.016,0,bomb
0,14.945,0,0,20.6564,0,0,25.1522,0,bomb
0,28.6468,0,0,12.8825,0,0,20.4429,0,bomb
0,17.2593,0,0,15.7037,0,0,21.5297,0,bomb
0,26.4964,2.5,0,9.02486,0,40.5,28.5545,0,bomb
0,18.3401,0,0,14.197,0,20.25,28.0966,1.5,bomb
0,26.0524,0,0,30.0776,1.5,37.1608,31.7212,3.33333,bomb
0,0,0,0,0,0,0,25.377,0,bomb
0,22.625,0,39,16.004,0,39.5,19.4167,4,bomb
0,29.6853,2.375,0,15.7778,0,39.0455,25.065,2.3,bomb
0,18.9473,0,28.5,23.7037,3.83333,32.0069,17.9611,8.17,bomb
0,30.0284,0,0,0,10.8986,31.644,20.4859,7.97043,bomb
0,17.9815,20.2567,0,0,37.713,11.9145,33.254,18.2299,bomb
0,21.0921,0,0,36.7293,7.95475,30.0321,36.2108,7.10714,bomb
0,17.1303,0,0,27.552,5.75101,35.7025,23.1618,3.19444,bomb
0,0,0,0,26.5556,0,0,25.3192,0,bomb
0,34.3012,3,0,38,3,36.7812,19.3657,3.41667,bomb
0,24.5,6.39259,0,0,14.125,30.4199,30.3982,5.59091,bomb
0,31.3504,15.4387,0,0,17.1,27.254,30.8033,6.25397,bomb
0,34.25,0,0,36.7619,10.8507,30.3741,31.0309,5.5,bomb
0,29.7381,0,0,18.3889,0,36.8774,21.2281,4.25,bomb
0,29.5,0,0,15.794,0,39,20.7241,3.56228,bomb
0,26.7765,0,17.75,14.0125,0,38.4,20.2124,6.88302,bomb
0,26.3121,0,0,16.0863,0,40.5,24.6311,0,bomb
0,25.3755,0,0,29.2873,1.5,0,26.7538,0,bomb
0,7.7619,0,18.1349,37.8039,4.56548,35.4951,31.9094,5.98214,bomb
0,24.4667,0,31,36.4174,4.2037,36.95,22.1193,3.91667,bomb
0,16.7363,0,0,17.9149,3.16667,19.75,20.3691,1.5,bomb
0,18.8397,0,0,27.1258,12.3639,33.3599,29.0972,5.75,bomb
0,31.252,3,0,37.125,0,36.91,32.2207,2.875,bomb
0,8.1,13.6111,15.4761,12.5641,27.8138,23.8866,16.8417,3.09259,car
25.0667,0,6.875,15.2463,9.83952,14.511,31.5,30,3,car
0,10.0794,0,31.0895,18.9398,16.1601,32.25,12.8333,12.625,car
30.881,0,0,25.9574,13.0861,24.2569,17.75,16.0556,4.5,car
36.3159,2.64935,16.5873,13.2333,9.52182,21.0186,23.9547,3.50758,23.4425,car
0,0,19.3704,5.73485,3,22.2671,0,30.875,0,car
12.7778,0,6.07936,20.691,11.9836,17.913,38.881,9.5,0,car
10.3889,0,0,9.47222,25.125,13.0538,0,2.875,1.86667,car
7.95556,0,4.86667,26.1111,1.86667,21.1871,12,0,4.73333,car
30.6667,0,0,23.5937,6.70833,16.9929,0,19.6667,1.66667,car
23.3108,2.25,27.4444,4.92218,0,16.5333,14.1603,16.6866,9.09286,car
28.8065,0,20.8095,10.6237,0,21.15,19.1627,12.9806,20.9198,car
24.6319,0,28.0328,6.04115,13.7778,16.2333,22.9167,17.6813,8.20106,car
36.4355,2.33333,36.4074,7.50075,0,17.8917,21.75,19.654,11.141,car
34.3889,0,32.6,13.6259,0,36,17.6509,7.26905,9.31173,car
36.3915,1.55556,29.3889,27.7426,26.9668,18.8057,38.9333,25.4025,18.4721,car
33.119,5.125,37.9259,21.2051,26.1774,24.9887,17.547,18.1941,7.13725,car
38.4889,8.54167,0,21.975,13.4507,16.5877,28.1446,15.498,3,car
0,7.03832,38.2222,30.5825,15.9136,11.4256,34.875,21.7571,13.881,car
40.6667,7.32899,0,22.0935,18.7934,22.249,27.7222,23.5394,24.2037,car
36.6404,5.57576,33.7259,11.5933,0,19.6083,20.0477,22.5197,7.32975,car
13.8743,14,29.2556,7.78431,28.1722,12.3571,31.0133,20.1566,3.81852,car
37.373,4.60741,31.5148,20.4388,0,23.2222,18.4278,12.168,14.4396,car
31.5913,0,32.0556,17.3333,0,29.1667,18.3776,13.4218,11.1725,car
20.7354,0,29.3727,8.25,0,18.9319,23.7086,17.4702,17.6667,car
23.2285,0,0,16.9852,1.875,24.1048,33.2667,17.1167,10.7576,car
0,0,0,19.5857,12.7385,15.4643,0,0,0,car
10.6852,0,0,14.7889,7.75,10.7537,16.5,15.3111,3.22222,car
13.3429,0,4.22222,2.5,17.6012,12.9024,0,23.7867,0,car
6.66667,0,6,21.2309,17.2469,21.8384,36.1195,5.01852,0,car
40.6667,11.9582,24.5009,14.5436,0,17.7733,40.1111,15.0989,6.37407,car
35.9,8.57407,36.6667,7.53312,11.375,25.2433,35.5476,6.19481,0,car
28.8958,0,31.9444,18.8538,12.267,15.4796,31.6773,24.3395,6.5,car
13.1042,0,33.4444,8.02527,0,36.4167,22.119,12.9182,3.17593,car
39.4545,2.19444,36.9667,18.2183,0,23.3333,21.0556,17.0587,10.1028,car
34.7812,0,21.2571,11.5918,30.4198,24.7685,23.4155,16.25,6,car
30.9967,0,0,23.115,18.4209,19.0548,18.25,34,0,car
19.037,9.79167,0,24.5529,15.7694,25.4296,26.3718,17.0477,7.5,car
40.2222,3.44522,19.1111,22.9083,9.99383,30.1,14.3251,17.7329,30.0324,car
0,17.9857,0,29.4998,24.7328,11.9162,26.4667,22.4463,20.1212,car
28.0143,6,0,11.391,12.1278,29.2102,0,21.3012,0,car
22.6818,0,0,10.25,0,16.0071,0,17.1481,0,car
21.3,0,0,20.2326,12.67,19.1162,24.7333,1.77778,0,car
14.6,0,8.22222,22.6722,0,18.2598,19.5993,36.4242,1.53333,car
13.4833,0,3.25,5.25,15.4167,15.3519,35.0889,7.54167,3,car
10.1272,0,18.119,11.5139,0,23.2222,27.6536,33.6605,9.17143,car
8.81944,0,23.2569,2.25,0,30.2275,23.1481,6.35833,9.11905,car
9.72222,0,19.6111,10.875,0,31.7498,0,19.8671,5.72222,car
7.72222,0,19.3958,0.75,0,19.1234,26.2963,30.2778,2.7037,car
11.5556,0,18.4778,17.4079,25.6667,15.1368,31,0,4.10354,car
35.4744,2.12346,19.254,9.68182,0,19.4899,19.0309,14.1722,9.14034,car
34,2.75,35.2302,7.43699,0,18.5625,36.0417,10.2115,10.8252,car
31.6347,0,36.9762,8.88066,0,15.6515,15.6228,13.0868,21.416,car
21.9648,0,20.1806,6.76144,0,28.7444,38.6667,14.3145,9.5,car
25.3604,1.5,38.1111,6.31699,0,8.07407,29.4877,20.1254,7.74786,car
0,30.5078,12.819,22.2163,17.22,21.7498,26.1234,14.4902,21.793,car
32.5644,12.1242,25.7333,21.3684,28.3032,23.3864,26.5926,22.8577,19.3016,car
32.6236,5.34701,13.5,23.2339,20.2667,19.8119,37.0069,22.863,18.0032,car
29.8568,4.63333,0,22.6495,10.919,20.1191,27.1748,22.1703,8.07609,car
39.4545,12.4797,0,16.4829,19.3577,20.5984,23.3396,18.3007,23.7675,car
22.3222,12,0,17.2209,10.4238,16.5163,36.5476,10.8704,8.59048,car
15.0556,0,25.6667,14.1375,17.6296,18.6218,0,12.4815,11.5101,car
23.0741,14.6667,0,10.6071,9.43519,33.1732,22.6518,22.2611,10.1336,car
14.3889,0,7.83333,29.0699,19.15,27.6432,33.7778,8,12.6667,car
13.0556,0,0,14.1758,18.9583,10.786,0,29.5,3.5,car
32.127,0,32.1667,24.6528,21.7222,14.1655,31.6675,18.2519,14.5525,car
37.123,19.5811,4.33333,23.9519,23.7591,20.82,13.7917,18.4321,18.9583,car
0,8.52937,30.9444,22.2786,5.89583,29.2654,35.8722,16.2503,13.8233,car
40.2222,19.3744,27.2407,27.9829,17.3056,15.4444,30.7407,30.3106,28.8839,car
0,20.6745,17.5,24.9571,18.8988,20.63,27.5918,21.9053,14.0617,car
35.6856,4.5,38.5,21.4134,19.709,20.8519,18.5147,19.2221,15.0714,car
28.75,0,32.8333,20.2164,18.5377,7.64493,32.5,19.187,8.99504,car
35.9222,0,16.565,19.7619,26.0606,16.5268,25.4848,15.8701,5.49376,car
32.4885,10.0179,35.4074,10.1959,13.3333,16.6065,19.9196,23.0564,20.3996,car
29.5,34.75,24.9449,19.1591,17.5895,25.794,25.8958,22.0624,0,car
17.0476,2.5,0,16.3702,13.7186,26.7918,33.4815,21.9506,15.9825,car
28.8333,0,0,15.3415,11.0456,14.5674,0,19.5608,6.88889,car
24.5476,0,0,22.7704,14.1806,12.3752,20.5,0,3.62121,car
15.2815,0,13,7.70199,38.2857,13.7754,24.7873,17.5906,4.05556,car
0,8.71605,0,29.5269,14.5731,24.5718,39,30.1217,13.9694,car
35.6852,17.6385,0,10.5011,31.8571,17.1971,21.0926,35.8333,18.7926,car
11.1667,11,0,16.6905,14.4949,12.8463,0,40,2.66667,car
30.6667,8,0,23.2767,28.5,15.5565,0,19.8889,31.2593,car
31.3993,2.44444,0,16.3451,6.91667,27.427,32.5344,7.77778,7.0963,car
23.5556,0,0,19.795,9.39352,14.5097,0,31.7778,20.075,car
14.0344,0,35.7333,6.875,0,19.25,28.0833,16.7887,15.9017,car
28.8773,0,26.6667,18.9915,14.5238,32.5064,23.0873,22.2765,13.5085,car
13.4,0,5.75,4,0,29.2658,31.9815,19.557,23.3594,car
36.1848,0,40.3333,23.3607,11.5556,11.6422,7,15.2892,15.2222,car
24.3283,0,13.0351,9.31439,0,27.5162,24.5185,21.9046,6.04618,car
38.9333,2.11111,25.9916,18.3992,15.4972,26.1799,30.0325,16.6607,7,car
32.5608,3,14.6667,19.5308,26.8091,18.7014,26.2081,20.9968,12.4189,car
35.3333,0,30.1111,16.8493,12.8877,22.3349,34.5,19.0556,18.575,car
0,11.771,0,22.8688,14.1316,12.629,0,19.1905,5.625,car
0,6.61111,19.4778,30.8267,14.966,17.5294,0,33.3833,6.5,car
0,0,0,18.6898,18.158,18.7485,0,0,0,car
37.75,0,12.5556,20.0559,15.3115,14.9127,0,0,14.5,car
40.6667,4.30952,23,24.4249,13.4227,22.8595,0,23.601,15.3333,car
39.7778,10.5,20.2222,27.7704,10.1819,15.4004,0,29.9778,9,car
