%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_0 NUMERIC
@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  White_Pixel_0 NUMERIC
@ATTRIBUTE  White_Pixel_1 NUMERIC
@ATTRIBUTE  White_Pixel_2 NUMERIC
@ATTRIBUTE  White_Pixel_3 NUMERIC
@ATTRIBUTE  White_Pixel_4 NUMERIC
@ATTRIBUTE  White_Pixel_5 NUMERIC
@ATTRIBUTE  White_Pixel_6 NUMERIC
@ATTRIBUTE  White_Pixel_7 NUMERIC
@ATTRIBUTE  White_Pixel_8 NUMERIC
@ATTRIBUTE  Airs_0 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
83,-83,12.5,211,-211,21,87,-87,0,63,-63,0,44,-44,3.5,110,-110,18.5,101,-101,0.5,136,-136,14.5,189,-189,16.5,accident
41,-41,3.5,268,-268,24,36,-36,0,137,-137,18,78,-78,6,149,-149,25.5,111,-111,25.5,170,-170,0,200,-200,14,accident
64,-64,6.5,352,-352,27,96,-96,0,150,-150,46,139,-139,41.5,220,-220,32,99,-99,0,133,-133,0,131,-131,5.5,accident
14,-14,2,286,-286,37,3,-3,0,136,-136,23,95,-95,1,151,-151,17,108,-108,18.5,187,-187,0,280,-280,20,accident
18,-18,0,232,-232,30.5,31,-31,5,100,-100,13.5,48,-48,0,162,-162,22,163,-163,14,102,-102,0,145,-145,15.5,accident
45,-45,6,301,-301,27,111,-111,0,126,-126,19,82,-82,4,154,-154,27,92,-92,12.5,161,-161,0,228,-228,15.5,accident
17,-17,2,315,-315,29,63,-63,0,136,-136,23,116,-116,5.5,134,-134,21.5,95,-95,13,97,-97,0,241,-241,19.5,accident
51,-51,1,254,-254,24,21,-21,0,126,-126,12,161,-161,13,119,-119,20.5,162,-162,28.5,112,-112,12.5,234,-234,20.5,accident
114,-114,14.5,240,-240,28,15,-15,2.5,125,-125,4,105,-105,0,177,-177,28.5,176,-176,2.5,156,-156,25.5,154,-154,6.5,accident
323,-323,46.5,391,-391,55,30,-30,4,305,-305,21.5,272,-272,6,404,-404,49.5,463,-463,23.5,464,-464,8.5,335,-335,0,accident
331,-331,29.5,281,-281,16,104,-104,14,196,-196,7,249,-249,1,277,-277,19,273,-273,17.5,432,-432,10,397,-397,3.5,accident
259,-259,45,427,-427,52.5,28,-28,4,316,-316,13,233,-233,0.5,346,-346,37,428,-428,21.5,377,-377,2,489,-489,5,accident
133,-133,9,424,-424,22.5,204,-204,29,278,-278,16,215,-215,0,262,-262,7,356,-356,16,192,-192,10,156,-156,5.5,accident
305,-305,34,453,-453,35.5,45,-45,4,290,-290,20,247,-247,3,337,-337,41.5,410,-410,10.5,483,-483,4.5,319,-319,5.5,accident
47,-47,5,310,-310,36.5,351,-351,8.5,296,-296,12,166,-166,1,260,-260,0,310,-310,5.5,279,-279,15.5,390,-390,21.5,accident
77,-77,7,254,-254,33.5,327,-327,10.5,262,-262,4,197,-197,5.5,263,-263,0,248,-248,4.5,341,-341,8,283,-283,2,accident
51,-51,6,317,-317,41.5,321,-321,8.5,322,-322,22,168,-168,6,298,-298,0,393,-393,3.5,185,-185,4.5,310,-310,2,accident
101,-101,10,312,-312,28,275,-275,13.5,300,-300,25,180,-180,1,294,-294,0,214,-214,6,242,-242,9.5,398,-398,18,accident
189,-189,15,287,-287,34,282,-282,13,277,-277,3,239,-239,4,308,-308,0,385,-385,4,310,-310,2,410,-410,30,accident
100,-100,0,147,-147,7,43,-43,0,68,-68,7.5,115,-115,3,71,-71,6,95,-95,7.5,104,-104,19,129,-129,11,accident
100,-100,8,153,-153,21.5,181,-181,0,195,-195,3,20,-20,0,106,-106,29.5,219,-219,8.5,134,-134,6,75,-75,9,accident
3,-3,0,127,-127,43.5,83,-83,1,132,-132,16.5,53,-53,19,108,-108,6,158,-158,9.5,146,-146,6,97,-97,17,accident
22,-22,2,132,-132,13.5,69,-69,8.5,134,-134,13,64,-64,5,115,-115,4,171,-171,4.5,106,-106,13,130,-130,6.5,accident
34,-34,8,67,-67,0,99,-99,0,87,-87,7,94,-94,5,24,-24,2.5,112,-112,2,108,-108,3,88,-88,13.5,accident
234,-234,26,216,-216,17,283,-283,28.5,268,-268,2,234,-234,5,184,-184,2,123,-123,9.5,198,-198,21.5,86,-86,1.5,accident
238,-238,8,223,-223,53.5,112,-112,19,262,-262,2,192,-192,23.5,236,-236,17.5,120,-120,6.5,136,-136,9.5,302,-302,27.5,accident
253,-253,5,290,-290,25.5,166,-166,21,268,-268,6,215,-215,3.5,158,-158,24.5,158,-158,9.5,190,-190,15,238,-238,17.5,accident
199,-199,21,269,-269,37,153,-153,20,278,-278,6,162,-162,2,224,-224,12,215,-215,10.5,163,-163,18,254,-254,3.5,accident
203,-203,15,332,-332,41,119,-119,14.5,289,-289,17.5,181,-181,6.5,306,-306,22.5,221,-221,15.5,187,-187,3,316,-316,21.5,accident
163,-163,20,304,-304,24.5,211,-211,26,252,-252,4,157,-157,1,226,-226,3,377,-377,4.5,296,-296,4,294,-294,8.5,accident
113,-113,15,264,-264,24.5,250,-250,10.5,215,-215,7,221,-221,0,176,-176,0,271,-271,8,277,-277,3,226,-226,16.5,accident
265,-265,16.5,165,-165,8,161,-161,28,123,-123,8,120,-120,1,176,-176,0,199,-199,10.5,238,-238,6,190,-190,17.5,accident
238,-238,24,162,-162,3.5,212,-212,15.5,192,-192,1,170,-170,0,177,-177,2,358,-358,8.5,243,-243,5.5,167,-167,21.5,accident
120,-120,22,204,-204,89,212,-212,20.5,195,-195,6,199,-199,17,181,-181,3,373,-373,8,335,-335,3,218,-218,12.5,accident
43,-43,4,123,-123,11,1,-1,0,59,-59,2,44,-44,2.5,96,-96,12.5,71,-71,3,68,-68,3,77,-77,47.5,accident
35,-35,1,134,-134,12.5,10,-10,1.5,66,-66,2,51,-51,0,89,-89,10.5,64,-64,4.5,65,-65,0,96,-96,6,accident
63,-63,5.5,106,-106,10.5,8,-8,0.5,47,-47,3,28,-28,5,110,-110,13.5,76,-76,7,82,-82,2,55,-55,18.5,accident
44,-44,1,136,-136,14,47,-47,0,62,-62,8,66,-66,2.5,104,-104,13.5,34,-34,0,85,-85,7,76,-76,11,accident
26,-26,3,170,-170,16.5,154,-154,0,78,-78,10,89,-89,1,93,-93,14,47,-47,5.5,41,-41,11,138,-138,14.5,accident
63,-63,8,233,-233,25.5,18,-18,2.5,91,-91,11,68,-68,0,178,-178,22.5,171,-171,7,159,-159,14.5,156,-156,17,accident
111,-111,20.5,250,-250,25.5,170,-170,0,110,-110,15,131,-131,3.5,167,-167,25,118,-118,1,212,-212,17.5,219,-219,47.5,accident
34,-34,0,297,-297,31,61,-61,0,139,-139,24,165,-165,5,159,-159,22.5,137,-137,4.5,212,-212,5,209,-209,18,accident
115,-115,2,243,-243,30,58,-58,0,138,-138,11,65,-65,4.5,195,-195,30.5,212,-212,11.5,158,-158,1,112,-112,4,accident
126,-126,3,232,-232,28,23,-23,0,132,-132,9,165,-165,9.5,166,-166,25.5,156,-156,7,152,-152,0,162,-162,48,accident
2,-2,0,279,-279,8.5,67,-67,0,127,-127,11.5,162,-162,7.5,158,-158,26,139,-139,19,163,-163,32,174,-174,12.5,accident
63,-63,7,200,-200,14.5,20,-20,0,100,-100,12,122,-122,8.5,102,-102,17.5,73,-73,15,27,-27,0,185,-185,14,accident
53,-53,2,194,-194,19.5,57,-57,0,115,-115,7.5,67,-67,2,148,-148,25,142,-142,3.5,131,-131,2.5,149,-149,10.5,accident
22,-22,1,233,-233,25.5,131,-131,0,125,-125,13.5,137,-137,4.5,164,-164,25,82,-82,11,47,-47,0,142,-142,15,accident
74,-74,6,260,-260,20.5,121,-121,0,118,-118,15,74,-74,0,136,-136,23,105,-105,1,152,-152,2,160,-160,6.5,accident
198,-198,7,167,-167,29.5,107,-107,0,148,-148,1,164,-164,2,164,-164,27,150,-150,4.5,158,-158,52.5,156,-156,8.5,accident
5,-5,0,179,-179,12.5,123,-123,4,145,-145,1,122,-122,4.5,152,-152,2,133,-133,6,152,-152,24.5,174,-174,7.5,accident
94,-94,0,215,-215,10.5,161,-161,14.5,63,-63,2,209,-209,0,149,-149,0,133,-133,2,168,-168,15.5,211,-211,3.5,accident
117,-117,0,110,-110,13,60,-60,0,145,-145,4,164,-164,3,64,-64,6,174,-174,3,134,-134,3,146,-146,12,accident
59,-59,0,234,-234,25.5,22,-22,3.5,155,-155,4,125,-125,122.5,212,-212,27,166,-166,15,229,-229,24.5,26,-26,4.5,accident
17,-17,0,427,-427,13,124,-124,10,212,-212,13,34,-34,0.5,211,-211,11,281,-281,30,298,-298,15.5,259,-259,27.5,accident
27,-27,1,282,-282,20.5,67,-67,8,154,-154,1,94,-94,1,162,-162,3,125,-125,2,167,-167,5.5,167,-167,3,accident
30,-30,0,151,-151,19,97,-97,0,59,-59,7,180,-180,9,137,-137,7,215,-215,19.5,155,-155,5,128,-128,8.5,accident
14,-14,0,183,-183,19.5,170,-170,2.5,64,-64,6,217,-217,6.5,175,-175,0,261,-261,33.5,208,-208,10.5,139,-139,42,accident
17,-17,0,217,-217,20,117,-117,2,148,-148,16,145,-145,4,161,-161,1,200,-200,9,136,-136,1,152,-152,4,accident
117,-117,0,376,-376,28,142,-142,19,248,-248,37,161,-161,1.5,323,-323,49,42,-42,0,16,-16,17.5,121,-121,4,accident
32,-32,0,477,-477,29.5,146,-146,20.5,222,-222,38,108,-108,1,322,-322,42,338,-338,36,222,-222,10,126,-126,5.5,accident
86,-86,0,548,-548,33.5,95,-95,11,215,-215,0,110,-110,0,335,-335,35.5,246,-246,18,47,-47,11,142,-142,11.5,accident
14,-14,0,504,-504,28.5,180,-180,25.5,272,-272,10,140,-140,0,323,-323,44,412,-412,24,289,-289,6,263,-263,1,accident
92,-92,0,484,-484,40.5,60,-60,8,235,-235,34.5,111,-111,7,349,-349,43,207,-207,10,42,-42,25.5,207,-207,18,accident
53,-53,0,313,-313,30.5,80,-80,0,150,-150,7,145,-145,2.5,141,-141,19,261,-261,9.5,304,-304,3,288,-288,36,accident
48,-48,0,299,-299,9,2,-2,0,92,-92,12.5,218,-218,6,133,-133,0,153,-153,21.5,238,-238,4.5,250,-250,37,accident
0,0,0,234,-234,2.5,0,0,0,61,-61,9,339,-339,9,66,-66,10.5,214,-214,52.5,270,-270,2,244,-244,47,accident
114,-114,6,249,-249,19,11,-11,1,165,-165,0,145,-145,0,174,-174,6,236,-236,9,199,-199,2,222,-222,21,accident
29,-29,0,306,-306,16,63,-63,1,81,-81,10,259,-259,6.5,184,-184,3,310,-310,27,275,-275,15.5,322,-322,16,accident
109,-109,0,246,-246,25.5,81,-81,0,165,-165,1,140,-140,3,140,-140,9,185,-185,19,120,-120,91.5,217,-217,19.5,accident
90,-90,2,157,-157,17.5,161,-161,11,174,-174,1,140,-140,0,182,-182,1,216,-216,7,199,-199,4,259,-259,5,accident
64,-64,0,299,-299,20,42,-42,1,189,-189,0,114,-114,1,159,-159,3,213,-213,9.5,188,-188,15.5,179,-179,7,accident
44,-44,0,311,-311,15,2,-2,0,188,-188,5,146,-146,0,196,-196,12,285,-285,10.5,305,-305,6,241,-241,36.5,accident
47,-47,0,254,-254,5,54,-54,2,71,-71,6,248,-248,5,175,-175,1,271,-271,21.5,194,-194,5,269,-269,9,accident
62,-62,0,339,-339,19,34,-34,0,126,-126,2,71,-71,6,145,-145,21,143,-143,0,161,-161,12,288,-288,20.5,accident
61,-61,0,275,-275,37,1,-1,0,121,-121,0,140,-140,2,207,-207,33.5,144,-144,6,203,-203,6,231,-231,26.5,accident
132,-132,16,267,-267,32.5,0,0,0,127,-127,10,93,-93,8.5,185,-185,27.5,112,-112,6,69,-69,5,240,-240,27,accident
25,-25,3,318,-318,33.5,101,-101,0,179,-179,24,133,-133,5,196,-196,31,246,-246,20,185,-185,0,205,-205,49.5,accident
89,-89,0,280,-280,32.5,15,-15,2.5,125,-125,11.5,88,-88,0,209,-209,31.5,147,-147,32.5,159,-159,2,190,-190,51.5,accident
120,-120,0,223,-223,14.5,49,-49,7,156,-156,21.5,133,-133,7.5,221,-221,21,254,-254,19,119,-119,3,232,-232,19.5,bomb
9,-9,0,221,-221,40,0,0,0,141,-141,20.5,213,-213,5,179,-179,16,300,-300,15.5,124,-124,1.5,225,-225,18.5,bomb
102,-102,8.5,160,-160,17.5,71,-71,0,120,-120,16.5,282,-282,13.5,150,-150,12.5,283,-283,13.5,124,-124,6,211,-211,19,bomb
19,-19,0,290,-290,34.5,10,-10,0,127,-127,19,300,-300,26,160,-160,14.5,328,-328,16.5,137,-137,3.5,242,-242,22.5,bomb
156,-156,13,104,-104,13.5,77,-77,0,11,-11,0,355,-355,14,95,-95,5.5,305,-305,23.5,125,-125,7.5,183,-183,22,bomb
0,0,0,103,-103,16,59,-59,7.5,75,-75,11,103,-103,5,123,-123,10,149,-149,12.5,72,-72,0,121,-121,9.5,bomb
14,-14,0,131,-131,30,33,-33,5,84,-84,0,85,-85,5,64,-64,6.5,157,-157,12,75,-75,2.5,146,-146,12.5,bomb
15,-15,0,129,-129,27,103,-103,0,110,-110,0,54,-54,0,91,-91,6.5,145,-145,13.5,76,-76,1,127,-127,12.5,bomb
48,-48,0,93,-93,17,50,-50,5.5,140,-140,0,130,-130,0,99,-99,2.5,140,-140,32,91,-91,1,128,-128,16.5,bomb
73,-73,0,97,-97,7.5,85,-85,9,137,-137,0,52,-52,0,118,-118,9.5,183,-183,15.5,103,-103,6.5,135,-135,21.5,bomb
29,-29,2,151,-151,10.5,30,-30,2,143,-143,18,47,-47,0,66,-66,1,112,-112,11.5,63,-63,1,87,-87,11.5,bomb
8,-8,0,127,-127,15,19,-19,3.5,68,-68,0,93,-93,8,88,-88,6,113,-113,10.5,75,-75,2,109,-109,11,bomb
56,-56,3,107,-107,9.5,70,-70,0,91,-91,9.5,112,-112,10,105,-105,8.5,165,-165,11.5,84,-84,5,105,-105,15.5,bomb
35,-35,3,145,-145,7.5,27,-27,0,98,-98,7.5,106,-106,6.5,116,-116,8,139,-139,11.5,72,-72,1,126,-126,16,bomb
5,-5,0,169,-169,17,30,-30,3.5,120,-120,11.5,84,-84,26.5,126,-126,14,172,-172,11.5,88,-88,2,117,-117,16.5,bomb
52,-52,3.5,94,-94,4.5,31,-31,0.5,115,-115,7.5,75,-75,10.5,110,-110,9.5,116,-116,13.5,89,-89,2,92,-92,14,bomb
56,-56,0,95,-95,15,23,-23,1,86,-86,0,71,-71,0,161,-161,11,115,-115,13.5,60,-60,1,92,-92,11.5,bomb
39,-39,1,111,-111,5,26,-26,1.5,87,-87,0,102,-102,11.5,138,-138,10.5,129,-129,16.5,82,-82,2,129,-129,12.5,bomb
5,-5,0,142,-142,22,25,-25,0,83,-83,0,90,-90,1,113,-113,7.5,136,-136,11.5,87,-87,1,116,-116,13,bomb
177,-177,0,119,-119,12.5,30,-30,0,23,-23,0,54,-54,6.5,135,-135,8,53,-53,0,57,-57,9,82,-82,9,bomb
0,0,0,279,-279,27,33,-33,0,137,-137,25.5,228,-228,15,251,-251,18.5,229,-229,12.5,179,-179,0,241,-241,19.5,bomb
47,-47,5.5,245,-245,32.5,12,-12,2,163,-163,7,221,-221,15.5,81,-81,0,290,-290,27,174,-174,11.5,330,-330,27,bomb
6,-6,0,363,-363,36,1,-1,0,132,-132,18.5,264,-264,12,397,-397,22.5,374,-374,21.5,170,-170,1,267,-267,22.5,bomb
0,0,0,321,-321,20.5,15,-15,0,188,-188,23.5,370,-370,12,274,-274,25.5,400,-400,17.5,166,-166,7,268,-268,29.5,bomb
96,-96,0,361,-361,26,156,-156,15,138,-138,20.5,473,-473,11,166,-166,24.5,260,-260,11.5,177,-177,9,261,-261,27,bomb
127,-127,0,365,-365,46.5,11,-11,0,213,-213,13,97,-97,4.5,215,-215,16.5,325,-325,25.5,20,-20,3,316,-316,35.5,bomb
10,-10,0,327,-327,42.5,3,-3,0,260,-260,22.5,193,-193,0,267,-267,19.5,236,-236,34.5,183,-183,4,296,-296,25.5,bomb
95,-95,5,278,-278,17.5,2,-2,0,210,-210,20,182,-182,13.5,252,-252,20,273,-273,34.5,176,-176,8,259,-259,27.5,bomb
146,-146,0,260,-260,35,75,-75,5.5,206,-206,18.5,253,-253,18.5,182,-182,17.5,303,-303,19.5,135,-135,2,244,-244,23.5,bomb
25,-25,0,292,-292,32,0,0,0,194,-194,25.5,233,-233,20.5,210,-210,24.5,311,-311,19.5,163,-163,2.5,242,-242,27.5,bomb
0,0,0,185,-185,8,34,-34,4,146,-146,23.5,131,-131,8,220,-220,21,233,-233,19.5,114,-114,3,184,-184,22.5,bomb
267,-267,0,221,-221,29,12,-12,1,90,-90,14.5,168,-168,7,234,-234,20,243,-243,15.5,103,-103,3,182,-182,17,bomb
93,-93,4,170,-170,11.5,5,-5,0,51,-51,11,232,-232,30,172,-172,13,249,-249,18.5,100,-100,3.5,174,-174,12,bomb
0,0,0,206,-206,18,28,-28,4.5,46,-46,9.5,242,-242,13.5,112,-112,0,278,-278,17,96,-96,2,201,-201,23,bomb
176,-176,0,181,-181,13,90,-90,16.5,81,-81,15,190,-190,8,131,-131,20.5,258,-258,11.5,89,-89,3.5,184,-184,15,bomb
140,-140,4,36,-36,5.5,12,-12,0,30,-30,1,179,-179,13.5,29,-29,0,203,-203,19,88,-88,1,175,-175,20.5,bomb
160,-160,14,2,-2,0,0,0,0,98,-98,12,86,-86,6,17,-17,0,205,-205,10.5,135,-135,6,133,-133,31.5,bomb
37,-37,6,127,-127,19,167,-167,0,132,-132,6,164,-164,7.5,46,-46,0,176,-176,14.5,66,-66,0,152,-152,11.5,bomb
117,-117,2,85,-85,11.5,26,-26,3.5,84,-84,11.5,229,-229,13,73,-73,6.5,163,-163,11,65,-65,2,168,-168,18,bomb
43,-43,0,102,-102,7.5,149,-149,12.5,15,-15,0,265,-265,6.5,44,-44,0,259,-259,25.5,226,-226,9.5,141,-141,17.5,bomb
57,-57,0,72,-72,0,111,-111,25,143,-143,8,344,-344,10,70,-70,4,232,-232,22,99,-99,0,241,-241,29,bomb
41,-41,1,93,-93,10.5,117,-117,42.5,86,-86,5,233,-233,17,83,-83,14.5,227,-227,9.5,86,-86,2,231,-231,18,bomb
0,0,0,21,-21,2.5,156,-156,1,192,-192,10,304,-304,15,59,-59,9.5,220,-220,10.5,88,-88,3,250,-250,19,bomb
29,-29,0,115,-115,12.5,162,-162,8.5,3,-3,0,271,-271,11,155,-155,15,232,-232,20.5,135,-135,5,221,-221,25,bomb
104,-104,0,141,-141,9.5,115,-115,10.5,3,-3,0,260,-260,6,74,-74,10.5,250,-250,17,108,-108,2,201,-201,23.5,bomb
21,-21,0,33,-33,0,31,-31,2,26,-26,0,38,-38,0,14,-14,0,27,-27,2.5,17,-17,0,14,-14,0,bomb
9,-9,0,44,-44,9.5,10,-10,0,43,-43,5,23,-23,0,45,-45,5.5,45,-45,6.5,42,-42,1,39,-39,5.5,bomb
16,-16,0,8,-8,0,22,-22,0,23,-23,0,43,-43,2.5,44,-44,0,42,-42,3.5,25,-25,1,25,-25,0,bomb
6,-6,0,18,-18,0,42,-42,3.5,27,-27,0,38,-38,0,31,-31,3,27,-27,0,30,-30,2.5,28,-28,1,bomb
5,-5,0,16,-16,5,21,-21,3.5,35,-35,0,31,-31,2.5,28,-28,2,42,-42,3.5,24,-24,0,33,-33,2,bomb
21,-21,0,142,-142,7.5,14,-14,0,116,-116,0,71,-71,5.5,143,-143,12.5,130,-130,19.5,91,-91,5,167,-167,14.5,bomb
116,-116,13,36,-36,3,71,-71,0,82,-82,0,167,-167,6.5,106,-106,14,114,-114,20,85,-85,7.5,167,-167,10.5,bomb
49,-49,0,115,-115,8.5,11,-11,0,82,-82,0,78,-78,8.5,63,-63,9.5,140,-140,15.5,77,-77,1,128,-128,14.5,bomb
254,-254,0,126,-126,1.5,35,-35,2.5,112,-112,0,81,-81,0,139,-139,9.5,136,-136,11.5,77,-77,3,124,-124,13,bomb
91,-91,0,103,-103,9.5,42,-42,0,87,-87,0,120,-120,11,70,-70,10,103,-103,7.5,72,-72,2,108,-108,14.5,bomb
143,-143,0,198,-198,5.5,0,0,0,174,-174,11,223,-223,7,122,-122,0,206,-206,12.5,94,-94,5,154,-154,18,bomb
65,-65,8,121,-121,11,0,0,0,160,-160,11,110,-110,11.5,45,-45,0,224,-224,10.5,84,-84,7.5,160,-160,15.5,bomb
151,-151,0,178,-178,11,56,-56,8,63,-63,9,266,-266,13,31,-31,0,271,-271,8.5,94,-94,6,219,-219,24,bomb
0,0,0,223,-223,9,118,-118,12.5,60,-60,10.5,211,-211,30.5,188,-188,5.5,335,-335,16,129,-129,6,254,-254,24.5,bomb
