%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_0 NUMERIC
@ATTRIBUTE  Mass_Center_X_0 NUMERIC
@ATTRIBUTE  Mass_Center_Y_0 NUMERIC
@ATTRIBUTE  Hough_Lines_0 NUMERIC
@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Hough_Lines_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Hough_Lines_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Hough_Lines_3 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
0.0669238,0.731527,0.683271,2,0.0905172,0.149278,0.480578,2,0.143376,0.635171,0.493059,5,0.162205,0.206677,0.442839,4,accident
0.0876307,0.738255,0.391753,2,0.0724739,0.167949,0.640449,3,0.110279,0.120907,0.446257,5,0.155749,0.278897,0.526698,6,accident
0.0335472,0.716776,0.613591,3,0.0926223,0.280363,0.375572,3,0.0613472,0.261442,0.301748,4,0.0876771,0.40164,0.430136,4,accident
0.0766141,0.772803,0.53969,4,0.0827834,0.219823,0.475085,4,0.112482,0.461963,0.335167,5,0.122095,0.145694,0.411808,4,accident
0.0725661,0.712892,0.491071,3,0.0490237,0.309969,0.472592,3,0.120482,0.389315,0.449396,6,0.0747819,0.412992,0.254549,6,accident
0.0661673,0.732359,0.536119,4,0.054099,0.321049,0.54337,4,0.109724,0.626008,0.562676,5,0.086281,0.528375,0.331757,4,accident
0.0528455,0.671521,0.482763,3,0.0858537,0.17527,0.211545,3,0.0834146,0.0830646,0.290963,4,0.0826016,0.473843,0.584722,2,accident
0.018835,0.917895,0.874307,0,0.126962,0.189028,0.431612,1,0.109871,0.434096,0.603324,4,0.147192,0.559963,0.570616,1,accident
0.120169,0.752241,0.323185,2,0.0606884,0.335531,0.621776,1,0.156401,0.325954,0.379009,4,0.125,0.515252,0.238951,2,accident
0.112377,0.410897,0.290469,3,0.0461823,0.255086,0.716388,2,0.177648,0.323723,0.404386,4,0.12931,0.600525,0.401395,4,accident
0.153727,0.664388,0.416622,4,0.0420662,0.225223,0.773545,2,0.161769,0.27747,0.233657,6,0.109187,0.742392,0.382825,3,accident
0.12595,0.565581,0.325898,3,0.0663355,0.405194,0.632434,3,0.127119,0.346724,0.350096,3,0.127703,0.518092,0.382374,3,accident
0.118857,0.819077,0.383726,2,0.099359,0.109197,0.330186,2,0.121795,0.357692,0.395999,3,0.179487,0.388873,0.501236,3,accident
0.128289,0.878472,0.316277,4,0.0632049,0.220238,0.760965,2,0.107848,0.545843,0.49526,2,0.152256,0.544523,0.597883,3,accident
0.0755556,0.729307,0.63973,2,0.140131,0.141002,0.357512,3,0.096732,0.230688,0.354884,2,0.176209,0.38095,0.519209,2,accident
0.100358,0.760937,0.43501,2,0.136918,0.142768,0.221314,2,0.158423,0.305737,0.485639,4,0.222939,0.398291,0.607708,2,accident
0.133333,0.653561,0.2714,2,0.0957265,0.0472222,0.290385,2,0.137094,0.160586,0.406667,2,0.185983,0.314151,0.434344,2,accident
0.149758,0.716214,0.348289,3,0.0560386,0.197917,0.567029,3,0.104589,0.30478,0.22043,2,0.136715,0.721429,0.636307,4,accident
0.146259,0.544094,0.317418,3,0.0969388,0.343084,0.350012,2,0.126531,0.134888,0.178333,0,0.171429,0.308673,0.265,2,accident
0.117222,0.705859,0.615757,2,0.0583333,0.235131,0.645728,2,0.147222,0.405159,0.310417,4,0.150833,0.762332,0.698211,4,accident
0.140155,0.742264,0.612206,3,0.107058,0.157359,0.125139,2,0.155015,0.479162,0.339965,2,0.17359,0.795139,0.724427,2,accident
0.104497,0.792806,0.734935,2,0.188823,0.191638,0.187836,4,0.199405,0.486621,0.37342,4,0.157407,0.556584,0.533234,2,accident
0.0970833,0.673102,0.400724,5,0.0602083,0.301663,0.570859,3,0.126042,0.410609,0.438279,2,0.117917,0.758022,0.392527,4,accident
0.0788732,0.575754,0.488649,4,0.114469,0.163358,0.364408,3,0.124968,0.241874,0.421633,1,0.100384,0.261239,0.196029,3,accident
0.0818681,0.615875,0.52253,4,0.10989,0.184841,0.500741,2,0.134066,0.312756,0.477614,4,0.14533,0.472828,0.302826,3,accident
0.0919403,0.440133,0.348005,4,0.0952239,0.17039,0.349848,3,0.174925,0.426749,0.523917,2,0.143582,0.691182,0.413883,4,accident
0.0651135,0.725626,0.627568,2,0.107826,0.0915003,0.14486,2,0.165771,0.356041,0.434017,5,0.158005,0.31696,0.174018,3,accident
0.0615385,0.802071,0.723043,2,0.081715,0.305191,0.651923,2,0.127869,0.308333,0.403409,5,0.163682,0.314736,0.30796,4,accident
0.0989349,0.668212,0.325954,3,0.0648521,0.296154,0.587939,3,0.168047,0.331198,0.3591,4,0.123314,0.526927,0.293545,4,accident
0.132958,0.763336,0.417382,2,0.0742706,0.269908,0.595392,3,0.199934,0.501326,0.653642,3,0.119032,0.763691,0.422344,3,accident
0.111878,0.61651,0.428958,2,0.0624101,0.281871,0.670765,2,0.197297,0.347294,0.445931,3,0.125108,0.502339,0.322748,4,accident
0.116443,0.571839,0.268436,2,0.0688244,0.286607,0.681503,2,0.193452,0.402234,0.51871,4,0.146205,0.678947,0.432034,2,accident
0.0983718,0.643289,0.377474,2,0.0644505,0.227839,0.617398,2,0.160561,0.370005,0.593603,4,0.122117,0.53018,0.524649,4,accident
0.124705,0.774316,0.395412,3,0.0757665,0.198787,0.548549,2,0.164505,0.433203,0.508219,2,0.11645,0.433044,0.355787,3,accident
0.130638,0.678177,0.467904,2,0.114894,0.144967,0.335187,3,0.151064,0.298944,0.34773,1,0.167234,0.387558,0.368367,1,accident
0.148371,0.727446,0.284205,4,0.0458647,0.170691,0.738414,2,0.157143,0.334218,0.468396,2,0.118045,0.390015,0.604833,3,accident
0.107625,0.603964,0.541334,1,0.127669,0.130441,0.199129,2,0.211329,0.372954,0.308932,3,0.142484,0.390981,0.434489,0,accident
0.105382,0.54191,0.416834,5,0.0175347,0.526455,0.924851,3,0.157292,0.566209,0.461948,7,0.107118,0.51839,0.298806,5,accident
0.0557319,0.752178,0.603427,2,0.0641975,0.34735,0.527563,4,0.115168,0.182916,0.272148,5,0.103175,0.425416,0.378665,5,accident
0.0916728,0.787856,0.316256,3,0.0548554,0.23898,0.638979,2,0.155918,0.468241,0.503276,4,0.121819,0.498051,0.369334,4,accident
0.085,0.590391,0.36474,3,0.0519048,0.206344,0.66844,3,0.165714,0.454962,0.368208,4,0.12619,0.692603,0.370889,5,accident
0.061848,0.753835,0.63563,2,0.0919026,0.341933,0.538039,4,0.153751,0.589201,0.61272,4,0.132389,0.414732,0.456708,2,accident
0.0761364,0.655183,0.490339,2,0.118182,0.195661,0.554692,3,0.123106,0.159259,0.824495,4,0.129924,0.509064,0.355778,2,accident
0.052751,0.773192,0.73908,1,0.154282,0.324316,0.215866,1,0.0918888,0.273256,0.34847,1,0.152014,0.400173,0.355701,0,accident
0.054321,0.788889,0.68948,0,0.161728,0.211319,0.294792,0,0.162346,0.237021,0.644682,4,0.208642,0.600016,0.600447,2,accident
0.0183824,0.904357,0.887963,0,0.162173,0.105652,0.131754,4,0.143382,0.269982,0.364853,4,0.168709,0.497876,0.491281,2,accident
0.0372093,0.85112,0.570947,1,0.134461,0.309763,0.47289,0,0.125159,0.190909,0.666667,5,0.147992,0.296255,0.143868,3,accident
0.122449,0.788039,0.54423,2,0.0784929,0.151377,0.466829,2,0.1927,0.474358,0.333258,3,0.182496,0.470677,0.328625,5,accident
0.208974,0.679316,0.478692,1,0.117949,0.334926,0.560317,2,0.244872,0.395419,0.479333,0,0.185256,0.815445,0.465418,0,accident
0.190779,0.504939,0.358368,1,0.112878,0.238163,0.654486,0,0.267091,0.317214,0.60077,0,0.230525,0.460221,0.236526,0,accident
0.129599,0.603342,0.317728,2,0.0806856,0.262494,0.645606,1,0.186873,0.424576,0.379297,3,0.175585,0.356665,0.161925,5,accident
0.15528,0.681047,0.342045,2,0.0989352,0.283593,0.607476,2,0.23425,0.515411,0.569714,3,0.163265,0.805548,0.595522,2,accident
0.0440639,0.78548,0.559077,2,0.0842466,0.242296,0.375436,2,0.121918,0.38307,0.337975,5,0.111644,0.646119,0.22,4,accident
0.100857,0.788524,0.356353,2,0.0614286,0.238123,0.654731,2,0.112571,0.415745,0.37451,3,0.0774286,0.369435,0.198905,2,accident
0.085563,0.786795,0.593543,2,0.0688406,0.295184,0.530955,2,0.161929,0.234996,0.217714,4,0.129041,0.620859,0.440804,3,accident
0.0814815,0.810783,0.658521,2,0.0799383,0.204461,0.325695,2,0.139815,0.393061,0.3682,3,0.133333,0.509434,0.157441,3,accident
0.0517413,0.783837,0.650091,2,0.107131,0.169608,0.463983,1,0.147264,0.159313,0.246326,2,0.156219,0.390038,0.236988,2,accident
0.1025,0.317693,0.309266,3,0.0690625,0.337613,0.554435,2,0.139687,0.570125,0.423675,3,0.115,0.735626,0.426811,1,accident
0.120826,0.415539,0.281533,2,0.0673458,0.602864,0.624609,3,0.136672,0.383385,0.409426,1,0.0945105,0.477912,0.596155,2,accident
0.0697168,0.590595,0.45045,1,0.108932,0.31059,0.523253,4,0.0716231,0.458448,0.543179,2,0.136983,0.391819,0.323373,1,accident
0.0718468,0.595929,0.423567,2,0.113063,0.336219,0.32047,4,0.110586,0.144306,0.528963,4,0.120946,0.387938,0.394844,2,accident
0.0653846,0.600761,0.439463,4,0.0880952,0.254464,0.397044,7,0.104579,0.407928,0.477633,5,0.105495,0.597666,0.347599,2,accident
0.121936,0.556533,0.141966,3,0.113051,0.170709,0.284273,2,0.178309,0.541541,0.504016,0,0.110907,0.327409,0.506491,0,accident
0.153053,0.501464,0.308287,4,0.0616011,0.172992,0.592133,2,0.176662,0.503966,0.434132,3,0.145183,0.705405,0.6519,4,accident
0.143842,0.67503,0.308658,4,0.0768473,0.25648,0.597656,4,0.162069,0.576539,0.408528,3,0.137192,0.79295,0.564073,4,accident
0.136425,0.616203,0.205584,5,0.0622172,0.223319,0.609693,2,0.156335,0.4041,0.417018,4,0.142081,0.45573,0.274742,5,accident
0.0811475,0.327496,0.318229,2,0.132172,0.222322,0.348826,4,0.168033,0.481188,0.428155,4,0.139344,0.568989,0.357986,4,accident
0.0639153,0.532968,0.502544,2,0.0738624,0.277947,0.527995,4,0.105397,0.463026,0.529459,3,0.107725,0.373237,0.27037,2,accident
0.0680387,0.676047,0.544744,2,0.0912833,0.313292,0.360988,3,0.117191,0.210523,0.382619,3,0.145521,0.524823,0.553461,5,accident
0.0733766,0.727977,0.326022,2,0.0909091,0.230722,0.405556,5,0.129004,0.348064,0.543984,3,0.127056,0.618472,0.280882,3,accident
0.120545,0.713646,0.481742,2,0.0625437,0.204684,0.674836,1,0.163871,0.283459,0.255853,4,0.191474,0.397475,0.419551,5,accident
0.0719539,0.842931,0.435011,2,0.108411,0.223044,0.322909,3,0.165974,0.231928,0.611551,4,0.192517,0.581221,0.47757,3,accident
0.0676435,0.68713,0.505841,2,0.140415,0.257009,0.399754,1,0.0739927,0.20507,0.298435,2,0.129915,0.389376,0.372965,1,accident
0.07312,0.763947,0.492718,2,0.132969,0.269017,0.568835,2,0.116055,0.276296,0.40357,3,0.136092,0.30345,0.468626,1,accident
0.0802469,0.669568,0.468991,2,0.152047,0.251841,0.440644,1,0.097141,0.202074,0.477614,2,0.171215,0.22814,0.214528,2,accident
0.0740189,0.720514,0.429795,2,0.14158,0.238795,0.464165,2,0.100348,0.32935,0.608932,2,0.201192,0.30934,0.434267,1,accident
0.0378317,0.798899,0.735296,2,0.0794278,0.377811,0.76491,1,0.0961792,0.51867,0.57266,4,0.172596,0.488601,0.483621,7,accident
0.141448,0.710493,0.493013,3,0.0604006,0.196476,0.741398,2,0.158398,0.298565,0.365646,2,0.144222,0.64571,0.626172,4,accident
0.131054,0.573684,0.34739,2,0.0754986,0.197115,0.674879,2,0.172365,0.359176,0.33508,3,0.202279,0.642948,0.529424,3,accident
0.133274,0.557562,0.258561,3,0.0974955,0.240956,0.740919,1,0.165027,0.302495,0.274421,1,0.199911,0.532623,0.429678,2,accident
0.0796741,0.69685,0.640409,2,0.161159,0.229897,0.369205,2,0.215935,0.228871,0.309786,3,0.172024,0.216832,0.284444,1,accident
0.15528,0.775039,0.421307,2,0.095386,0.213448,0.596188,2,0.186335,0.427285,0.355447,2,0.204525,0.546689,0.433094,2,accident
0.0423729,0,0,2,0.0461641,0,0,3,0.0851918,0.726112,0.562071,5,0.0655665,0.821325,0.836055,5,accident
0.05374,0,0,1,0.0846042,0.163985,0.329535,1,0.122731,0.898284,0.675926,2,0.105664,0.623237,0.62381,3,accident
0.0420387,0,0,2,0.0922619,0,0,2,0.0970982,0.680691,0.850777,2,0.106771,0.692999,0.717195,3,accident
0.054155,0,0,0,0.106909,0.239683,0.422386,2,0.112979,0.619048,0.759985,1,0.11718,0.375841,0.650853,1,accident
0.0144928,0,0,0,0.143961,0.305039,0.446932,2,0.114493,0.103704,0.817523,4,0.14058,0.432763,0.427802,2,accident
0.039548,0.85378,0.80463,1,0.207345,0.341373,0.335947,3,0.137571,0.423101,0.481546,3,0.180226,0.324811,0.461546,2,accident
0.0785867,0.697769,0.616007,2,0.211087,0.297388,0.332735,4,0.130064,0.227081,0.138691,2,0.195248,0.24675,0.44712,1,accident
0.143758,0.698505,0.363316,3,0.0970996,0.181068,0.398252,4,0.220933,0.404912,0.437788,4,0.154603,0.444826,0.530889,6,accident
0.13509,0.597568,0.340459,4,0.102926,0.146527,0.429041,2,0.229923,0.40232,0.516326,7,0.13675,0.531716,0.441264,4,accident
0.135815,0.683319,0.445645,2,0.0638833,0.20151,0.715692,2,0.184859,0.421796,0.389267,5,0.177062,0.22435,0.351058,6,accident
0.0434419,0.952381,0.710526,2,0.0654414,0.281085,0.925439,2,0.111668,0.387678,0.677736,4,0.102757,0.225694,0.182383,5,accident
0.0366809,0,0,1,0.103276,0.213341,0.445547,2,0.108974,0.0497009,0.254774,5,0.156339,0.364292,0.301136,4,accident
0.0493827,0,0,2,0.119506,0.0988215,0.30954,2,0.121481,0.28729,0.620085,2,0.175309,0.359947,0.380212,1,accident
0.0862565,0.734927,0.585395,2,0.13111,0.0684041,0.12462,0,0.142611,0.49849,0.46562,1,0.13916,0.276673,0.186378,1,accident
0.0528674,0.817503,0.795782,0,0.209677,0.306706,0.415068,0,0.180108,0.235484,0.426827,0,0.22043,0.276154,0.371215,0,accident
0.0450368,0.774637,0.69907,2,0.098652,0.212433,0.530582,2,0.144914,0.3959,0.567541,4,0.174326,0.592434,0.455342,2,accident
0.137472,0.727273,0.601118,2,0.141353,0.209343,0.30933,2,0.223947,0.579498,0.444918,0,0.196231,0.795351,0.710099,1,accident
0.175214,0.710979,0.51122,4,0.148718,0.146366,0.402209,2,0.181197,0.295842,0.336755,1,0.189316,0.55303,0.550337,1,accident
0.0682292,0.817641,0.713203,1,0.152604,0.0946931,0.318716,1,0.227604,0.477962,0.549287,2,0.199479,0.453478,0.548757,0,accident
0.0714286,0.769318,0.714209,0,0.195238,0.164406,0.301145,0,0.200595,0.159962,0.364102,3,0.195238,0.262415,0.244407,0,accident
0.038344,0,0,1,0.0980828,0.144121,0.311142,2,0.0811336,0.0177596,0.30791,4,0.13476,0.421849,0.310275,4,accident
0.0540639,0.840165,0.600132,2,0.109942,0.147115,0.555031,2,0.130987,0.20889,0.43731,5,0.170537,0.293392,0.436868,4,accident
0.0982955,0.814239,0.527454,2,0.0579545,0.177349,0.69052,2,0.14517,0.277183,0.38511,4,0.136932,0.316296,0.203207,5,accident
0.0363562,0.85046,0.786523,0,0.127451,0.143489,0.339866,2,0.168709,0.479181,0.574638,3,0.184232,0.243847,0.345292,2,accident
0.0647233,0.748613,0.722149,0,0.155632,0.0549831,0.218615,1,0.211462,0.340709,0.3172,3,0.18083,0.533885,0.591509,1,accident
0.030444,0,0,2,0.0913319,0.154167,0.355253,2,0.0875264,0.14564,0.136364,3,0.142495,0.567183,0.472601,2,accident
0.038099,0,0,2,0.120974,0.374157,0.341947,3,0.0683425,0.0989279,0.304035,0,0.115082,0.657895,0.412935,3,accident
0.0400943,0.781171,0.796131,0,0.157547,0.254378,0.437351,2,0.116509,0.177083,0.369817,3,0.173113,0.613034,0.708112,2,accident
0.0300699,0,0,2,0.101399,0.16986,0.190127,2,0.112238,0.184829,0.491298,4,0.133916,0.456795,0.365273,4,accident
0.0255066,0.840253,0.804939,0,0.11775,0.171835,0.187437,1,0.109364,0.537166,0.477725,3,0.108316,0.428598,0.41315,2,accident
0.0585236,0.586769,0.355434,2,0.0730937,0.24784,0.459458,2,0.0913065,0.213168,0.328955,2,0.10102,0.223301,0.377675,4,accident
0.0645712,0.627011,0.337711,1,0.101608,0.235601,0.294021,1,0.112817,0.361644,0.328041,3,0.133285,0.0859053,0.0467836,3,accident
0.0448332,0.632779,0.447162,2,0.0787315,0.133987,0.349507,2,0.106342,0.275745,0.740724,5,0.108256,0.31605,0.407472,4,accident
0.0517332,0.845248,0.58693,2,0.0677521,0.130313,0.517241,2,0.10583,0.177639,0.521817,5,0.136817,0.376109,0.537553,5,accident
0.0136885,0.915094,0.894118,0,0.18239,0.417276,0.508486,3,0.175731,0.275027,0.225611,4,0.168331,0.379979,0.414107,2,accident
0.0352183,0.867005,0.860786,0,0.203373,0.514621,0.430322,3,0.175099,0.332892,0.539947,3,0.210317,0.455767,0.605833,3,accident
0.00987842,0.928571,0.914894,0,0.201368,0.465028,0.349192,5,0.143617,0.521154,0.541166,3,0.148556,0.418189,0.61233,2,accident
0.0296296,0.874897,0.868155,0,0.197386,0.310435,0.460233,3,0.155991,0.377049,0.44279,3,0.165142,0.271058,0.329297,1,accident
0.00263273,0.945736,0.955975,0,0.19219,0.375381,0.425802,3,0.157086,0.393559,0.508812,4,0.156648,0.374206,0.278036,2,accident
0.0948545,0.688739,0.606038,3,0.101091,0.352162,0.400712,0,0.117204,0.399759,0.521623,1,0.0891372,0.368251,0.500872,2,accident
0.102572,0.741281,0.286712,2,0.105786,0.23313,0.439208,2,0.0713033,0.117739,0.531038,1,0.103741,0.50795,0.707802,1,accident
0.131413,0.664141,0.546847,2,0.10427,0.458552,0.550691,3,0.179411,0.465184,0.509668,0,0.131744,0.332704,0.495906,2,accident
0.103448,0.784141,0.467856,3,0.0873375,0.281005,0.606364,4,0.123233,0.173795,0.534928,3,0.0881854,0.545018,0.458123,1,accident
0.0964912,0.592373,0.421053,2,0.12888,0.268855,0.467638,2,0.130904,0.134172,0.531444,1,0.131242,0.709685,0.691093,3,accident
0.104775,0.518297,0.369654,5,0.0860062,0.545797,0.609652,3,0.128534,0.454798,0.359209,0,0.0881445,0.484903,0.609664,2,accident
0.13326,0.663246,0.429729,4,0.114064,0.262631,0.340409,2,0.161683,0.427023,0.366054,0,0.131783,0.810382,0.319715,2,accident
0.128533,0.594529,0.428301,2,0.0727836,0.385563,0.765215,1,0.123887,0.316537,0.298975,2,0.140921,0.822016,0.417017,2,accident
0.103361,0.702507,0.371795,3,0.0708683,0.336883,0.646426,2,0.148739,0.36915,0.21008,4,0.12521,0.805714,0.347272,3,accident
0.121849,0.512778,0.449738,2,0.0840336,0.237766,0.631656,2,0.214286,0.369158,0.33169,2,0.152661,0.720859,0.372182,3,accident
0.0959375,0.563288,0.312954,2,0.055625,0.241769,0.605795,2,0.060625,0.207676,0.20475,3,0.113125,0.784346,0.508133,3,accident
0.129018,0.615039,0.519668,2,0.0392857,0.156563,0.787417,0,0.124107,0.128437,0.422252,3,0.120536,0.736529,0.30848,3,accident
0.103884,0.718463,0.376367,2,0.0478771,0.179939,0.720899,2,0.114273,0.150034,0.29548,2,0.113821,0.491006,0.366294,4,accident
0.108243,0.661691,0.542475,1,0.0566123,0.234671,0.7184,1,0.116395,0.13244,0.602698,0,0.115489,0.736155,0.348777,2,accident
0.109069,0.429739,0.232451,4,0.0637255,0.306548,0.642157,3,0.0885417,0.162396,0.425278,1,0.096201,0.801525,0.327272,2,accident
0.116907,0.801405,0.574847,3,0.113208,0.187852,0.213335,1,0.147244,0.181364,0.432268,2,0.147614,0.550545,0.505241,3,accident
