%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_0 NUMERIC
@ATTRIBUTE  Airs_0 NUMERIC
@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
0.0337906,15,0.104383,319.5,0.092004,19,0.100368,47.5,0.0602208,20,0.0983607,0,0.0715959,39.5,0.0809635,12.5,0.133155,151.5,accident
0.0609284,24,0.092521,173,0.0909091,22,0.0892972,2,0.0770471,4,0.0992908,0,0.124113,833,0.0999355,110,0.132173,602,accident
0.2,-1,0.294,19,0.086,-1,0.136,11.5,0.23,51,0.142,10.5,0.19,9,0.208,15,0.258,38.5,accident
0.142045,12.5,0.21733,13.5,0.257102,-1,0.276989,38,0.0284091,-1,0.150568,26,0.31108,57.5,0.190341,50,0.106534,6,accident
0.00387097,-1,0.163871,33.5,0.107097,0.5,0.170323,28,0.0683871,6,0.139355,11,0.203871,45.5,0.188387,8.5,0.125161,20.5,accident
0.0308555,2,0.185133,23,0.0967742,14,0.187938,21.5,0.0897616,5,0.16129,6,0.239832,17,0.148668,1.5,0.182328,10.5,accident
0.0618182,8,0.121818,-1,0.18,-1,0.158182,9,0.170909,4.5,0.0436364,2.5,0.203636,16.5,0.196364,12.5,0.16,22.5,accident
0.0666667,47,0.0615385,49,0.0806268,56,0.0763533,4,0.0666667,7.5,0.0524217,3,0.0350427,1.5,0.0564103,21.5,0.0245014,6.5,accident
0.0813675,12,0.0762393,338,0.0382906,25.5,0.0895726,2,0.065641,18.5,0.0806838,17,0.0410256,6.5,0.0464957,1,0.103248,59.5,accident
0.0680108,49.5,0.077957,48,0.0446237,32,0.072043,8,0.0577957,3.5,0.0424731,33.5,0.0424731,56,0.0510753,49,0.0639785,34,accident
0.0594385,21,0.0803465,70.5,0.0456989,36.5,0.0830346,11,0.0483871,7.5,0.0669056,27,0.0642174,14,0.0486858,544,0.0758662,8,accident
0.0583837,25,0.0954846,88,0.0342249,21,0.0831176,28.5,0.0520564,12.5,0.0880069,84.5,0.0635605,897.5,0.053782,90,0.0908829,54,accident
0.0531291,35,0.0990874,247.5,0.0687744,42.5,0.0821382,6,0.0511734,1,0.0736636,5,0.122881,522,0.0964798,12,0.0958279,13,accident
0.0495614,25,0.115789,55.5,0.109649,17,0.0942982,14,0.0969298,0,0.077193,0,0.11886,388.5,0.121491,11.5,0.0991228,29,accident
0.157738,125,0.0982143,96,0.0958333,34.5,0.0732143,10.5,0.0714286,1,0.104762,0,0.118452,160,0.141667,103,0.113095,34,accident
0.13686,40.5,0.093157,160,0.121909,31,0.110408,4,0.0977573,0,0.101783,3,0.205865,100.5,0.139735,238.5,0.0960322,31.5,accident
0.0724638,22,0.123188,143,0.128019,23,0.117754,8,0.120169,25,0.1093,3,0.225242,75.5,0.202295,435.5,0.131643,30.5,accident
0.114973,4,0.328877,12.5,0.0026738,-1,0.157754,0.5,0.117647,1.5,0.256684,18.5,0.18984,3,0.181818,3.5,0.205882,2,accident
0.0921053,1,0.352632,16.5,0.0263158,0,0.173684,3,0.134211,-1,0.234211,3,0.168421,3.5,0.171053,-1,0.252632,6,accident
0.159091,9,0.267677,18.5,0.020202,0,0.118687,4,0.0707071,9,0.277778,24,0.191919,7,0.207071,2,0.138889,3.5,accident
0.0916667,1,0.283333,3,0.0979167,-1,0.129167,16.5,0.1375,3,0.216667,25,0.0708333,-1,0.177083,15.5,0.158333,8,accident
0.0452174,3,0.295652,78,0.267826,-1,0.135652,18.5,0.154783,25.5,0.161739,20.5,0.0817391,4.5,0.0713043,3,0.24,12,accident
0.0648148,13.5,0.239712,38.5,0.0185185,1,0.0936214,20.5,0.0699588,0,0.183128,39,0.175926,80.5,0.16358,1.5,0.160494,17.5,accident
0.0890136,38,0.200481,28,0.136327,-1,0.0882117,15.5,0.105052,2,0.133921,45.5,0.0946271,1,0.170008,10.5,0.175621,54.5,accident
0.0203349,-1,0.177632,46,0.0364833,-1,0.083134,23.5,0.0986842,4.5,0.0950957,34,0.0819378,7.5,0.126794,26,0.125,11,accident
0.0819088,4,0.173077,8,0.0413105,-1,0.0982906,16,0.0462963,3.5,0.138889,15,0.150997,109,0.112536,5,0.0797721,22.5,accident
0.0897436,5,0.165242,43,0.0163818,-1,0.0940171,16.5,0.117521,64.5,0.118234,36,0.111111,74.5,0.108262,4,0.115385,7.5,accident
0.00146199,-1,0.203947,51,0.0489766,-1,0.0928363,22.5,0.118421,50,0.115497,36,0.101608,24,0.119152,55,0.127193,23,accident
0.0614035,10,0.194932,62.5,0.0194932,-1,0.0974659,19,0.118908,24,0.0994152,16,0.0711501,14,0.0263158,-1,0.180312,83,accident
0.0535354,2,0.19596,42.5,0.0575758,-1,0.116162,15.5,0.0676768,1,0.149495,34,0.143434,109.5,0.132323,2,0.150505,16,accident
0.0160819,1,0.170322,64,0.0957602,-1,0.0913743,27,0.100146,10,0.119883,41.5,0.0599415,15,0.0343567,-1,0.103801,33,accident
0.0640693,10.5,0.225108,55,0.104762,-1,0.102165,25,0.0640693,-1,0.117749,36.5,0.0909091,1,0.131602,52,0.138528,43,accident
0.133784,23.5,0.112838,47.5,0.0722973,-1,0.1,2,0.110811,99,0.110811,32,0.101351,9,0.106757,54,0.105405,92,accident
0.00598086,-1,0.214115,17,0.147129,3,0.173445,0.5,0.145933,4.5,0.181818,2.5,0.159091,190.5,0.181818,66,0.208134,45.5,accident
0.0818815,-1,0.187282,131,0.140244,12,0.054878,3.5,0.182056,161,0.129791,0,0.115854,2,0.146341,20.5,0.183798,169.5,accident
0.15415,8,0.144928,17,0.0790514,-1,0.191041,6,0.216074,60.5,0.0843215,6,0.229249,317.5,0.176548,102,0.192358,16.5,accident
0.0561905,0,0.222857,29.5,0.0209524,0,0.147619,5,0.119048,14,0.201905,49.5,0.158095,192.5,0.218095,97.5,0.0247619,-1,accident
0.00723404,0,0.181702,132.5,0.052766,7.5,0.0902128,21,0.0144681,0.5,0.0897872,23,0.119574,32,0.126809,451.5,0.110213,27,accident
0.0179521,1,0.1875,41.5,0.0445479,10,0.102394,11,0.0625,1,0.107713,6,0.0831117,2,0.111037,5.5,0.111037,60.5,accident
0.0239234,-1,0.120415,34,0.0773525,0,0.0470494,10,0.143541,12,0.10925,12.5,0.171451,79,0.123604,11,0.102073,9.5,accident
0.00883838,-1,0.11553,36,0.107323,5,0.040404,8,0.136995,38,0.11048,0,0.164773,389.5,0.131313,44.5,0.0877525,18,accident
0.0129573,-1,0.165396,50.5,0.0891768,2,0.112805,27,0.110518,397,0.122713,1,0.152439,121,0.103659,118,0.115854,32.5,accident
0.0235412,-1,0.0756539,596.5,0.0285714,28.5,0.0498994,72.5,0.0323944,2.5,0.0649899,103,0.0084507,-1,0.00321932,1.5,0.0243461,4,accident
0.00725624,-1,0.108163,56,0.0331066,29.5,0.0503401,69,0.0244898,1,0.0730159,89,0.076644,35.5,0.0503401,21.5,0.0285714,115,accident
0.0183369,-1,0.116844,226.5,0.0202559,15,0.0458422,-1,0.0234542,0,0.0714286,71,0.052452,34.5,0.0100213,11,0.0302772,1,accident
0.00285714,-1,0.102857,566.5,0.0367347,42,0.0555102,15,0.0285714,-1,0.0659184,80.5,0.0840816,43.5,0.0589796,6,0.0536735,10,accident
0.0185334,-1,0.097502,223,0.012087,8,0.0473409,68,0.022361,9,0.0703062,83,0.0417002,16.5,0.00846092,3.5,0.0417002,144.5,accident
0.0301136,0,0.177841,81,0.0454545,-1,0.0852273,13,0.0823864,35.5,0.0801136,36,0.148295,137.5,0.172727,24,0.163636,69,accident
0.0323887,-1,0.201754,29.5,0.00134953,-1,0.0620783,22,0.147099,33.5,0.0897436,0,0.103239,215.5,0.160594,3,0.168691,36,accident
0,-1,0.150193,22,0,-1,0.0391528,13,0.217587,156.5,0.042362,8.5,0.137356,140,0.173299,197,0.156611,14,accident
0.0896932,8,0.195909,34.5,0.0086546,0,0.129819,0,0.114083,0,0.1369,8,0.185681,105,0.15657,62,0.174666,19.5,accident
0.0153439,-1,0.161905,47,0.0333333,1,0.0428571,15,0.137037,16.5,0.0973545,5,0.164021,171.5,0.145503,168,0.17037,79.5,accident
0.0635198,0,0.143357,31.5,0.0472028,-1,0.0961538,1,0.0815851,33.5,0.0815851,13,0.107809,19,0.0699301,4,0.126457,115.5,accident
0.0625,3,0.109028,187,0.111806,13,0.120833,9,0.0972222,3,0.126389,0.5,0.15,50.5,0.138194,4,0.179861,122.5,accident
0.0425532,0,0.198803,193.5,0.0279255,0.5,0.125665,6,0.0757979,3,0.105718,3,0.141622,36.5,0.125,102,0.119016,13,accident
0.0242692,0,0.171539,39.5,0.00110314,-1,0.103696,9,0.0805295,3,0.108108,20,0.157198,162.5,0.168229,125.5,0.132929,9,accident
0.0300512,-1,0.162404,32,0.0345269,0.5,0.0453964,8,0.158568,23.5,0.111893,1,0.173274,126,0.124041,101,0.171995,28.5,accident
0.0360046,-1,0.196864,77,0.0197445,-1,0.0731707,2,0.0412311,2,0.0842044,32.5,0.083043,-1,0.0934959,45.5,0.167247,220,accident
0.0341545,-1,0.153975,50.5,0.00055991,-1,0.0677492,-1,0.0783875,293,0.115901,14,0.0806271,6,0.113662,6,0.129339,24.5,accident
0.0728075,29,0.14727,38.5,0,-1,0.0700496,19.5,0.0512962,2.5,0.102041,46,0.0617761,7,0.0380585,5,0.132377,48,accident
0.0121124,3,0.15407,205,0.0489341,-1,0.0867248,44,0.064438,34.5,0.0949612,54,0.119186,82,0.0896318,-1,0.0993217,8,accident
0.0473404,-1,0.148936,22,0.00797872,0,0.0664894,22,0.0468085,-1,0.11117,61,0.0781915,36,0.0845745,2,0.101064,30,accident
0.0646552,-1,0.120151,23,0.0264009,3.5,0.0840517,39,0.0716595,7.5,0.119073,35,0.136853,48.5,0.0641164,5,0.125,28.5,bomb
0.00491803,-1,0.120765,116,0,-1,0.0770492,35,0.116393,7.5,0.0978142,27.5,0.163934,91,0.0677596,4.5,0.122951,28,bomb
0.056044,10.5,0.0879121,61,0.039011,-1,0.0659341,30,0.154945,197,0.0824176,21,0.155495,83,0.0681319,14,0.115934,26,bomb
0.00859729,-1,0.131222,34.5,0.00452489,-1,0.0574661,43,0.135747,133,0.0723982,14.5,0.148416,81.5,0.061991,8.5,0.109502,34,bomb
0.094431,21,0.062954,8,0.0466102,-1,0.0066586,-1,0.214891,125.5,0.0575061,8.5,0.184625,254,0.0756659,16.5,0.110775,22,bomb
0,-1,0.122619,18.5,0.0702381,11,0.0892857,20,0.122619,1.5,0.146429,52,0.177381,21.5,0.0857143,0,0.144048,19,bomb
0.0156775,-1,0.146697,28.5,0.0369541,1,0.0940649,-1,0.0951848,4,0.0716685,11.5,0.175812,27,0.0839866,7,0.163494,15,bomb
0.0144928,-1,0.124638,27,0.0995169,-1,0.10628,-1,0.0521739,-1,0.0879227,7,0.140097,25.5,0.07343,1.5,0.122705,22.5,bomb
0.043956,-1,0.0851648,17,0.0457875,3,0.128205,-1,0.119048,-1,0.0906593,2.5,0.128205,32,0.0833333,0.5,0.117216,30,bomb
0.0592532,-1,0.0787338,10,0.0689935,8,0.111201,-1,0.0422078,-1,0.0957792,16,0.148539,29,0.0836039,13,0.109578,27,bomb
0.04387,11,0.102233,11.5,0.0755973,24.5,0.0556208,-1,0.100666,118.5,0.12691,124,0.142577,68.5,0.0661966,16,0.0975323,67,bomb
0.0757062,24,0.177401,30.5,0.129944,-1,0.10226,27.5,0.154802,244,0.0666667,28.5,0.161017,87,0.0666667,1,0.130508,40,bomb
0.0825893,12.5,0.209821,138,0.111607,37,0.122768,33.5,0.235863,86.5,0.101935,6.5,0.196429,28.5,0.0967262,8,0.122024,36.5,bomb
0.0236111,-1,0.0895833,23,0.179167,33,0.121528,26,0.157639,36.5,0.0527778,-1,0.116667,450.5,0.0979167,29,0.0611111,9,bomb
0.113939,30,0.109091,18.5,0.0781818,28.5,0.115758,20,0.161818,125.5,0.121818,80,0.152121,113,0.0836364,4,0.102424,35.5,bomb
0.046252,2,0.240829,28.5,0.0478469,0.5,0.22807,15,0.0749601,-1,0.105263,1,0.178628,20,0.100478,0.5,0.138756,18,bomb
0.0116959,-1,0.185673,106.5,0.0277778,0,0.0994152,-1,0.135965,11,0.128655,42.5,0.165205,12,0.109649,2,0.159357,11.5,bomb
0.0636364,3,0.121591,5,0.0795455,-1,0.103409,14.5,0.127273,29.5,0.119318,15.5,0.1875,20.5,0.0954545,9,0.119318,22.5,bomb
0.047619,3,0.197279,135.5,0.0367347,-1,0.133333,6.5,0.144218,2.5,0.157823,25,0.189116,20.5,0.0979592,7,0.171429,19,bomb
0.00563063,-1,0.190315,34,0.0337838,4,0.135135,21.5,0.0945946,9.5,0.141892,75.5,0.193694,26,0.0990991,1.5,0.131757,26.5,bomb
0.0695187,3.5,0.125668,4.5,0.0414439,0,0.153743,8,0.100267,15.5,0.147059,9.5,0.15508,28,0.118984,3.5,0.122995,9.5,bomb
0.0942761,-1,0.159933,21,0.0387205,0.5,0.144781,-1,0.119529,0,0.271044,105.5,0.193603,24,0.10101,2.5,0.154882,22.5,bomb
0.0413574,1,0.117709,10,0.0275716,0,0.0922587,-1,0.108165,26,0.146341,20,0.136797,30,0.0869565,2.5,0.136797,24,bomb
0.00631313,-1,0.179293,70,0.0315657,-1,0.104798,-1,0.113636,0,0.142677,77,0.171717,21,0.109848,10,0.146465,19,bomb
0.318919,-1,0.214414,23.5,0.0540541,-1,0.0414414,-1,0.0972973,1.5,0.243243,67,0.0954955,0,0.102703,18,0.147748,6.5,bomb
0,-1,0.143963,49,0.0170279,-1,0.0706914,45,0.117647,111.5,0.129515,73,0.118163,80.5,0.0923633,-1,0.124355,62.5,bomb
0.0233831,4,0.121891,43,0.00597015,0,0.0810945,102,0.10995,103,0.0402985,-1,0.144279,154.5,0.0865672,17,0.164179,21.5,bomb
0.00245098,-1,0.148284,228.5,0.000408497,-1,0.0539216,25,0.107843,391.5,0.162173,74.5,0.152778,114,0.0694444,2.5,0.109069,37.5,bomb
0,-1,0.122426,32,0.00572082,0,0.071701,46,0.141114,75,0.1045,25,0.152555,109,0.0633105,13,0.102212,51.5,bomb
0.0366133,-1,0.137681,208.5,0.0594966,12,0.0526316,40.5,0.180397,46.5,0.0633105,52,0.0991609,80.5,0.0675057,18,0.0995423,47.5,bomb
0.0348901,-1,0.100275,588,0.00302198,-1,0.0585165,13,0.0266484,5.5,0.0590659,33,0.0892857,50,0.00549451,3,0.0868132,55,bomb
0.00322373,-1,0.105416,246.5,0.000967118,-1,0.0838169,47.5,0.0622179,0,0.0860735,60,0.0760799,68,0.0589942,5,0.0954223,50,bomb
0.0334743,5,0.0979563,316.5,0.000704722,-1,0.0739958,37,0.0641297,25.5,0.0887949,45.5,0.0961945,66.5,0.0620155,95.5,0.0912615,55,bomb
0.0633681,-1,0.112847,63.5,0.0325521,2,0.0894097,34.5,0.109809,99.5,0.0789931,46,0.13151,35,0.0585938,0.5,0.105903,38,bomb
0.0090843,-1,0.106105,100.5,0,-1,0.0704942,52,0.0846657,19,0.0763081,51,0.113009,39,0.0592297,2.5,0.087936,54,bomb
0.0872727,24.5,0.113455,38,0.0312727,1.5,0.160727,161,0.252364,38.5,0.0610909,14,0.224,93,0.0930909,490.5,0.146909,56.5,bomb
0,-1,0.116201,63,0.0737705,11,0.106557,147,0.168274,90.5,0.099325,187.5,0.150434,140,0.0795564,8,0.129701,72.5,bomb
0,-1,0.0907738,5.5,0.0669643,195.5,0.0606399,48.5,0.12686,34.5,0.122768,400.5,0.139509,41,0.0539435,5,0.111235,55.5,bomb
0.00523349,-1,0.165862,187.5,0.0205314,-1,0.0338164,12,0.213768,1.5,0.115137,48.5,0.169887,47,0.0720612,4.5,0.126409,44,bomb
0.0118068,-1,0.0980322,253,0.0529517,15,0.0382826,24,0.173166,94.5,0.118068,95.5,0.142755,61,0.0586762,2.5,0.127013,99.5,bomb
0,-1,0.0934343,13,0.0171717,4,0.0737374,37,0.0661616,25,0.111111,20.5,0.117677,36,0.0575758,8,0.0929293,38,bomb
