%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

% Global features from the images :
@ATTRIBUTE  Black_Pixel_Global NUMERIC
@ATTRIBUTE  Airs_Global NUMERIC
@ATTRIBUTE  Length_Area_Global NUMERIC
@ATTRIBUTE  Mass_Center_X_Global NUMERIC
@ATTRIBUTE  Mass_Center_Y_Global NUMERIC
@ATTRIBUTE  Hough_Lines_Global NUMERIC
% Features from the images splited in 9 : 
@ATTRIBUTE  Black_Pixel_0 NUMERIC
@ATTRIBUTE  Airs_0 NUMERIC
@ATTRIBUTE  Mass_Center_X_0 NUMERIC
@ATTRIBUTE  Mass_Center_Y_0 NUMERIC
@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person, police, road-block}

@DATA
0.0690211,0.165581,0.0759382,0.323798,0.423116,31,0.0678999,0.0501366,0.649957,0.296862,0.0821947,0.0352113,0.497438,0.480334,0.0063065,0.000945974,0.056338,0.940298,0.064116,0.00168173,0.313996,0.463298,0.0571789,0.00861888,0.167449,0.191542,0.0849275,0.0140845,0.588406,0.391318,0.0973303,0.0265924,0.109758,0.412276,0.0975405,0.169329,0.20626,0.206965,0.0704225,0.028169,0,0,accident
0.0722337,0.0299776,0.0841684,0.437262,0.63986,21,0.0861306,0.0331772,0.655793,0.30642,0.07312,0.000650533,0.479816,0.534144,0.0270622,0.010929,0.239142,0.867347,0.0510018,0.00338277,0.178571,0.173469,0.0647931,0.00689565,0.0519126,0.015873,0.0720791,0.0111892,0.604458,0.22919,0.0710383,0.0714286,0.465857,0.703828,0.112412,0.482175,0.350305,0.340347,0.103305,0.181759,0.68241,0.547871,accident
0.0761206,0.142326,0.0847556,0.285917,0.386509,22,0.0614326,0.0428131,0.80914,0.382734,0.101281,0.0623814,0.285769,0.532209,0.00664137,0.00118596,0.0483871,0.933824,0.0749526,0.00415085,0.280059,0.340601,0.0552657,0.00154175,0,0,0.0820683,0.0160104,0.380866,0.422432,0.101518,0.0596537,0.494001,0.372033,0.0894213,0.0145873,0.157258,0.09375,0.115987,0.0468454,0.656929,0.263181,accident
0.0749349,0.116817,0.0795102,0.520269,0.522131,19,0.0409861,0.00138675,0.867273,0.748776,0.130663,0.138059,0.494726,0.434673,0.0628659,0.0178737,0.349445,0.710488,0.0856703,0.00338983,0.497689,0.543503,0.0662558,0.00523883,0,0,0.0807396,0.0405239,0.731818,0.180387,0.109707,0.00354391,0.139524,0.531101,0.059168,0.203698,0.13771,0.342122,0.048074,0.00385208,0.918457,0.908115,accident
0.0820037,0.445673,0.0882453,0.407295,0.496669,23,0.0793444,0.028486,0.803256,0.373809,0.117846,0.0378512,0.348629,0.557397,0.0117066,0.000780437,0.0672043,0.948925,0.0754422,0.00702393,0.28741,0.483333,0.064256,0.0028616,0.379032,0.129032,0.0876691,0.0208117,0.599973,0.356565,0.10666,0.221774,0.304141,0.43398,0.12565,0.0600937,0.0480031,0.158218,0.0829865,0.00949532,0.916531,0.717932,accident
0.0836806,0.11125,0.0836715,0.432673,0.683312,22,0.0146875,0.0009375,0.93,0.917188,0.096875,0.0657812,0.588751,0.590183,0.109687,0.0135937,0.312584,0.0715414,0.0925,0.00578125,0.661894,0.347893,0.051875,0.0479687,0.333333,0.0494792,0.08125,0.003125,0,0,0.096875,0.130469,0.252216,0.655703,0.0871875,0.0309375,0.554857,0.628136,0.121875,0.181562,0.484167,0.740056,accident
0.091848,0.169266,0.0912645,0.397185,0.451833,20,0.0288822,0.00225056,0.884275,0.862135,0.0952738,0.0414479,0.414911,0.338712,0.122656,0.00525131,0.425423,0.154574,0.0982746,0.00656414,0.601744,0.379032,0.0738935,0.00525131,0.320672,0.279391,0.0986497,0.00356339,0,0,0.0930233,0.0425731,0.461951,0.591006,0.127907,0.131283,0.422924,0.410637,0.106152,0.0395724,0.843023,0.891129,accident
0.0693633,0.115845,0.0628124,0.291921,0.364567,16,0.0136876,0.00120773,0.925926,0.916667,0.0850778,0.0496511,0.426447,0.398347,0.0861514,0.00389157,0.225127,0.129866,0.0864198,0.0111379,0.620721,0.348814,0.0450886,0.0267042,0.06893,0.108427,0.0799785,0.000536769,0,0,0.105475,0.335212,0.0822555,0.59911,0.0496511,0.00697799,0.287449,0.359501,0.0831991,0.00228127,0.824074,0.771739,accident
0.084843,0.168225,0.0715538,0.401142,0.510035,16,0.0337906,0.00267648,0.882653,0.831967,0.104383,0.114754,0.31463,0.3909,0.092004,0.00468384,0.172021,0.273325,0.100368,0.0016728,0.453523,0.523863,0.0602208,0.00552024,0.229025,0.0491803,0.0983607,0.0115423,0,0,0.0715959,0.130311,0.234694,0.516393,0.0809635,0.0269321,0.270975,0.707195,0.133155,0.0383071,0.805271,0.837527,accident
0.0949282,0.271198,0.0809049,0.310098,0.247184,18,0.0609284,0.030303,0.816076,0.600168,0.092521,0.0876854,0.455498,0.310844,0.0909091,0.012089,0.187398,0.39627,0.0892972,0.000483559,0.25,0.159091,0.0770471,0.0206319,0.20922,0.0530303,0.0992908,0.00918762,0,0,0.124113,0.255319,0.29696,0.358297,0.0999355,0.0117666,0.146572,0.0782828,0.132173,0.200032,0.11886,0.153386,accident
0.156263,0.0166527,0.186206,0.434008,0.578106,10,0.2,0,0,0,0.294,0.022,0.398016,0.419683,0.086,0,0,0,0.136,0.028,0.694028,0.685889,0.23,0.034,0.24375,0.0733333,0.142,0.027,0.264773,0.684242,0.19,0.01,0.262222,0.402222,0.208,0.022,0.482018,0.347368,0.258,0.026,0.356591,0.332788,accident
0.154198,0.124053,0.17625,0.443107,0.5513,11,0.142045,0.0440341,0.759259,0.654586,0.21733,0.0830966,0.293087,0.38805,0.257102,0,0,0,0.276989,0.0482955,0.582702,0.43316,0.0284091,0,0,0,0.150568,0.0667614,0.308156,0.403462,0.31108,0.326705,0.242474,0.262981,0.190341,0.0234375,0.499311,0.40333,0.106534,0.0134943,0.461601,0.212929,accident
0.119713,0.04681,0.0944854,0.421393,0.513602,8,0.00387097,0,0,0,0.163871,0.134194,0.515249,0.481523,0.107097,0.00387097,0.186667,0.0645161,0.170323,0.0464516,0.579666,0.510502,0.0683871,0.0380645,0.252982,0.374458,0.139355,0.0206452,0.362222,0.410394,0.203871,0.0541935,0.238409,0.464101,0.188387,0.290323,0.67873,0.634921,0.125161,0.0206452,0.370821,0.362581,accident
0.139482,0.166894,0.16365,0.514207,0.48825,4,0.0308555,0.000701262,0.869565,0.854839,0.185133,0.045582,0.498658,0.424034,0.0967742,0.00701262,0.20098,0.714358,0.187938,0.0497896,0.517977,0.434967,0.0897616,0.00701262,0.396135,0.221027,0.16129,0.00420757,0.516304,0.16129,0.239832,0.0546985,0.200684,0.737754,0.148668,0.0147265,0.360662,0.352381,0.182328,0.0231417,0.622226,0.507783,accident
0.139315,0.204742,0.150711,0.350869,0.566825,2,0.0618182,0.0509091,0.560606,0.79,0.121818,0.13,0,0,0.18,0.0409091,0,0,0.158182,0.0127273,0.306818,0.301429,0.170909,0.0890909,0.427273,0.448,0.0436364,0.0281818,0.851515,0.837333,0.203636,0.231818,0.26936,0.302963,0.196364,0.204545,0.427609,0.522963,0.16,0.0409091,0.445618,0.309012,accident
0.0591075,0.0524119,0.0640082,0.501006,0.459833,14,0.0666667,0.00826211,0.730956,0.429389,0.0615385,0.215812,0.509138,0.58233,0.0806268,0.0182336,0.472771,0.53555,0.0763533,0.00498575,0.268519,0.338462,0.0666667,0.051567,0.305556,0.289744,0.0524217,0.0135328,0.898148,0.261538,0.0350427,0.145299,0.050953,0.606028,0.0564103,0.245157,0.464167,0.489806,0.0245014,0.0037037,0.47428,0.447863,accident
0.0694366,0.380236,0.0823439,0.384483,0.571437,20,0.0813675,0.00700855,0.856944,0.241346,0.0762393,0.150769,0.270032,0.35045,0.0382906,0.00581197,0.237,0.837278,0.0895726,0.00461538,0.411111,0.192308,0.065641,0.00239316,0.210123,0.0811966,0.0806838,0.00991453,0.675767,0.192711,0.0410256,0.367692,0.0414055,0.624589,0.0464957,0.120855,0.75692,0.852159,0.103248,0.02,0.484556,0.714448,accident
0.0574866,0.294073,0.0640118,0.475822,0.674591,15,0.0680108,0.0205645,0.749815,0.15006,0.077957,0.0115591,0.549232,0.392298,0.0446237,0.0103495,0.273319,0.803086,0.072043,0.000537634,0.265278,0.424731,0.0577957,0.0432796,0.322222,0.102151,0.0424731,0.0158602,0.773328,0.210543,0.0424731,0.00416667,0.0459926,0.471708,0.0510753,0.0587366,0.434012,0.337903,0.0639785,0.00994624,0.783862,0.759463,accident
0.0643193,0.491597,0.0792197,0.486484,0.552827,17,0.0594385,0.0241935,0.674302,0.604697,0.0803465,0.0530167,0.533026,0.330645,0.0456989,0.0128435,0.344753,0.821505,0.0830346,0.005227,0.299691,0.428495,0.0483871,0.00716846,0.0925926,0.125,0.0669056,0.00224014,0.736265,0.156452,0.0642174,0.0564516,0.0864785,0.59406,0.0486858,0.0374851,0.089892,0.252016,0.0758662,0.000746714,0.881173,0.732335,accident
0.0686455,0.0610217,0.0776071,0.438939,0.542124,16,0.0583837,0.0264596,0.738866,0.599811,0.0954846,0.0343687,0.30623,0.225121,0.0342249,0.00589589,0.195768,0.870878,0.0831176,0.00963474,0.314745,0.450636,0.0520564,0.00258844,0.146839,0.378194,0.0880069,0.0468795,0.649664,0.226816,0.0635605,0.0458729,0.233341,0.428579,0.053782,0.0536382,0.517544,0.57582,0.0908829,0.013086,0.387577,0.418916,accident
0.0809925,0.436726,0.0829287,0.612906,0.435439,17,0.0531291,0.00928944,0.789423,0.674153,0.0990874,0.0513364,0.340307,0.386095,0.0687744,0.0218383,0.27354,0.437617,0.0821382,0.00195567,0.463942,0.341102,0.0511734,0.00602999,0,0,0.0736636,0.00065189,0.767094,0.655838,0.122881,0.370437,0.111213,0.582739,0.0964798,0.0369948,0.160969,0.0888261,0.0958279,0.0244459,0.837569,0.608187,accident
0.0956166,0.0976879,0.0865254,0.548936,0.418669,17,0.0495614,0.0127193,0.79375,0.764327,0.115789,0.110746,0.410087,0.538242,0.109649,0.0120614,0.481481,0.208902,0.0942982,0.0550439,0.380952,0.394737,0.0969298,0.000657895,0,0,0.077193,0.00592105,0,0,0.11886,0.191228,0.249167,0.478107,0.121491,0.0287281,0.553125,0.510965,0.0991228,0.0100877,0.678936,0.532552,accident
0.106548,0.108565,0.0861645,0.301547,0.356246,16,0.157738,0.028869,0.426363,0.57417,0.0982143,0.0502976,0.234821,0.35735,0.0958333,0.0241071,0.411968,0.432405,0.0732143,0.0107143,0.186786,0.234375,0.0714286,0.00863095,0,0,0.104762,0.00267857,0,0,0.118452,0.0744048,0.304593,0.454599,0.141667,0.0315476,0.507857,0.415278,0.113095,0.0202381,0.45072,0.458823,accident
0.117769,0.0690707,0.128119,0.305396,0.502981,13,0.13686,0.066705,0.574231,0.605279,0.093157,0.129672,0.293093,0.566903,0.121909,0.0327775,0.651415,0.38161,0.110408,0.00258769,0.283784,0.117021,0.0977573,0.00201265,0,0,0.101783,0.00115009,0.736486,0.718085,0.205865,0.03364,0.411595,0.591845,0.139735,0.564405,0.386814,0.369826,0.0960322,0.0258769,0.304468,0.440794,accident
0.132543,0.297991,0.113027,0.487523,0.439095,14,0.0724638,0.0181159,0.74456,0.644022,0.123188,0.114734,0.382534,0.475068,0.128019,0.022343,0.320012,0.373483,0.117754,0.00452899,0.32037,0.368841,0.120169,0.0102657,0.380038,0.423041,0.1093,0.0117754,0.251543,0.0700483,0.225242,0.0368357,0.116787,0.386842,0.202295,0.289251,0.186111,0.248551,0.131643,0.00120773,0.500647,0.300985,accident
0.0956456,0.0798423,0.0823112,0.450403,0.623349,12,0.133784,0.103716,0.68876,0.394643,0.112838,0.0763514,0.43248,0.606065,0.0722973,0,0,0,0.1,0.0202703,0.189189,0.9,0.110811,0.0709459,0.397898,0.446528,0.110811,0.104054,0.388239,0.509535,0.101351,0.0222973,0.332666,0.437346,0.106757,0.0618243,0.186777,0.283091,0.105405,0.27973,0.85201,0.509287,accident
0.154971,0.0551568,0.175623,0.390864,0.555063,12,0.00598086,0,0,0,0.214115,0.0203349,0.486553,0.327164,0.147129,0.0245215,0.130682,0.358553,0.173445,0.00657895,0.636364,0.75,0.145933,0.0783493,0.362795,0.208577,0.181818,0.00956938,0.638258,0.427632,0.159091,0.0514354,0.348485,0.440789,0.181818,0.00538278,0.607744,0.453666,0.208134,0.139952,0.275253,0.360015,accident
0.124328,0.167867,0.114975,0.50433,0.520842,9,0.0818815,0,0,0,0.187282,0.0557491,0.61666,0.412018,0.140244,0.0182927,0.333949,0.309784,0.054878,0.00304878,0.848214,0.829268,0.182056,0.31054,0,0,0.129791,0.00348432,0,0,0.115854,0.0243902,0.321429,0.47561,0.146341,0.011324,0.499808,0.267834,0.183798,0.118902,0.240612,0.483391,accident
0.148375,0.0815089,0.170286,0.308942,0.471804,10,0.15415,0.00131752,0,0,0.144928,0.0230567,0.305184,0.476981,0.0790514,0,0,0,0.191041,0.030303,0.391304,0.666667,0.216074,0.140975,0.434783,0.191919,0.0843215,0.00922266,0.148551,0.772727,0.229249,0.474967,0.217391,0.12404,0.176548,0.0698287,0.289855,0.348373,0.192358,0.0467721,0.549517,0.270202,accident
0.127673,0.147642,0.125486,0.410883,0.596231,10,0.0561905,0.00190476,0,0,0.222857,0.0814286,0.517979,0.487028,0.0209524,0.00333333,0.0920635,0.892517,0.147619,0.0261905,0.557639,0.760714,0.119048,0.112857,0.33678,0.433197,0.201905,0.0819048,0.492445,0.479021,0.158095,0.144286,0.581717,0.45505,0.218095,0.0485714,0.410867,0.31426,0.0247619,0.00380952,0.108642,0.0931217,accident
0.0864192,0.256716,0.0867812,0.316374,0.397291,16,0.00723404,0,0,0,0.181702,0.0904255,0.603535,0.246037,0.052766,0.00106383,0.140426,0.6905,0.0902128,0.0121277,0.687993,0.593217,0.0144681,0.00468085,0,0,0.0897872,0.00234043,0.459574,0.405909,0.119574,0.102128,0.183546,0.6484,0.126809,0.179149,0.172872,0.116667,0.110213,0.0712766,0.781044,0.394909,accident
0.0921986,0.312961,0.123408,0.429325,0.405593,14,0.0179521,0,0.921875,0.87234,0.1875,0.0139628,0.442799,0.301749,0.0445479,0.00132979,0.140625,0.758422,0.102394,0.00398936,0.398438,0.468085,0.0625,0.00897606,0.335938,0.297872,0.107713,0.00465426,0.447917,0.191489,0.0831117,0.0671543,0.260417,0.385638,0.111037,0.00199468,0.478516,0.329344,0.111037,0.0628324,0.404948,0.257388,accident
0.09662,0.234082,0.121271,0.522025,0.593377,7,0.0239234,0,0,0,0.120415,0.0350877,0.681818,0.538135,0.0773525,0.0015949,0,0,0.0470494,0.0119617,0.863636,0.825814,0.143541,0.16866,0.423401,0.313805,0.10925,0.0167464,0.438377,0.785828,0.171451,0.196571,0.443901,0.587148,0.123604,0.00598086,0.400673,0.195322,0.102073,0.0745614,0.695713,0.148984,accident
0.0993967,0.314675,0.105241,0.39128,0.596071,15,0.00883838,0,0,0,0.11553,0.0123106,0.654397,0.448109,0.107323,0.0113636,0.194753,0.314141,0.040404,0.00252525,0.888889,0.848485,0.136995,0.0833333,0.0756321,0.172021,0.11048,0.00694444,0,0,0.164773,0.213384,0.431932,0.652046,0.131313,0.109217,0.345716,0.514189,0.0877525,0.0479798,0.545966,0.301677,accident
0.106887,0.0482474,0.115636,0.415453,0.38794,8,0.0129573,0,0,0,0.165396,0.0567835,0.649958,0.308894,0.0891768,0.0201982,0.046875,0.298781,0.112805,0.015625,0.697976,0.588068,0.110518,0.461128,0.421875,0.097561,0.122713,0.00495427,0.226562,0.268293,0.152439,0.0602134,0.15625,0.35874,0.103659,0.0865091,0.395833,0.392276,0.115854,0.0602134,0.570139,0.53252,accident
0.103822,0.234305,0.0774277,0.216823,0.280576,16,0.0301136,0.00596591,0,0,0.177841,0.0210227,0.460088,0.595019,0.0454545,0,0,0,0.0852273,0.00568182,0.705898,0.578274,0.0823864,0.0110795,0.308586,0.0288889,0.0801136,0.0258523,0.242424,0.562588,0.148295,0.238068,0.137693,0.10424,0.172727,0.0170455,0.0633333,0.2175,0.163636,0.0267045,0.705387,0.455509,accident
0.103154,0.015252,0.0892395,0.392029,0.610957,16,0.0323887,0,0,0,0.201754,0.115385,0.528096,0.376294,0.00134953,0,0,0,0.0620783,0.0178812,0.787488,0.701844,0.147099,0.0762483,0.144737,0.0726496,0.0897436,0.00303644,0,0,0.103239,0,0.448517,0.589475,0.160594,0.015857,0.197368,0.394587,0.168691,0.0367746,0.518729,0.424694,accident
0.10025,0.050577,0.10338,0.393478,0.694933,13,0,0,0,0,0.150193,0.0144416,0.194106,0.284649,0,0,0,0,0.0391528,0.0173299,0.871951,0.832237,0.217587,0.063543,0.428617,0.36831,0.042362,0.00802311,0.118951,0.826232,0.137356,0.0397946,0.347647,0.434438,0.173299,0.0901797,0.320799,0.335709,0.156611,0.0173299,0.558678,0.315408,accident
0.131465,0.0784466,0.159557,0.254468,0.587994,10,0.0896932,0.0118017,0.848118,0.518293,0.195909,0.157356,0.379079,0.442464,0.0086546,0,0.0483871,0.926829,0.129819,0.00393391,0,0,0.114083,0.0196696,0,0,0.1369,0.00275374,0.365591,0.692073,0.185681,0.106216,0.264516,0.389295,0.15657,0.0499607,0.33871,0.245257,0.174666,0.0129819,0.728071,0.464223,accident
0.105729,0.00804398,0.0990965,0.430274,0.62805,20,0.0153439,0,0,0,0.161905,0.0227513,0.684736,0.225925,0.0333333,0.0026455,0.0496032,0.8,0.0428571,0.00608466,0.863095,0.813333,0.137037,0.0767196,0.348285,0.526653,0.0973545,0.012963,0.238095,0.5,0.164021,0.0984127,0.326046,0.593532,0.145503,0.139683,0.107527,0.143528,0.17037,0.183598,0.377641,0.388993,accident
0.0851952,0.0104327,0.0728713,0.315752,0.416478,14,0.0635198,0.00961538,0,0,0.143357,0.013986,0.358348,0.43605,0.0472028,0,0,0,0.0961538,0.00990676,0.275641,0.386364,0.0815851,0.0585664,0.396011,0.0883838,0.0815851,0.00699301,0.216809,0.661364,0.107809,0.0888695,0.29892,0.384769,0.0699301,0.0183566,0.244444,0.603788,0.126457,0.218531,0.4569,0.331878,accident
0.11964,1.08876,0.110871,0.331799,0.305387,14,0.0625,0.00590278,0.858333,0.697917,0.109028,0.132639,0.573177,0.351571,0.111806,0.0107639,0.225568,0.360914,0.120833,0.00104167,0.322222,0.03125,0.0972222,0.00173611,0,0,0.126389,0.00416667,0.291667,0.0208333,0.15,0.210764,0.106944,0.257812,0.138194,0.160764,0.369444,0.528646,0.179861,0.0277778,0.348148,0.455093,accident
0.104037,0.0133948,0.126037,0.269054,0.333523,10,0.0425532,0,0,0,0.198803,0.344082,0.481612,0.362129,0.0279255,0.00199468,0.046875,0.765957,0.125665,0.0784574,0,0,0.0757979,0.0714761,0.192708,0.0212766,0.105718,0.00398936,0.174479,0.177305,0.141622,0.316822,0.280424,0.298552,0.125,0.00964096,0.165589,0.261433,0.119016,0.0345745,0.727002,0.474394,accident
