%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_9 NUMERIC
@ATTRIBUTE  Mass_Center_X_10 NUMERIC
@ATTRIBUTE  Mass_Center_X_11 NUMERIC
@ATTRIBUTE  Mass_Center_X_12 NUMERIC
@ATTRIBUTE  Mass_Center_X_13 NUMERIC
@ATTRIBUTE  Mass_Center_X_14 NUMERIC
@ATTRIBUTE  Mass_Center_X_15 NUMERIC
@ATTRIBUTE  Mass_Center_X_16 NUMERIC
@ATTRIBUTE  Mass_Center_X_17 NUMERIC
@ATTRIBUTE  Mass_Center_X_18 NUMERIC
@ATTRIBUTE  Mass_Center_X_19 NUMERIC
@ATTRIBUTE  Mass_Center_X_20 NUMERIC
@ATTRIBUTE  Mass_Center_X_21 NUMERIC
@ATTRIBUTE  Mass_Center_X_22 NUMERIC
@ATTRIBUTE  Mass_Center_X_23 NUMERIC
@ATTRIBUTE  Mass_Center_X_24 NUMERIC
@ATTRIBUTE  Mass_Center_X_25 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_9 NUMERIC
@ATTRIBUTE  Mass_Center_Y_10 NUMERIC
@ATTRIBUTE  Mass_Center_Y_11 NUMERIC
@ATTRIBUTE  Mass_Center_Y_12 NUMERIC
@ATTRIBUTE  Mass_Center_Y_13 NUMERIC
@ATTRIBUTE  Mass_Center_Y_14 NUMERIC
@ATTRIBUTE  Mass_Center_Y_15 NUMERIC
@ATTRIBUTE  Mass_Center_Y_16 NUMERIC
@ATTRIBUTE  Mass_Center_Y_17 NUMERIC
@ATTRIBUTE  Mass_Center_Y_18 NUMERIC
@ATTRIBUTE  Mass_Center_Y_19 NUMERIC
@ATTRIBUTE  Mass_Center_Y_20 NUMERIC
@ATTRIBUTE  Mass_Center_Y_21 NUMERIC
@ATTRIBUTE  Mass_Center_Y_22 NUMERIC
@ATTRIBUTE  Mass_Center_Y_23 NUMERIC
@ATTRIBUTE  Mass_Center_Y_24 NUMERIC
@ATTRIBUTE  Mass_Center_Y_25 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
0,0,0,13.4219,0,0,0,22.8452,3.5,0,9.75,0,16.5772,0,0,0,0,2,0.75,0,0,22,8.09848,0,0,0,0,0,11.6907,0,0,0,11.9048,5,0,8.5,0,14.0167,0,0,0,0,11.5556,6,0,0,20,7.22727,0,0,accident
0,0,0,0,0,0,0,0,0,23.3333,0,0,0,15.4615,0,0,0,9.36111,22.4667,0,0,0,0,12.75,0,0,0,0,0,0,0,0,0,0,15.6667,0,0,0,6.85897,0,0,0,14.1111,4.26667,0,0,0,0,9.66667,0,accident
0,19.7,0,0,0,4.83333,0,10.5,22.3333,0,17.4682,4.92963,4.86111,0,0,0,0,9.04921,0,0,0,15.4519,0,0,0,0,19.4,0,0,0,19.3333,0,7.15476,20.1429,0,8.4398,20.3704,20.0556,0,0,0,0,6.33333,0,0,0,13.5963,0,0,0,accident
0,19.5667,16.7496,11.75,0,17.6093,3.25,4.75,0,9.91667,0,15.5463,7.27778,0,0,0,0,16,0,0,0,12.8333,19.8712,4.8114,0,0,17.2083,14.0637,7.5,0,8.49123,21.5,7.2,0,19.25,0,10.6464,20.625,0,0,0,0,2,0,0,0,14.4697,4.90379,17.9544,0,accident
0,13,16.9433,9.5,20.6667,12.5467,3,4.84444,0,0,0,15.4211,0,0,0,0,0,0,0,0,22.5,12.7003,7.8638,0,0,0,21.6667,13.581,3,3,14.3533,20.5,11.5,0,0,0,8,0,0,0,0,0,0,0,0,23,8.20819,18.1225,0,0,accident
0,19.4667,20.1611,4.83333,22.7333,11.8194,0,5.12037,0,0,0,12.1785,1.77778,0,0,0,0,0,0,0,0,12.14,11.7096,0,0,0,21.2667,18.8111,5.33333,2.26667,13,0,15.537,0,0,0,12.9734,23.2222,0,0,0,0,0,0,0,0,12.7299,12.8763,0,0,accident
0,12.6307,17.2617,0,0,14.624,3,5.05,0,0,0,14.4702,4.38095,3.5,0,0,0,15.3725,0,0,0,6.39583,17.4176,4,0,0,5.70163,13.5614,0,0,10.5703,22,9.11667,0,0,0,10.8158,20.019,20,0,0,0,6.96078,0,0,0,10.125,9.54971,20.5,0,accident
0,11.1944,8.35556,0,0,17.3179,6.8486,0,0,0,0,17.4583,3.33333,4.75185,0,0,0,0,0,0,19.9167,6.66667,15.65,4.21053,0,0,17.4471,11.7722,0,0,6.62745,19.6734,0,0,0,0,13.1333,22.5,6.32037,0,0,0,0,0,0,15.1667,2.44444,7.56111,20.9895,0,accident
0,13.25,0,0,0,8.44167,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,15.1875,4.25641,0,0,12,0,0,0,11.1,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0,0,9.4375,20.1026,0,accident
0,2.33333,0,0,0,0,0,0,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33333,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,accident
0,17.6111,0,0,0,21.2381,0,0,0,0,0,0,8.13636,0,0,0,0,0,0,0,17.5,0,18.5,9.67816,0,0,11.2068,0,0,0,2.7619,0,0,0,0,0,0,18,0,0,0,0,0,0,0,8.5,0,6.70476,14.9425,0,accident
0,12.5833,0,0,0,17.3511,6.13725,0,0,0,0,18.7544,12.0417,0,0,0,0,0,0,0,0,0,16,6.64286,0,0,16.2917,0,0,0,7.86991,19.2745,0,0,0,0,8.19298,18.7778,0,0,0,0,0,0,0,0,0,4,16.3214,0,accident
0,17.6741,20.5,10.6667,0,12.8581,1.77778,7.75,0,3.61905,22.2381,7.5,5.57738,0,0,0,12.1667,0,0,0,23.6667,5.76667,17.5278,4.5,0,0,14.0148,14,11.4667,0,11.2426,23.2222,1.66667,0,21.7619,3.04762,6.28571,17.6786,0,0,0,6.41667,0,0,0,23.6667,14.55,9.01389,19.4286,0,accident
0,0,19.625,5.61111,0,0,0,10,0,12.996,0,12.1176,10.5778,6.41667,0,8.05556,18.5,13.9587,12.0417,0,0,16.3775,17.5556,0,0,0,0,20,9.88889,0,0,0,10.375,0,17.6035,0,10.451,19.7111,13.6917,0,6.48942,19.0833,13.2796,7.58333,0,0,11.7986,18.2222,0,0,accident
0,0,0,4.25,4.41667,0,5.51282,10.0329,0,14.9216,0,13.8203,13.875,2,4.59259,14.25,1,13.5329,0,0,0,15.6127,21,14.3556,0,0,0,0,7.05556,7.5,0,16.641,10.9484,0,16.7451,0,10.0649,12.125,2.16667,4.37037,7.75,3.25,5.52899,0,0,0,12.884,22,18.2444,0,accident
0,0,19.5,6.3463,0,9.77778,0,12.9932,22,6.2963,20.4375,3.25,19.6667,5.94444,0,7.05556,5,12.2333,0,0,0,18.8646,2,0,0,0,0,19.2857,7.95185,0,7.38889,0,11.6818,16,20.8519,19.125,14,8.33333,8.36111,0,7.41667,3.11111,12.825,0,0,0,16.1003,11,0,0,accident
0,0,23,10.6267,7.475,0,0,14.7188,2.26667,17.6474,0,15.5179,13.3877,9.61111,0,8,3,23.6667,0,0,0,21.5,9.83333,1.5,0,0,0,23,10.4795,6.04167,0,0,14.9318,3.06667,11.3034,0,12.0357,19.8663,6.88889,0,1.66667,0.75,6.66667,0,0,0,19.0833,16.6786,6,0,accident
0,0,22,8.77083,16.1111,0,11.3056,13.0968,1.5,16.5,0,20.7407,4.33333,9.5,0,0,10,0,0,0,0,20.475,13.2167,0,0,0,0,21.2222,10.2083,13.5556,0,17.5093,13.2298,3,8.71429,0,19.7407,21.1111,3.33333,0,0,1.5,0,0,0,0,17.5167,15.4048,0,0,accident
0,8.61111,7.2373,0,0,0,0,2,0,0,0,17.5333,0,5.89724,4.75556,5.27778,14.1667,10.1282,0,0,0,22.3333,0,0,0,0,12.0889,9.08254,0,0,0,0,4,0,0,0,20.7333,0,14.9261,1.24444,6.05556,16.8333,6.58974,0,0,0,19.2381,0,0,0,accident
21.6667,0,8.50926,22.5,1.5,0,20.845,4.7963,20.0303,13.2222,17.25,13.8408,0,11,2,19.75,4.66667,0,0,0,18.25,22.2121,0,11.6667,0,23.6667,0,9.01852,8,8,0,14.7135,20.9259,13.8485,10.2222,22,10.0864,0,1.5,0.75,6.83333,2.75,0,0,0,7.25,12.8485,0,5.71795,0,accident
0,8.38333,0,0,0,0,0,0,0,16.2652,0,1.58333,0,22.25,16.0303,5.25,12.2899,0,0,0,0,0,5.73333,0,0,0,15.6917,0,0,0,0,0,0,0,20.9167,0,9.66667,0,3,8.85606,15.875,9.39234,0,0,0,0,0,3.66667,0,0,accident
0,0,0,9.9,0,0,0,0,7.2,5.41667,9.5262,0,11.7057,0,8.21296,12.9987,1.66667,0,2,0,0,20.1051,14.9259,0,0,0,0,0,10.55,0,0,0,0,10.15,7.11111,16.175,0,17.7261,0,16.1111,10.9987,1.66667,0,1.5,0,0,12.8442,3.50265,0,0,accident
0,23.5,0,9.30159,0,0,0,22.25,3.5,12.7778,0,0,8.42222,21.3519,7.16071,10.4074,18.8461,2.5,5.5,0,0,19.5833,9.87879,15.2357,0,0,23,0,11.4444,0,0,0,15,4,7.55556,0,0,6.68889,8.50926,15.75,7.39815,10.4016,5.33333,15,0,0,13.9167,7.28788,11.9876,0,accident
0,0,22.75,5,0,17.996,4.11905,12.5833,0,0,0,14.623,7.87698,2.75,0,4.38889,0,20.2403,0,0,0,16.5667,13.1852,5.5054,0,0,0,21.25,9.75,0,6.83733,20.1845,13,0,0,0,7.97619,16.5159,1.5,0,1.38889,0,4.24026,0,0,0,13.9778,3.90741,19.2659,0,accident
0,0,0,9.38472,0,18.953,7.27556,20.244,1.5,14.5671,0,20.25,3.53333,0,0,0,0,0,0,0,0,0,13.9257,4.85397,0,0,0,0,15.4972,0,5.32265,17.7467,17.7321,2.375,21.2345,0,6.2,20.6667,0,0,0,0,0,0,0,0,0,8.99887,21.2413,0,accident
0,19.8661,0,0,0,22.7037,7.87681,12.0556,0,0,0,20.6225,11.7333,2.66667,0,0,0,0,0,0,0,0,8.24444,9.75241,0,0,12.8661,0,0,0,2.74074,16.0913,12.3889,0,0,0,5.33333,14.3763,5.83333,0,0,0,0,0,0,0,0,5.08889,14.1161,0,accident
0,17.0458,17.1515,0,0,21.25,4.37745,7.95833,0,0,0,16.3733,13.549,0.75,0,0,0,21.0606,0,0,0,7.83333,21,9.12366,0,0,12.2071,15.2424,0,0,4.71429,18.7373,13.9167,0,0,0,10.02,12.5518,3.5,0,0,0,7.24242,0,0,0,8,8.33333,12.7888,0,accident
0,0,0,4.8,0,0,18.2463,16.1786,0,0,0,0,12.1712,3.48485,0,0,0,0,9.5625,0,0,0,14.9167,21.2413,5.48932,0,0,0,15.1,0,0,7.47693,12.5055,0,0,0,0,9.29439,5.34848,0,0,0,0,19.2045,0,0,0,9.5,4.85397,18.6111,accident
0,14.4907,0,23,0,14.1605,1.5,0,0,5.2381,0,10.4785,4.41026,5.33333,0,0,0,10.4889,0,0,0,20.8333,15.8542,3.5,0,0,15.0278,0,2,0,11.1756,23,0,0,19.0952,0,12.3785,20.7436,20.8889,0,0,0,9.03889,0,0,0,14.5,10.1974,21.625,0,accident
11.2628,12.0644,0,0,22.2381,8.55882,0,0,0,0,21.0719,6.79885,0,0,0,0,0,15.9222,0,0,2.44444,23,11.837,0,0,11.0617,16.7417,0,0,3.61905,14.6725,0,0,0,0,4.02614,17.5472,0,0,0,0,0,11.1167,0,0,5.11111,2.5,13.4259,0,0,accident
0,19.6049,19.5,3.5,0,15.4429,3.40171,6.97778,0,0,0,18.962,4.77778,0,0,0,0,0,0,0,0,10.5833,15.6912,3.01709,0,0,17.1975,16.7013,4,0,9.43712,21.9829,9.75873,0,0,0,13.6076,19.5556,0,0,0,0,0,0,0,0,10.5,7.8,21.5983,0,accident
0,17.4,18.8242,0,15.5,12.7644,0,6.125,0,0,12.1333,10.2353,6.5,0,0,0,0,15.9508,0,0,0,7.0625,12.375,2.5,0,0,17.2,15.6788,0,17.5,12.5164,0,10.9167,0,0,9.11667,13.9424,15.1239,0,0,0,0,8.37121,0,0,0,15.5,5.475,20.6667,0,accident
0,18.3117,13.8416,0,1.25,16.0392,0,2.2963,0,0,23,9.00267,10.6389,0,0,0,0,13.1111,0,0,0,3.25,22.5,5.125,0,0,12.7591,12.3253,0,9.5,12.9321,0,3.07407,0,0,2.5,14.3307,13.4056,0,0,0,0,2.59259,0,0,0,14.875,3.8,14.625,0,accident
0,0,22,5.81818,10.3407,16.5,0,13.3767,0,6.29906,0,8.72143,9.59829,1.77778,0,0,0,11.7919,0,0,0,14.8894,18.4444,7,0,0,0,20,8.51299,8.8037,12.8,0,11.52,0,16.514,0,14.2071,18.7778,1.22222,0,0,0,2.29697,0,0,0,18.4566,11.3722,16.5833,0,accident
0,0,20.873,4.99802,0,0,1.5,10.7281,0,8,0,5.69872,11.2055,0,8,16,11,9.56818,5,0,0,17.1078,7.42155,0,0,0,0,19.5635,5.99206,0,0,20,10.3509,0,12.0417,0,18.3632,17.1764,0,4.5,6.75,8.75,7.28788,18.75,0,0,14.7549,8.8431,0,0,accident
0,0,20.9697,5.62681,7.5,16.8551,0,11.6326,0,3.44444,21.7407,8.46843,5.33333,0.666667,11.5,3,0,14.9259,0,0,0,18.5,3.25926,0,0,0,0,18.3333,7.94928,10,11.4493,0,12.0477,0,9.76111,4.14815,14.1338,14.1667,3.83333,2.66667,2.66667,0,2.81481,0,0,0,15.5179,4.37037,0,0,accident
0,0,21.7407,7.50877,11.3077,0,4.37281,14.5788,0,6.84111,0,15.8542,17.8889,5.8,0,2,0,14.5,0,0,0,17.0533,18.369,9.1726,0,0,0,21.5185,12.7193,14.359,0,17.1798,16.519,0,16.5613,0,15.2292,20.8889,3.7,0,1.5,0,2.5,0,0,0,14.6933,8.38095,10.4104,0,accident
0,21.2222,19.6429,4.36404,12.4833,0,4.3,11.2967,0,6.5,0,9.09418,10.6634,12.8333,11.5,3.55556,0,19.4519,0,0,0,14.6139,0,4.89744,0,0,23.2222,18.2857,6.49123,18.55,0,18.6,11.1097,0,22,0,12.4085,17.1928,3.66667,4.16667,3.2963,0,6.11852,0,0,0,13.9416,0,10.4103,0,accident
0,20.6071,16.9705,0,0,21.9524,9.99486,5.97963,0,0,0,18,10.5,0,0,0,0,8.87821,0,0,0,0,6.83838,10.1919,0,0,14.9167,15.0436,0,0,2.7619,13.217,7.1963,0,0,0,20.625,15.425,0,0,0,0,5.87179,0,0,0,0,1.25253,15.2076,0,accident
0,21.4667,18.5833,2.16667,0,15.4364,3.62778,5.75,0,0,0,15.9698,3.17094,0,0,0,0,0,0,0,0,12.4806,10.9981,2.63636,0,0,20.0667,16.1806,3.04167,0,8.71387,21.6222,7.36364,0,0,0,9.83086,21.9829,0,0,0,0,0,0,0,0,13.0203,5.77143,22.2727,0,accident
0,23.3333,18.3775,3.12821,0,14.2498,2,6.37963,0,0,0,15.9665,5.12424,0,0,0,0,0,0,0,0,15.6235,9.525,3.25926,0,0,17.3333,16.2587,3.83974,0,12.0812,23.5,8.71296,0,0,0,13.9128,21.3303,0,0,0,0,0,0,0,0,15.4915,5.81667,21.2963,0,accident
0,22,10.9167,3.8,0,13.4639,2.26667,12.3735,0,0,0,13.9092,1.62963,2.5,0,0,0,16.7976,0,0,0,0,9.29973,1.77778,0,0,14.1667,9.5,7.25,0,12.2389,22.7333,13.3123,0,0,0,10.5553,10.4259,5,0,0,0,7.33333,0,0,0,0,11.9994,23.2222,0,accident
0,13.5794,7.85185,0,0,10.3718,8,0,0,6.95833,0,18.0111,7.52757,0,14.5,6.375,0,0,0,0,18.2422,0,10.25,9.52469,0,0,5.84882,10.6296,0,0,2.12821,15.3153,0,0,13.125,0,12.5444,18.7613,0,18.5833,13.375,0,0,0,0,11.798,0,2,15.2253,0,accident
0,0,23,6,0,23.6667,5.45,15.2933,0,15.7083,0,8.25,7.44312,2.55556,0,15.0159,0,19.75,4.62255,0,0,18.4222,8.75,16.6232,0,0,0,21.5,9.39583,0,1.33333,14.55,11.9733,0,17.2083,0,6.5,11.0423,4.92929,0,5.55556,0,14.7778,19.5392,0,0,13.7722,11.6667,11.3892,0,accident
