%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_0 NUMERIC
@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Black_Pixel_9 NUMERIC
@ATTRIBUTE  Black_Pixel_10 NUMERIC
@ATTRIBUTE  Black_Pixel_11 NUMERIC
@ATTRIBUTE  Black_Pixel_12 NUMERIC
@ATTRIBUTE  Black_Pixel_13 NUMERIC
@ATTRIBUTE  Black_Pixel_14 NUMERIC
@ATTRIBUTE  Black_Pixel_15 NUMERIC
@ATTRIBUTE  Black_Pixel_16 NUMERIC
@ATTRIBUTE  Black_Pixel_17 NUMERIC
@ATTRIBUTE  Black_Pixel_18 NUMERIC
@ATTRIBUTE  Black_Pixel_19 NUMERIC
@ATTRIBUTE  Black_Pixel_20 NUMERIC
@ATTRIBUTE  Black_Pixel_21 NUMERIC
@ATTRIBUTE  Black_Pixel_22 NUMERIC
@ATTRIBUTE  Black_Pixel_23 NUMERIC
@ATTRIBUTE  Black_Pixel_24 NUMERIC
@ATTRIBUTE  Length_Area_0 NUMERIC
@ATTRIBUTE  Length_Area_1 NUMERIC
@ATTRIBUTE  Length_Area_2 NUMERIC
@ATTRIBUTE  Length_Area_3 NUMERIC
@ATTRIBUTE  Length_Area_4 NUMERIC
@ATTRIBUTE  Length_Area_5 NUMERIC
@ATTRIBUTE  Length_Area_6 NUMERIC
@ATTRIBUTE  Length_Area_7 NUMERIC
@ATTRIBUTE  Length_Area_8 NUMERIC
@ATTRIBUTE  Length_Area_9 NUMERIC
@ATTRIBUTE  Length_Area_10 NUMERIC
@ATTRIBUTE  Length_Area_11 NUMERIC
@ATTRIBUTE  Length_Area_12 NUMERIC
@ATTRIBUTE  Length_Area_13 NUMERIC
@ATTRIBUTE  Length_Area_14 NUMERIC
@ATTRIBUTE  Length_Area_15 NUMERIC
@ATTRIBUTE  Length_Area_16 NUMERIC
@ATTRIBUTE  Length_Area_17 NUMERIC
@ATTRIBUTE  Length_Area_18 NUMERIC
@ATTRIBUTE  Length_Area_19 NUMERIC
@ATTRIBUTE  Length_Area_20 NUMERIC
@ATTRIBUTE  Length_Area_21 NUMERIC
@ATTRIBUTE  Length_Area_22 NUMERIC
@ATTRIBUTE  Length_Area_23 NUMERIC
@ATTRIBUTE  Length_Area_24 NUMERIC
@ATTRIBUTE  Mass_Center_X_0 NUMERIC
@ATTRIBUTE  Mass_Center_Y_0 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_9 NUMERIC
@ATTRIBUTE  Mass_Center_Y_9 NUMERIC
@ATTRIBUTE  Mass_Center_X_10 NUMERIC
@ATTRIBUTE  Mass_Center_Y_10 NUMERIC
@ATTRIBUTE  Mass_Center_X_11 NUMERIC
@ATTRIBUTE  Mass_Center_Y_11 NUMERIC
@ATTRIBUTE  Mass_Center_X_12 NUMERIC
@ATTRIBUTE  Mass_Center_Y_12 NUMERIC
@ATTRIBUTE  Mass_Center_X_13 NUMERIC
@ATTRIBUTE  Mass_Center_Y_13 NUMERIC
@ATTRIBUTE  Mass_Center_X_14 NUMERIC
@ATTRIBUTE  Mass_Center_Y_14 NUMERIC
@ATTRIBUTE  Mass_Center_X_15 NUMERIC
@ATTRIBUTE  Mass_Center_Y_15 NUMERIC
@ATTRIBUTE  Mass_Center_X_16 NUMERIC
@ATTRIBUTE  Mass_Center_Y_16 NUMERIC
@ATTRIBUTE  Mass_Center_X_17 NUMERIC
@ATTRIBUTE  Mass_Center_Y_17 NUMERIC
@ATTRIBUTE  Mass_Center_X_18 NUMERIC
@ATTRIBUTE  Mass_Center_Y_18 NUMERIC
@ATTRIBUTE  Mass_Center_X_19 NUMERIC
@ATTRIBUTE  Mass_Center_Y_19 NUMERIC
@ATTRIBUTE  Mass_Center_X_20 NUMERIC
@ATTRIBUTE  Mass_Center_Y_20 NUMERIC
@ATTRIBUTE  Mass_Center_X_21 NUMERIC
@ATTRIBUTE  Mass_Center_Y_21 NUMERIC
@ATTRIBUTE  Mass_Center_X_22 NUMERIC
@ATTRIBUTE  Mass_Center_Y_22 NUMERIC
@ATTRIBUTE  Mass_Center_X_23 NUMERIC
@ATTRIBUTE  Mass_Center_Y_23 NUMERIC
@ATTRIBUTE  Mass_Center_X_24 NUMERIC
@ATTRIBUTE  Mass_Center_Y_24 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
15,0,0,0,99,0,14.0704,10.563,75,55.1127,11.1944,12.9306,6,0,0,0,56,40.4853,0.75,3,2,0,0,0,97,64.3259,12.9619,11.381,41,32.1421,2,7,38,0,0,0,43,0,0,0,2,0,0,0,13,0,23.5,2,59,0,6.87719,16.7706,91,59.0122,6.68912,11.4961,81,48.4853,0,0,113,46.8284,3.19444,1.20833,77,0,0,0,76,48.4853,0,0,9,0,0,0,0,0,0,0,49,37.799,21.375,17.625,33,21.3137,2,1.5,66,0,19.6296,4.62037,80,0,11.6726,17,1,0,0,0,accident
41,28.9706,22,19.5,85,0,9.58148,5.20106,77,51.799,4.25,1,78,0,0,0,4,0,0,0,0,0,0,0,84,0,14.1,7.66667,28,0,0,0,36,0,0,0,41,0,0.75,11,12,0,0,0,80,0,0,0,76,0,9.96667,18.6333,101,60.1838,8.03968,10.246,67,37.3137,9.22222,8.69444,108,45.799,3.75,0.75,83,51.799,0,0,92,56.3848,4.94444,4.11111,6,0,0,0,0,0,0,0,80,54.2843,14.2857,10.381,40,0,0,0,3,0,0,0,71,0,16.1458,6.58333,44,0,4.75,18.3222,accident
66,0,0,0,94,89.7401,15.2202,6.43452,81,53.4558,10.75,11.25,67,0,0,0,117,0,0,0,46,0,21.5,5.97619,38,28.9706,3.05,19.7,22,15.6569,2.75,3.25,62,30.1421,7.33333,15,34,0,0,0,49,0,0,0,77,0,9.25,6.125,84,61.7401,11.3439,14.5895,80,61.0122,11.946,10.5401,86,50.1421,1,8.75,82,0,0,0,80,49.3137,0,0,100,76.0416,18.1778,10.5778,22,0,0,0,0,0,0,0,64,47.4558,20.4643,15.4286,52,0,1,1.5,24,0,22.7333,2.26667,79,56.669,8.62374,14.2801,5,0,0,0,accident
0,0,0,0,68,49.1127,19.7333,13.7833,65,44.6274,20.8333,17.25,27,0,1.5,6,73,46.8284,0,0,0,0,0,0,86,0,11.5,4,94,55.1127,11.0833,12.4722,8,0,0,0,26,0,0,0,12,0,0,0,84,0,0,0,115,70.4264,14.4774,8.975,115,76.5269,8.82222,16.8111,76,48.4853,0,0,128,50.1421,0,0,94,46,0,0,110,66.5269,17.2838,18.4273,58,0,8.11667,20,23,0,0,0,55,0,0,0,93,54.2843,8.41429,11.4429,78,0,15.75,10.5,45,0,20.9916,4.0084,63,0,4.87255,15.8775,accident
32,0,0,0,145,157.037,14.0468,7.70812,83,54.2843,11.2125,12.525,150,0,0,0,76,48.4853,0,0,2,0,0,0,98,0,11.0167,11.2078,53,36.1421,2.5,6.25,37,25.3137,19.5,21.25,83,36,0,0,7,0,0,0,76,0,0,0,39,0,1.85185,10.8704,95,55.6985,5.20202,13.2434,95,46.8284,0,0,84,47.6569,0,0,79,47.6569,0,0,110,64.0416,19.6941,12.348,0,0,0,0,0,0,0,0,56,38.6274,21.5,16.6,33,21.3137,2.25,3.875,110,0,11.4167,11.2083,88,0,12.4297,17.3767,2,0,0,0,accident
0,0,0,0,42,0,0,0,22,0,0,0,80,54.2843,8.25,10.625,57,0,0,0,85,0,0,0,75,0,0,0,51,0,0,0,25,19.6569,0,0,11,0,0,0,62,0,0,0,75,47.6569,0,0,85,61.4975,12.5619,14.8286,51,0,17.2531,10.7284,48,0,6.33333,22.3333,72,0,21.125,19.9583,87,34.1421,8,12.6667,89,98.1421,4.77778,22.3333,103,73.6985,12.8497,3.21693,28,21.6569,0,0,0,0,0,0,76,51.9411,19.0357,14.3274,41,9.65685,0.666667,1.16667,7,0,0,0,75,0,0,0,accident
0,0,0,0,1,0,0,0,18,0,0,0,79,50.9706,6.25,3.5,63,0,0,0,77,0,0,0,88,0,0,0,17,0,23.5,21,61,46.9706,0,0,47,32.4853,5.75,7.5,78,46,0,0,79,0,0,0,106,65.4975,11.1524,11.881,36,0,9.66667,6.33333,44,0,14.2222,14.3611,132,32.9706,6.375,1.375,70,43.3137,0,0,22,15.6569,1.5,20,113,65.6985,13.994,6.77009,23,0,0,0,0,0,0,0,79,55.1127,20.0357,9.71429,20,0,0,0,77,0,0,0,115,0,0,0,accident
0,0,0,0,57,0,0,0,2,0,0,0,75,55.6985,6.53755,9.71612,52,0,2.66667,4.33333,77,0,0,0,66,0,0,0,60,48.9706,0,0,7,0,0,0,24,0,0,0,62,0,0,0,10,0,0,0,81,67.1543,13.1958,12.5862,52,0,9,5.5,77,0,0,0,60,0,4.33333,2,2,0,0,0,75,51.799,0,0,90,62.8701,9.7381,3.54762,0,0,0,0,0,0,0,0,65,52.7696,18.6667,13.9583,14,7.65685,2,2.5,70,0,0,0,13,0,0,0,accident
0,0,0,0,29,17.3137,22.8333,21.8333,36,26.1421,22.5,20.5,54,35.799,3.25,7.60714,67,0,0,0,89,0,0,0,105,0,0,0,38,23.3137,17.5357,5.11905,33,0,0,0,9,0,0,0,35,0,0,0,54,0,0,0,109,62.1838,7.05034,8.98055,22,0,0,0,63,0,0,0,100,0,4.75,9.75,63,0,0,0,91,58.0416,5.57037,20.6259,90,59.3553,6.91696,8.4462,4,0,0,0,0,0,0,0,92,55.9411,14.4444,11,37,0,0,0,86,50.9706,0,0,77,0,0,0,accident
0,0,0,0,42,32.6274,21.25,18.0179,101,0,0,0,76,0,0,0,70,0,0,0,83,0,0,0,20,0,0,0,51,39.3137,0,0,43,12.4853,7,7.5,51,31.6569,0,0,30,0,0,0,50,0,0,0,82,57.9411,6.27381,6.24074,38,0,19.1833,7.78333,90,0,0,0,76,0,0,0,55,26.1421,10.8333,10.8889,82,0,1.83333,10.8333,80,53.9411,5.66667,12.2222,2,0,0,0,0,0,0,0,80,53.4558,13.1667,8.75,47,0,1.75,2.55556,79,51.799,0,0,7,0,0,0,accident
0,0,0,0,215,0,0,0,218,0,0,0,179,0,10.75,13.952,156,0,0,0,172,0,9.34167,12.6083,232,0,0,0,137,0,19.746,14.0317,184,0,4.1,5.4,127,0,9.53333,9.24444,153,0,13.4722,10.5694,78,0,3.05556,19.9444,222,50.9706,7.66667,12.7083,49,0,11.3333,1.33333,55,0,0,0,173,0,0,0,148,42.3848,12.9524,17.8452,170,54.6274,9.11012,6.12798,62,0,0,0,0,0,0,0,188,0,0,0,98,0,19.8333,16.3333,303,22.1421,15.2875,9.1,38,0,3,20.25,0,0,0,0,accident
0,0,0,0,106,0,23.2222,22.5556,17,0,23.5,21.5,202,0,7.13889,9.05556,215,0,0,0,147,0,10.2143,9.35714,11,0,0,0,97,0,11.75,8.5,122,42.0416,14.5255,9.23611,71,31.3137,6,8,118,56.1838,17.61,18.8733,59,0,2,11.5,169,0,19,1.5,85,53.5563,22.7593,12.0741,206,53.0122,7.91546,8.95894,151,56.2843,12.2024,9.09524,43,23.3137,5,3.16667,51,0,0,0,10,0,0,0,0,0,0,0,18,0,0,0,199,0,13.373,13.5635,109,0,20.5,5.2,42,0,0,0,6,0,0,0,accident
0,0,0,0,263,0,0,0,18,0,0,0,151,0,8.24603,9.42758,64,48.3848,9.21212,7.21212,3,0,0,0,144,0,0,0,134,0,19.5833,9.33333,5,0,0,0,76,0,4.13333,5.76667,60,28.0416,21.4837,21.366,97,0,3.33333,10.25,126,54.4264,15.7837,16.5516,104,44.0416,19.4861,10.0722,148,52.6274,6.625,18.4167,209,52.6274,17.7,13.225,131,54.669,8.99377,7.98104,94,0,0,0,99,0,3.33333,1.66667,92,0,0,0,38,0,0,0,99,0,21.5,19.8,88,0,5.75439,6.80702,138,0,0,0,22,0,0,0,accident
4,0,0,0,23,0,23.5,20,48,0,22,18.75,129,0,5.30741,7.70741,102,0,0,0,13,0,0,0,134,0,0,0,158,0,19.9583,3.75,114,0,0,0,58,0,8.13333,17.6167,474,0,0,0,138,0,5.44444,21.7778,191,55.6985,4.77342,10.2473,138,49.2132,19.0254,12.3317,164,49.3137,0,0,153,48.4853,11,9.75,161,54.0416,14.6369,10.4583,63,26.3848,4.16667,3.87121,123,0,8.58667,15.1733,120,0,0,0,85,0,0,0,160,0,16.1071,14.6845,79,17.6569,9.48077,21.9103,144,0,18.0833,9.49749,17,0,0,0,accident
37,0,22,23.5,36,0,0,0,186,0,7.6131,8.77381,92,0,17,21.5,198,0,6.1,13.25,151,0,0,0,192,55.1127,14.8837,14.7582,111,0,3.66667,23,46,0,10.5,2,38,0,20,22.5,197,59.8406,15.1311,15.4967,76,29.4558,3.88889,3.87963,82,0,0,0,120,49.8995,4.47619,6.30952,111,0,11,2.16667,157,0,7.2,2.85,14,0,2,1.5,0,0,0,0,281,0,0,0,68,0,0,0,172,0,18.0804,9.58929,3,0,0,0,167,53.4558,9.82407,8.15741,523,0,0,0,166,0,0,0,accident
42,0,0,0,77,0,10.8395,10.8223,80,51.799,15.25,12.75,18,0,0,0,54,0,0,0,0,0,0,0,82,0,0,0,62,0,0,0,41,0,0,0,12,0,0,0,3,0,0,0,31,0,0,0,53,0,0,0,60,34.6274,10.1429,19.9762,23,0,0,0,51,39.799,9.91667,3.25,3,0,0,0,54,40.9706,16.1429,20.9167,98,0,17.2073,12.0802,16,9.65685,2,22,55,0,22,16.5,21,0,1.5,6,67,0,11.3085,9.52632,39,0,0,0,83,53.4558,5.25,5,accident
0,0,0,0,70,52.6274,21.0833,4.25,17,0,0,0,57,0,0,0,58,0,0,0,8,0,0,0,64,0,1.25,2,77,50.1421,0,0,74,0,0,0,20,0,0,0,75,0,0,0,69,0,0,0,70,0,15.7679,15.2143,69,50.1421,20.5,21.75,7,0,0,0,53,47.2132,8.625,7.625,93,64.0833,14.8691,16.0646,18,11.6569,1.5,5,3,0,0,0,0,0,0,0,10,0,0,0,71,0,0,0,37,47.5563,8.92593,14.2593,96,0,12.8128,11.6602,40,0,0,0,accident
43,0,23.3333,15,67,0,18.0417,4.25,83,52.6274,9.5,13,45,0,0,0,76,0,0,0,0,0,0,0,41,0,18.999,4.63434,58,40.1421,1.25,9,29,0,0,0,46,0,12.3333,12.2917,10,0,0,0,6,0,0,0,86,0,15.25,15.3611,39,25.799,3.70476,21.5095,13,0,22.5,2,42,28.4853,12,1.5,36,24.4853,16,23.5,93,65.0122,15.7319,13.6024,28,0,2.125,11,0,0,0,0,73,0,7.25,10,48,0,0,0,28,0,0,0,68,0,16.4741,5.62681,61,39.3553,7.34,18.3767,accident
