%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_0 NUMERIC
@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Black_Pixel_9 NUMERIC
@ATTRIBUTE  Black_Pixel_10 NUMERIC
@ATTRIBUTE  Black_Pixel_11 NUMERIC
@ATTRIBUTE  Black_Pixel_12 NUMERIC
@ATTRIBUTE  Black_Pixel_13 NUMERIC
@ATTRIBUTE  Black_Pixel_14 NUMERIC
@ATTRIBUTE  Black_Pixel_15 NUMERIC
@ATTRIBUTE  Black_Pixel_16 NUMERIC
@ATTRIBUTE  Black_Pixel_17 NUMERIC
@ATTRIBUTE  Black_Pixel_18 NUMERIC
@ATTRIBUTE  Black_Pixel_19 NUMERIC
@ATTRIBUTE  Black_Pixel_20 NUMERIC
@ATTRIBUTE  Black_Pixel_21 NUMERIC
@ATTRIBUTE  Black_Pixel_22 NUMERIC
@ATTRIBUTE  Black_Pixel_23 NUMERIC
@ATTRIBUTE  Black_Pixel_24 NUMERIC
@ATTRIBUTE  Airs_0 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE  Airs_9 NUMERIC
@ATTRIBUTE  Airs_10 NUMERIC
@ATTRIBUTE  Airs_11 NUMERIC
@ATTRIBUTE  Airs_12 NUMERIC
@ATTRIBUTE  Airs_13 NUMERIC
@ATTRIBUTE  Airs_14 NUMERIC
@ATTRIBUTE  Airs_15 NUMERIC
@ATTRIBUTE  Airs_16 NUMERIC
@ATTRIBUTE  Airs_17 NUMERIC
@ATTRIBUTE  Airs_18 NUMERIC
@ATTRIBUTE  Airs_19 NUMERIC
@ATTRIBUTE  Airs_20 NUMERIC
@ATTRIBUTE  Airs_21 NUMERIC
@ATTRIBUTE  Airs_22 NUMERIC
@ATTRIBUTE  Airs_23 NUMERIC
@ATTRIBUTE  Airs_24 NUMERIC
@ATTRIBUTE  Contours_size_0 NUMERIC
@ATTRIBUTE  Contours_size_1 NUMERIC
@ATTRIBUTE  Contours_size_2 NUMERIC
@ATTRIBUTE  Contours_size_3 NUMERIC
@ATTRIBUTE  Contours_size_4 NUMERIC
@ATTRIBUTE  Contours_size_5 NUMERIC
@ATTRIBUTE  Contours_size_6 NUMERIC
@ATTRIBUTE  Contours_size_7 NUMERIC
@ATTRIBUTE  Contours_size_8 NUMERIC
@ATTRIBUTE  Contours_size_9 NUMERIC
@ATTRIBUTE  Contours_size_10 NUMERIC
@ATTRIBUTE  Contours_size_11 NUMERIC
@ATTRIBUTE  Contours_size_12 NUMERIC
@ATTRIBUTE  Contours_size_13 NUMERIC
@ATTRIBUTE  Contours_size_14 NUMERIC
@ATTRIBUTE  Contours_size_15 NUMERIC
@ATTRIBUTE  Contours_size_16 NUMERIC
@ATTRIBUTE  Contours_size_17 NUMERIC
@ATTRIBUTE  Contours_size_18 NUMERIC
@ATTRIBUTE  Contours_size_19 NUMERIC
@ATTRIBUTE  Contours_size_20 NUMERIC
@ATTRIBUTE  Contours_size_21 NUMERIC
@ATTRIBUTE  Contours_size_22 NUMERIC
@ATTRIBUTE  Contours_size_23 NUMERIC
@ATTRIBUTE  Contours_size_24 NUMERIC
@ATTRIBUTE  Harris_Corners_0 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Harris_Corners_2 NUMERIC
@ATTRIBUTE  Harris_Corners_3 NUMERIC
@ATTRIBUTE  Harris_Corners_4 NUMERIC
@ATTRIBUTE  Harris_Corners_5 NUMERIC
@ATTRIBUTE  Harris_Corners_6 NUMERIC
@ATTRIBUTE  Harris_Corners_7 NUMERIC
@ATTRIBUTE  Harris_Corners_8 NUMERIC
@ATTRIBUTE  Harris_Corners_9 NUMERIC
@ATTRIBUTE  Harris_Corners_10 NUMERIC
@ATTRIBUTE  Harris_Corners_11 NUMERIC
@ATTRIBUTE  Harris_Corners_12 NUMERIC
@ATTRIBUTE  Harris_Corners_13 NUMERIC
@ATTRIBUTE  Harris_Corners_14 NUMERIC
@ATTRIBUTE  Harris_Corners_15 NUMERIC
@ATTRIBUTE  Harris_Corners_16 NUMERIC
@ATTRIBUTE  Harris_Corners_17 NUMERIC
@ATTRIBUTE  Harris_Corners_18 NUMERIC
@ATTRIBUTE  Harris_Corners_19 NUMERIC
@ATTRIBUTE  Harris_Corners_20 NUMERIC
@ATTRIBUTE  Harris_Corners_21 NUMERIC
@ATTRIBUTE  Harris_Corners_22 NUMERIC
@ATTRIBUTE  Harris_Corners_23 NUMERIC
@ATTRIBUTE  Harris_Corners_24 NUMERIC
@ATTRIBUTE  Length_Area_0 NUMERIC
@ATTRIBUTE  Length_Area_1 NUMERIC
@ATTRIBUTE  Length_Area_2 NUMERIC
@ATTRIBUTE  Length_Area_3 NUMERIC
@ATTRIBUTE  Length_Area_4 NUMERIC
@ATTRIBUTE  Length_Area_5 NUMERIC
@ATTRIBUTE  Length_Area_6 NUMERIC
@ATTRIBUTE  Length_Area_7 NUMERIC
@ATTRIBUTE  Length_Area_8 NUMERIC
@ATTRIBUTE  Length_Area_9 NUMERIC
@ATTRIBUTE  Length_Area_10 NUMERIC
@ATTRIBUTE  Length_Area_11 NUMERIC
@ATTRIBUTE  Length_Area_12 NUMERIC
@ATTRIBUTE  Length_Area_13 NUMERIC
@ATTRIBUTE  Length_Area_14 NUMERIC
@ATTRIBUTE  Length_Area_15 NUMERIC
@ATTRIBUTE  Length_Area_16 NUMERIC
@ATTRIBUTE  Length_Area_17 NUMERIC
@ATTRIBUTE  Length_Area_18 NUMERIC
@ATTRIBUTE  Length_Area_19 NUMERIC
@ATTRIBUTE  Length_Area_20 NUMERIC
@ATTRIBUTE  Length_Area_21 NUMERIC
@ATTRIBUTE  Length_Area_22 NUMERIC
@ATTRIBUTE  Length_Area_23 NUMERIC
@ATTRIBUTE  Length_Area_24 NUMERIC
@ATTRIBUTE  Mass_Center_X_0 NUMERIC
@ATTRIBUTE  Mass_Center_Y_0 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_9 NUMERIC
@ATTRIBUTE  Mass_Center_Y_9 NUMERIC
@ATTRIBUTE  Mass_Center_X_10 NUMERIC
@ATTRIBUTE  Mass_Center_Y_10 NUMERIC
@ATTRIBUTE  Mass_Center_X_11 NUMERIC
@ATTRIBUTE  Mass_Center_Y_11 NUMERIC
@ATTRIBUTE  Mass_Center_X_12 NUMERIC
@ATTRIBUTE  Mass_Center_Y_12 NUMERIC
@ATTRIBUTE  Mass_Center_X_13 NUMERIC
@ATTRIBUTE  Mass_Center_Y_13 NUMERIC
@ATTRIBUTE  Mass_Center_X_14 NUMERIC
@ATTRIBUTE  Mass_Center_Y_14 NUMERIC
@ATTRIBUTE  Mass_Center_X_15 NUMERIC
@ATTRIBUTE  Mass_Center_Y_15 NUMERIC
@ATTRIBUTE  Mass_Center_X_16 NUMERIC
@ATTRIBUTE  Mass_Center_Y_16 NUMERIC
@ATTRIBUTE  Mass_Center_X_17 NUMERIC
@ATTRIBUTE  Mass_Center_Y_17 NUMERIC
@ATTRIBUTE  Mass_Center_X_18 NUMERIC
@ATTRIBUTE  Mass_Center_Y_18 NUMERIC
@ATTRIBUTE  Mass_Center_X_19 NUMERIC
@ATTRIBUTE  Mass_Center_Y_19 NUMERIC
@ATTRIBUTE  Mass_Center_X_20 NUMERIC
@ATTRIBUTE  Mass_Center_Y_20 NUMERIC
@ATTRIBUTE  Mass_Center_X_21 NUMERIC
@ATTRIBUTE  Mass_Center_Y_21 NUMERIC
@ATTRIBUTE  Mass_Center_X_22 NUMERIC
@ATTRIBUTE  Mass_Center_Y_22 NUMERIC
@ATTRIBUTE  Mass_Center_X_23 NUMERIC
@ATTRIBUTE  Mass_Center_Y_23 NUMERIC
@ATTRIBUTE  Mass_Center_X_24 NUMERIC
@ATTRIBUTE  Mass_Center_Y_24 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
95,0,0,3,0,0,0,164,16.5,0,1,0,10.8333,13.448,69,8.5,28.0416,1,28.0416,21.4837,4.02614,244,13.5,54.8701,5,54.8701,7.77794,10.8819,238,19,61.7401,2,61.7401,11.4903,8.18457,7,0.5,3.41421,4,3.41421,1.33333,1.33333,0,0,0,0,0,0,0,145,0,0,1,0,0,0,220,16,62.0833,7,62.0833,16.5276,10.662,98,10,36.2843,4,36.2843,3.66667,13.6667,23,0,0,1,0,0,0,0,0,0,0,0,0,0,66,2.5,0,2,0,3.26667,2.26667,70,11,62.7696,3,62.7696,20.7273,16.8485,64,7.5,31.2132,14,31.2132,3.26667,4.13333,76,21.5,41.3553,2,41.3553,15.8733,7.73167,103,0,0,5,0,0,0,0,0,0,0,0,0,0,110,0,0,1,0,0,0,79,18,33.2132,4,33.2132,7.92778,18.3556,77,10,28.1421,5,28.1421,13.45,20.225,108,1,49.3137,2,49.3137,4.5,23,67,0,0,3,0,0,0,251,20.5,59.9828,3,59.9828,9.28715,10.3665,7,0.5,0,6,0,1.33333,1.33333,casualty
0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,119,2,51.799,2,51.799,23.2083,15,263,11.5,39.799,17,39.799,12.3437,12.3773,54,6.5,30.3848,24,30.3848,4.71795,4.41026,0,0,0,0,0,0,0,4,0,0,1,0,0,0,72,8.5,0,1,0,21.2392,20.7686,245,14,63.2548,12,63.2548,7.71643,12.3115,97,0,0,3,0,0,0,0,0,0,0,0,0,0,170,9,0,9,0,6.5,16,17,0,16,2,16,0,0,140,17.5,61.4975,8,61.4975,9.30476,8.6119,58,8,24.6274,3,24.6274,21.6667,3.58333,98,14.5,0,4,0,7.47826,13.6232,2,0,0,2,0,0,0,98,11.5,40.2843,3,40.2843,20.2281,3.98246,10,0,0,4,0,0,0,0,0,0,0,0,0,0,92,0,0,5,0,0,0,114,6.5,54.8701,5,54.8701,3.23077,21.4359,175,10,0,1,0,14.0016,17.1585,10,0,0,4,0,0,0,casualty
0,0,0,0,0,0,0,56,7,0,2,0,21.6111,21.5754,6,0,0,1,0,0,0,154,9,53.1127,7,53.1127,14.996,11.2722,147,6,53.4558,2,53.4558,8.08333,10.5833,197,16.5,60.1838,2,60.1838,12.2842,14.5373,11,0,0,2,0,0,0,0,0,0,0,0,0,0,33,3,16.4853,2,16.4853,20,2.5,239,14,61.8406,2,61.8406,9.94242,10.7491,76,8.5,28.0416,4,28.0416,3.26274,10.2418,0,0,0,0,0,0,0,190,5.5,33.799,1,33.799,11.1762,9.33492,9,0,0,1,0,0,0,117,26,58.4264,5,58.4264,15.623,15.9063,62,8.5,0,4,0,4.17255,3.76078,63,7,29.799,6,29.799,2.25,3.28571,0,0,0,0,0,0,0,133,0,0,21,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,148,2,50.9706,2,50.9706,16.9167,6.91667,21,0,0,3,0,0,0,131,0,0,16,0,0,0,62,0,0,8,0,0,0,casualty
29,0,0,2,0,0,0,152,7,0,12,0,17.9524,7.38095,98,0,0,2,0,0,0,170,17.5,60.3259,6,60.3259,17.9799,6.0328,291,14.5,63.4975,3,63.4975,7.24258,13.4876,40,3,0,4,0,6.33333,2.5,60,0,0,3,0,0,0,71,0,0,10,0,0,0,92,10.5,0,3,0,20.4921,19.873,221,20,73.397,8,73.397,9.83026,6.75427,50,6.5,24.3848,8,24.3848,4.25641,20.2821,56,0,0,5,0,0,0,61,0,0,2,0,0,0,12,0,0,2,0,0,0,149,16,61.2548,1,61.2548,8.47222,9.53299,219,0,0,1,0,0,0,60,10.5,0,1,0,9.50794,4.69841,95,0,0,3,0,0,0,148,14.5,53.3553,1,53.3553,9.53846,5.95727,54,0,0,4,0,0,0,25,1.5,0,3,0,21.4444,20.1111,189,6.5,54.0416,1,54.0416,14.2354,19.9802,9,1,4.82843,1,4.82843,2,23.5,152,12.5,0,2,0,16.9361,17.3561,42,2,0,4,0,2.5,7,casualty
5,0,0,2,0,0,0,68,0,0,2,0,0,0,17,0,0,1,0,0,0,196,5.5,75.3553,4,75.3553,4.90236,17.3754,180,8,57.1127,10,57.1127,15.6458,20.1875,168,13.5,53.0122,6,53.0122,8.77901,7.31975,0,0,0,0,0,0,0,2,0,0,2,0,0,0,188,14.5,63.8406,1,63.8406,16.0062,9.13272,204,10.5,35.6985,4,35.6985,6.64699,13.7326,209,0,0,5,0,0,0,0,0,0,0,0,0,0,172,3.5,0,2,0,7.72222,7.16667,9,0,0,3,0,0,0,141,9.5,59.6985,4,59.6985,16.8346,8.13409,106,11,48.7696,6,48.7696,18.8561,6.84091,66,8,0,4,0,4.37879,18.5644,0,0,0,0,0,0,0,93,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,666,0,0,0,159,11.5,0,8,0,7.27778,11.2778,242,0,0,3,0,0,0,167,12,29.2132,2,29.2132,16.0324,10.2674,0,0,0,0,0,0,0,casualty
0,0,0,0,0,0,0,45,9.5,0,1,0,12.6288,19.91,14,3,0,2,0,22.3333,9,97,11.5,44.5269,4,44.5269,13.2542,10.9384,75,2.5,52.3848,4,52.3848,21.2667,9.93333,64,16.5,56.669,4,56.669,8.90945,12.4203,0,0,0,0,0,0,0,42,0,0,4,0,0,0,28,5.5,19.5563,4,19.5563,21.4444,2.76768,160,20,87.5391,2,87.5391,12.9462,13.1772,70,0,0,2,0,0,0,0,0,0,0,0,0,0,67,0,0,4,0,0,0,0,0,0,0,0,0,0,88,20.5,61.9828,3,61.9828,14.9976,14.4563,23,2,0,4,0,12.6111,2.13889,84,19,62.3259,9,62.3259,12.1197,12.1239,8,1,0,2,0,2,23.5,54,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,4.5,54.0416,2,54.0416,9.71296,20.9259,1,0,0,1,0,0,0,56,10,0,1,0,7.34444,18.4667,0,0,0,0,0,0,0,casualty
0,0,0,0,0,0,0,66,12.5,57.0122,594,57.0122,18.0039,10.0996,0,0,0,0,0,0,0,76,21,43.6985,4,43.6985,13.4532,8.89563,75,1.5,50.1421,4,50.1421,15.4074,8.90741,68,13.5,0,4,0,4.41546,7.95024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,7.65685,5,7.65685,23,2.5,133,50.5,169.522,6,169.522,12.1502,10.3153,24,0,0,1,0,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,0,0,0,0,0,0,0,83,37.5,59.7401,4,59.7401,13.9742,12.1237,54,11,41.1127,8,41.1127,13.3593,5.68216,21,5.5,0,2,0,3.75758,20.1515,0,0,0,0,0,0,0,83,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,5.5,53.2132,2,53.2132,15.1688,20.6753,36,0,0,1,0,0,0,87,15.5,51.0122,1,51.0122,12.5581,17.6817,0,0,0,0,0,0,0,casualty
0,0,0,0,0,0,0,72,10,53.9411,2,53.9411,19.5,9.75,0,0,0,0,0,0,0,45,4,37.799,4,37.799,22.25,10.875,60,5,20.1421,6,20.1421,1.66667,14,33,1,0,2,0,0.75,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,152,16.5,60.669,3,60.669,16.5269,13.5178,8,0,0,2,0,0,0,0,0,0,0,0,0,0,61,2.5,0,2,0,2.26667,2.26667,0,0,0,0,0,0,0,75,13,59.598,1,59.598,14.8615,16.6809,39,8,24.6274,2,24.6274,4.25,4.25,67,11.5,0,6,0,6.70652,11.7874,0,0,0,0,0,0,0,73,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,7.5,58.5269,2,58.5269,12.7556,11.5111,44,1,17.6569,5,17.6569,1,11.25,90,13.5,54.1838,2,54.1838,13.4691,15.5988,0,0,0,0,0,0,0,casualty
0,0,0,0,0,0,0,72,13.5,57.0122,1,57.0122,15.9514,11.8339,0,0,0,0,0,0,0,24,3,17.3137,6,17.3137,9.66667,1.25,68,0,49.3137,6,49.3137,0,0,82,13.5,53.3553,7,53.3553,11.1304,11.7504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,22,45.1127,3,45.1127,16.8632,11.3923,92,16.5,63.4975,8,63.4975,8.56511,14.3053,35,7.5,25.2132,2,25.2132,3.87778,4.51111,0,0,0,0,0,0,0,44,5,25.3137,2,25.3137,9.83333,3.79167,0,0,0,0,0,0,0,75,16,57.2548,3,57.2548,15.4442,15.3438,82,16.5,60.669,8,60.669,11.3629,4.67419,40,8.5,30.0416,4,30.0416,4.25245,18.9902,0,0,0,0,0,0,0,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,5.5,54.0416,1,54.0416,12.7576,20.7879,70,0,0,1,0,0,0,70,12.5,0,4,0,12.1961,20.1225,0,0,0,0,0,0,0,casualty
0,0,0,0,0,0,0,54,8.5,46.5269,3,46.5269,19.6758,13.4762,0,0,0,0,0,0,0,59,9.5,36.8701,7,36.8701,18.635,7.68286,83,2,50.9706,2,50.9706,15.1667,10.6667,96,10,53.1127,10,53.1127,3.8,9.2625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,20.9706,2,20.9706,22.0167,4.33333,144,17,64.0833,4,64.0833,12.4555,15.6585,68,0,0,3,0,0,0,0,0,0,0,0,0,0,62,5.5,19.5563,4,19.5563,2.94949,2.76768,0,0,0,0,0,0,0,70,17.5,55.4975,3,55.4975,15.4452,16.2473,31,5,18.1421,2,18.1421,1.92593,1.92593,64,31.5,58.669,4,58.669,10.7107,10.5343,0,0,0,0,0,0,0,38,9,0,3,0,4.75,16.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,49.3137,587,49.3137,0,0,2,0,0,4,0,0,0,78,7,54.2843,5,54.2843,13.6429,11.5,0,0,0,0,0,0,0,casualty
0,0,0,0,0,0,0,7,0,0,2,0,0,0,9,0,0,3,0,0,0,130,13.5,66.1838,2,66.1838,7.72099,18.5235,53,1,31.3137,1,31.3137,9.5,10.75,134,17.5,63.4975,5,63.4975,15.9174,16.3136,1,0,0,4,0,0,0,0,0,0,0,0,0,0,58,6,22.9706,4,22.9706,19.3333,4,211,15,60.4264,2,60.4264,8.644,10.3649,90,13,43.598,6,43.598,5.3697,12.5264,0,0,0,0,0,0,0,119,7,0,1,0,7.61481,7.34815,0,0,0,0,0,0,0,45,15,26.0416,4,26.0416,20.4938,19.4938,78,14.5,43.0122,4,43.0122,7.00363,7.00363,52,5,39.799,4,39.799,11.25,3.5,0,0,0,0,0,0,0,113,0,0,3,0,0,0,2,0,0,4,0,0,0,2,0,0,1,0,0,0,113,18.5,62.3259,4,62.3259,11.0556,11.3403,1,0,0,4,0,0,0,37,0,0,2,0,0,0,15,0,0,4,0,0,0,casualty
6,0,0,1,0,0,0,80,12.5,0,2,0,17.6608,18.3408,12,0,0,1,0,0,0,170,10.5,59.3553,2,59.3553,7.83701,12.0828,123,0,50.9706,587,50.9706,0,0,95,11.5,46.5269,7,46.5269,8.1562,11.6562,16,0,0,3,0,0,0,22,0,0,1,0,0,0,70,6,33.799,4,33.799,20.8333,10.1111,239,12.5,59.8406,3,59.8406,9.83988,12.3773,41,3.5,9.65685,2,9.65685,3.13095,12.881,0,0,0,0,0,0,0,141,10,39.4558,4,39.4558,3.05556,4.31482,10,0,0,3,0,0,0,124,16,60.0833,2,60.0833,12.1187,9.9375,3,0,0,4,0,0,0,88,13,50.7696,2,50.7696,12.8121,6.91565,0,0,0,0,0,0,0,151,0,0,1,0,0,0,2,0,0,2,0,0,0,78,0,0,3,0,0,0,124,4,53.2132,532,53.2132,7.93155,5.07738,0,0,0,0,0,0,0,81,6.5,0,3,0,21.6667,16.6667,29,0,0,6,0,0,0,casualty
4,0,0,1,0,0,0,59,3,0,2,0,20.4815,16.2407,10,0,8.82843,2,8.82843,0,0,152,13.5,93.9828,4,93.9828,7.91358,6.17901,200,10,75.2548,1,75.2548,15.6443,17.7057,94,9,40.2843,16,40.2843,4.75,7.02778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,13.3137,3,13.3137,21.5,22,149,21,67.397,2,67.397,13.9994,9.18173,46,7,28.6274,2,28.6274,4.20022,16.7511,0,0,0,0,0,0,0,135,4,0,1,0,3.16667,8.08333,6,0,0,2,0,0,0,107,32.5,107.581,2,107.581,6.74936,15.9859,91,0,0,3,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,110,2.5,13.0711,2,13.0711,2.13333,12.3333,10,0,0,2,0,0,0,25,0,0,1,0,0,0,83,12.5,0,8,0,6.41778,6.08444,30,0,0,2,0,0,0,89,11.5,48.5269,7,48.5269,18.7625,19.2007,12,0,0,10,0,0,0,casualty
0,0,0,0,0,0,0,121,14,12.4853,4,12.4853,17.0212,9.8015,0,0,0,0,0,0,0,142,11,52.7696,4,52.7696,16.5028,11.6832,113,0,47.6569,564,47.6569,0,0,87,8,0,30,0,10.0778,8.11111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,4.82843,2,4.82843,23.5,2,199,14,71.1543,2,71.1543,10.6049,15.3642,29,2,18.4853,3,18.4853,3.5,22,0,0,0,0,0,0,0,143,9,0,1,0,11.3521,4.67863,0,0,0,0,0,0,0,119,35.5,68.0833,3,68.0833,13.9412,13.2647,13,2,7.65685,2,7.65685,2,2.5,73,9.5,42.8701,8,42.8701,15.5574,5.0054,0,0,0,0,0,0,0,86,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,4,50.9706,559,50.9706,4.88889,7.01389,124,0,0,2,0,0,0,97,0,0,622,0,0,0,0,0,0,0,0,0,0,casualty
0,0,0,0,0,0,0,11,1,0,1,0,23.5,23,0,0,0,0,0,0,0,106,7.5,0,3,0,22.237,15.263,157,6.5,54.8701,6,54.8701,5.23451,13.004,193,18.5,60.3259,3,60.3259,14.3091,10.0527,25,3,0,4,0,2.5,4.66667,0,0,0,0,0,0,0,11,1,4.82843,2,4.82843,23,23.5,229,17,60.9117,3,60.9117,12.1647,9.79828,51,4.5,16.7279,15,16.7279,3.32407,12.6296,35,0,0,2,0,0,0,117,15.5,67.4975,3,67.4975,10.3707,12.8469,26,3,16.4853,2,16.4853,21.8889,19.7667,123,15,58.4264,11,58.4264,11.1083,8.25,1,0,0,4,0,0,0,36,8,0,2,0,7.75185,4.61481,0,0,0,0,0,0,0,133,11,0,6,0,11.8968,9.25648,91,0,0,6,0,0,0,0,0,0,0,0,0,0,100,2,50.1421,2,50.1421,11.5,11,21,2.5,15.0711,5,15.0711,2.26667,21.9333,108,3,0,11,0,20.75,21,7,0,0,1,0,0,0,casualty
93,0,0,6,0,0,0,160,8,9.65685,2,9.65685,14.7722,9.57222,36,0,0,4,0,0,0,228,10,51.799,10,51.799,11.5667,13.3863,210,10,34.3848,2,34.3848,9.69167,15.6636,127,8,0,5,0,3.625,12.8333,46,0,0,2,0,0,0,53,0,0,1,0,0,0,137,8,51.1127,2,51.1127,15.0833,10.1667,291,15.5,41.4558,2,41.4558,11.4437,7.61121,142,12,56.7696,6,56.7696,14.4167,7.4375,12,0,0,2,0,0,0,145,3.5,0,14,0,15.5556,2.77778,4,0,0,2,0,0,0,160,26.5,106.61,5,106.61,15.6667,12.2013,10,1,0,4,0,2,1.5,55,0,0,3,0,0,0,15,0,0,4,0,0,0,116,9.5,0,1,0,10.2444,14.8889,34,0,0,1,0,0,0,33,0,32.9706,6,32.9706,0,0,169,11.5,57.3553,2,57.3553,7.00311,19.1501,539,0,0,2,0,0,0,139,2,0,35,0,4,10,33,0,0,4,0,0,0,casualty
0,0,0,0,0,0,0,128,6,0,5,0,22.1667,17.7222,21,1.5,0,2,0,23.4444,16.1111,251,3.5,50.7279,4,50.7279,7.06878,19.709,53,6.5,0,1,0,20.1282,20.7436,333,13.5,0,6,0,13.3832,17.1065,21,0,0,4,0,0,0,108,0,0,2,0,0,0,310,11,46.2843,4,46.2843,15.8612,13.8913,363,9.5,49.6985,4,49.6985,12.658,13.5628,166,13,0,10,0,8.23077,7.19231,2,0,0,2,0,0,0,103,3,0,10,0,10,4.5,34,2,0,2,0,23.5,8,107,5.5,0,4,0,8.12963,5.87963,109,11.5,0,4,0,19.7681,4.51014,131,14,0,4,0,6.93407,16.8516,0,0,0,0,0,0,0,142,0,0,12,0,0,0,29,0,0,4,0,0,0,42,0,0,4,0,0,0,223,3,0,618,0,12.8333,8.38889,534,0,0,3,0,0,0,151,0,0,643,0,0,0,13,0,0,4,0,0,0,casualty
0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,58,2.5,0,2,0,22.2667,8.73333,313,9,78.7696,1,78.7696,10.8634,15.3798,171,17.5,62.3259,8,62.3259,9.71905,6.7119,68,0,0,2,0,0,0,86,0,0,2,0,0,0,107,12.5,39.3553,2,39.3553,19.4633,19.8733,273,16.5,62.3259,14,62.3259,9.7893,12.4859,12,1,0,3,0,2,23.5,38,0,0,3,0,0,0,201,13,0,30,0,10.625,12.247,81,5.5,39.799,3,39.799,21.5,14.625,106,11,41.1127,4,41.1127,6.4697,5.19697,5,0,0,2,0,0,0,64,1,0,1,0,2,2.5,27,0,0,20,0,0,0,139,0,0,1,0,0,0,84,5,0,41,0,4,12.75,0,0,0,0,0,0,0,92,3,0,15,0,21.4444,13.6667,80,2,0,619,0,4,4,65,6.5,27.2132,2,27.2132,22.2051,21.0897,97,5,18.1421,2,18.1421,3.5,16.6,casualty
