%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Black_Pixel_9 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
80,246,107,153,119,146,215,148,210,accident
151,208,12,140,121,173,190,233,195,accident
75,184,151,131,85,126,125,89,172,accident
2,180,138,128,106,128,102,192,136,accident
1,150,116,120,70,120,148,85,122,accident
38,207,114,151,94,149,60,122,184,accident
51,190,88,125,108,132,142,190,158,accident
301,488,118,213,448,175,304,408,416,accident
79,424,248,279,212,181,348,380,137,accident
142,299,161,235,156,233,298,336,190,accident
22,400,157,283,131,238,352,283,280,accident
175,175,178,358,321,320,255,295,154,accident
117,127,147,132,118,126,94,97,54,accident
69,163,41,124,93,120,121,79,127,accident
122,156,86,136,114,81,63,99,120,accident
94,155,59,136,86,145,88,97,192,accident
106,181,62,143,88,165,177,103,203,accident
105,129,144,147,83,133,219,195,173,accident
73,168,129,124,129,70,125,230,111,accident
208,157,129,168,107,8,232,304,174,accident
245,100,180,18,153,163,150,187,118,accident
113,231,178,178,184,169,270,373,172,accident
474,340,671,404,122,490,356,291,372,accident
325,697,25,381,338,490,241,319,578,accident
308,387,840,210,219,524,260,344,230,accident
270,351,71,154,341,218,68,345,172,accident
82,589,35,274,263,354,120,327,229,accident
81,310,1,220,140,327,236,234,211,accident
89,177,68,154,240,216,115,203,193,accident
30,297,34,177,217,185,115,243,224,accident
130,287,72,192,111,264,270,199,161,accident
175,240,0,179,247,198,177,199,205,accident
7,395,88,188,248,217,228,243,273,accident
122,262,19,202,180,218,88,228,206,accident
120,370,109,220,185,231,308,155,327,accident
104,278,150,177,220,210,146,208,276,accident
199,373,40,170,185,152,135,204,282,accident
217,231,143,172,199,195,152,252,184,accident
51,394,28,56,294,205,149,346,172,accident
31,290,144,40,277,166,92,259,192,accident
11,400,42,215,375,85,350,368,269,accident
35,457,19,248,218,338,253,426,42,accident
2,341,88,160,37,167,227,244,197,accident
80,265,54,132,134,99,98,186,174,accident
20,281,66,59,259,185,286,219,174,accident
0,211,154,24,263,165,240,243,134,accident
18,325,81,129,205,184,213,199,181,accident
72,151,34,78,64,126,67,7,51,accident
6,177,57,103,50,139,130,113,93,accident
34,221,28,89,46,127,95,15,46,accident
47,173,54,115,63,135,180,125,101,accident
62,165,19,100,36,134,60,89,132,accident
65,275,78,165,160,144,261,304,279,accident
60,408,3,124,279,163,186,285,323,accident
0,277,0,97,382,103,243,321,266,accident
91,354,57,180,226,148,276,283,256,accident
24,320,52,77,257,177,307,286,287,accident
111,241,34,167,203,88,222,187,235,accident
24,244,82,151,127,151,166,231,193,accident
254,352,102,109,196,109,166,224,147,accident
18,309,83,122,180,137,227,308,203,accident
2,290,2,18,294,142,238,218,242,accident
78,389,64,173,59,183,154,182,296,accident
48,200,20,154,160,206,115,55,198,accident
175,183,0,138,107,199,62,177,174,accident
51,264,99,175,136,181,208,167,195,accident
87,216,100,139,110,205,115,151,171,accident
0,129,0,34,179,35,75,152,61,bomb
0,131,0,73,196,90,77,163,79,bomb
0,137,0,33,213,45,70,165,42,bomb
0,157,0,63,194,61,78,143,90,bomb
120,145,0,47,239,13,56,192,57,bomb
48,250,65,113,180,138,150,218,131,bomb
0,213,0,91,194,78,110,222,107,bomb
79,147,0,54,131,123,68,184,105,bomb
0,178,273,106,208,114,138,183,133,bomb
71,197,4,132,95,103,162,171,112,bomb
53,183,35,18,193,56,99,123,65,bomb
10,238,0,43,259,24,129,145,94,bomb
13,356,72,64,361,83,151,177,107,bomb
0,145,164,99,290,47,131,195,33,bomb
25,221,72,50,313,66,160,154,90,bomb
3,363,453,133,234,95,151,218,125,bomb
99,231,191,72,275,66,123,245,111,bomb
159,239,41,134,173,182,169,214,102,bomb
0,294,64,125,302,76,175,218,155,bomb
162,280,231,142,198,111,269,266,203,bomb
13,322,68,231,153,213,221,270,163,bomb
90,199,64,190,279,280,226,46,215,bomb
5,313,3,128,96,229,166,210,157,bomb
182,283,60,132,260,158,162,230,152,bomb
92,221,27,151,165,178,191,245,95,bomb
0,158,0,48,235,93,147,13,131,bomb
3,132,0,42,179,0,94,180,71,bomb
0,151,0,24,229,72,124,135,83,bomb
0,133,0,47,230,55,127,118,82,bomb
0,200,154,20,252,45,134,107,87,bomb
15,143,13,86,64,91,125,30,110,bomb
29,188,6,115,80,119,109,119,136,bomb
12,227,48,72,28,95,108,135,107,bomb
50,163,109,81,171,79,87,132,88,bomb
132,164,0,102,161,115,106,133,110,bomb
2,193,37,39,360,6,93,242,80,bomb
0,192,15,56,293,47,139,160,113,bomb
0,164,37,35,264,112,160,94,115,bomb
0,163,0,5,294,58,124,141,99,bomb
0,153,41,28,309,71,154,112,131,bomb
0,116,27,59,136,78,97,119,77,bomb
0,158,0,30,201,81,102,146,70,bomb
0,153,0,36,216,45,87,159,65,bomb
0,111,9,0,184,53,65,160,50,bomb
0,140,6,34,205,5,55,185,33,bomb
0,144,0,8,175,12,34,228,53,bomb
0,114,0,0,163,0,0,373,0,bomb
47,162,29,1,309,20,82,161,72,bomb
0,182,8,0,307,11,0,294,8,bomb
0,155,47,54,247,15,106,266,17,bomb
32,203,46,71,412,103,136,165,135,bomb
32,201,38,39,303,3,34,255,9,bomb
24,260,132,84,435,73,155,184,158,bomb
0,162,66,108,325,55,66,191,106,bomb
0,185,38,73,294,69,88,260,23,bomb
0,228,102,4,325,79,103,171,69,bomb
9,195,106,15,268,78,54,192,25,bomb
11,247,76,7,350,17,124,289,11,bomb
0,237,31,91,402,164,261,205,184,bomb
0,188,98,1,424,3,226,198,174,bomb
56,263,235,147,530,143,134,321,121,bomb
0,262,127,14,594,48,127,362,32,bomb
117,421,36,38,613,17,47,446,43,bomb
0,266,117,20,515,32,174,238,184,bomb
0,375,244,64,658,216,349,597,230,bomb
0,581,0,0,467,0,0,251,0,bomb
36,472,310,712,492,554,68,94,359,bomb
56,533,64,269,652,171,125,503,168,bomb
0,233,0,0,183,0,0,158,0,bomb
74,447,27,206,489,178,231,438,214,bomb
78,215,92,16,191,133,157,199,186,bomb
83,199,177,109,250,155,128,177,196,bomb
65,303,497,110,43,222,211,255,201,bomb
127,283,177,117,34,224,223,240,199,bomb
208,251,47,216,228,179,133,46,237,bomb
0,154,0,93,294,56,122,185,69,bomb
63,179,0,2,296,4,125,229,54,bomb
0,138,0,11,205,0,18,292,4,bomb
0,145,2,35,202,0,71,238,8,bomb
0,135,37,45,243,23,90,182,42,bomb
510,354,535,329,201,545,482,360,546,bomb
111,309,153,30,377,86,33,439,47,bomb
48,439,345,88,419,301,112,474,17,bomb
206,500,317,428,230,453,461,60,513,bomb
186,283,633,36,516,304,352,175,428,bomb
5,166,42,110,133,126,105,140,122,bomb
49,111,76,17,16,121,131,94,113,bomb
38,102,104,94,16,113,138,136,124,bomb
83,92,85,77,62,150,164,150,158,bomb
34,190,308,115,35,159,163,123,148,bomb
44,206,89,104,279,51,130,218,138,bomb
66,173,0,68,320,22,69,248,79,bomb
0,177,0,23,281,49,122,236,52,bomb
0,159,13,28,254,0,14,361,10,bomb
0,162,3,18,260,0,66,279,27,bomb
31,178,17,14,264,74,71,12,139,bomb
0,99,27,0,149,0,0,188,2,bomb
90,74,0,57,192,40,96,48,127,bomb
0,114,0,0,176,47,64,152,59,bomb
0,135,0,20,169,63,137,107,109,bomb
0,264,0,0,489,0,0,539,0,bomb
2,238,0,23,293,42,69,450,22,bomb
0,238,45,22,335,21,15,431,7,bomb
41,321,0,24,335,7,24,552,6,bomb
44,266,27,20,397,35,114,373,25,bomb
133,258,0,5,373,13,73,391,64,bomb
0,252,111,17,446,11,159,252,121,bomb
0,208,0,0,357,0,0,437,0,bomb
156,258,0,91,545,25,169,300,179,bomb
32,272,71,36,471,0,152,448,74,bomb
475,268,222,162,187,226,219,284,195,bomb
17,293,591,145,97,257,190,246,178,bomb
131,285,189,230,9,143,349,221,255,bomb
129,253,4,32,107,155,132,184,133,bomb
0,200,16,58,251,76,123,219,133,bomb
0,63,0,0,128,4,0,300,9,bomb
0,186,46,79,224,152,127,238,105,bomb
118,249,109,131,107,232,174,263,113,bomb
59,275,161,119,10,243,177,317,109,bomb
19,183,29,119,241,171,161,257,104,bomb
4,174,236,65,214,43,123,168,113,bomb
0,175,178,70,294,6,124,205,133,bomb
13,174,0,103,264,9,111,166,116,bomb
0,153,37,8,213,9,57,265,18,bomb
0,151,29,45,253,29,38,177,79,bomb
102,384,293,111,316,136,208,270,154,bomb
165,278,390,169,338,134,157,246,148,bomb
11,254,6,95,490,68,124,251,70,bomb
0,204,0,125,243,126,172,218,86,bomb
7,192,64,117,298,67,106,229,87,bomb
41,118,71,226,121,220,116,162,69,car
43,91,27,231,180,257,43,37,12,car
21,33,60,241,250,340,41,67,61,car
48,89,47,341,349,339,25,73,29,car
43,130,63,356,181,431,87,25,99,car
18,141,82,229,169,208,26,65,7,car
93,125,59,265,208,281,18,42,51,car
121,28,39,219,199,229,22,118,82,car
143,133,41,136,161,268,91,39,31,car
25,137,98,235,232,276,12,33,6,car
178,202,241,146,133,291,393,191,69,car
166,178,277,178,88,210,318,260,128,car
148,137,220,234,200,236,198,135,63,car
68,184,209,275,158,225,150,155,68,car
126,157,220,184,17,210,243,331,283,car
63,171,200,392,433,429,21,168,106,car
138,204,207,418,449,414,196,231,120,car
52,141,58,427,453,414,100,137,60,car
3,133,137,353,378,334,39,89,73,car
3,73,176,422,438,517,44,71,66,car
111,264,332,271,101,279,394,416,143,car
267,319,513,493,353,289,394,484,138,car
97,287,392,280,332,279,359,564,399,car
234,127,446,320,34,232,546,491,445,car
267,241,407,265,92,362,572,455,85,car
125,29,187,237,248,300,32,112,115,car
11,77,50,397,345,354,11,20,13,car
114,165,142,144,245,307,101,121,17,car
149,150,19,88,129,284,54,208,11,car
159,39,21,220,362,281,39,78,0,car
6,192,188,344,179,287,50,126,147,car
62,157,226,391,278,360,87,76,24,car
81,142,171,325,261,320,98,74,25,car
161,227,237,321,161,286,302,375,172,car
37,222,256,260,370,274,258,408,184,car
57,141,119,388,216,329,73,82,29,car
81,1,79,519,507,507,99,23,1,car
27,66,19,452,445,432,84,107,38,car
12,183,97,394,114,294,125,221,213,car
1,192,112,348,456,537,171,282,128,car
69,63,0,131,236,258,79,100,75,car
136,1,0,177,280,285,42,56,112,car
81,51,73,184,212,225,106,79,57,car
142,157,61,313,154,273,83,74,48,car
109,126,37,104,47,284,101,164,19,car
124,117,76,160,46,184,53,88,70,car
124,105,93,69,4,115,77,157,79,car
123,109,58,153,44,107,84,169,118,car
124,99,77,49,58,189,159,119,18,car
111,120,70,219,113,157,17,36,93,car
111,182,247,240,14,179,279,368,226,car
104,187,244,369,145,262,124,232,341,car
205,230,310,379,79,233,126,287,348,car
156,207,282,363,214,263,50,253,151,car
152,205,306,403,189,326,196,255,184,car
11,128,97,359,265,398,99,107,114,car
97,153,135,397,266,339,120,230,214,car
87,133,78,264,220,323,59,123,102,car
111,46,52,275,340,303,84,160,55,car
29,182,0,430,361,426,207,287,141,car
98,80,82,191,281,366,89,38,68,car
145,105,71,260,205,417,41,94,110,car
130,122,182,100,110,297,194,206,270,car
51,102,60,193,218,266,101,54,51,car
73,131,11,119,157,331,140,89,26,car
79,130,146,163,69,222,174,232,196,car
58,220,65,317,221,553,249,429,194,car
5,201,217,422,284,477,111,313,317,car
12,278,236,409,204,345,191,465,400,car
95,202,144,211,324,266,196,400,239,car
46,123,118,333,246,234,87,73,63,car
70,119,121,241,210,207,36,66,46,car
44,110,79,251,265,297,65,102,42,car
62,120,153,246,188,249,137,109,86,car
74,124,124,322,280,209,234,156,6,car
130,94,0,289,251,365,38,147,90,car
76,86,66,240,233,382,26,61,57,car
93,55,151,216,306,326,137,87,65,car
143,164,54,132,30,243,188,286,139,car
28,185,28,340,290,540,48,146,79,car
149,327,364,395,216,460,378,506,462,car
155,147,15,486,528,609,7,99,26,car
101,43,0,517,479,494,44,102,221,car
210,112,21,472,369,516,71,177,143,car
122,31,14,436,581,479,12,147,138,car
102,124,128,108,32,72,149,156,149,car
92,123,72,170,99,187,130,159,149,car
116,115,51,76,30,140,125,181,148,car
53,44,45,210,210,252,47,55,104,car
101,118,80,87,24,213,142,216,75,car
17,133,116,320,323,318,69,93,28,car
95,156,58,360,356,429,99,189,106,car
46,142,119,322,370,494,44,74,93,car
9,59,0,227,368,329,3,78,29,car
37,120,70,274,303,380,2,48,47,car
0,0,0,314,342,296,7,11,8,car
25,131,130,223,302,335,0,42,84,car
6,135,66,333,323,335,37,57,53,car
20,54,50,232,287,355,88,63,56,car
6,45,44,311,335,316,23,100,46,car
57,144,4,138,118,339,144,129,40,car
65,96,61,298,344,382,115,90,55,car
127,160,83,145,38,256,190,243,120,car
104,40,228,203,193,268,101,141,134,car
73,130,58,102,63,175,113,177,137,car
322,244,399,451,560,646,226,254,192,car
288,26,0,301,339,488,400,472,126,car
236,218,391,397,451,601,424,233,112,car
484,185,216,243,282,770,499,616,321,car
232,117,421,395,573,550,350,202,121,car
5,131,11,282,203,312,55,79,40,car
63,131,88,235,317,324,2,30,62,car
51,60,11,408,321,489,72,52,74,car
69,143,69,388,284,399,69,79,44,car
36,96,60,217,373,358,0,41,43,car
29,113,120,216,234,183,71,104,43,car
53,108,56,237,223,271,43,64,85,car
47,112,46,320,216,319,82,62,39,car
59,20,54,285,269,280,70,86,50,car
101,34,106,332,399,465,71,273,241,car
31,7,51,350,479,355,26,8,44,car
1,156,4,396,439,465,68,59,77,car
35,11,162,311,466,478,4,79,29,car
62,17,82,320,539,398,14,71,50,car
272,95,63,93,154,258,370,313,296,car
174,54,118,265,206,349,93,283,174,car
99,17,0,274,347,232,43,40,123,car
101,18,0,130,189,233,148,201,87,car
85,50,170,195,318,415,144,103,110,car
152,140,162,59,366,74,79,231,41,casualty
68,143,75,184,362,35,56,309,56,casualty
108,171,124,38,367,112,66,250,65,casualty
47,235,37,147,131,131,19,463,19,casualty
90,258,87,156,230,96,75,374,49,casualty
329,235,142,129,492,310,198,40,269,casualty
262,128,277,182,532,123,138,175,226,casualty
92,171,228,201,383,486,16,412,273,casualty
198,66,162,245,537,214,164,90,156,casualty
237,10,286,129,534,175,144,136,234,casualty
46,342,232,20,525,150,131,333,49,casualty
143,350,208,41,534,12,53,279,130,casualty
27,288,156,5,448,106,147,168,90,casualty
113,272,245,277,362,118,188,358,13,casualty
7,395,132,31,511,143,110,277,49,casualty
104,100,175,256,340,198,29,330,253,casualty
150,64,46,69,507,388,19,92,238,casualty
231,192,164,191,351,326,115,330,188,casualty
275,191,145,139,459,371,45,164,186,casualty
170,69,227,395,337,415,187,248,217,casualty
135,174,129,334,245,124,2,248,3,casualty
18,209,117,79,364,118,50,217,10,casualty
53,276,93,87,414,21,89,167,0,casualty
84,324,134,76,430,48,128,239,16,casualty
107,239,56,43,403,55,47,189,20,casualty
121,123,39,178,212,111,36,214,73,casualty
123,114,76,124,270,86,77,165,77,casualty
94,124,90,96,253,86,45,191,55,casualty
78,156,102,188,178,156,75,236,53,casualty
105,166,74,152,267,104,110,183,60,casualty
244,268,393,388,948,475,342,669,337,casualty
76,267,469,496,459,608,151,817,498,casualty
194,248,399,634,578,225,342,643,399,casualty
125,194,364,375,801,349,257,321,162,casualty
475,271,456,177,1079,111,380,157,400,casualty
15,428,220,50,570,128,115,335,75,casualty
187,271,237,173,585,27,135,323,145,casualty
130,224,243,90,528,64,155,235,287,casualty
164,298,174,317,430,64,189,319,3,casualty
429,271,371,170,572,132,257,363,99,casualty
198,276,263,383,444,15,224,222,0,casualty
7,277,190,11,625,90,152,334,56,casualty
67,347,165,121,412,202,60,386,29,casualty
185,181,275,138,595,73,155,277,49,casualty
126,289,149,288,376,151,108,441,9,casualty
50,367,198,37,538,16,117,291,82,casualty
129,366,152,24,500,88,142,257,8,casualty
67,333,46,129,427,12,67,244,0,casualty
65,322,85,152,402,194,142,315,0,casualty
100,323,147,188,548,33,106,252,0,casualty
67,114,71,105,213,42,44,220,62,casualty
75,118,101,49,226,67,50,196,6,casualty
79,119,96,5,292,18,44,214,28,casualty
88,91,104,52,142,98,53,274,4,casualty
65,123,59,46,244,50,38,203,45,casualty
54,210,99,168,211,153,4,329,41,casualty
116,239,169,193,300,102,90,303,67,casualty
86,224,127,107,404,74,87,177,17,casualty
125,241,104,100,282,89,78,266,65,casualty
0,224,170,82,369,223,106,250,22,casualty
222,263,154,370,586,116,84,280,78,casualty
165,228,202,415,270,404,230,659,72,casualty
297,378,270,481,613,156,208,308,41,casualty
98,216,83,243,520,351,454,393,171,casualty
96,364,207,292,386,105,157,444,31,casualty
60,247,20,60,302,55,46,230,108,casualty
171,297,163,62,219,88,105,254,246,casualty
103,226,115,45,314,82,72,269,38,casualty
67,219,130,90,321,128,84,250,46,casualty
87,160,86,158,289,135,59,272,53,casualty
313,361,159,328,481,151,257,130,240,casualty
359,438,207,61,609,277,157,62,63,casualty
84,76,251,424,731,350,9,474,329,casualty
54,70,297,231,547,462,152,284,35,casualty
24,75,280,295,507,69,256,337,0,casualty
238,31,224,208,516,419,83,185,99,casualty
429,32,94,5,415,607,79,271,111,casualty
271,21,214,192,511,307,155,231,150,casualty
252,80,310,479,563,152,304,224,268,casualty
123,10,168,262,498,143,157,153,218,casualty
179,261,107,69,401,34,49,261,6,casualty
97,175,159,14,356,35,59,261,26,casualty
33,222,97,7,342,114,51,241,44,casualty
46,335,66,85,282,68,37,299,48,casualty
184,124,123,177,364,128,118,301,125,casualty
188,31,249,315,603,382,169,210,134,casualty
119,19,162,313,639,188,228,44,139,casualty
90,22,51,278,494,98,127,11,153,casualty
86,54,150,299,464,230,138,107,189,casualty
132,136,11,285,362,52,153,122,182,casualty
46,169,56,118,384,150,145,324,97,casualty
135,35,289,264,575,109,4,331,382,casualty
218,4,230,585,578,198,292,291,261,casualty
128,155,169,291,458,100,154,193,211,casualty
57,6,387,426,524,210,370,344,285,casualty
136,163,120,119,408,93,85,235,42,casualty
125,286,172,165,367,234,118,394,114,casualty
26,277,166,90,404,167,100,281,79,casualty
246,344,90,83,324,98,31,292,5,casualty
41,230,99,51,280,116,60,286,162,casualty
117,261,18,176,261,66,86,445,73,casualty
158,443,197,246,381,252,135,229,158,casualty
189,145,183,414,431,431,108,260,195,casualty
122,224,276,264,378,47,205,241,185,casualty
133,304,156,366,399,44,198,126,181,casualty
128,78,72,93,288,108,67,68,163,casualty
132,31,153,165,110,125,52,333,44,casualty
86,195,215,132,127,114,77,254,155,casualty
114,40,143,169,204,218,66,270,89,casualty
96,48,62,89,160,63,16,179,88,casualty
313,44,256,108,668,481,96,227,162,casualty
30,191,133,240,249,82,90,322,218,casualty
233,10,221,301,476,308,207,338,176,casualty
256,3,288,310,359,336,96,547,398,casualty
158,173,144,176,466,278,166,359,163,casualty
64,33,71,164,330,50,113,48,136,casualty
181,95,135,143,282,1,18,6,150,casualty
166,109,51,178,312,12,88,38,153,casualty
115,53,82,149,378,2,105,40,152,casualty
211,66,82,101,292,148,116,164,161,casualty
123,225,202,171,341,220,57,270,90,casualty
156,327,179,108,340,140,51,285,57,casualty
103,200,153,187,219,196,93,302,37,casualty
170,182,132,276,304,72,96,294,101,casualty
49,190,212,22,404,112,90,272,4,casualty
88,254,142,184,265,225,14,367,82,casualty
165,273,98,33,272,22,31,206,16,casualty
92,246,83,87,299,74,37,274,37,casualty
117,171,88,76,290,101,47,285,27,casualty
50,246,66,88,228,159,23,333,8,casualty
17,147,0,79,171,42,77,298,21,electricity
0,127,0,0,240,21,0,285,5,electricity
37,124,0,76,256,11,65,227,68,electricity
10,121,1,6,239,5,25,238,12,electricity
33,117,14,80,285,36,44,412,13,electricity
89,370,108,8,316,190,186,331,8,electricity
28,102,0,30,288,22,16,443,10,electricity
15,181,3,6,253,36,47,445,3,electricity
76,182,33,134,304,214,14,451,35,electricity
113,451,126,19,377,489,63,572,128,electricity
41,163,0,131,183,52,0,319,27,electricity
0,150,12,71,286,45,87,300,30,electricity
16,160,14,9,351,36,91,236,0,electricity
0,150,58,0,280,69,63,236,0,electricity
102,200,12,101,314,95,81,339,30,electricity
0,158,2,14,235,13,36,265,7,electricity
0,157,9,9,239,0,35,285,5,electricity
0,135,0,0,136,0,0,192,0,electricity
0,157,21,16,225,4,39,318,28,electricity
0,149,0,0,262,0,0,374,0,electricity
27,148,0,84,255,133,143,389,34,electricity
0,174,0,0,292,0,0,394,0,electricity
33,162,0,87,255,60,42,331,2,electricity
0,194,0,0,354,0,0,432,0,electricity
3,176,31,58,268,4,45,323,8,electricity
0,151,0,0,310,0,0,221,0,electricity
25,158,15,4,317,17,44,334,14,electricity
0,174,11,0,194,36,58,294,0,electricity
0,344,48,0,253,10,142,354,102,electricity
0,233,20,0,221,48,33,437,40,electricity
22,130,0,40,161,0,175,286,25,electricity
332,219,272,28,361,170,313,617,143,electricity
134,198,71,399,131,158,238,541,297,electricity
254,24,401,468,596,488,304,750,66,electricity
266,0,0,287,297,24,75,484,242,electricity
0,121,0,0,367,0,0,512,0,electricity
99,418,147,96,371,23,22,687,45,electricity
0,219,0,0,389,0,0,496,0,electricity
101,160,12,67,523,30,122,461,43,electricity
182,546,161,94,508,662,27,757,151,electricity
47,175,9,0,130,37,53,252,29,electricity
24,100,0,60,118,8,45,203,27,electricity
39,115,0,43,137,0,14,198,33,electricity
0,123,3,0,140,53,34,217,9,electricity
0,108,11,0,179,14,43,231,37,electricity
88,238,0,75,280,50,81,484,2,electricity
135,265,0,66,362,0,74,352,16,electricity
3,221,12,16,291,2,6,378,1,electricity
0,218,0,0,289,9,14,327,7,electricity
103,122,34,148,356,33,56,466,43,electricity
234,301,225,156,161,105,43,524,193,electricity
58,43,45,8,365,11,21,427,208,electricity
122,276,41,27,261,11,98,432,100,electricity
81,460,114,48,333,33,13,535,93,electricity
67,158,11,42,454,50,282,442,78,electricity
37,578,14,76,368,9,68,663,52,electricity
98,384,60,10,336,148,61,620,25,electricity
5,386,284,79,377,110,152,729,53,electricity
156,480,291,110,381,21,261,520,6,electricity
18,404,134,90,318,13,180,439,117,electricity
18,175,15,46,389,18,47,369,5,electricity
43,173,27,39,405,9,66,409,0,electricity
209,436,144,114,312,33,170,525,389,electricity
0,150,0,0,288,0,0,387,0,electricity
57,495,92,45,292,240,171,493,63,electricity
125,83,0,17,233,22,130,381,48,electricity
20,145,0,3,236,0,71,331,18,electricity
185,7,0,112,246,9,49,454,96,electricity
93,86,0,91,152,9,87,327,50,electricity
5,132,0,25,143,9,23,312,15,electricity
0,21,0,0,180,0,0,351,0,electricity
0,481,0,0,124,0,0,193,0,electricity
0,103,0,0,55,0,0,147,0,electricity
144,718,139,157,450,99,256,651,37,electricity
226,692,581,158,324,168,207,603,88,electricity
18,177,7,61,341,25,3,341,0,electricity
0,228,0,0,442,0,0,435,0,electricity
137,357,118,118,337,4,190,571,300,electricity
17,280,8,19,456,7,99,479,6,electricity
8,447,14,21,294,25,31,448,3,electricity
1,146,29,87,114,3,96,270,23,electricity
10,128,11,31,175,28,0,173,23,electricity
22,94,0,70,141,0,81,255,22,electricity
22,151,0,0,125,0,50,285,6,electricity
3,142,0,109,135,58,0,149,26,electricity
41,177,0,13,234,12,92,357,2,electricity
85,193,11,113,259,32,61,345,107,electricity
40,207,87,38,265,5,88,458,38,electricity
20,168,2,15,241,10,35,277,23,electricity
4,174,9,62,241,71,48,272,26,electricity
16,172,64,53,185,76,37,284,11,electricity
20,152,9,30,160,0,42,224,0,electricity
0,195,18,0,215,8,92,302,42,electricity
0,146,21,19,196,106,72,283,23,electricity
0,148,0,0,216,26,109,301,46,electricity
6,104,0,71,193,60,63,172,18,electricity
137,176,117,23,176,107,141,237,12,electricity
95,186,72,42,127,29,9,384,7,electricity
74,188,32,67,122,41,80,230,16,electricity
47,87,10,25,235,25,81,172,37,electricity
0,31,0,0,39,0,0,132,0,electricity
84,184,15,23,544,3,132,423,71,electricity
93,230,26,125,562,7,70,640,33,electricity
18,258,42,9,461,48,0,405,9,electricity
0,15,0,0,200,0,0,80,0,electricity
11,192,11,39,230,0,11,312,8,electricity
0,178,5,6,252,47,10,335,3,electricity
0,138,0,0,197,16,0,263,4,electricity
20,159,0,35,314,48,6,354,10,electricity
1,159,0,115,219,32,4,289,8,electricity
0,175,0,0,245,0,0,256,0,electricity
7,164,164,75,274,6,80,423,72,electricity
38,207,6,8,236,54,9,278,7,electricity
101,275,0,9,210,15,18,470,25,electricity
142,339,6,14,243,45,133,368,147,electricity
130,137,96,0,114,50,77,167,2,electricity
