%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Contours_size_1 NUMERIC
@ATTRIBUTE  Contours_size_2 NUMERIC
@ATTRIBUTE  Contours_size_3 NUMERIC
@ATTRIBUTE  Contours_size_4 NUMERIC
@ATTRIBUTE  Contours_size_5 NUMERIC
@ATTRIBUTE  Contours_size_6 NUMERIC
@ATTRIBUTE  Contours_size_7 NUMERIC
@ATTRIBUTE  Contours_size_8 NUMERIC
@ATTRIBUTE  Contours_size_9 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
52.2843,203.037,68.5685,94.9117,84.1421,89.9411,145.983,137.941,144.527,accident
135.581,102.125,6.82843,94.9117,84.9706,118.267,90.5269,82.4853,140.184,accident
0,117.095,103.698,94.0833,70,82.4853,99.2548,82.3259,86.1421,accident
0,120.61,94.5269,89.9411,96.6274,81.6569,138.083,76.6274,85.799,accident
0,118.267,90.5269,95.4975,27.3137,83.3137,77.4558,36.7279,88.2843,accident
23.3137,124.853,75.1127,97.9828,71.0711,84.1421,10.2426,36.8701,88.8701,accident
34.9706,124.024,62.2843,88.2843,83.3137,85.799,105.012,115.355,88.6274,accident
0,95.8406,0,80.9117,86.6274,64.4264,117.054,60.5269,143.782,accident
36.9706,122.267,0,90.7696,44.3848,37.6985,170.267,137.74,59.0122,accident
0,194.635,10.4853,96.2254,33.5563,87.9411,122.326,94.669,79.0538,accident
9.65685,95.7401,64.4264,97.397,41.3137,0,123.355,86.6274,105.012,accident
98.8112,84.0833,0,90.7696,99.9411,102.225,120.527,92.4264,53.598,accident
94.5685,84.9117,100.468,89.9411,88.2843,85.799,50.1421,71.9411,31.5563,accident
60.6274,146.108,27.4558,89.9411,70.4853,92.1838,88.0416,97.8406,103.397,accident
158.083,97.397,59.2548,90.7696,81.6569,58.0833,23.0711,113.397,82.9117,accident
130.368,104.024,46.7696,91.598,131.698,93.8406,33.2132,54.9706,135.841,accident
89.2548,222.291,40.2843,95.4975,137.698,101.154,100.669,52.1421,121.983,accident
69.2548,101.255,98.8112,89.9411,58.8284,88.2843,77.2132,100.385,128.184,accident
48.2843,64.9117,89.1127,184.024,164.971,46.8284,94.1838,87.4558,78.669,accident
59.9411,60.0833,87.6396,91.598,63.3137,0,113.355,150.125,97.9828,accident
164.024,30.7279,106.326,13.6569,84.1421,86.6274,68.2843,57.0122,65.598,accident
65.598,56.1838,91.1543,91.598,94.0833,88.2843,125.113,89.9411,90.669,accident
69.2548,102.468,0,0,42.8701,119.338,0,30.6274,52.3848,accident
95.4975,100.024,13.8995,93.2548,0,108.368,39.4558,0,62.9706,accident
101.497,107.782,0,79.598,30.6274,139.338,97.6985,0,43.6985,accident
90.7696,96.9533,0,61.1127,63.4975,66.9117,0,47.4558,40.8701,accident
37.799,150.066,16.1421,101.882,85.1127,111.439,60.6274,24.4853,123.397,accident
39.1127,107.782,0,97.9828,54.9706,119.924,155.941,19.6569,85.9828,accident
48.4264,76.5685,0,93.5391,89.1127,96.267,117.456,84.1421,78.7696,accident
0,144.167,0,99.196,25.799,90.1249,7.65685,0,101.154,accident
67.4558,103.681,0,94.9117,23.2132,109.581,86.6274,86.6274,61.6985,accident
94.4264,100.024,0,95.4975,64.4853,84.9533,32.9706,83.3137,91.1543,accident
0,94.0833,0,97.7401,164.125,89.196,146.752,86.3848,134.368,accident
66.4264,93.8823,0,99.8822,38.5269,100.267,63.2132,84.9706,72.5269,accident
0,134.024,0,95.4975,30.0416,94.6102,132.426,95.598,107.397,accident
62.2843,139.681,0,97.397,92.3848,96.3675,44.8701,81.6569,68.669,accident
94.9117,127.397,0,92.5685,41.6985,74.5685,58.4853,123.355,96.9117,accident
98.7696,107.581,0,88.2843,87.4558,101.439,24.7279,86.6274,96.9117,accident
0,171.196,23.6569,35.3137,79.4558,89.1127,115.74,119.355,95.5563,accident
0,129.882,72.7696,25.3137,82.1421,85.799,70.2843,185.095,93.6985,accident
0,98.8112,0,91.598,89.6985,38.6274,152.225,57.8995,107.054,accident
22.4853,161.238,13.0711,95.2548,94.4264,132.409,165.681,110.752,20.3848,accident
0,160.368,58.2843,94.9117,23.6569,93.2548,171.681,117.698,197.823,accident
54.1421,134.51,0,84.9706,57.6569,67.4558,0,62.3848,111.355,accident
0,125.983,46.4853,33.799,80.0833,93.8406,211.421,93.9411,98.4264,accident
0,101.64,89.9411,13.6569,90.4264,87.4558,230.007,90.7696,138.711,accident
0,143.439,48.9706,67.598,64.0416,89.9411,62.3848,62.1421,153.74,accident
0,81.397,22.9706,0,0,195.948,0,0,0,accident
0,110.51,40.5269,0,0,104.61,103.882,19.8995,82.4853,accident
0,205.095,20.7279,0,0,100.468,95.7401,33.4558,53.598,accident
0,67.397,40.2843,90.7696,0,101.196,192.894,35.5563,0,accident
0,161.037,14.4853,99.2965,0,103.782,9.65685,15.6569,49.4558,accident
39.3137,135.924,0,93.2548,84.9706,90.8112,95.4975,151.456,239.48,accident
0,174.61,0,127.095,84.9706,88.2843,91.0538,89.6985,180.409,accident
0,173.296,0,48.1838,108.426,51.8406,86.3675,88.2843,142.368,accident
47.799,155.681,0,85.799,85.799,80.7696,79.1543,80.8284,130.326,accident
0,152.368,35.3137,41.4558,174.326,89.9411,105.681,122.87,133.983,accident
68.9706,126.368,0,89.1127,73.6569,54.2843,114.125,81.4558,129.296,accident
16.8284,153.338,54.6274,85.799,70.8284,85.799,68.6274,121.598,105.456,accident
0,183.681,0,68.6274,40.4853,72.2843,123.882,154.468,95.598,accident
0,180.853,0,77.1127,69.3137,84.4264,118.811,103.012,143.154,accident
0,91.598,0,11.6569,91.2548,89.9411,177.865,109.698,237.581,accident
0,173.196,0,15.8995,19.3137,93.2965,0,14.4853,70.8701,accident
0,236.09,0,0,89.9411,108.995,110.77,26.4853,112.912,accident
88.3259,86.9533,0,88.0833,37.1127,105.681,0,83.3137,89.1543,accident
28.9706,146.995,0,100.711,20.9706,96.267,31.2132,0,74.669,accident
0,105.196,0,94.0833,9.07107,108.167,71.2548,49.799,71.598,accident
0,105.983,0,28.1421,64.669,0,58.9706,106.711,50.9706,bomb
0,92.4264,0,48.2843,126.912,0,44.0416,97.4975,55.4558,bomb
0,110.811,0,24.9706,155.196,34.7279,72.9706,113.054,34.1421,bomb
0,112.811,0,39.6985,191.338,0,51.6985,93.0122,64.7696,bomb
0,104.711,0,0,111.255,0,28.9706,102.811,40.9706,bomb
0,67.4975,36.0416,0,103.497,66.5269,77.2548,96.669,71.9411,bomb
0,271.019,0,0,0,41.799,60.6274,108.711,56.6274,bomb
0,194.108,0,0,0,66.6274,44.2843,94.9117,0,bomb
0,100.711,0,0,0,41.799,125.054,94.669,73.8406,bomb
0,100.468,0,0,0,57.6985,94.5685,96.3259,68.0833,bomb
0,145.782,29.3137,0,91.7401,42.0416,28.7279,94.669,56.2843,bomb
0,85.3553,0,28.9706,99.9828,15.3137,87.3553,93.0122,67.9411,bomb
0,175.48,44.6274,38.8701,208.368,0,93.3553,91.598,59.9411,bomb
0,64.9117,176.652,55.2548,100.426,0,71.9411,114.125,22.4853,bomb
21.8995,74.7279,40.0416,26.9706,113.64,11.8995,99.4975,89.9411,59.0122,bomb
0,154.167,0,57.6985,93.7401,0,81.598,95.4975,65.9411,bomb
0,117.054,0,0,66.669,32.3848,72.2843,99.397,58.2843,bomb
0,114.711,0,76.1838,33.4558,85.8406,93.0122,98.669,51.9411,bomb
0,147.338,0,58.5269,67.8406,30.1421,85.8406,92.1838,78.9117,bomb
62.669,50.2843,60.1838,0,0,26.8284,107.983,90.5269,81.397,bomb
0,97.397,0,68.7696,0,87.4558,88.8112,94.4264,76.9117,bomb
0,99.9828,28.6274,0,47.8995,61.3553,96.0833,15.8995,93.8406,bomb
0,243.522,0,0,0,95.0122,80.5685,96.9117,83.4975,bomb
0,132.125,41.3137,0,0,69.9411,88.669,92.4264,70.0833,bomb
0,102.811,15.6569,0,30.6274,75.3553,94.5269,108.811,39.4558,bomb
0,104.225,0,34.8701,104.225,37.4558,91.598,7.65685,91.8406,bomb
0,121.681,0,0,145.782,0,77.9411,61.2548,59.9411,bomb
0,113.782,0,16.7279,101.74,41.6985,87.598,91.598,65.6985,bomb
0,106.912,0,37.4558,107.74,45.1127,94.1838,96.3259,64.1838,bomb
0,161.823,0,14.7279,79.2548,36.2843,95.8406,68.7696,69.598,bomb
0,121.196,0,0,13.8995,79.3553,102.912,0,96.2254,bomb
0,128.953,0,93.8406,0,86.669,84.468,92.1838,103.64,bomb
0,172.953,0,0,0,96.1249,72.3259,97.1543,81.7401,bomb
0,131.439,0,0,92.9117,61.3553,66.1838,93.8406,65.598,bomb
0,115.64,0,83.1543,6.24264,83.1543,79.4975,90.7696,77.9828,bomb
0,112.752,0,23.0711,164.083,0,67.1127,98.3259,54.2843,bomb
0,133.355,16,42.9706,216.208,35.4558,90.669,93.0122,74.669,bomb
0,96.7696,23.0711,28.0416,248.309,60.669,105.497,77.1127,84.3259,bomb
0,173.823,0,0,229.338,40.6274,92.3259,93.2548,67.1127,bomb
0,126.711,26.4853,18.1421,221.279,41.9411,107.64,87.2132,86.3259,bomb
0,91.3553,0,53.9411,47.6985,0,79.9411,96.9117,65.9411,bomb
0,113.439,0,24.3848,36.2843,62.2843,80.5269,101.74,52.6274,bomb
0,111.983,0,0,82.0833,0,68.2843,101.497,54.1421,bomb
0,97.1543,0,0,68.0833,0,54.9706,101.397,15.6569,bomb
0,109.296,4.82843,0,165.924,0,66.6274,126.368,0,bomb
0,92.1838,0,0,40.6274,0,17.6569,97.4975,42.9706,bomb
0,95.4975,0,0,96.5685,0,0,205.622,0,bomb
0,101.539,0,0,103.983,0,36.1421,94.4264,28.7279,bomb
0,107.497,0,0,221.907,0,0,203.338,0,bomb
0,101.012,32.6274,0,83.3553,0,83.0122,102.669,0,bomb
0,101.983,32.0416,39.1127,110.125,0,80.0833,92.1838,88.669,bomb
0,129.196,0,0,92.0833,0,19.6569,143.439,0,bomb
0,139.196,0,44.2843,140.51,0,81.598,95.4975,68.7696,bomb
0,97.0122,42.3848,0,81.9828,0,64.7696,97.1543,58.7696,bomb
0,115.983,23.2132,0,96.8112,0,39.799,105.983,23.6569,bomb
0,101.255,0,0,196.894,49.1127,31.5563,100.468,44.2843,bomb
0,201.723,43.799,0,195.865,36.9706,27.799,114.61,14.4853,bomb
0,134.953,38.6274,4.82843,89.2965,9.07107,40.3848,126.853,0,bomb
0,110.468,22.4853,46.5269,104.184,81.1543,111.983,87.4558,89.6396,bomb
0,63.1127,56.9706,0,170.551,0,110.225,89.9411,86.5685,bomb
0,65.9411,90.8112,57.9411,220.693,44.9706,53.799,107.296,41.6985,bomb
0,94.8112,51.799,0,74.4264,24.4853,42.9706,80.2254,20.4853,bomb
0,0,0,19.6569,95.397,0,34.7279,109.154,0,bomb
0,87.7401,0,0,150.225,0,89.7401,89.9411,61.598,bomb
0,69.598,83.0122,24.9706,0,27.8995,98.9117,154.024,66.669,bomb
0,61.799,0,0,0,0,0,110.426,0,bomb
0,98.669,0,0,0,0,0,0,94.6274,bomb
0,0,0,65.8995,0,0,60.1421,83.0122,61.6985,bomb
0,60.2843,0,0,82.9117,0,0,101.255,0,bomb
0,128.51,0,0,0,0,86.4264,96.0833,70.7696,bomb
0,222.25,49.598,0,0,84.9706,76.2254,95.2548,92.3259,bomb
42.9706,102.569,0,0,76.2254,70.669,49.598,98.8112,100.669,bomb
0,120.853,0,0,0,102.326,93.6396,90.7696,81.1543,bomb
0,31.3137,73.2548,0,0,101.154,92.5685,95.4975,78.5685,bomb
0,92.7696,0,0,67.2548,0,48.8701,0,110.468,bomb
0,85.799,0,55.799,68.0833,0,71.799,111.539,42.9706,bomb
0,99.0538,0,0,117.924,0,72.9706,113.539,35.3137,bomb
0,93.2548,0,0,188.61,0,0,212.794,0,bomb
0,101.497,0,0,226.936,0,60.9706,148.51,0,bomb
0,88.8112,28.3848,32.6274,114.468,0,77.4558,103.74,0,bomb
0,0,119.154,37.799,35.4558,0,96.0833,87.4558,67.7401,bomb
0,38.9706,83.2132,0,0,0,23.0711,101.983,0,bomb
0,0,66.9706,0,0,0,43.0711,0,0,bomb
0,54.9706,79.6985,0,0,0,73.8406,22,73.9828,bomb
54.6274,0,0,0,0,0,0,0,0,bomb
0,106.669,28.7279,96.3259,0,86.4264,74.5685,94.669,90.5685,bomb
0,62.1838,57.2132,0,0,79.397,92.7107,0,83.1543,bomb
0,57.9411,61.598,0,0,49.3553,99.9828,89.1127,84.8112,bomb
0,55.0122,60.5269,0,0,94.4264,102.468,87.4558,93.9828,bomb
0,109.882,0,0,0,116.225,99.8822,89.9411,92.1249,bomb
0,100.225,0,51.4558,126.995,0,65.4558,98.5685,70.6274,bomb
0,92.4264,0,0,109.154,0,46.1421,99.7401,54.8701,bomb
0,96.5685,0,13.6569,140.409,0,66.1421,120.711,38.3848,bomb
0,93.8406,0,0,100.77,0,0,209.137,0,bomb
0,97.9828,0,0,179.439,0,53.3137,113.397,29.6569,bomb
0,118.752,11.6569,0,110.409,0,43.6985,0,0,bomb
0,94.0833,0,0,133.782,0,0,204.291,0,bomb
65.598,53.8406,0,35.6985,95.4975,31.4558,69.1127,33.6985,88.2843,bomb
0,87.2132,0,0,123.74,0,51.3137,58.1838,59.3137,bomb
0,91.598,0,14.4853,68.2254,43.6985,97.7401,91.598,86.669,bomb
0,94.0833,0,0,175.238,0,0,232.894,0,bomb
0,100.468,0,22,115.095,0,0,175.782,0,bomb
0,100.711,0,0,222.995,0,0,196.652,0,bomb
0,97.397,0,0,41.799,0,0,219.279,0,bomb
0,107.681,13.6569,0,124.953,0,70.6274,195.865,0,bomb
0,96.5685,0,0,111.64,0,55.2132,111.054,44.9706,bomb
0,97.9828,0,0,169.38,6.82843,91.0122,96.3259,52.2843,bomb
0,88.2843,0,0,109.296,0,0,420.291,0,bomb
0,94.9117,0,38.9706,70.5685,0,60.9706,105.397,68.2843,bomb
0,90.3675,32.1421,0,110.853,0,80.8701,102.912,44.9706,bomb
0,102.468,0,36.6274,50.1421,97.0122,93.4975,94.4264,70.9117,bomb
0,73.8406,0,0,0,100.326,83.1543,94.669,80.3259,bomb
0,67.9411,44.0416,0,0,53.1127,127.296,90.5269,96.6102,bomb
0,93.8406,0,0,41.6985,132.225,79.4975,93.0122,72.0833,bomb
0,99.598,0,0,128.167,34.8701,67.9411,94.669,65.598,bomb
0,0,0,0,54.3848,0,0,193.681,0,bomb
0,105.196,21.3137,0,24.9706,25.3137,84.2843,100.225,51.4558,bomb
0,92.669,48.6274,0,0,113.397,90.1838,99.6396,49.9411,bomb
0,95.4975,64.669,0,0,89.1127,140.61,105.64,41.6985,bomb
0,73.598,0,0,71.1127,77.0122,77.3553,102.811,43.9411,bomb
0,103.74,0,0,106.368,0,72.5269,97.7401,67.1127,bomb
0,96.5685,0,0,170.167,0,71.9411,96.0833,73.3553,bomb
0,103.539,0,74.2843,129.823,0,72.2843,92.1838,82.669,bomb
0,114.953,0,0,103.74,0,45.3137,96.0833,21.3137,bomb
0,110.267,0,0,78.0833,25.6569,32.4853,119.539,66.9706,bomb
0,69.3553,0,85.0122,51.1127,101.74,90.669,92.1838,64.7696,bomb
0,106.569,0,55.8995,112.083,75.4558,77.598,99.7401,65.1127,bomb
0,118.711,0,0,138.652,33.3137,66.9706,121.882,37.3137,bomb
0,93.1543,0,0,89.1543,73.0122,99.8406,101.64,43.9411,bomb
0,52.5269,30.1421,0,64.1838,0,49.4558,98.5685,48.6274,bomb
0,90.7696,63.8995,135.782,39.6985,191.338,88.5269,85.799,31.5563,car
40.7279,85.799,24.1421,90.2254,236.995,302.978,41.3137,29.3137,8.82843,car
0,34.6274,0,198.208,178.953,178.426,30.1421,32.1421,60.9706,car
31.5563,89.1127,45.6569,117.397,221.924,94.3259,16.4853,37.3137,23.3137,car
30.0416,90.5269,45.5563,159.64,109.698,169.681,71.6985,19.5563,72.4264,car
20.8284,83.3137,50.7279,121.841,8.82843,125.196,0,44.0416,0,car
61.0711,84.9706,36.3848,71.6985,107.113,151.782,13.8995,32.1421,0,car
78.3848,0,0,109.456,84.1421,262.676,0,49.6985,11.0711,car
97.6985,83.3137,23.8995,50.7279,88.7279,119.196,33.6569,0,25.5563,car
21.8995,0,0,118.184,80.8284,138.326,0,23.0711,3.41421,car
80.0416,85.3137,129.012,83.1543,81.6569,90.3848,196.368,72.4264,43.1127,car
79.7401,82.4853,110.385,97.1543,55.3137,116.971,105.74,83.598,84.4264,car
164.024,84.1421,127.113,102.326,84.9706,131.355,93.4975,59.2132,40.3848,car
33.6985,82.4853,121.355,98.267,84.1421,175.054,141.882,59.1127,43.2132,car
93.4975,88.2843,114.385,102.125,0,100.728,99.799,108.569,90.4264,car
33.6985,87.2132,110.527,158.693,135.64,155.497,11.0711,60.2843,66.5269,car
76.3259,96.7696,110.042,101.64,81.0122,219.924,94.669,63.9411,63.0122,car
31.2132,92.4264,57.3137,173.924,122.225,155.196,51.6985,55.2132,32.8701,car
0,100.326,79.0711,149.48,149.539,211.137,25.3137,27.3137,46.0416,car
3.41421,40.5269,0,156.267,67.9411,187.397,26.7279,36.3848,65.2132,car
36.9706,193.74,84.8701,104.368,83.3137,115.74,83.4558,133.497,49.8406,car
69.8406,82.4853,165.64,161.255,187.539,170.368,78.669,82.2843,50.5269,car
43.6985,86.0416,142.326,100.468,0,102.385,103.213,153.782,190.167,car
77.2548,84.1421,129.698,93.2548,0,147.74,86.0416,84.9706,98.5685,car
95.2548,83.3137,147.497,89.1127,86.6274,142.811,153.095,200.167,48.1421,car
73.3553,28.8284,0,106.912,84.1421,144.569,18.7279,36.9706,51.799,car
14,0,0,178.125,137.012,205.48,0,15.6569,0,car
81.6985,0,0,47.799,84.1421,131.054,85.6985,83.3553,11.6569,car
92.5269,84.1421,11.0711,48.6274,72.4264,130.51,0,145.397,0,car
97.4558,25.6569,13.6569,167.598,110.527,142.024,28.3848,27.5563,0,car
3.41421,202.51,90.0416,162.752,80.8284,125.497,37.5563,52.8701,83.4558,car
34.2843,112.971,104.385,150.267,82.4853,121.698,47.2132,44.0416,22.8284,car
53.598,169.698,87.5563,133.054,81.6569,190.083,68.0416,27.8995,9.07107,car
70.1421,85.799,103.899,169.64,81.6569,144.627,194.024,108.569,75.6569,car
19.5563,89.4558,117.698,125.924,0,126.627,80.9706,107.983,102.468,car
37.9411,86.6274,74.5269,108.426,182.468,157.154,42.0416,23.3137,21.3137,car
49.3553,0,0,194.024,99.9411,204.083,69.9411,19.6569,0,car
16.7279,41.4558,0,129.012,179.439,216.51,48.0416,36.3848,26.9706,car
8.24264,90.5269,49.8995,250.534,47.3553,90.7696,62.0416,99.8406,115.598,car
0,178.108,0,114.752,74.2843,173.723,66.9706,105.882,74.4264,car
43.5563,44.9706,0,99.2965,76.4264,130.326,0,39.2132,38.4853,car
96.1838,0,0,90.3848,84.1421,127.054,0,33.5563,0,car
51.5563,37.6569,0,152.409,73.9411,114.51,59.799,8.24264,0,car
86.8701,82.4853,33.8995,130.426,0,99.5391,59.1127,56.2843,13.0711,car
76.3848,82.4853,22.9706,49.1127,35.0711,191.38,59.799,143.497,9.65685,car
97.3553,83.3137,57.4558,114.912,33.6569,72.6274,62.7696,58.9706,48.5269,car
98.5269,80.8284,77.598,26.1421,0,57.5563,54.6274,98.2843,28.3848,car
100.527,84.9706,47.0711,112.326,0,69.1543,56.5269,176.811,170.77,car
98.6274,84.1421,59.1127,25.3137,0,76.9706,95.1127,155.74,16.7279,car
87.2132,80.8284,57.2132,95.4558,84.1421,83.397,11.6569,0,47.3137,car
66.4264,91.2132,132.912,101.539,0,99.3553,81.6569,159.397,124.024,car
53.598,81.6569,117.355,88.2254,82.4853,149.113,84.669,86.9706,267.764,car
105.882,82.4853,131.012,156.468,84.9706,84.5269,103.355,90.1838,230.208,car
58.7279,82.4853,122.385,145.841,81.6569,128.77,29.0711,194.51,46.6274,car
115.196,84.9706,133.012,155.497,80.8284,84.1421,137.154,133.338,86.0833,car
0,92.0833,57.8406,157.681,220.752,146.569,63.2132,44.5269,77.8406,car
53.4975,89.6985,76.8701,165.882,192.953,196.61,70.5269,124.711,105.012,car
58.9117,93.0122,58.9706,71.6396,143.497,176.61,35.2132,53.6985,78.0833,car
77.7401,37.5563,62.9706,111.64,191.439,240.392,62.8701,59.2132,47.3553,car
17.5563,100.711,0,94.0833,121.983,122.569,92.5269,100.225,89.1543,car
59.2132,50.9706,0,80.9117,135.497,204.309,27.5563,22.3848,46.6274,car
76.7279,89.9411,60.0416,90.2843,91.6985,147.296,0,91.8406,63.9411,car
76.5269,72.2843,0,107.397,39.3137,138.669,89.4558,105.598,140.225,car
31.8995,82.4853,37.0711,156.024,80.2843,122.125,87.1127,14.4853,23.5563,car
47.5563,81.6569,12.8284,146.752,106.184,105.74,87.2132,48.4853,18.9706,car
54.7696,82.4853,113.556,100.711,38.1421,86.6274,191.782,189.64,137.154,car
31.6985,110.61,38.1421,86.1249,67.6985,254.652,94.7696,87.1543,184.409,car
0,104.669,108.527,112.024,92.9117,162.125,47.6985,98.4264,159.882,car
6.24264,128.752,104.527,98.9117,94.5685,153.456,85.3553,192.894,138.953,car
0,118.752,92.4264,142.794,39.799,137.296,88.3259,140.225,101.882,car
36.5269,84.9706,87.2132,212.953,167.095,112.083,74.5269,40.0416,55.3553,car
52.7696,84.1421,89.9411,100.083,307.421,138.912,30.1421,37.5563,42.5269,car
36.2843,84.9706,62.1838,84.1249,186.167,134.225,60.0416,60.0416,28.0416,car
46.7696,89.9411,104.042,114.995,198.811,176.225,95.8406,44.3848,77.4975,car
59.2548,84.1421,94.3259,117.439,202.51,180.225,131.882,99.9828,2,car
78.0416,57.799,0,84.6274,99.8406,176.125,54.2843,103.983,68.1838,car
44.7279,63.3137,0,87.4558,94.8701,280.208,0,43.2132,38.9706,car
56.3848,39.6569,0,97.1543,100.426,124.368,126.426,0,20.3848,car
84.8701,86.6274,28.4853,75.8406,17.3137,101.882,72.0416,139.397,44.4853,car
0,90.5269,19.6569,103.196,125.539,195.196,16.4853,77.2132,30.3848,car
49.3553,93.2548,0,97.4386,36.6274,118.953,91.8406,50.0416,143.196,car
52.7279,84.9706,0,107.355,96.3259,159.723,0,39.2132,13.0711,car
37.8995,22.4853,0,138.853,91.598,121.497,0,24.7279,100.184,car
73.6985,72.3848,0,126.669,81.3137,158.125,58.4264,23.3137,83.4558,car
64.5269,0,0,81.4975,159.154,103.054,0,32.7279,73.9411,car
81.2132,83.3137,92.0416,69.1127,0,22.4853,129.012,121.598,174.468,car
68.1838,88.2843,62.8701,85.7401,58.8701,108.669,95.9411,122.125,92.7696,car
94.8701,81.6569,36.1421,38.6274,0,100.811,84.9706,177.882,145.497,car
43.5563,35.3137,48.1421,157.539,170.627,103.012,17.6569,52.8701,73.598,car
88.1838,84.1421,65.0122,150.51,4.82843,221.078,85.3137,170.953,52.2843,car
11.0711,87.2132,78.0416,125.74,151.054,248.309,47.2132,53.1127,21.6569,car
52.1838,84.9706,30.2426,110.326,87.397,202.995,50.8701,142.61,66.1838,car
27.799,82.4853,72.3848,191.823,149.74,125.497,26.1421,42.1421,60.6274,car
