%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_9 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
0,14.7519,0,37.2143,13.3474,33.2059,28.9356,3.375,6.65058,accident
0,16.8317,13.1667,38,10.6786,0,31.2804,22.5889,11.8309,accident
0,13.5154,0,29.5139,12.0111,31,14.0893,1.33333,18.7083,accident
0,16.1476,37.5,0,0,18.8179,0,0,0,accident
0,11.6786,34.3787,0,0,20.1209,10.8333,19.5556,0,accident
0,10.5818,38.4815,0,0,23.3301,32.75,20.2667,4.97436,accident
0,7.22969,34.0571,28.625,0,20.0764,20.7697,20.9167,0,accident
0,9.26132,37.6667,28.9028,0,21.9326,3.5,24.5,14.485,accident
0,15.2892,0,26.25,1.41667,24.643,2.69841,8.19778,17.5513,accident
0,16.7044,0,29.4199,2.85,0,17.6913,10.7407,19.0095,accident
0,14.6726,0,34.4049,17.95,34.193,25.1544,15.1111,11.3861,accident
24.5,10.8064,0,0,14.6667,30.8611,36.4762,10.8492,18.8145,accident
0,9.45156,0,35.537,17.0833,21.1333,19.9417,6.58025,17.5598,accident
0,18.6866,0,0,3.7875,33.2143,13.9658,12.125,22.3248,accident
37,9.7475,11.5,0,0,0,11.25,24,26.0794,accident
0,15.5203,0,0,0,11,8.74074,22.6333,20.1366,accident
0,10.1192,0,27.5,4,26.5694,28.9167,8.09889,20.7333,accident
0,12.9167,0,39,14.2593,7.5,19.85,5.36111,13.9419,accident
0,16.2026,0,39.5,5.5,26.1873,0,7,23.0342,accident
0,29.5262,0,0,24.9286,23.6101,23.619,25.2593,1.91667,accident
25.0046,27.5013,0,22.9091,5.37821,26.5,0,0,10.4222,accident
36.5,28.161,0,21.6739,3.41667,25.637,6.40741,0,11.8924,accident
0,26.7255,0,29.302,2.26667,22.6539,13.6833,14.8333,8.20301,accident
0,29.7025,0,34.5,19.1161,0,23,34.6399,11.5,bomb
0,19.25,0,29.6667,11.4702,0,15.9556,21.2637,19.8333,bomb
0,22.1275,0,36.3,16.3924,13.6667,30,33.3772,6.5,bomb
0,18.1768,0,33.9206,14.9333,0,21.453,22.2339,19.7778,bomb
0,24.1492,0,0,25.2124,0,34.3667,15.4068,7.375,bomb
0,23.432,12.6222,0,12,23.5079,22.2652,35.5213,23.3571,bomb
0,14.9824,0,0,0,14.2407,25.5,34.0134,19.375,bomb
0,18.2173,0,0,0,20,29.5641,27.2417,0,bomb
0,19.7682,0,0,0,25,20.2211,35.7685,8.5,bomb
0,21.2563,0,0,0,30.25,29.6368,35.9918,17.3778,bomb
0,21.748,40,0,13.6448,30.8333,37.469,31.3733,16.75,bomb
0,17.265,0,32.5,13.5457,38.625,22.2148,23.0819,12.7679,bomb
0,14.0629,3.97619,33.8774,15.5564,0,34.0317,21.4667,17.275,bomb
0,33.2496,11.2946,31.6869,11.9182,0,13.6167,26.1534,0,bomb
25.1333,5.70253,33.2619,36.3333,18.9995,2.7619,32.2799,32.2348,22.0676,bomb
0,20.1861,0,18.1076,10.4879,0,26.733,35.0479,20.2593,bomb
0,29.5912,0,0,10.7912,30.5,25.0333,32.0501,17.75,bomb
0,23.6301,0,20.9403,3.77143,17.0381,30.4891,33.4372,10.6184,bomb
0,22.8145,0,32.8333,7.34615,39.375,26.1302,36.7772,21.8033,bomb
32.6268,17.5185,10.389,0,0,22.6,26.3548,32.0667,14.7689,bomb
0,24.4336,0,0,0,4.27381,21.1214,35.5046,18.8048,bomb
0,27.179,38.5,0,5.83333,15.5459,29.5134,39.2381,32.4733,bomb
0,17.7376,0,0,0,7.23333,19.1192,35.3079,25.5242,bomb
0,16.8143,37.5,0,0,22.1706,29.2793,32.0625,16.7949,bomb
0,13.4765,36,0,5.75952,13.9394,33.1809,29.3766,10.375,bomb
0,18.4853,0,35.6569,10.631,30.5196,32.0641,40,15.8214,bomb
0,32.8157,0,0,16.1289,0,25.5,26.8585,32.9,bomb
0,20.2413,0,38.963,20.4893,32,25.1111,36.5667,23.2949,bomb
0,9.22046,0,34.3611,22.3593,31.1,34.0678,33.8732,19.2446,bomb
0,21.838,0,39.7037,23.3299,33,26.4585,22.5,21.2436,bomb
0,16.7342,0,0,2.22222,16.6185,32.047,0,24.3526,bomb
0,19.6734,0,6.22655,0,15.3871,11.9375,36.375,26.1021,bomb
0,16.6173,0,0,0,12.0624,17.2429,35.894,22.4387,bomb
0,13.6391,0,0,11.3667,25.7641,31.1051,32.5167,19.873,bomb
0,23.3826,0,21.9571,1.5,21.2391,30.169,33.75,19.6851,bomb
0,18.1586,0,10.2222,24.6794,0,29.0833,15.6813,12.1042,bomb
0,11.0333,0,32.0062,22.6838,34.8667,22.3591,23.0801,20.7567,bomb
0,6.92821,16.7333,37.6226,20.0347,20.9068,25.4703,36.7,23.0908,bomb
0,24.5356,0,0,26.5522,30.8,18.5558,27.872,23.0625,bomb
0,13.815,15.5,39.25,26.9912,23.8434,21.6142,37.1204,23.3252,bomb
0,7.63072,0,27.1161,7.36667,0,27.5354,36.3552,20.4,bomb
0,9.1431,0,37.2564,5.17949,22.7619,27.6867,35.0415,15.1667,bomb
0,15.1728,0,0,26.061,0,10.8333,22.6946,23,bomb
0,11.5963,0,0,34.8597,0,11.5,23.0122,22,bomb
0,13.8762,2,0,27.829,0,0,25.5823,0,bomb
0,4.70598,0,0,20.3241,0,17,17.4312,25,bomb
0,6.48889,0,0,22.6119,0,0,17.2314,0,bomb
0,10.6627,0,0,11.9747,0,15.9375,36.9506,17.6714,bomb
0,5.86611,0,0,30.5234,0,0,33.6642,0,bomb
0,18.3601,6.7875,0,34.3889,0,23.2578,15.2222,0,bomb
0,17.9058,7.32222,34.8131,22.3119,0,24.4167,37.0342,16.8071,bomb
0,20.3421,0,0,29.5435,0,0,26.3551,0,bomb
0,29.7279,0,31.6996,22.5003,0,29.6071,35.2215,22.3393,bomb
0,20.0789,12.837,0,13.3508,0,24.1894,20.7713,10.0034,bomb
0,16.3207,4.12179,0,24.6719,0,22.8348,17.2473,0,bomb
0,22.0635,0,0,17.5313,25.8889,36.9916,28.9977,10.7,bomb
0,7.41486,24.6975,0,17.2509,10.1111,20.9722,24.5649,4.33333,bomb
0,11.4583,25.3963,40.5,25.9717,2.26667,20.7389,14.8381,0,bomb
0,22.2422,8.5,36.127,14.5137,24.3064,26.8852,26.6111,21.8774,bomb
0,11.7352,23.5,0,27.8069,0,18.9276,17.1472,14.9363,bomb
0,24.6212,26.9432,30.2929,13.1351,32.0667,30.8565,22.1005,9.39683,bomb
0,11.7991,12.45,0,20.8426,34,36.9167,20.1068,4,bomb
0,0,0,34.4444,24.1667,0,31.7619,25.6148,0,bomb
0,17.8896,0,0,31.1991,0,28.4353,33.35,24.25,bomb
0,15.0357,20.5778,36.2593,0,38.3333,23.6361,15.7451,11.8191,bomb
0,2.83333,0,0,0,0,0,16.5556,0,bomb
0,18.4444,0,0,0,0,0,0,24.6667,bomb
0,0,0,23.6667,0,0,35.4444,30.689,23.7436,bomb
0,2.75,0,0,23.3667,0,0,33.1,0,bomb
0,27.9735,0,0,0,0,27.3922,24.6875,23.2222,bomb
0,13.8107,36.2004,0,0,2.5,15.4752,35.6471,26.0068,bomb
13.5,26.8065,0,0,7.61111,23.2066,10.5,33.8683,32.2115,bomb
0,8.88643,0,0,0,9.28869,23.9339,33.4643,18.381,bomb
0,3.16667,19.9167,0,0,5.75778,22.253,36.6455,17.9464,bomb
0,35,0,0,17.0952,0,36.2593,0,27.3609,bomb
0,3.33333,0,9.5,10.9747,0,15,33.9988,14.25,bomb
0,22.6111,0,0,24.9292,0,6.5,24.6778,0,bomb
0,11,0,0,27.4054,0,0,25.6516,0,bomb
0,7.19427,0,0,32.9583,0,11.5,19.514,0,bomb
0,21.3502,5.74242,34.8125,27.1352,0,29.375,27.9291,0,bomb
0,0,8.46465,30.7778,20.6667,0,24.2556,0,25.4835,bomb
0,14.5714,37,0,0,0,27.3333,21.85,0,bomb
0,0,0,0,0,0,39.6667,0,0,bomb
0,12.75,27.6,0,0,0,27.8722,0,20.488,bomb
0,0,0,0,0,0,0,0,0,bomb
0,19.4158,32.8333,0,0,12.4203,16.2122,37.0622,25.887,bomb
0,7.65719,7.5,0,0,17.925,17.8571,0,30.1333,bomb
0,5.42222,17.2495,0,0,4.72906,27.7291,34.5667,17.9109,bomb
0,7.62356,20.4744,0,0,17.0392,27.7842,37.5,22.8911,bomb
0,16.875,0,0,0,18.5741,27.8975,35.5167,17.7124,bomb
0,27.7301,0,28.4444,11.7231,0,21.381,35.3362,26.1667,bomb
0,28.025,0,0,8.31378,0,29.5,21.7641,24.5,bomb
0,15.0521,0,37,26.066,0,15,25.6159,4.51852,bomb
0,11.0333,0,0,31.5112,0,0,19.7556,0,bomb
0,11.9167,0,0,26.3538,0,0,19.5488,0,bomb
0,19.5107,2,0,28.4755,0,12.2112,0,0,bomb
0,38.75,0,0,21.6066,0,0,21.3477,0,bomb
24.2879,7.86532,0,6.24503,20.9867,36.9688,18.0714,5.25519,24.5556,bomb
0,2.88889,0,0,31.4236,0,36,25.0659,0,bomb
0,21.2857,0,39.5,13.004,32.7892,23.6498,38,28.9369,bomb
0,20.6506,0,0,21.3456,0,0,25.2778,0,bomb
0,19.1956,0,0,30.5442,0,0,19.9937,0,bomb
0,17.3254,0,0,21.5286,0,0,31.7103,0,bomb
0,21.0278,0,0,23.9537,0,0,23.1414,0,bomb
0,22.1888,4.5,0,25.6419,0,32,18.5736,0,bomb
0,19.5846,0,0,31.1273,0,12,15.1176,26,bomb
0,13.2095,0,0,24.6779,40,32.1434,28.5315,11.6111,bomb
0,0,0,0,0,0,0,24.5653,0,bomb
0,12.5625,0,29.5,13.1763,0,20,32.1093,26.1667,bomb
0,26.3242,6.25,0,18.2511,0,30.4545,14.8351,15.8,bomb
0,26.0811,0,33.3333,8.2963,5.38889,25.6641,25.8458,15.7267,bomb
0,18.0953,0,0,0,7.7971,19.1524,35.746,21.8964,bomb
0,6.46296,21.5444,0,0,34.2407,27.7499,34.3571,15.4236,bomb
0,17.761,0,0,12.396,16.0181,26.784,32.8726,18.3429,bomb
0,7.38624,0,0,18.5309,35.3927,28.7196,35.7523,12.9306,bomb
0,0,0,0,27.1111,0,0,17.4163,0,bomb
0,22.1515,34.5,0,23.1667,6.5,30.7857,20.8961,14.3333,bomb
0,22.5,33.1074,0,0,20.8542,31.4538,27.9572,9.61688,bomb
0,10.3647,34.5502,0,0,32.4,31.7103,25.7957,9.5873,bomb
0,20.0833,0,0,10.869,23.491,29.9142,26.5778,8,bomb
0,32.0907,0,0,11.5778,0,23.8347,35.418,23.3625,bomb
0,18.4804,0,0,21.4078,0,26,34.8537,15.2456,bomb
0,18.7682,0,9,13.3265,0,25.5,36.567,16.4364,bomb
0,22.3121,0,0,25.7823,0,28,25.8782,0,bomb
0,23.5372,0,0,20.8235,8,0,25.5002,0,bomb
0,3.85714,0,9.88889,9.17157,14.8095,29.6299,30.5921,15.85,bomb
0,18.1556,0,21.881,15.4568,14.4074,23.7,34.8118,19.9792,bomb
0,21.7711,0,0,12.7397,30.6667,14.6667,33.2965,16,bomb
0,21.875,0,0,12.0693,26.5194,33.1794,28.645,8.17262,bomb
0,19.4515,32.25,0,4.25,0,32.1894,29.2069,14.75,bomb
0,37.55,19.7222,19.2298,24.242,32.2666,5.20255,2.8125,2.03704,car
39.6667,0,39.75,18.5606,26.5495,18.0427,1.5,1.5,1.5,car
0,39.746,0,28.6996,10.3615,15.4282,2.5,1.25,0.875,car
39.631,0,0,23.9375,23.211,27.4484,1,1.43056,1,car
36.4858,24.2554,38.9127,19.4077,36.1448,26.2461,7.61197,3.12121,3.03968,car
0,0,38.4907,13.8485,30.5,25.1957,0,3.13889,0,car
39.7778,0,26.4206,22.0493,25.3378,23.2369,2.36905,3.1875,0,car
18.0556,0,0,14.1181,21.375,20.3834,0,0.5,1.36667,car
36.5778,0,19.6333,39.6667,38.5333,18.5464,1.5,0,5.53333,car
39.8667,0,0,28.2083,18.8333,24.0382,0,0.666667,1.66667,car
26.2766,6.375,12.0556,7.1165,0,23.625,14.1562,4.48841,5.73929,car
30.1396,0,11.4603,13.1263,0,32.6833,12.006,8.20833,13.2845,car
32.9009,0,18.9975,9.30761,19.5278,37.2667,11.0347,8.16021,5.98677,car
36.5843,16.2778,28.463,8.33216,0,32.9083,13.3333,11.3706,7.03846,car
29.5487,0,23.7,17.4292,0,39.6667,9.66067,10.7687,10.5448,car
37.0026,29.5556,25.5278,25.1084,25.7528,24.1479,2.26667,5.90503,6.7322,car
33.9762,26.75,31.0926,21.9712,29.4629,30.4174,12.4165,11.7218,5.60784,car
37.8889,35.375,0,21.5406,28.5245,14.3271,6.17157,5.95202,10,car
0,37.2362,39.7778,22.2738,16.633,18.4837,2.25,3.49286,4.45238,car
40.6667,38.3739,0,22.7159,22.2676,26.7273,6.47778,4.80227,4.12037,car
29.9285,25.8182,32.2259,12.7072,0,17.7095,9.64028,12.0589,6.56093,car
19.1506,0.75,20.641,18.5417,32.9889,21.4762,30.5518,18.1237,9.79259,car
34.8194,9.34074,14.2074,17.8239,0,32.1111,19.3222,21.492,14.5996,car
28.5079,0,15.1222,17.4881,0,28.6296,14.5991,20.1056,13.7479,car
5.89091,0,15.3121,8.75,0,25.058,22.3236,17.6409,2.55556,car
36.6818,0,0,21.8852,9.52083,29.9186,3.73333,2.83333,5.48485,car
0,0,0,23.8482,20.3635,32.1991,0,0,0,car
36.8519,0,0,19.6889,19.7708,17.2728,2.75,4.96667,2.55556,car
31.5,0,39.7778,13.75,38.4762,12.452,0,6.74901,0,car
34.8333,0,40.5,25.6509,26.6795,20.9827,5.28956,5.51852,0,car
40.6667,31.8699,24.6843,12.721,0,29.3733,7.55556,7.76222,4.0463,car
37,27.3519,32.8333,8.32594,19.4375,32.0034,12.5952,11.2403,0,car
36,0,35.0556,26.7516,19.1651,26.1556,8.59394,3.74691,2,car
17.4167,0,28.0556,15.6995,0,36.2917,9.60318,11.5091,7.38889,car
39.0909,19.4944,28.2,18.1656,0,21.8889,10.4722,11.5048,8.81111,car
35.75,0,34.881,16.1919,28.8765,23.411,11.9011,1,2.5,car
38.4792,0,0,22.8154,18.4705,28.9986,2.25,1.5,0,car
19.3704,37.6667,0,23.8684,19.3236,27.2821,3.99084,3.12727,2.375,car
39.5556,24.0979,39.1389,29.6471,37.8673,35.05,4.4185,5.20833,5.72685,car
0,33.5633,0,27.798,22.6726,17.2401,12.1667,8.78598,7.70758,car
37.5,19.25,0,22.7308,22.1389,21.3159,0,3.7,0,car
36.8506,0,0,13.5833,0,13.1473,0,7.98148,0,car
39.3,0,0,32.1944,24.2333,23.8849,2.26667,1.77778,0,car
33.4,0,36.1111,28.2571,0,28.74,7.60774,8.24242,1.53333,car
37.1167,0,38.0417,10.7286,34.5,28.3118,3.72222,3.98512,2,car
32.7752,0,36.5952,19.8868,0,24.6233,4.67738,9.02469,9.02381,car
34.4167,0,34.0605,2,0,16.0397,2.7037,5.94907,3.04762,car
30.3889,0,39.6389,22.5694,0,13.5183,0,5.75595,6.13889,car
32.4722,0,37.5,5,0,14.1144,6.94444,5.51389,3.03704,car
32.5556,0,35.9222,23.2254,26.5556,15.2943,1.5,0,3.8952,car
31.5556,11.6543,11.881,13.8893,0,20.4747,14.0547,13.5798,12.1,car
31.9562,10.25,26.0556,8.90789,0,17,12.93,9.94496,9.9476,car
18.6389,0,23.3333,22.1193,0,13.5758,14.0351,21.4327,16.5955,car
27.7148,0,11.9444,6.15033,0,28.3833,22.5,11.9733,9.4375,car
28.522,6.75,23.0556,7.87582,0,12.9259,19.1446,18.0397,18.7607,car
0,32.4108,33.6114,30.0425,27.1626,19.8376,11.7403,5.74015,7.19873,car
33.66,23.3288,34.4667,24.2078,34.831,23.8194,13.9074,10.8824,10.2401,car
31.6202,26.0709,20.25,23.5252,38.3333,29.6605,9.11389,11.3185,12.4735,car
32.1127,38.8167,0,26.7921,15.3254,25.5531,11.8252,11.1784,9.54106,car
39.4545,29.3262,0,22.453,17.441,24.7844,9.60826,11.6973,11.2992,car
36.4556,39.75,0,24.2856,16.0238,32.3805,5.09524,3.89815,6.41429,car
34.5556,0,39.3333,16.2931,26.8519,22.1465,0,2.96296,5.56229,car
30.463,37.5,0,13.5714,9.55093,29.8797,3.60741,6.47778,8.90458,car
19.3889,0,19.1667,26.0878,29.5667,31.5542,2.55556,2.5,2.53333,car
18.2222,0,0,19.8121,37.5833,21.8212,0,2.66667,3,car
31.898,0,20.3333,28.647,40,25.7749,9.87582,9.64907,4.9892,car
36.873,25.8656,39,28.6108,32.6706,29.213,11.4984,14.0184,15.1458,car
0,32.3257,25.1111,28.4193,22.1703,20.7747,11.7889,7.64366,11.0646,car
40.2222,18.7692,26.4259,24.9052,29.2454,30.4556,14.5458,17.2462,17.4236,car
0,25.8116,34.4167,23.7534,24.9469,25.6229,12.5018,13.1871,15.279,car
36.2258,30.75,38.25,24.4618,29.7384,29.4715,5.337,5.69779,6.12302,car
35.0903,0,35.75,25.0172,35.3242,14.9658,2.25,5.76852,6.93403,car
35.6222,0,34.3251,23.1154,32.1872,22.353,6.4697,6.57842,4.99376,car
35.25,25.6071,28.1481,13.4584,35.5417,25.4375,7.11012,11.2061,9.81418,car
34.25,21.75,29.4973,23.559,25.1744,20.6648,10.6889,9.11166,0,car
32.0476,17.75,0,21.8579,11.1494,28.0576,7.40741,4.87842,6.12183,car
36.3333,0,0,14.5783,18.0308,23.949,0,3.48942,4.51852,car
37.119,0,0,31.5702,20.4931,25.494,4,0,3.87121,car
18.6963,0,40.5,18.6259,39.3571,22.2913,6.11825,9.42333,9.18056,car
0,38.7963,0,25.3912,19.2513,28.1018,4.25,6.06614,6.94722,car
35.2249,35.5846,0,11.44,22.7143,18.5123,12.0926,16.1667,11.7296,car
17.6667,38.5,0,16.3838,21.8788,26.2125,0,5.5,2.26667,car
36.6667,40,0,23.1367,18.3426,26.3912,0,1.77778,3.88889,car
34.2189,37.2222,0,28.6297,18.5,25.6063,4.72751,3.77778,8.76296,car
37.0889,0,0,21.4121,19.4306,25.851,0,6.88889,3.65417,car
34.9233,0,35.9667,9.625,0,19.8333,6.3,5.17914,7.50926,car
33.2234,0,39.3333,23.1042,40.1429,15.9103,5.29564,7.53941,9.63248,car
29.2,0,19.5,8.72857,0,24.6937,3.06481,4.40086,6.98854,car
35.0848,0,39.75,25.8548,25.5556,11.4911,1.5,6.47721,7.2037,car
29.2828,0,31.4386,20.1439,0,27.2384,4.07407,10.917,8.20418,car
39.7333,36.7778,34.2003,14.9014,29.167,25.3913,7.64935,3,2.5,car
34.3434,37,40.3333,28.837,32.3444,23.8965,4.74292,5.15238,5.62281,car
38.75,0,39.1389,25.3697,17.1628,28.3762,2,1.5,2.65,car
0,38.5842,0,18.2074,18.2168,15.0369,0,2.04167,2.25,car
0,38.8194,38.9222,25.8297,20.0564,19.7559,0,2.36667,1.25,car
0,0,0,20.7616,23.7671,28.0528,0,0,0,car
38.75,0,13.4444,27.7023,27.102,27.8917,0,0,2.58333,car
