%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_0 NUMERIC
@ATTRIBUTE  Mass_Center_X_0 NUMERIC
@ATTRIBUTE  Mass_Center_Y_0 NUMERIC
@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
0.0129032,0,0,0.153917,0.716,0.508697,0.078341,0.0857143,0.350806,0.0700461,0.85,0.753584,0.146544,0.298238,0.250806,0.147465,0.391429,0.543548,0.270968,0.322067,0.363518,0.199078,0.442963,0.123477,0.223963,0.456606,0.424927,accident
0.0810631,0.787761,0.644336,0.188704,0.367001,0.597022,0,0,0,0.107641,0.386437,0.466428,0.142857,0.5,0.0876984,0.100332,0.218494,0.655713,0.202658,0.134558,0.513711,0.178073,0.353682,0.31627,0.179402,0.636397,0.315745,accident
0.0761099,0.863215,0.566595,0.191332,0.241178,0.476685,0.0174419,0.0965909,0.906977,0.106237,0.450057,0.387776,0.0692389,0.183923,0.369509,0.153805,0.522871,0.37539,0.178647,0.159218,0.572829,0.188689,0.323586,0.287907,0.0549683,0.514069,0.147702,accident
0.00071736,0,0,0.234577,0.36494,0.596383,0,0,0,0.126973,0.69995,0.50194,0.176471,0.526678,0.260632,0.101865,0.179679,0.69357,0.214491,0.186508,0.63947,0.197991,0.193099,0.186412,0.205165,0.611033,0.369046,accident
0.0852941,0.879412,0.716667,0.197059,0.272398,0.523419,0,0,0,0.141176,0.545183,0.460887,0.245098,0.621265,0.566601,0.00588235,0.0392157,0.922222,0.247059,0.145497,0.463786,0.303922,0.314916,0.148319,0.24902,0.198366,0.37213,accident
0.055673,0.828165,0.731987,0.148696,0.253254,0.375455,0.0458069,0,0,0.0894996,0.469961,0.478114,0.0796335,0.310078,0.050505,0.0923185,0.27619,0.599997,0.0415786,0.124943,0.199643,0.0493305,0.412791,0.536616,0.154334,0.746672,0.356673,accident
0.115115,0.786418,0.491733,0.112112,0.257427,0.595568,0.024024,0,0,0.133133,0.588088,0.40192,0.0860861,0.768427,0.194444,0.126126,0.359096,0.680691,0.132132,0.0892768,0.251457,0.122122,0,0,0.0920921,0.73964,0.22037,accident
0.0421811,0.886574,0.759259,0.151235,0.265917,0.420428,0,0,0,0.0925926,0.579262,0.500683,0.110082,0.830626,0.166919,0.0874486,0.227231,0.666667,0.13786,0.141639,0.396708,0.121399,0,0,0.147119,0.44773,0.318199,accident
0.0979167,0.414062,0.45,0.146875,0.380292,0.517615,0.0458333,0,0,0.103125,0.481523,0.56541,0.0541667,0.85535,0.108081,0.110417,0.295618,0.639783,0.105208,0.124008,0.551852,0.123958,0,0,0.139583,0.757664,0.393346,accident
0.0840336,0.771423,0.490338,0.170868,0.425271,0.527049,0.00210084,0,0,0.0756303,0.35989,0.493213,0.0406162,0,0,0.134454,0.457769,0.498798,0.0973389,0.228016,0.580245,0.121849,0.159259,0.144444,0.0910364,0.763461,0.310928,accident
0.3125,0.708333,0.375,0.286458,0.424746,0.536158,0.0104167,0,0,0.328125,0.784722,0.34375,0.0677083,0.805556,0.0833333,0.328125,0.354167,0.453125,0.203125,0,0,0.166667,0,0,0.151042,0.328373,0.172619,accident
0.20979,0.697115,0.522727,0.300699,0.324786,0.29798,0.573427,0,0,0.223776,0.346154,0.5,0.216783,0.820513,0.121212,0.230769,0,0,0.216783,0,0,0.258741,0.384615,0.5,0.496503,0.820513,0.121212,accident
0.170833,0.633333,0.75,0.283333,0.489107,0.461091,0.05,0.2,0.84375,0.154167,0.533333,0.28125,0.145833,0,0,0.270833,0.464815,0.340278,0.170833,0,0,0.220833,0,0,0.2125,0,0,accident
0.238562,0.735294,0.535802,0.29085,0.576163,0.431336,0.00980392,0,0,0.140523,0.271242,0.520062,0.0882353,0,0,0.27451,0.397059,0.496528,0.147059,0,0,0.166667,0.558824,0.333333,0.117647,0.0784314,0.240741,accident
0.117225,0.394737,0.306818,0.272727,0.472357,0.517707,0.155502,0,0,0.220096,0.438597,0.534871,0.100478,0.491228,0.390152,0.200957,0.335655,0.573084,0.188995,0.212782,0.756926,0.119617,0.237517,0.301865,0.196172,0.394737,0.192235,accident
0.106996,0.768519,0.592593,0.165981,0.12963,0.135802,0.138546,0.484278,0.675266,0.142661,0.315329,0.489712,0.119342,0.164609,0.216049,0.130316,0.290123,0.135802,0.208505,0.274799,0.530562,0.237311,0.355967,0.355453,0.17284,0.6298,0.327702,accident
0.0814176,0.483333,0.586207,0.181034,0.410802,0.490038,0.0507663,0,0,0.103448,0.225694,0.482759,0.0938697,0.138889,0.396552,0.12069,0.661725,0.316053,0.176245,0.154101,0.467532,0.231801,0.604001,0.48399,0.122605,0.437879,0.289394,accident
0.120235,0.543939,0.396774,0.171554,0.532793,0.393573,0.0835777,0,0,0.180352,0,0,0.117302,0,0,0.164223,0,0,0.196481,0.290634,0.453568,0.180352,0.414341,0.531392,0.178886,0.441041,0.514598,accident
0.0551378,0.392857,0.407895,0.199248,0.476916,0.456654,0.0626566,0.170635,0.437719,0.200501,0.44983,0.351504,0.114035,0.0952381,0.269737,0.184211,0,0,0.218045,0.558881,0.472673,0.179198,0.392188,0.385445,0.101504,0.385348,0.214119,accident
0.0237557,0.903846,0.852941,0.209276,0.544234,0.452902,0.107466,0.211538,0.688235,0.161765,0.583042,0.533757,0.115385,0.230769,0.0784314,0.150452,0.185897,0.0294118,0.21267,0.401584,0.717232,0.186652,0.17447,0.159704,0.178733,0.591689,0.586551,accident
0.000258799,0,0,0.134058,0.347048,0.557582,0.0010352,0.0193237,0.958333,0.0561594,0.773112,0.556992,0.0509834,0.108696,0.0238095,0.0804865,0.358075,0.490499,0.104037,0.30785,0.607366,0.0830745,0.168997,0.191207,0.0980849,0.825443,0.35206,accident
0.0161476,0,0,0.133506,0.450454,0.746084,0.00144175,0,0,0.0354671,0.876791,0.720714,0.0544983,0.0286239,0.111345,0.0911188,0.464243,0.488177,0.105825,0.230345,0.417678,0.0801615,0.311073,0.238769,0.0940023,0.458606,0.0501543,accident
0.0252207,0,0,0.101639,0.258399,0.18073,0.0151324,0.0635531,0.901119,0.0552333,0.51352,0.737829,0.0388398,0.196154,0.319672,0.0802018,0.534602,0.484904,0.0713745,0.224946,0.376401,0.0615385,0.306695,0.358579,0.0612863,0.396093,0.298985,accident
0.044252,0.772938,0.665564,0.0954786,0.480202,0.417357,0.00793651,0.0493827,0.914756,0.0553151,0.4974,0.362969,0.0440115,0,0,0.0740741,0.376443,0.495761,0.0692641,0.137999,0.278139,0.0675806,0.600589,0.780203,0.0906686,0.607403,0.293207,accident
0.00403226,0.963235,0.935484,0.103653,0.476351,0.414938,0.0505218,0.242302,0.655895,0.0574004,0.707353,0.575403,0.0239564,0.536765,0.0806452,0.0536053,0.729649,0.319677,0.079222,0.253212,0.373613,0.0149431,0,0,0.0203985,0,0,accident
0.028463,0,0,0.218216,0.284446,0.601646,0.114801,0,0,0.0768501,0,0,0.0550285,0.410948,0.123656,0.117647,0.319888,0.54616,0.056926,0,0,0.0303605,0.493464,0.354839,0.139469,0.804434,0.417389,accident
0.0841785,0.740093,0.465725,0.213996,0.409112,0.510108,0.0882353,0,0,0.0638945,0,0,0.0446247,0.889356,0.114943,0.111562,0.264784,0.604478,0.102434,0,0,0.137931,0.132353,0.0948276,0.191684,0.501867,0.320765,accident
0.0280438,0.902547,0.796919,0.183311,0.391503,0.462394,0.0246238,0,0,0.0937073,0.645349,0.526471,0.0533516,0.608527,0.0686274,0.101915,0.307356,0.60058,0.0759234,0.250362,0.29098,0.116279,0,0,0.136799,0.800261,0.273937,accident
0.0332122,0.862258,0.832515,0.182667,0.381727,0.461308,0.0498184,0,0,0.0778412,0.449894,0.475486,0.0721328,0.776761,0.421395,0.114167,0.435023,0.554682,0.0513752,0,0,0.0690192,0,0,0.0679813,0.729638,0.144423,accident
0.00763775,0.93617,0.910256,0.156028,0.453592,0.505761,0.00163666,0,0,0.0741953,0.651064,0.504822,0.0518276,0.228723,0.358974,0.0823786,0.249353,0.566767,0.0589198,0.279551,0.228775,0.102019,0,0,0.152755,0.702221,0.33863,accident
0.016129,0,0,0.207885,0.365361,0.324219,0.0277778,0.111111,0.854839,0.0896057,0.604767,0.553564,0.0430108,0,0,0.145161,0.52822,0.404839,0.146057,0.232407,0.274194,0.0913978,0,0,0.129928,0.665556,0.534265,accident
0.0327035,0.903876,0.825521,0.21875,0.221463,0.317343,0.0806686,0,0,0.0915698,0.572328,0.484816,0.059593,0.906977,0.109375,0.111919,0.326873,0.560277,0.0668605,0.145445,0.223971,0.117006,0,0,0.165698,0.862991,0.347208,accident
0.0120739,0.920455,0.898438,0.223722,0.374594,0.53739,0.0447443,0,0,0.0965909,0.61726,0.451313,0.0823864,0.445937,0.0643939,0.0951705,0.238691,0.626554,0.0674716,0.12059,0.335565,0.068892,0,0,0.171165,0.662667,0.46689,accident
0.0329457,0.895349,0.75,0.164083,0.273288,0.46036,0.0135659,0,0,0.0813953,0.671789,0.591931,0.104005,0.409746,0.106397,0.0768734,0.249778,0.708038,0.104651,0.287774,0.388239,0.0723514,0.255814,0.337963,0.151163,0.705515,0.342471,accident
0.0855856,0.697153,0.471237,0.18018,0.342454,0.346065,0.0112613,0.0612613,0.909259,0.0938438,0.320946,0.302083,0.0788288,0,0,0.132883,0.486446,0.457307,0.132132,0.0168919,0.208333,0.117117,0.407658,0.573303,0.115616,0.752098,0.307534,accident
0.00127592,0,0,0.103349,0.403171,0.343366,0.0478469,0.142576,0.753251,0.0816587,0.707529,0.499957,0.060925,0.409357,0.10303,0.0896332,0.445639,0.335795,0.12823,0.138319,0.26552,0.0708134,0.454018,0.288782,0.0714514,0.832273,0.791591,accident
0.0769231,0.842483,0.481798,0.118077,0.327691,0.329896,0.0153846,0.0827506,0.904848,0.0930769,0.458406,0.525,0.0576923,0.223291,0.242222,0.121538,0.458981,0.423459,0.158462,0.0860636,0.287716,0.171538,0.279344,0.213967,0.125,0.775107,0.678333,accident
0.0406619,0.911111,0.769149,0.171631,0.446189,0.446006,0.00189125,0,0,0.103546,0.601667,0.5,0.0978723,0.476461,0.34866,0.12766,0.278828,0.520847,0.183452,0.186283,0.18177,0.18818,0.469605,0.31963,0.162175,0.697082,0.622193,accident
0.0690678,0.861409,0.523473,0.140678,0.271892,0.279223,0.0360169,0.13125,0.856317,0.113559,0.452222,0.39774,0.101271,0.583333,0.580038,0.122034,0.454514,0.244115,0.111017,0.104167,0.290254,0.15339,0.324848,0.166632,0.0766949,0.724306,0.362994,accident
0.0333525,0.456456,0.0484634,0.211041,0.2508,0.359949,0.000575043,0,0,0.12996,0.705405,0.519149,0.0626797,0.63964,0.335106,0.155837,0.358108,0.488677,0.20184,0.271294,0.427627,0.216791,0.318452,0.329435,0.146061,0.67241,0.650887,accident
0.0678999,0.649957,0.296862,0.0821947,0.497438,0.480334,0.0063065,0.056338,0.940298,0.064116,0.313996,0.463298,0.0571789,0.167449,0.191542,0.0849275,0.588406,0.391318,0.0973303,0.109758,0.412276,0.0975405,0.20626,0.206965,0.0704225,0,0,accident
0.0861306,0.655793,0.30642,0.07312,0.479816,0.534144,0.0270622,0.239142,0.867347,0.0510018,0.178571,0.173469,0.0647931,0.0519126,0.015873,0.0720791,0.604458,0.22919,0.0710383,0.465857,0.703828,0.112412,0.350305,0.340347,0.103305,0.68241,0.547871,accident
0.0614326,0.80914,0.382734,0.101281,0.285769,0.532209,0.00664137,0.0483871,0.933824,0.0749526,0.280059,0.340601,0.0552657,0,0,0.0820683,0.380866,0.422432,0.101518,0.494001,0.372033,0.0894213,0.157258,0.09375,0.115987,0.656929,0.263181,accident
0.0409861,0.867273,0.748776,0.130663,0.494726,0.434673,0.0628659,0.349445,0.710488,0.0856703,0.497689,0.543503,0.0662558,0,0,0.0807396,0.731818,0.180387,0.109707,0.139524,0.531101,0.059168,0.13771,0.342122,0.048074,0.918457,0.908115,accident
0.0793444,0.803256,0.373809,0.117846,0.348629,0.557397,0.0117066,0.0672043,0.948925,0.0754422,0.28741,0.483333,0.064256,0.379032,0.129032,0.0876691,0.599973,0.356565,0.10666,0.304141,0.43398,0.12565,0.0480031,0.158218,0.0829865,0.916531,0.717932,accident
0.0803881,0.680008,0.652824,0.107415,0.298822,0.392233,0,0,0,0.112266,0.340273,0.397855,0.147609,0.458412,0.136266,0.0859321,0.217949,0.682995,0.10395,0.0757177,0.601294,0.119196,0.190715,0.534014,0.124047,0.686011,0.634439,accident
0.0869906,0.905172,0.539773,0.173197,0.214904,0.320297,0.0329154,0,0,0.139498,0,0,0.134013,0.611303,0.277736,0.110502,0.271614,0.701015,0.218652,0.422733,0.384891,0.188871,0.179783,0.247088,0.122257,0.612278,0.561267,accident
0.0229592,0.875,0.880952,0.129252,0.233736,0.312611,0.153912,0.157143,0.330952,0.152211,0.561225,0.460884,0.0680272,0.333333,0.343915,0.163265,0,0,0.217687,0.0388889,0.183598,0.191327,0.406994,0.287401,0.212585,0.305861,0.470124,accident
0.16044,0.793333,0.61396,0.0549451,0.103641,0.833459,0,0,0,0.168498,0.597857,0.635755,0.154579,0.590785,0.384908,0.0490842,0.111746,0.868376,0.206593,0.473352,0.445957,0.216117,0.195927,0.42959,0.158974,0.532158,0.36012,accident
0.0514801,0.831081,0.814935,0.127413,0.573669,0.287888,0.0682111,0.0202703,0.428571,0.138996,0.451692,0.350987,0.0810811,0.643822,0.543438,0.14157,0.256757,0.27381,0.206564,0.0939121,0.535594,0.203346,0.414913,0.469983,0.182111,0.564438,0.710421,accident
0.0146875,0.93,0.917188,0.096875,0.588751,0.590183,0.109687,0.312584,0.0715414,0.0925,0.661894,0.347893,0.051875,0.333333,0.0494792,0.08125,0,0,0.096875,0.252216,0.655703,0.0871875,0.554857,0.628136,0.121875,0.518232,0.771438,accident
0.0288822,0.884275,0.862135,0.0952738,0.414911,0.338712,0.122656,0.425423,0.154574,0.0982746,0.601744,0.379032,0.0738935,0.320672,0.279391,0.0986497,0,0,0.0930233,0.461951,0.591006,0.127907,0.422924,0.410637,0.106152,0.843023,0.891129,accident
0.0136876,0.925926,0.916667,0.0850778,0.426447,0.398347,0.0861514,0.225127,0.129866,0.0864198,0.620721,0.348814,0.0450886,0.06893,0.108427,0.0799785,0,0,0.105475,0.0822555,0.59911,0.0496511,0.287449,0.359501,0.0831991,0.824074,0.771739,accident
0.0337906,0.882653,0.831967,0.104383,0.31463,0.3909,0.092004,0.172021,0.273325,0.100368,0.453523,0.523863,0.0602208,0.229025,0.0491803,0.0983607,0,0,0.0715959,0.234694,0.516393,0.0809635,0.270975,0.707195,0.133155,0.779691,0.861144,accident
0.0609284,0.816076,0.600168,0.092521,0.421086,0.416175,0.0909091,0.187398,0.39627,0.0892972,0.25,0.159091,0.0770471,0.20922,0.0530303,0.0992908,0,0,0.124113,0.29696,0.358297,0.0999355,0.146572,0.0782828,0.132173,0.11886,0.153386,accident
0.2,0,0,0.294,0.398016,0.419683,0.086,0,0,0.136,0.694028,0.685889,0.23,0.24375,0.0733333,0.142,0.264773,0.684242,0.19,0.262222,0.402222,0.208,0.524013,0.340526,0.258,0.356591,0.332788,accident
0.142045,0.759259,0.654586,0.21733,0.293087,0.38805,0.257102,0,0,0.276989,0.582702,0.43316,0.0284091,0,0,0.150568,0.308156,0.403462,0.31108,0.242474,0.262981,0.190341,0.499311,0.40333,0.106534,0.461601,0.212929,accident
0.00387097,0,0,0.163871,0.657624,0.353665,0.107097,0.186667,0.0645161,0.170323,0.579666,0.510502,0.0683871,0.297204,0.366757,0.139355,0.362222,0.410394,0.203871,0.238409,0.464101,0.188387,0.67873,0.634921,0.125161,0.370821,0.362581,accident
0.0308555,0.869565,0.854839,0.185133,0.498658,0.424034,0.0967742,0.20098,0.714358,0.187938,0.517977,0.434967,0.0897616,0.396135,0.221027,0.16129,0.516304,0.16129,0.239832,0.200684,0.737754,0.148668,0.360662,0.352381,0.182328,0.622226,0.507783,accident
0.0618182,0.560606,0.79,0.121818,0,0,0.18,0,0,0.158182,0.306818,0.301429,0.170909,0.427273,0.448,0.0436364,0.851515,0.837333,0.203636,0.26936,0.302963,0.196364,0.427609,0.522963,0.16,0.445618,0.309012,accident
0.0666667,0.730956,0.429389,0.0615385,0.509138,0.58233,0.0806268,0.472771,0.53555,0.0763533,0.268519,0.338462,0.0666667,0.305556,0.289744,0.0524217,0.898148,0.261538,0.0350427,0.050953,0.606028,0.0564103,0.464167,0.489806,0.0245014,0.47428,0.447863,accident
0.0813675,0.856944,0.241346,0.0762393,0.270032,0.35045,0.0382906,0.237,0.837278,0.0895726,0.411111,0.192308,0.065641,0.210123,0.0811966,0.0806838,0.675767,0.192711,0.0410256,0.0414055,0.624589,0.0464957,0.75692,0.852159,0.103248,0.484556,0.714448,accident
0.0680108,0.749815,0.15006,0.077957,0.549232,0.392298,0.0446237,0.273319,0.803086,0.072043,0.265278,0.424731,0.0577957,0.322222,0.102151,0.0424731,0.773328,0.210543,0.0424731,0.0459926,0.471708,0.0510753,0.434012,0.337903,0.0639785,0.783862,0.759463,accident
0.0594385,0.674302,0.604697,0.0803465,0.533026,0.330645,0.0456989,0.344753,0.821505,0.0830346,0.299691,0.428495,0.0483871,0.0925926,0.125,0.0669056,0.736265,0.156452,0.0642174,0.0864785,0.59406,0.0486858,0.089892,0.252016,0.0758662,0.881173,0.732335,accident
0.0583837,0.738866,0.599811,0.0954846,0.30623,0.225121,0.0342249,0.195768,0.870878,0.0831176,0.314745,0.450636,0.0520564,0.146839,0.378194,0.0880069,0.649664,0.226816,0.0635605,0.233341,0.428579,0.053782,0.517544,0.57582,0.0908829,0.387577,0.418916,accident
0.0531291,0.789423,0.674153,0.0990874,0.340307,0.386095,0.0687744,0.27354,0.437617,0.0821382,0.463942,0.341102,0.0511734,0,0,0.0736636,0.767094,0.655838,0.122881,0.111213,0.582739,0.0964798,0.160969,0.0888261,0.0958279,0.837569,0.608187,accident
0.0495614,0.79375,0.764327,0.115789,0.410087,0.538242,0.109649,0.481481,0.208902,0.0942982,0.380952,0.394737,0.0969298,0,0,0.077193,0,0,0.11886,0.249167,0.478107,0.121491,0.553125,0.510965,0.0991228,0.678936,0.532552,accident
0.157738,0.426363,0.57417,0.0982143,0.234821,0.35735,0.0958333,0.411968,0.432405,0.0732143,0.186786,0.234375,0.0714286,0,0,0.104762,0,0,0.118452,0.304593,0.454599,0.141667,0.507857,0.415278,0.113095,0.45072,0.458823,accident
0.13686,0.574231,0.605279,0.093157,0.293093,0.566903,0.121909,0.651415,0.38161,0.110408,0.283784,0.117021,0.0977573,0,0,0.101783,0.736486,0.718085,0.205865,0.411595,0.591845,0.139735,0.386814,0.369826,0.0960322,0.304468,0.440794,accident
0.0724638,0.74456,0.644022,0.123188,0.382534,0.475068,0.128019,0.320012,0.373483,0.117754,0.32037,0.368841,0.120169,0.380038,0.423041,0.1093,0.251543,0.0700483,0.225242,0.116787,0.386842,0.202295,0.186111,0.248551,0.131643,0.500647,0.300985,accident
0.114973,0.806818,0.441176,0.328877,0.42265,0.588625,0.0026738,0,0,0.157754,0.147727,0.352941,0.117647,0.310606,0.205882,0.256684,0.418788,0.492745,0.18984,0.777778,0.575163,0.181818,0.261364,0.502451,0.205882,0.527223,0.256626,accident
0.0921053,0.875,0.473684,0.352632,0.254727,0.303666,0.0263158,0.0888889,0.853801,0.173684,0.575,0.657895,0.134211,0,0,0.234211,0.437302,0.405597,0.168421,0.238333,0.337719,0.171053,0,0,0.252632,0.634722,0.444444,accident
0.159091,0.71434,0.379817,0.267677,0.664084,0.42219,0.020202,0.0757576,0.851852,0.118687,0.325758,0.444444,0.0707071,0.37178,0.160185,0.277778,0.534166,0.4553,0.191919,0.304113,0.623016,0.207071,0.727273,0.666667,0.138889,0.297683,0.223312,accident
0.0916667,0.775,0.791667,0.283333,0.432685,0.673159,0.0979167,0,0,0.129167,0.572024,0.394841,0.1375,0.530833,0.138889,0.216667,0.380401,0.526188,0.0708333,0,0,0.177083,0.395,0.729167,0.158333,0.465909,0.222222,accident
0.0452174,0.423333,0.384058,0.295652,0.306747,0.554414,0.267826,0,0,0.135652,0.6005,0.430435,0.154783,0.442222,0.309179,0.161739,0.294286,0.542236,0.0817391,0.22,0.184783,0.0713043,0.72,0.335121,0.24,0.644138,0.477761,accident
0.0648148,0.845381,0.684834,0.239712,0.449842,0.463834,0.0185185,0.0740741,0.879012,0.0936214,0.531504,0.40579,0.0699588,0,0,0.183128,0.505797,0.447883,0.175926,0.174383,0.502058,0.16358,0.442217,0.356697,0.160494,0.64812,0.411672,accident
0.0890136,0.727035,0.60816,0.200481,0.250722,0.32851,0.136327,0,0,0.0882117,0.252905,0.386912,0.105052,0.402732,0.238643,0.133921,0.34103,0.547377,0.0946271,0.379845,0.83908,0.170008,0.17794,0.243547,0.175621,0.697124,0.576297,accident
0.0203349,0,0,0.177632,0.436408,0.578465,0.0364833,0,0,0.083134,0.626068,0.394962,0.0986842,0.922349,0.0859649,0.0950957,0.24718,0.612064,0.0819378,0.0822811,0.081384,0.126794,0.280513,0.37963,0.125,0.708502,0.261038,accident
0.0819088,0.852564,0.590278,0.173077,0.335228,0.518627,0.0413105,0,0,0.0982906,0.510157,0.521465,0.0462963,0.88509,0.090535,0.138889,0.384961,0.535758,0.150997,0.0762013,0.117413,0.112536,0.115385,0.326389,0.0797721,0.765364,0.168724,accident
0.0897436,0.884615,0.240741,0.165242,0.328593,0.651867,0.0163818,0,0,0.0940171,0.461538,0.470679,0.117521,0.434267,0.0644493,0.118234,0.360676,0.62655,0.111111,0.180708,0.460979,0.108262,0,0,0.115385,0.815665,0.386573,accident
0.00146199,0,0,0.203947,0.365114,0.595295,0.0489766,0,0,0.0928363,0.760194,0.462466,0.118421,0.713966,0.309357,0.115497,0.383994,0.623441,0.101608,0.0902778,0.638158,0.119152,0.432485,0.440998,0.127193,0.760245,0.29874,accident
