%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Airs_0 NUMERIC
@ATTRIBUTE  Harris_Corners_0 NUMERIC
@ATTRIBUTE  Mass_Center_X_0 NUMERIC
@ATTRIBUTE  Mass_Center_Y_0 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Harris_Corners_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Harris_Corners_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Harris_Corners_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Harris_Corners_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Harris_Corners_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Harris_Corners_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE  Harris_Corners_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
-1,7,0,0,51.5,7,0.716,0.508697,3.5,4,0.0857143,0.350806,0,3,0.85,0.753584,0,1013,0.298238,0.250806,86,19,0.391429,0.543548,116,11,0.322067,0.363518,12,6,0.383333,0.110439,125.5,14,0.456606,0.424927,accident
0,14,0.787761,0.644336,28,4,0.367001,0.597022,-1,0,0,0,0,12,0.386437,0.466428,14,9,0.5,0.0876984,4,5,0.218494,0.655713,47.5,8,0.134558,0.513711,16.5,8,0.353682,0.31627,97,17,0.636397,0.315745,accident
11.5,7,0.863215,0.566595,108.5,6,0.241178,0.476685,0,4,0.0965909,0.906977,0,6,0.450057,0.387776,0,2,0.183923,0.369509,38.5,8,0.522871,0.37539,0.5,1682,0.159218,0.572829,88.5,14,0.323586,0.287907,6,6,0.514069,0.147702,accident
-1,1,0,0,177.5,21,0.36494,0.596383,-1,0,0,0,0,12,0.69995,0.50194,5.5,24,0.526678,0.260632,5.5,10,0.179679,0.69357,66,12,0.186508,0.63947,37.5,1,0.133282,0.138424,110.5,7,0.611033,0.369046,accident
3,5,0.879412,0.716667,15.5,15,0.272398,0.523419,-1,0,0,0,0,18,0.545183,0.460887,39,3,0.621265,0.566601,0,4,0.0392157,0.922222,86,18,0.145497,0.463786,74.5,17,0.314916,0.148319,44.5,15,0.198366,0.37213,accident
-1,16,0.828165,0.731987,13,27,0.253254,0.375455,-1,6,0,0,0,19,0.469961,0.478114,-1,22,0.310078,0.050505,0,2,0.27619,0.599997,0,2,0.124943,0.199643,-1,3,0.412791,0.536616,81.5,10,0.746672,0.356673,accident
0,2,0.786418,0.491733,57,6,0.257427,0.595568,-1,3,0,0,0,6,0.588088,0.40192,0,8,0.768427,0.194444,0,9,0.359096,0.680691,0,21,0.0892768,0.251457,-1,3,0,0,99,3,0.73964,0.22037,accident
-1,4,0.886574,0.759259,35,3,0.265917,0.420428,-1,0,0,0,-1,20,0.579262,0.500683,0,4,0.830626,0.166919,0,889,0.227231,0.666667,-1,25,0.141639,0.396708,-1,7,0,0,95,12,0.44773,0.318199,accident
-1,7,0.414062,0.45,0,16,0.380292,0.517615,-1,3,0,0,-1,11,0.481523,0.56541,0,6,0.85535,0.108081,0,6,0.295618,0.639783,81.5,37,0.124008,0.551852,-1,2,0,0,69,2,0.796116,0.289365,accident
0,8,0.771423,0.490338,100,6,0.425271,0.527049,-1,3,0,0,-1,11,0.35989,0.493213,-1,19,0,0,0,10,0.457769,0.498798,7.5,16,0.228016,0.580245,-1,1282,0.159259,0.144444,6,32,0.79085,0.263033,accident
-1,2,0.708333,0.375,0,8,0.424746,0.536158,-1,2,0,0,-1,5,0.784722,0.34375,0,6,0.805556,0.0833333,0,9,0.354167,0.453125,-1,21,0,0,-1,2,0,0,0,12,0.328373,0.172619,accident
0,8,0.697115,0.522727,0,6,0.324786,0.29798,-1,6,0,0,-1,10,0.346154,0.5,-1,5,0.820513,0.121212,-1,2,0,0,-1,5,0,0,-1,2,0.384615,0.5,-1,1,0.820513,0.121212,accident
-1,6,0.633333,0.75,0,7,0.489107,0.461091,0,1,0.2,0.84375,-1,14,0.533333,0.28125,-1,14,0,0,0,4,0.464815,0.340278,-1,6,0,0,-1,12,0,0,-1,215,0,0,accident
0,4,0.735294,0.535802,2,8,0.576163,0.431336,-1,4,0,0,-1,10,0.271242,0.520062,-1,3,0,0,0,9,0.397059,0.496528,-1,1,0,0,-1,3,0.558824,0.333333,-1,9,0.0784314,0.240741,accident
0,13,0.394737,0.306818,68.5,7,0.472357,0.517707,-1,2,0,0,0,8,0.438597,0.534871,0,1,0.491228,0.390152,0,11,0.335655,0.573084,-1,13,0.212782,0.756926,-1,3,0.237517,0.301865,0,11,0.394737,0.192235,accident
0,5,0.768519,0.592593,0,4,0.12963,0.135802,-1,8,0.484278,0.675266,0,702,0.315329,0.489712,0,15,0.164609,0.216049,-1,704,0.290123,0.135802,28.5,615,0.274799,0.530562,4.5,15,0.355967,0.355453,0,28,0.6298,0.327702,accident
0,4,0.483333,0.586207,-1,12,0.410802,0.490038,-1,9,0,0,0,9,0.225694,0.482759,0,3,0.138889,0.396552,9,4,0.661725,0.316053,25,111,0.154101,0.467532,65,39,0.604001,0.48399,0,53,0.437879,0.289394,accident
6,5,0.543939,0.396774,-1,2,0.532793,0.393573,-1,11,0,0,0,633,0,0,-1,4,0,0,-1,577,0,0,17.5,7,0.290634,0.453568,53,4,0.347125,0.607113,0,10,0.441041,0.514598,accident
0,1,0.392857,0.407895,47,11,0.476916,0.456654,-1,12,0.170635,0.437719,66.5,82,0.44983,0.351504,0,4,0.0952381,0.269737,-1,19,0,0,232,644,0.558881,0.472673,39,6,0.392188,0.385445,0,8,0.385348,0.214119,accident
0,868,0.903846,0.852941,0,7,0.544234,0.452902,2,40,0.211538,0.688235,0,3,0.583042,0.533757,0,860,0.230769,0.0784314,-1,22,0.185897,0.0294118,19,2,0.401584,0.717232,19.5,7,0.17447,0.159704,11,765,0.591689,0.586551,accident
-1,1,0,0,0,17,0.347048,0.557582,-1,5,0.0193237,0.958333,113.5,17,0.773112,0.556992,0,6,0.108696,0.0238095,157.5,7,0.358075,0.490499,85,3,0.30785,0.607366,0,5,0.168997,0.191207,86.5,18,0.825443,0.35206,accident
-1,3438,0,0,4.5,49,0.450454,0.746084,-1,3,0,0,2,12,0.876791,0.720714,-1,5,0.0286239,0.111345,198,13,0.464243,0.488177,0,1,0.230345,0.417678,0,5,0.207283,0.15908,109,3,0.458606,0.0501543,accident
-1,11,0,0,266,9,0.258399,0.18073,0,11,0.0635531,0.901119,0,20,0.51352,0.737829,0,3835,0.196154,0.319672,0,12,0.534602,0.484904,0,6,0.224946,0.376401,-1,2,0.229864,0.268322,0,6,0.396093,0.298985,accident
0,5,0.772938,0.665564,170,4,0.480202,0.417357,0,5,0.0493827,0.914756,-1,20,0.4974,0.362969,-1,16,0,0,0,11,0.376443,0.495761,0,19,0.137999,0.278139,-1,20,0.600589,0.780203,159,21,0.607403,0.293207,accident
-1,1,0.963235,0.935484,143.5,13,0.476351,0.414938,0,2,0.242302,0.655895,151.5,8,0.707353,0.575403,-1,4126,0.536765,0.0806452,0,11,0.729649,0.319677,0,21,0.253212,0.373613,-1,3,0,0,-1,4,0,0,accident
-1,4,0,0,67.5,18,0.284446,0.601646,-1,5,0,0,-1,13,0,0,9,5,0.410948,0.123656,0,11,0.319888,0.54616,-1,3,0,0,-1,1,0.493464,0.354839,96.5,8,0.804434,0.417389,accident
0,4,0.740093,0.465725,61,3,0.409112,0.510108,-1,7,0,0,-1,11,0,0,0,7,0.889356,0.114943,2.5,8,0.264784,0.604478,-1,2,0,0,-1,2,0.132353,0.0948276,4.5,1,0.501867,0.320765,accident
-1,6,0.902547,0.796919,24,1,0.391503,0.462394,-1,3,0,0,0,2,0.645349,0.526471,0,5,0.608527,0.0686274,113.5,6,0.307356,0.60058,0,29,0.250362,0.29098,-1,1357,0,0,163,11,0.800261,0.273937,accident
-1,8,0.862258,0.832515,230.5,5,0.381727,0.461308,-1,4,0,0,0,5,0.449894,0.475486,4.5,6,0.776761,0.421395,31.5,16,0.435023,0.554682,-1,7,0,0,-1,1815,0,0,26,1912,0.729638,0.144423,accident
-1,4,0.93617,0.910256,191,36,0.453592,0.505761,-1,4,0,0,-1,9,0.651064,0.504822,0,1,0.228723,0.358974,0,29,0.249353,0.566767,-1,3,0.279551,0.228775,-1,9,0,0,18,4,0.702221,0.33863,accident
-1,3,0,0,166.5,1,0.365361,0.324219,0,10,0.111111,0.854839,-1,5,0.604767,0.553564,-1,4,0,0,107,7,0.52822,0.404839,-1,7,0.232407,0.274194,-1,1033,0,0,92.5,1058,0.665556,0.534265,accident
-1,8,0.903876,0.825521,109,37,0.221463,0.317343,-1,4,0,0,0,12,0.572328,0.484816,0,2,0.906977,0.109375,0,8,0.326873,0.560277,0,10,0.145445,0.223971,-1,34,0,0,67.5,2,0.862991,0.347208,accident
0,3,0.920455,0.898438,42.5,5,0.374594,0.53739,-1,3,0,0,0,13,0.61726,0.451313,0,6,0.445937,0.0643939,51,16,0.238691,0.626554,0,11,0.12059,0.335565,-1,12,0,0,90.5,14,0.662667,0.46689,accident
-1,2,0.895349,0.75,79.5,5,0.273288,0.46036,-1,2,0,0,0,5,0.671789,0.591931,0,9,0.409746,0.106397,49,7,0.249778,0.708038,0,10,0.287774,0.388239,-1,3,0.255814,0.337963,121,8,0.705515,0.342471,accident
-1,8,0.697153,0.471237,0,18,0.342454,0.346065,0,3,0.0612613,0.909259,0,23,0.320946,0.302083,-1,5,0,0,0,66,0.486446,0.457307,-1,10,0.0168919,0.208333,0,2,0.407658,0.573303,30,10,0.752098,0.307534,accident
-1,2,0,0,38.5,20,0.403171,0.343366,60,4,0.142576,0.753251,5,9,0.707529,0.499957,0,7,0.409357,0.10303,7,2967,0.445639,0.335795,60.5,2,0.138319,0.26552,190.5,3,0.307102,0.226043,105,10,0.832273,0.791591,accident
68.5,24,0.842483,0.481798,46.5,2,0.327691,0.329896,0,4,0.0827506,0.904848,0,2403,0.458406,0.525,0,2517,0.223291,0.242222,29.5,6,0.458981,0.423459,76.5,2483,0.0860636,0.287716,282.5,13,0.196596,0.164546,127.5,3,0.775107,0.678333,accident
0,6,0.911111,0.769149,111.5,9,0.446189,0.446006,0,4,0,0,0,7,0.601667,0.5,90,8,0.476461,0.34866,106.5,11,0.278828,0.520847,126.5,2,0.186283,0.18177,577.5,33,0.469605,0.31963,167.5,12,0.697082,0.622193,accident
32,7,0.861409,0.523473,34.5,9,0.271892,0.279223,0,8,0.13125,0.856317,0,5,0.452222,0.39774,0,50,0.583333,0.580038,26.5,8,0.454514,0.244115,67.5,2100,0.104167,0.290254,190,3,0.184569,0.103791,88.5,9,0.724306,0.362994,accident
0,1720,0.456456,0.0484634,35,7,0.2508,0.359949,-1,2,0,0,6,6,0.705405,0.519149,15.5,3,0.63964,0.335106,123.5,8,0.358108,0.488677,127,7,0.271294,0.427627,98,11,0.318452,0.329435,98.5,16,0.67241,0.650887,accident
115.5,4,0.649957,0.296862,142.5,8,0.497438,0.480334,-1,7,0.056338,0.940298,0,61,0.313996,0.463298,45,4626,0.167449,0.191542,58,4,0.588406,0.391318,20.5,8,0.109758,0.412276,226.5,4379,0.20626,0.206965,0,4548,0,0,accident
58.5,9,0.655793,0.30642,0,76,0.479816,0.534144,-1,2,0.239142,0.867347,3,51,0.178571,0.173469,0,3520,0.0519126,0.015873,35.5,11,0.604458,0.22919,224,6,0.465857,0.703828,700.5,22,0.350305,0.340347,25.5,9,0.68241,0.547871,accident
0,7,0.80914,0.382734,234.5,4,0.285769,0.532209,0,6,0.0483871,0.933824,158,3867,0.280059,0.340601,0,4131,0,0,35,19,0.380866,0.422432,1138.5,21,0.494001,0.372033,15.5,4045,0.157258,0.09375,260,56,0.656929,0.263181,accident
0,27,0.867273,0.748776,66,13,0.494726,0.434673,0,14,0.349445,0.710488,0,3033,0.497689,0.543503,0.5,3160,0,0,9.5,3022,0.731818,0.180387,173,7,0.139524,0.531101,0,7,0.13771,0.342122,7,11,0.918457,0.908115,accident
36,3711,0.803256,0.373809,88,4,0.348629,0.557397,0,10,0.0672043,0.948925,0,18,0.28741,0.483333,1,3685,0.379032,0.129032,39.5,8,0.599973,0.356565,1118.5,19,0.304141,0.43398,61,3381,0.0480031,0.158218,7.5,3645,0.916531,0.717932,accident
0,4,0.680008,0.652824,64.5,7,0.298822,0.392233,-1,0,0,0,0,42,0.340273,0.397855,5.5,6,0.458412,0.136266,45.5,6,0.217949,0.682995,22.5,7,0.0757177,0.601294,34,5,0.160535,0.52617,85,33,0.686011,0.634439,accident
0,14,0.905172,0.539773,93.5,33,0.214904,0.320297,-1,5,0,0,0,9,0,0,34.5,11,0.611303,0.277736,56.5,4,0.271614,0.701015,68.5,16,0.422733,0.384891,111.5,2,0.179783,0.247088,8.5,2,0.612278,0.561267,accident
-1,2,0.875,0.880952,119.5,3,0.233736,0.312611,2.5,11,0.157143,0.330952,0,9,0.561225,0.460884,0,3,0.333333,0.343915,0,1110,0,0,140.5,17,0.0388889,0.183598,354,1,0.406994,0.287401,157.5,11,0.305861,0.470124,accident
0,7,0.793333,0.61396,4.5,7,0.103641,0.833459,-1,0,0,0,15,3,0.597857,0.635755,81.5,8,0.590785,0.384908,4,5,0.111746,0.868376,55.5,42,0.473352,0.445957,66,1332,0.195927,0.42959,80,7,0.532158,0.36012,accident
0,8,0.831081,0.814935,40,10,0.573669,0.287888,3,10,0.0202703,0.428571,30.5,8,0.451692,0.350987,104.5,3,0.643822,0.543438,0,8,0.256757,0.27381,46,31,0.0939121,0.535594,87,5,0.414913,0.469983,61,29,0.564438,0.710421,accident
0,3,0.93,0.917188,125,12,0.588751,0.590183,39.5,36,0.312584,0.0715414,0,16,0.661894,0.347893,0,3099,0.333333,0.0494792,0,3060,0,0,80.5,12,0.252216,0.655703,9,2,0.554857,0.628136,303,1,0.484167,0.740056,accident
0,5,0.884275,0.862135,20,14,0.414911,0.338712,123,2453,0.425423,0.154574,0,10,0.601744,0.379032,45,23,0.320672,0.279391,0,2591,0,0,0,4,0.461951,0.591006,783,90,0.422924,0.410637,74,2540,0.843023,0.891129,accident
0,7,0.925926,0.916667,231,20,0.426447,0.398347,20,5,0.225127,0.129866,26,10,0.620721,0.348814,-1,4,0.06893,0.108427,0,3569,0,0,0,6,0.0822555,0.59911,85.5,3663,0.287449,0.359501,30,3527,0.824074,0.771739,accident
3.5,5,0.882653,0.831967,35,15,0.31463,0.3909,230,6,0.172021,0.273325,0,2785,0.453523,0.523863,-1,32,0.229025,0.0491803,23,2894,0,0,-1,22,0.234694,0.516393,47.5,6,0.270975,0.707195,13,6,0.805271,0.837527,accident
0,3,0.816076,0.600168,278.5,10,0.455498,0.310844,0,4,0.187398,0.39627,0,3,0.25,0.159091,116,106,0.20922,0.0530303,4,2868,0,0,14.5,4,0.29696,0.358297,0,2971,0.146572,0.0782828,151.5,5,0.11886,0.153386,accident
-1,3,0,0,60,5,0.398016,0.419683,-1,3,0,0,0,7,0.694028,0.685889,57.5,32,0.24375,0.0733333,0,4,0.264773,0.684242,0,22,0.262222,0.402222,-1,2,0.482018,0.347368,71.5,9,0.356591,0.332788,accident
0,3,0.759259,0.654586,-1,7,0.293087,0.38805,-1,5,0,0,113,70,0.582702,0.43316,-1,5,0,0,-1,1,0.308156,0.403462,101,12,0.242474,0.262981,28,598,0.499311,0.40333,0,53,0.461601,0.212929,accident
-1,1,0,0,0,1,0.515249,0.481523,0,6,0.186667,0.0645161,0,34,0.579666,0.510502,0,2,0.252982,0.374458,0,23,0.362222,0.410394,26,569,0.238409,0.464101,0,13,0.67873,0.634921,0,6,0.370821,0.362581,accident
-1,4,0.869565,0.854839,0,8,0.498658,0.424034,0,20,0.20098,0.714358,0,10,0.517977,0.434967,0,3,0.396135,0.221027,-1,5,0.516304,0.16129,20,4,0.200684,0.737754,0,610,0.360662,0.352381,18.5,590,0.622226,0.507783,accident
-1,5,0.560606,0.79,-1,3,0,0,-1,7,0,0,0,4,0.306818,0.301429,0,5,0.427273,0.448,0,2,0.851515,0.837333,0,17,0.26936,0.302963,0,10,0.427609,0.522963,0,15,0.445618,0.309012,accident
0,3,0.730956,0.429389,0,3,0.509138,0.58233,31.5,3480,0.472771,0.53555,0,2,0.268519,0.338462,9,37,0.305556,0.289744,18,25,0.898148,0.261538,28.5,23,0.050953,0.606028,0,4,0.464167,0.489806,0,8,0.47428,0.447863,accident
0,2,0.856944,0.241346,437,2,0.270032,0.35045,0,2870,0.237,0.837278,0,15,0.411111,0.192308,0,1,0.210123,0.0811966,0,6,0.675767,0.192711,25,5,0.0414055,0.624589,134,3,0.75692,0.852159,46.5,2,0.484556,0.714448,accident
0,3,0.749815,0.15006,2.5,4,0.549232,0.392298,0,4,0.273319,0.803086,0,3570,0.265278,0.424731,0,2,0.322222,0.102151,98,10,0.773328,0.210543,10.5,10,0.0459926,0.471708,169.5,3666,0.434012,0.337903,83.5,6,0.783862,0.759463,accident
33,7,0.674302,0.604697,208.5,41,0.533026,0.330645,0,5,0.344753,0.821505,0,12,0.299691,0.428495,0,3,0.0925926,0.125,37.5,2,0.736265,0.156452,1.5,3,0.0864785,0.59406,63,3,0.089892,0.252016,25,9,0.881173,0.732335,accident
133.5,3,0.738866,0.599811,237,14,0.30623,0.225121,3.5,4,0.195768,0.870878,0,56,0.314745,0.450636,0,10,0.146839,0.378194,136,19,0.649664,0.226816,1020,7,0.233341,0.428579,22,4,0.517544,0.57582,51.5,3186,0.387577,0.418916,accident
0,4,0.789423,0.674153,201.5,3,0.340307,0.386095,0,2833,0.27354,0.437617,0,2931,0.463942,0.341102,0,2964,0,0,-1,3,0.767094,0.655838,246,48,0.111213,0.582739,3.5,5,0.160969,0.0888261,118.5,5,0.837569,0.608187,accident
0,11,0.79375,0.764327,259.5,10,0.410087,0.538242,82.5,2235,0.481481,0.208902,0,1,0.380952,0.394737,0,2177,0,0,0,23,0,0,340.5,53,0.249167,0.478107,14.5,2171,0.553125,0.510965,36.5,2065,0.678936,0.532552,accident
16,4,0.426363,0.57417,0,2,0.234821,0.35735,0,19,0.411968,0.432405,0,5,0.186786,0.234375,0,1534,0,0,0,1549,0,0,113.5,5,0.304593,0.454599,34.5,1584,0.507857,0.415278,72,1562,0.45072,0.458823,accident
40.5,5,0.574231,0.605279,-1,3,0.293093,0.566903,17,1663,0.651415,0.38161,81,7,0.283784,0.117021,0,1591,0,0,0,7,0.736486,0.718085,17,42,0.411595,0.591845,86.5,11,0.386814,0.369826,0,22,0.304468,0.440794,accident
0,2,0.74456,0.644022,216,4,0.382534,0.475068,0,23,0.320012,0.373483,0,1518,0.32037,0.368841,0,18,0.380038,0.423041,0,1582,0.251543,0.0700483,199,21,0.116787,0.386842,341.5,85,0.186111,0.248551,49.5,4,0.500647,0.300985,accident
-1,5,0.806818,0.441176,68.5,4,0.42265,0.588625,-1,2,0,0,-1,8,0.147727,0.352941,0,5,0.310606,0.205882,0,10,0.418788,0.492745,-1,10,0.777778,0.575163,0,5,0.261364,0.502451,0,21,0.527223,0.256626,accident
0,5,0.875,0.473684,68,9,0.254727,0.303666,0,5,0.0888889,0.853801,0,5,0.575,0.657895,-1,2,0,0,0,6,0.437302,0.405597,-1,6,0.238333,0.337719,-1,9,0,0,46,4,0.634722,0.444444,accident
0,12,0.71434,0.379817,56,5,0.664084,0.42219,-1,6,0.0757576,0.851852,0,334,0.325758,0.444444,-1,6,0.37178,0.160185,1.5,6,0.534166,0.4553,-1,1,0.304113,0.623016,-1,13,0.727273,0.666667,0,1,0.297683,0.223312,accident
0,6,0.775,0.791667,24,6,0.432685,0.673159,-1,1,0,0,0,395,0.572024,0.394841,-1,2,0.530833,0.138889,0,19,0.380401,0.526188,-1,4,0,0,-1,4,0.395,0.729167,0,5,0.465909,0.222222,accident
0,9,0.423333,0.384058,54,7,0.306747,0.554414,-1,2,0,0,0,11,0.6005,0.430435,0,20,0.442222,0.309179,0,54,0.294286,0.542236,-1,5,0.22,0.184783,-1,5,0.72,0.330698,24.5,3,0.644138,0.477761,accident
-1,2,0.845381,0.684834,66.5,20,0.449842,0.463834,0,4,0.0740741,0.879012,-1,7,0.531504,0.40579,-1,33,0,0,0,4,0.505797,0.447883,0,8,0.174383,0.502058,0,3,0.445722,0.354193,140,859,0.64812,0.411672,accident
0,6,0.727035,0.60816,183,7,0.250722,0.32851,-1,8,0,0,88,10,0.252905,0.386912,0,4,0.402732,0.238643,0,16,0.34103,0.547377,-1,6,0.379845,0.83908,0,2,0.119011,0.162124,15.5,35,0.711041,0.469161,accident
-1,3,0,0,49,14,0.436408,0.578465,-1,5,0,0,-1,6,0.626068,0.394962,0,5,0.922349,0.0859649,7,7,0.24718,0.612064,0,9,0.0822811,0.081384,-1,31,0.280513,0.37963,91.5,8,0.708502,0.261038,accident
0,7,0.852564,0.590278,40,7,0.335228,0.518627,-1,4,0,0,0,14,0.510157,0.521465,0,2,0.88509,0.090535,0,8,0.384961,0.535758,0,8,0.0762013,0.117413,-1,41,0.115385,0.326389,47,3,0.765364,0.168724,accident
0,13,0.884615,0.240741,87.5,6,0.328593,0.651867,-1,1,0,0,0,6,0.461538,0.470679,4,6,0.434267,0.0644493,4.5,10,0.360676,0.62655,-1,18,0.180708,0.460979,-1,7,0,0,124.5,5,0.834637,0.271206,accident
-1,2,0,0,30,14,0.365114,0.595295,-1,8,0,0,-1,2,0.760194,0.462466,27.5,16,0.713966,0.309357,0,9,0.383994,0.623441,-1,9,0.0902778,0.638158,0,1,0.432485,0.440998,50.5,5,0.760245,0.29874,accident
