%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
314,308,327,237,casualty
882,1198,912,963,casualty
488,846,943,1537,casualty
525,731,1436,951,casualty
561,828,862,688,casualty
887,932,735,732,casualty
526,446,449,448,casualty
603,613,533,170,casualty
529,467,436,247,casualty
537,444,730,226,casualty
840,818,637,372,casualty
640,604,658,62,casualty
407,484,501,286,casualty
352,503,435,460,casualty
587,562,501,254,casualty
321,458,778,293,casualty
472,437,441,217,casualty
379,515,419,194,casualty
514,302,469,35,casualty
397,432,640,225,casualty
555,430,522,179,casualty
209,206,263,220,casualty
236,260,226,149,casualty
257,221,197,207,casualty
226,256,227,216,casualty
196,240,228,211,casualty
202,287,365,380,casualty
374,391,488,304,casualty
436,343,288,187,casualty
364,342,382,255,casualty
259,505,336,289,casualty
622,412,643,432,casualty
525,478,836,816,casualty
405,544,540,343,casualty
662,278,374,691,casualty
461,567,723,334,casualty
280,256,279,180,casualty
256,458,367,126,casualty
264,314,307,259,casualty
304,364,316,264,casualty
249,279,387,354,casualty
754,521,581,394,casualty
631,494,302,371,casualty
452,766,741,791,casualty
269,578,522,645,casualty
344,534,859,181,casualty
508,572,268,521,casualty
624,616,278,580,casualty
641,429,393,573,casualty
788,676,677,496,casualty
434,393,438,459,casualty
303,329,369,188,casualty
274,325,279,190,casualty
232,375,249,260,casualty
352,339,306,254,casualty
441,363,393,379,casualty
354,513,757,586,casualty
491,419,508,409,casualty
403,261,355,300,casualty
370,350,447,511,casualty
435,223,411,323,casualty
340,264,525,321,casualty
548,516,343,715,casualty
757,479,774,595,casualty
479,273,459,447,casualty
207,766,1066,599,casualty
423,329,341,283,casualty
401,528,494,504,casualty
354,515,369,339,casualty
291,414,341,218,casualty
245,394,279,234,casualty
321,345,465,352,casualty
386,434,493,428,casualty
535,432,593,649,casualty
392,297,578,366,casualty
423,341,540,283,casualty
308,226,205,309,casualty
279,263,319,286,casualty
327,296,299,399,casualty
299,326,289,346,casualty
225,194,127,218,casualty
725,686,284,709,casualty
354,286,428,474,casualty
474,635,679,508,casualty
458,612,709,787,casualty
378,384,578,681,casualty
222,227,310,218,casualty
433,225,97,226,casualty
406,212,250,224,casualty
340,209,287,233,casualty
411,226,268,406,casualty
541,472,267,383,casualty
526,487,292,327,casualty
392,434,358,277,casualty
431,335,490,335,casualty
328,462,311,241,casualty
372,374,386,473,casualty
241,286,231,199,casualty
447,286,227,290,casualty
348,299,281,263,casualty
286,264,308,334,casualty
191,29,345,306,electricity
215,90,133,220,electricity
248,84,226,326,electricity
163,128,176,183,electricity
288,170,311,219,electricity
261,456,508,145,electricity
230,66,326,266,electricity
212,159,331,214,electricity
308,132,374,269,electricity
273,557,486,433,electricity
190,48,299,306,electricity
186,222,316,160,electricity
206,235,359,110,electricity
191,275,254,155,electricity
341,275,388,136,electricity
122,114,209,276,electricity
153,142,277,149,electricity
158,71,157,111,electricity
162,95,349,201,electricity
184,148,232,235,electricity
322,100,225,285,electricity
280,95,269,232,electricity
379,50,242,288,electricity
143,248,289,291,electricity
253,107,265,207,electricity
257,125,242,68,electricity
225,184,269,192,electricity
78,250,286,151,electricity
279,281,426,183,electricity
200,232,299,267,electricity
225,62,188,200,electricity
525,224,843,574,electricity
263,7,990,643,electricity
1072,215,1005,674,electricity
318,12,765,593,electricity
137,201,429,261,electricity
289,558,641,389,electricity
318,179,375,264,electricity
386,335,560,259,electricity
399,675,862,410,electricity
123,117,211,188,electricity
202,80,160,242,electricity
222,54,181,127,electricity
74,145,190,137,electricity
79,112,179,263,electricity
442,118,449,305,electricity
405,93,310,268,electricity
353,65,320,185,electricity
270,112,315,146,electricity
299,72,616,340,electricity
394,509,408,414,electricity
189,206,361,233,electricity
254,321,437,281,electricity
236,574,520,322,electricity
388,248,134,552,electricity
257,575,680,304,electricity
248,444,571,307,electricity
142,714,621,566,electricity
354,717,812,259,electricity
191,546,649,297,electricity
256,200,306,252,electricity
309,200,315,239,electricity
408,544,754,210,electricity
249,133,256,212,electricity
315,480,701,180,electricity
322,41,387,282,electricity
261,59,292,218,electricity
398,39,432,289,electricity
326,125,382,181,electricity
222,13,294,125,electricity
70,46,232,229,electricity
458,143,168,62,electricity
100,57,85,73,electricity
515,722,1017,401,electricity
513,639,706,575,electricity
349,191,286,161,electricity
342,210,445,153,electricity
324,472,745,290,electricity
389,273,435,287,electricity
290,304,368,301,electricity
163,53,187,253,electricity
143,49,100,252,electricity
200,17,185,203,electricity
133,99,252,119,electricity
180,36,104,248,electricity
230,99,338,216,electricity
196,95,278,338,electricity
349,64,393,329,electricity
165,174,181,241,electricity
195,125,244,217,electricity
181,106,198,216,electricity
156,108,220,114,electricity
200,141,313,222,electricity
142,139,220,261,electricity
116,146,322,248,electricity
184,148,127,136,electricity
227,284,403,90,electricity
208,211,251,243,electricity
223,150,218,188,electricity
216,141,194,145,electricity
43,16,64,75,electricity
408,290,426,188,electricity
548,339,357,547,electricity
278,356,46,525,electricity
38,63,124,73,electricity
200,152,213,193,electricity
187,160,195,248,electricity
221,28,133,234,electricity
268,126,252,234,electricity
232,64,300,230,electricity
186,147,155,203,electricity
32,421,531,254,electricity
195,177,146,211,electricity
215,173,428,192,electricity
279,334,303,479,electricity
201,243,216,119,electricity
134,120,159,128,electricity
285,374,300,204,electricity
143,311,364,155,electricity
170,184,212,68,electricity
459,225,510,250,fire-brigade
563,270,622,247,fire-brigade
568,353,494,227,fire-brigade
653,383,560,317,fire-brigade
666,337,438,388,fire-brigade
598,173,639,427,fire-brigade
735,406,602,279,fire-brigade
798,320,504,267,fire-brigade
742,360,457,320,fire-brigade
709,389,437,215,fire-brigade
707,365,749,341,fire-brigade
892,462,650,246,fire-brigade
840,374,854,310,fire-brigade
931,88,1062,652,fire-brigade
912,535,619,171,fire-brigade
461,410,324,217,fire-brigade
894,460,671,244,fire-brigade
820,473,747,296,fire-brigade
716,412,767,223,fire-brigade
776,401,729,242,fire-brigade
701,249,559,175,fire-brigade
669,292,610,173,fire-brigade
773,317,665,179,fire-brigade
1014,488,720,147,fire-brigade
781,429,548,160,fire-brigade
555,541,467,304,fire-brigade
731,592,562,337,fire-brigade
864,644,624,222,fire-brigade
828,555,816,472,fire-brigade
744,569,480,323,fire-brigade
670,385,601,224,fire-brigade
755,382,751,273,fire-brigade
689,251,486,259,fire-brigade
945,366,748,210,fire-brigade
801,399,691,152,fire-brigade
558,270,475,70,fire-brigade
608,261,530,153,fire-brigade
862,389,545,43,fire-brigade
619,268,513,133,fire-brigade
913,548,632,127,fire-brigade
553,182,429,162,fire-brigade
517,221,526,174,fire-brigade
501,240,493,139,fire-brigade
705,411,558,152,fire-brigade
632,292,608,208,fire-brigade
684,365,724,129,fire-brigade
1026,548,943,20,fire-brigade
878,366,870,275,fire-brigade
834,407,681,96,fire-brigade
1008,529,714,100,fire-brigade
623,335,500,296,fire-brigade
572,480,831,384,fire-brigade
708,322,499,349,fire-brigade
672,268,468,311,fire-brigade
501,180,308,269,fire-brigade
499,355,544,234,fire-brigade
429,254,441,241,fire-brigade
378,186,466,228,fire-brigade
460,265,485,250,fire-brigade
387,231,502,299,fire-brigade
425,229,281,161,fire-brigade
600,299,612,408,fire-brigade
608,429,542,391,fire-brigade
555,510,835,422,fire-brigade
678,442,675,239,fire-brigade
1969,982,1093,261,fire-brigade
1611,563,1046,766,fire-brigade
1463,783,1353,549,fire-brigade
1511,940,1603,493,fire-brigade
2087,1174,1014,512,fire-brigade
424,229,221,239,fire-brigade
350,195,382,229,fire-brigade
426,223,231,254,fire-brigade
404,246,480,203,fire-brigade
341,248,361,226,fire-brigade
629,432,729,435,fire-brigade
765,376,805,437,fire-brigade
821,369,790,559,fire-brigade
726,468,604,259,fire-brigade
1063,544,790,299,fire-brigade
1151,531,514,221,fire-brigade
1262,777,631,191,fire-brigade
931,627,798,165,fire-brigade
1125,547,748,138,fire-brigade
1144,671,676,194,fire-brigade
997,412,896,382,fire-brigade
841,252,604,437,fire-brigade
924,548,687,121,fire-brigade
915,440,541,100,fire-brigade
910,482,466,284,fire-brigade
360,256,414,294,fire-brigade
776,321,540,297,fire-brigade
486,251,416,300,fire-brigade
667,121,443,415,fire-brigade
554,333,373,121,fire-brigade
328,279,464,264,fire-brigade
436,198,387,229,fire-brigade
370,345,333,122,fire-brigade
391,213,311,175,fire-brigade
383,227,344,200,fire-brigade
780,501,552,322,fire-brigade
833,565,953,496,fire-brigade
627,692,591,492,fire-brigade
618,304,612,372,fire-brigade
837,450,782,496,fire-brigade
831,312,759,295,fire-brigade
1128,566,1186,436,fire-brigade
1257,776,846,284,fire-brigade
711,603,868,329,fire-brigade
1181,517,718,395,fire-brigade
954,547,611,467,fire-brigade
902,418,534,218,fire-brigade
900,655,480,268,fire-brigade
1213,533,876,388,fire-brigade
787,722,417,262,fire-brigade
539,381,363,236,fire-brigade
682,334,448,284,fire-brigade
564,240,620,317,fire-brigade
903,397,641,257,fire-brigade
614,416,549,260,fire-brigade
1703,639,912,590,fire-brigade
1527,918,1398,750,fire-brigade
1474,860,934,160,fire-brigade
1260,705,882,294,fire-brigade
1394,945,766,141,fire-brigade
373,212,384,256,fire-brigade
776,261,739,515,fire-brigade
736,326,607,356,fire-brigade
392,294,467,374,fire-brigade
647,302,706,344,fire-brigade
1046,465,918,454,fire-brigade
1496,543,1291,470,fire-brigade
1382,919,944,205,fire-brigade
1407,588,852,222,fire-brigade
861,493,575,279,fire-brigade
565,286,540,306,fire-brigade
301,252,499,311,fire-brigade
436,284,270,190,fire-brigade
453,175,408,249,fire-brigade
386,249,317,212,fire-brigade
417,389,252,272,fire
410,372,228,238,fire
449,428,380,325,fire
295,319,252,254,fire
314,351,220,265,fire
470,297,332,370,fire
406,368,317,310,fire
248,309,361,237,fire
337,348,305,213,fire
400,384,329,305,fire
589,440,447,276,fire
556,457,335,294,fire
457,402,298,258,fire
356,369,172,192,fire
427,461,227,177,fire
358,324,242,241,fire
353,289,399,238,fire
353,298,347,206,fire
318,302,232,212,fire
220,306,278,187,fire
323,298,246,265,fire
675,314,371,410,fire
229,377,258,236,fire
547,556,524,404,fire
348,291,190,236,fire
231,270,163,197,fire
271,222,193,203,fire
289,233,240,230,fire
280,325,254,214,fire
257,211,249,276,fire
239,266,204,218,fire
241,200,196,219,fire
226,181,188,187,fire
158,204,177,230,fire
244,231,250,260,fire
397,499,245,279,fire
754,478,309,268,fire
460,505,203,277,fire
587,524,342,218,fire
553,563,275,238,fire
252,302,287,280,fire
392,344,207,258,fire
415,307,248,314,fire
273,230,260,212,fire
466,504,298,338,fire
296,251,300,227,fire
343,344,341,238,fire
325,415,289,275,fire
359,410,230,187,fire
364,240,425,379,fire
187,257,311,155,fire
286,298,309,172,fire
244,239,213,173,fire
195,298,248,190,fire
399,384,250,209,fire
294,218,213,192,fire
380,357,362,268,fire
527,372,324,353,fire
456,410,356,382,fire
575,528,479,432,fire
244,344,382,228,fire
338,401,404,307,fire
359,527,431,296,fire
323,319,230,253,fire
270,333,270,242,fire
398,449,320,366,fire
653,562,502,481,fire
543,466,410,315,fire
272,272,293,264,fire
531,322,371,395,fire
421,328,244,319,fire
467,255,300,328,fire
406,357,298,334,fire
462,237,252,306,fire
465,315,344,350,fire
267,263,232,222,fire
331,236,220,255,fire
371,386,338,304,fire
318,538,365,203,fire
327,560,424,280,fire
379,329,264,311,fire
445,395,361,332,fire
509,352,398,321,fire
438,437,363,280,fire
582,300,406,310,fire
302,323,236,175,fire
318,369,278,235,fire
250,341,274,202,fire
324,430,418,186,fire
366,300,256,237,fire
371,408,270,232,fire
513,411,404,391,fire
374,291,239,363,fire
313,345,345,293,fire
460,462,441,307,fire
186,355,229,169,fire
177,518,322,156,fire
307,356,265,202,fire
304,354,425,240,fire
295,329,275,245,fire
388,338,284,326,fire
642,761,607,584,fire
326,313,220,258,fire
518,476,404,352,fire
440,407,300,335,fire
441,476,391,381,fire
499,499,444,373,fire
403,487,430,354,fire
631,530,438,454,fire
523,315,393,306,fire
1156,928,638,669,fire
969,893,807,836,fire
926,537,539,795,fire
811,709,621,690,fire
769,730,437,614,fire
967,816,635,802,fire
1282,847,829,777,fire
750,680,538,561,fire
982,671,745,556,fire
1003,682,760,608,fire
265,304,344,357,flood
149,232,514,286,flood
262,439,450,165,flood
275,310,216,187,flood
146,194,408,274,flood
413,438,573,293,flood
575,512,427,549,flood
789,891,706,675,flood
680,706,714,639,flood
519,676,600,644,flood
228,199,301,215,flood
389,273,334,250,flood
323,309,439,345,flood
385,300,347,250,flood
338,247,286,194,flood
523,706,541,631,flood
850,842,717,874,flood
659,360,419,659,flood
590,350,318,427,flood
529,530,523,701,flood
314,351,269,169,flood
208,325,513,323,flood
137,294,687,522,flood
254,426,422,289,flood
185,239,504,349,flood
666,538,546,559,flood
625,572,788,655,flood
700,498,696,670,flood
647,529,517,534,flood
599,477,607,595,flood
217,158,196,227,flood
323,176,351,464,flood
459,453,371,337,flood
335,343,387,435,flood
337,405,376,242,flood
493,276,301,359,flood
709,582,612,512,flood
858,314,548,547,flood
312,453,515,310,flood
407,433,419,306,flood
342,322,271,328,flood
360,172,218,381,flood
374,225,278,354,flood
373,276,276,415,flood
352,156,322,242,flood
545,369,326,501,flood
617,640,399,569,flood
604,560,534,560,flood
637,314,399,562,flood
641,414,456,569,flood
170,235,373,360,flood
281,220,274,319,flood
187,215,291,302,flood
219,274,240,179,flood
203,247,247,210,flood
442,537,584,637,flood
590,537,492,614,flood
425,576,562,544,flood
541,454,407,457,flood
624,563,604,428,flood
370,299,279,232,flood
291,457,331,242,flood
325,315,479,334,flood
254,335,328,215,flood
334,378,506,352,flood
294,379,328,444,flood
326,273,239,383,flood
447,375,379,337,flood
398,266,388,371,flood
355,326,387,323,flood
259,351,312,291,flood
482,474,305,169,flood
380,390,321,273,flood
394,316,311,302,flood
370,309,358,219,flood
482,318,345,458,flood
605,396,476,518,flood
636,434,515,588,flood
748,376,480,431,flood
731,500,532,522,flood
309,283,373,373,flood
268,386,580,398,flood
157,396,495,467,flood
313,294,320,368,flood
270,279,525,318,flood
226,309,382,295,flood
187,385,578,422,flood
204,354,463,197,flood
215,320,334,267,flood
151,374,389,287,flood
1060,904,1242,583,flood
930,488,1136,764,flood
1109,689,1004,746,flood
931,459,822,813,flood
948,234,834,684,flood
395,413,274,257,flood
481,607,504,259,flood
338,554,339,296,flood
513,508,460,340,flood
536,679,544,224,flood
305,384,354,321,flood
295,310,365,442,flood
353,360,359,322,flood
419,352,443,257,flood
395,406,350,258,flood
815,1020,1494,799,flood
1071,657,1241,944,flood
1234,465,757,669,flood
983,645,594,554,flood
889,722,550,640,flood
681,481,598,774,flood
1014,386,1023,757,flood
734,486,638,558,flood
669,367,482,413,flood
777,640,770,537,flood
219,306,308,246,gas
204,318,372,230,gas
160,171,289,256,gas
328,424,476,383,gas
459,330,757,297,gas
343,415,448,344,gas
296,374,371,211,gas
467,355,318,247,gas
321,364,345,201,gas
367,313,244,300,gas
550,273,324,374,gas
503,420,381,408,gas
424,454,339,363,gas
392,283,359,231,gas
446,287,298,292,gas
284,430,513,361,gas
243,383,474,276,gas
314,350,417,260,gas
345,425,457,319,gas
221,347,350,245,gas
257,258,262,147,gas
422,385,427,295,gas
385,360,300,387,gas
367,326,414,290,gas
519,447,272,652,gas
629,648,383,665,gas
638,562,344,488,gas
606,405,332,642,gas
898,455,455,848,gas
786,448,483,642,gas
673,528,325,602,gas
637,640,330,599,gas
797,367,637,313,gas
473,501,604,296,gas
748,528,394,744,gas
344,425,450,322,gas
422,489,514,317,gas
373,464,474,308,gas
339,376,428,295,gas
364,435,458,338,gas
327,289,269,355,gas
402,407,389,618,gas
620,424,474,367,gas
450,529,412,292,gas
502,376,374,411,gas
271,340,188,412,gas
317,313,203,411,gas
354,427,354,371,gas
366,534,399,509,gas
236,352,347,265,gas
333,399,430,226,gas
301,445,402,249,gas
563,647,587,384,gas
455,267,322,319,gas
366,406,224,329,gas
502,517,296,584,gas
576,511,294,523,gas
682,469,341,541,gas
534,560,343,636,gas
474,471,338,512,gas
522,513,219,481,gas
554,432,376,440,gas
380,422,459,293,gas
444,417,307,469,gas
681,482,384,670,gas
423,588,703,339,gas
507,533,529,382,gas
245,409,367,256,gas
260,275,212,196,gas
351,359,405,225,gas
492,399,541,244,gas
399,573,322,376,gas
500,299,442,229,gas
212,288,78,144,gas
431,575,261,492,gas
346,247,188,388,gas
336,261,233,390,gas
394,258,245,476,gas
306,275,317,503,gas
378,277,390,386,gas
486,458,299,415,gas
443,441,238,514,gas
504,487,265,438,gas
582,328,373,479,gas
494,402,529,389,gas
348,395,409,227,gas
291,412,462,281,gas
441,375,436,314,gas
282,431,199,292,gas
359,607,500,379,gas
257,298,334,373,gas
341,398,387,440,gas
384,420,353,412,gas
355,271,312,329,gas
318,413,535,297,gas
464,335,239,466,gas
528,409,241,529,gas
460,552,424,574,gas
427,532,268,612,gas
533,612,313,589,gas
576,561,578,555,gas
355,485,518,297,gas
346,367,260,225,gas
311,447,304,302,gas
402,375,365,303,gas
410,484,370,458,gas
334,411,268,284,gas
485,625,307,542,gas
214,230,123,241,gas
236,236,146,196,gas
426,394,180,520,gas
543,466,209,435,gas
396,354,353,274,gas
523,457,211,479,gas
579,582,374,469,gas
251,346,318,206,gas
410,466,277,165,gas
708,708,416,643,gas
499,604,243,484,gas
548,222,285,364,gas
391,459,228,496,gas
586,525,270,552,gas
540,376,243,459,gas
732,523,292,602,gas
479,393,304,378,gas
275,244,242,127,injury
221,318,161,173,injury
215,242,227,94,injury
291,280,246,84,injury
213,254,131,192,injury
155,101,251,257,injury
132,241,243,244,injury
159,247,227,92,injury
79,118,272,143,injury
124,208,268,165,injury
394,295,429,164,injury
296,229,299,226,injury
237,116,383,331,injury
197,183,340,242,injury
111,160,379,332,injury
624,338,152,339,injury
158,171,392,380,injury
308,235,360,279,injury
299,192,309,373,injury
383,257,362,331,injury
193,283,185,125,injury
233,214,258,130,injury
222,209,298,107,injury
186,151,252,191,injury
198,189,204,132,injury
403,520,334,304,injury
575,551,263,306,injury
537,433,418,179,injury
364,387,260,305,injury
