@relation 'Imagette-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 10'

@attribute Airs_Center_X_GLOBAL numeric
@attribute Airs_Triangle_2_X_GLOBAL numeric
@attribute Harris_Corners_X_GLOBAL numeric
@attribute Mass_Center_X_Global numeric
@attribute Mass_Center_Y_Global numeric
@attribute Hough_Lines_Vertical_Global numeric
@attribute Hough_Lines_Horizontal_Global numeric
@attribute Hough_Lines_DiagonalPos_Global numeric
@attribute Hough_Lines_DiagonalNeg_Global numeric
@attribute Hough_Circles_X_Global numeric
@attribute Hough_Circles_Y_Global numeric
@attribute Hough_Circles_Radius_Global numeric
@attribute Rows_Or_Cols_Global numeric
@attribute Black_Pixel_0 numeric
@attribute Airs_Center_X_0 numeric
@attribute Airs_Triangle_1_X_0 numeric
@attribute Airs_Contours_0 numeric
@attribute Harris_Corners_X_0 numeric
@attribute Mass_Center_X_0 numeric
@attribute Mass_Center_Y_0 numeric
@attribute Hough_Lines_Vertical_0 numeric
@attribute Hough_Lines_Horizontal_0 numeric
@attribute Hough_Lines_DiagonalPos_0 numeric
@attribute Hough_Lines_DiagonalNeg_0 numeric
@attribute Airs_Center_X_1 numeric
@attribute Airs_Center_Y_1 numeric
@attribute Airs_Triangle_1_X_1 numeric
@attribute Airs_Triangle_1_Y_1 numeric
@attribute Mass_Center_X_1 numeric
@attribute Mass_Center_Y_1 numeric
@attribute Hough_Lines_Vertical_1 numeric
@attribute Hough_Lines_Horizontal_1 numeric
@attribute Hough_Lines_DiagonalPos_1 numeric
@attribute Hough_Lines_DiagonalNeg_1 numeric
@attribute Hough_Circles_Radius_1 numeric
@attribute Airs_Center_X_2 numeric
@attribute Airs_Triangle_1_X_2 numeric
@attribute Airs_Triangle_1_Y_2 numeric
@attribute Mass_Center_X_2 numeric
@attribute Mass_Center_Y_2 numeric
@attribute Hough_Lines_Vertical_2 numeric
@attribute Hough_Lines_Horizontal_2 numeric
@attribute Hough_Lines_DiagonalPos_2 numeric
@attribute Hough_Lines_DiagonalNeg_2 numeric
@attribute Hough_Lines_Nb_2 numeric
@attribute Hough_Circles_Radius_2 numeric
@attribute Black_Pixel_3 numeric
@attribute Airs_Center_X_3 numeric
@attribute Airs_Triangle_1_X_3 numeric
@attribute Airs_Triangle_1_Y_3 numeric
@attribute Mass_Center_X_3 numeric
@attribute Mass_Center_Y_3 numeric
@attribute Hough_Lines_Vertical_3 numeric
@attribute Hough_Lines_Horizontal_3 numeric
@attribute Hough_Lines_DiagonalPos_3 numeric
@attribute Hough_Lines_DiagonalNeg_3 numeric
@attribute Hough_Circles_Radius_3 numeric
@attribute Class {accident,bomb,car,casualty,electricity,fire-brigade,fire,flood,gas,injury,paramedics,person,police,road-block}

@data
48.8133,35.3296,72.588,0.293244,0.371986,20,32,8,40,51.2615,48.9057,26.7925,0,9.72424,61.5385,25.9615,509.008,72.3077,0.649499,0.472327,22.2222,22.2222,44.4444,11.1111,27.6923,110.36,16.9231,156.639,0.252856,0.617617,16.6667,0,0,83.3333,42.4528,54.0872,61.2587,-135.279,0.37188,0.493844,16.6667,50,33.3333,0,6,39.6226,10.1306,43.0769,72.9327,-106.466,0.735733,0.350215,0,37.5,12.5,50,32.4528,accident
48.5065,-6.91273,31.9254,0.25036,0.27642,11.7647,58.8235,11.7647,17.6471,53.208,51.3889,30.4784,0,12.9018,56.4506,61.2126,348.619,63.6905,0.620842,0.49321,37.5,0,25,37.5,19.6429,187.5,37.5,237.5,0.156563,0.787417,0,33.3333,0,66.6667,17.5,49.9008,42.1381,-104.488,0.126949,0.423294,25,25,50,0,8,50,12.0536,65.1786,24.921,-31.9137,0.736529,0.30848,0,66.6667,0,33.3333,0,accident
50.3938,102.835,39.7326,0.328429,0.443691,4.7619,38.0952,19.0476,38.0952,54.6415,50.7342,31.5949,0,10.4015,60.3774,89.413,319.695,79.2453,0.730433,0.369938,55.5556,0,22.2222,22.2222,22.6415,170.94,62.2641,309.007,0.187067,0.710607,0,0,0,100,0,49.8106,39.0632,-9.60268,0.248428,0.581495,42.8571,28.5714,28.5714,0,7,82.0513,13.0624,49.4819,41.3778,-20.1826,0.700012,0.412457,0,55.5556,0,44.4444,43.5897,accident
45.6981,-10.4908,97.1267,0.261047,0.576684,40.9091,18.1818,4.54545,36.3636,60.5442,56.0516,24.9504,0,10.7143,47.9592,57.8466,318.001,65.3061,0.635308,0.506976,66.6667,0,0,33.3333,25.5102,141.059,75.5102,265.889,0.231778,0.715391,0,0,0,100,38.5417,51.4069,-6.26559,216.605,0.163527,0.546502,42.8571,42.8571,14.2857,0,7,31.25,10.1616,42.9632,110.884,122.975,0.698113,0.449161,0,42.8571,14.2857,42.8571,16.6667,accident
49.382,25.4499,83.0065,0.322595,0.454779,11.1111,44.4444,14.8148,29.6296,59.418,43.6601,28.5621,0,11.2045,57.9365,17.8187,449.509,61.9048,0.62531,0.393422,44.4444,0,33.3333,22.2222,32.5397,123.03,1.5873,50.6042,0.302222,0.649496,0,0,0,100,46.4052,53.6859,12.4101,-10.314,0.128771,0.536446,33.3333,44.4444,0,22.2222,9,68.6275,9.52381,49.2063,85.8586,-69.1653,0.787754,0.353336,0,40,30,30,35.2941,accident
37.3134,-15.7791,93.3494,0.318409,0.478789,50,0,25,25,0,0,0,1,26.5351,52.6316,68.6717,149.504,68.4211,0.520335,0.304924,66.6667,0,33.3333,0,36.8421,234.375,17.2249,381.944,0.315789,0.605903,0,0,0,100,0,50.2084,-15.6929,300.236,0.442982,0.800347,25,50,0,25,4,0,15.7895,42.1053,-40.0245,437.258,0.584064,0.406829,0,0,100,0,0,accident
48.494,-65.4372,23.0999,0.453049,0.470497,20,40,0,40,45.5285,54.5455,30.303,0,26.25,50,1.66667,118.539,80,0.517857,0.337798,100,0,0,0,20,449.219,38.3333,546.875,0.166667,0.729167,0,0,0,0,0,47.5,5,-53.0134,0.4625,0.578125,100,0,0,0,1,0,32.5,48.1944,24.6552,-375.808,0.675,0.428571,50,0,0,50,0,accident
44.3342,-38.7903,38.3781,0.541455,0.444733,40,20,10,30,43.1818,52.0833,31.25,1,23.8636,50,71.1039,188.409,63.6364,0.592746,0.367003,50,0,50,0,38.6364,251.736,89.7727,381.944,0.361992,0.649899,0,0,0,100,0,52.8075,-54.5454,299.224,0,0,50,50,0,0,2,0,17.803,40.9091,76.7677,-113.812,0.639118,0.508207,50,50,0,0,0,accident
37.1007,-49.5397,36.0548,0.359561,0.247399,12.5,37.5,25,25,47.2,46.5455,33.0909,1,23.8519,46,77.1183,212.966,53.6,0.445619,0.49731,50,0,50,0,32,212.62,13.6842,342.936,0.265098,0.634755,0,0,0,100,37.037,42,4,-5.48697,0.438667,0.306173,0,66.6667,33.3333,0,3,0,17.3333,44,-14.4615,254.3,0.602135,0.224441,0,100,0,0,0,accident
40.8653,56.1431,41.4665,0.30139,0.60599,27.2727,27.2727,9.09091,36.3636,57.6271,47.343,22.4638,1,18.9655,50,19.0669,271.789,72.4138,0.669139,0.323306,60,0,20,20,29.3103,190.311,3.44828,100.717,0.245739,0.693949,50,0,0,50,0,51.6078,-30.5419,276.817,0.332201,0.425134,66.6667,33.3333,0,0,3,32.3529,14.1988,41.3793,51.2679,-22.3163,0.641361,0.336767,20,20,40,20,35.2941,accident
46.8212,58.0182,4.12497,0.359659,0.34238,41.1765,35.2941,17.6471,5.88235,52.3236,50.0882,30.1587,0,14.5122,50,71.5447,276.542,78.0488,0.581351,0.564674,42.8571,0,57.1429,0,46.3415,121.875,72.8997,61.8056,0.64367,0.40881,14.2857,14.2857,0,71.4286,0,54.8781,101.418,292.587,0.490382,0.501524,50,37.5,0,12.5,8,27.5,15.1829,48.7805,95.8108,-9.49428,0.5475,0.568299,20,40,40,0,45,accident
47.453,-14.6252,3.37607,0.538769,0.464844,15.7895,47.3684,15.7895,21.0526,61.2795,50.2066,26.9628,0,12.3316,53.7037,-22.2222,441.388,74.0741,0.6033,0.377964,44.4444,33.3333,22.2222,0,45.3704,126.55,-33.0425,-25.3142,0.443166,0.569467,0,0,0,100,36.3636,52.7778,-47.0746,121.497,0.445768,0.476221,33.3333,55.5556,0,11.1111,9,34.0909,11.6162,47.2222,164.815,-100.543,0.34106,0.500624,25,0,75,0,0,accident
50.8572,41.2369,4.96802,0.496825,0.360012,66.6667,11.1111,0,22.2222,52.5373,44.2553,31.9149,1,14.6357,44.1989,36.2265,255.635,37.8788,0.518687,0.342356,85.7143,0,0,14.2857,45.4545,104.12,47.4747,70.922,0.423549,0.474699,25,0,0,75,27.6596,53.0303,93.9394,194.658,0.633638,0.663355,50,0,0,50,4,23.4043,16.6989,46.9697,-53.7879,194.658,0.427964,0.627839,50,16.6667,33.3333,0,0,accident
46.3235,-52.4438,24.5844,0.420579,0.425181,45,10,35,10,52.6961,54.058,19.7101,1,12.6935,58.8235,89.9594,344.735,45.2941,0.738932,0.60741,87.5,0,12.5,0,54.4118,86.1804,-19.3498,36.8608,0.356403,0.309519,14.2857,14.2857,14.2857,57.1429,36.8421,57.3529,-32.8877,128.991,0.35699,0.390368,33.3333,33.3333,16.6667,16.6667,12,30.7018,11.1971,42.6471,2.94118,15.3893,0.422888,0.551846,14.2857,0,85.7143,0,34.2105,accident
50,80.1057,3.98422,0.481359,0.364955,47.3684,26.3158,15.7895,10.5263,55.2268,54.2125,23.4432,1,9.12229,65.3846,100.104,224.522,85.8974,0.757479,0.353811,50,0,50,0,42.3077,94.3047,2.5641,-67.6247,0.24911,0.383547,42.8571,0,0,57.1429,0,60.2564,94.8718,235.63,0.485089,0.58679,50,12.5,12.5,25,8,36.5385,16.7653,42.3077,6.03318,-35.4594,0.321843,0.40125,72.7273,0,18.1818,9.09091,37.5,accident
46.5311,20.1924,67.2609,0.309221,0.445842,38.8889,25,13.8889,22.2222,50.6186,46.0928,22.1497,0,6.42857,68,42,701.329,84,0.65246,0.405485,53.3333,0,33.3333,13.3333,29.5,69.4444,94.0622,148.439,0.274918,0.615268,10,0,0,90,36.9048,47.7195,77.7928,-81.0386,0.239665,0.505052,41.1765,41.1765,17.6471,0,17,36.7347,7.91667,45.3688,58.846,-5.96902,0.45571,0.412057,12.5,50,0,37.5,32.1429,accident
47.1888,-0.484731,16.4501,0.315677,0.363264,20,40,13.3333,26.6667,54.3404,44.733,25.1515,0,6.14633,74.7525,94.7819,569.508,95.3795,0.865852,0.547831,85.7143,0,14.2857,0,34.1584,84.3313,0.990099,40.9609,0.331255,0.665149,0,16.6667,0,83.3333,39.7727,46.7361,-1.58863,126.723,0.159971,0.462447,16.6667,58.3333,25,0,12,30.4604,7.98508,48.6383,-25.6288,121.923,0.350218,0.238495,7.14286,50,0,42.8571,34.9351,accident
47.7333,-2.64405,42.4907,0.360084,0.343161,18.4211,28.9474,18.4211,34.2105,53.6977,45.9145,22.5656,0,5.79726,66.3265,37.172,641.852,84.6939,0.78083,0.334004,50,0,33.3333,16.6667,36.2245,62.1906,-22.2236,-5.04071,0.345546,0.571502,9.09091,0,0,90.9091,35.033,54.8733,80.3061,-82.7195,0.581114,0.556301,18.1818,27.2727,36.3636,18.1818,11,41.3919,5.87576,43.6456,73.0246,-9.07236,0.594381,0.540668,0,58.3333,8.33333,33.3333,32.2677,accident
44.8419,-3.53621,41.06,0.384436,0.489332,34.2105,26.3158,15.7895,23.6842,55.6455,41.4807,21.8015,0,4.4967,59.901,75.7717,351.617,84.6535,0.728427,0.238524,0,0,70,30,30.6931,58.0512,60.396,101.997,0.236425,0.537598,50,0,0,50,41.875,48.5368,-8.08802,103.902,0.194812,0.435469,9.09091,63.6364,27.2727,0,11,44.5833,7.52888,41.487,113.361,82.1946,0.328559,0.405248,27.7778,38.8889,11.1111,22.2222,29.4271,accident
50.7879,66.7668,48.3638,0.429734,0.383475,30,30,20,20,48.1878,45.4349,24.8311,0,3.91146,72.549,16.122,407.517,97.7124,0.73459,0.429176,33.3333,0,66.6667,0,49.0196,51.5464,0.980392,-24.4447,0.371192,0.50829,21.4286,7.14286,0,71.4286,25.8275,53.0908,47.7248,-3.36677,0.265468,0.43761,16.6667,41.6667,41.6667,0,12,30.1915,4.68971,47.549,-53.1674,99.9043,0.473009,0.329642,12.5,87.5,0,0,56.0567,accident
46.2314,25.6471,62.7049,0.338556,0.272536,23.8095,33.3333,14.2857,28.5714,53.8194,43.8889,31.2778,1,11.875,64.2066,75.1801,457.046,71.875,0.735643,0.4406,66.6667,0,6.66667,26.6667,28.125,138,30.5,192,0.254584,0.718523,0,0,0,100,44,52.4447,-4.66954,179.586,0.487011,0.654938,0,50,50,0,6,52,10.7083,41.6667,55.6588,-23.7027,0.746887,0.325281,0,55.5556,0,44.4444,35.5,accident
47.9616,27.4636,27.4887,0.332501,0.338879,27.7778,38.8889,11.1111,22.2222,50.2987,48.5788,31.7829,0,15.4702,43.4783,61.154,450.624,47.8261,0.583256,0.349497,36.3636,9.09091,36.3636,18.1818,27.1739,156.842,-1.98322,71.1939,0.201087,0.721192,0,0,0,100,39.5349,44.4894,139.855,185.686,0.26422,0.17321,0,100,0,0,2,52.3256,15.0152,48.0654,41.0079,-14.75,0.344532,0.184496,16.6667,33.3333,0,50,39.5349,accident
47.2125,30.8012,96.7494,0.498479,0.516109,28.5714,10.7143,25,35.7143,53.5484,49.9029,29.644,0,8.85515,59.6774,78.0682,400.715,79.0323,0.540659,0.296955,40,0,40,20,25.8064,123.03,56.4516,188.389,0.247849,0.675163,20,0,0,80,65.3595,50.732,-10.8891,177.549,0.139247,0.249129,14.2857,42.8571,42.8571,0,7,48.2353,12.4288,47.4564,48.9778,-10.6439,0.570655,0.319925,0,25,25,50,18.9542,accident
48.7102,33.349,96.4172,0.384514,0.321207,24,20,20,36,55.8867,50.9195,24.6827,0,7.51837,61.4754,91.8847,303.68,83.6066,0.742531,0.392445,37.5,0,62.5,0,22.1311,108.502,47.0122,166.468,0.201503,0.67542,40,0,0,60,45.4023,58.1499,-18.4285,166.468,0.150687,0.414664,20,40,40,0,5,37.069,12.7191,39.7078,4.14658,-75.7152,0.417352,0.343552,16.6667,41.6667,0,41.6667,18.9655,accident
48.3301,32.8553,45.9827,0.278265,0.39506,27.7778,22.2222,22.2222,27.7778,54.9459,45.0877,27.6754,0,7.45238,67.8571,97.1429,436.109,91.4286,0.791581,0.39564,33.3333,0,66.6667,0,25,87.5,-18.2353,-33.1699,0.216142,0.475431,20,0,0,80,42.2222,53.5897,-25.3571,161.111,0.372101,0.455108,0,42.8571,57.1429,0,7,38.3333,11.1429,47.0868,-24.5046,150.374,0.703611,0.394658,18.1818,54.5455,0,27.2727,28.75,accident
46.5569,40.9096,46.0089,0.318599,0.237813,27.2727,31.8182,13.6364,27.2727,48.2583,47.7976,29.522,0,9.90566,65.0943,33.9355,344.727,96.8553,0.803865,0.315524,57.1429,0,42.8571,0,40.566,112.847,133.962,322.451,0.366806,0.577687,12.5,12.5,0,75,39.0625,55.2172,-13.0112,168.242,0.193028,0.506768,42.8571,42.8571,14.2857,0,7,40.2778,10.5739,42.4528,94.3396,-52.1976,0.772989,0.504112,33.3333,55.5556,11.1111,0,43.75,accident
48.2464,-11.0289,49.3591,0.293252,0.335065,35.7143,28.5714,7.14286,28.5714,55.5961,44.0736,27.4116,0,11.5455,62.1212,96.9697,405.487,82.3232,0.580706,0.304915,22.2222,11.1111,66.6667,0,27.2727,122,-6.63427,47.902,0.248152,0.64745,0,0,0,100,36.6667,51.1157,33.6215,-7.52738,0.086602,0.15539,37.5,25,37.5,0,8,39.3333,12,47.6656,52.9308,-11.5235,0.748627,0.325322,0,66.6667,0,33.3333,26,accident
50.3488,-10.2661,61.5459,0.278106,0.35435,20.6897,27.5862,17.2414,34.4828,43.8159,42.0163,26.8357,0,10.907,64.9254,97.0149,472.087,83.0846,0.75639,0.407324,37.5,0,50,12.5,24.6269,112.796,12.5563,132.432,0.219227,0.616232,25,0,0,75,42.033,51.1194,-37.3134,153.014,0.166981,0.555194,18.1818,45.4545,36.3636,0,11,33.8462,11.5672,48.4163,-1.6519,171.144,0.5142,0.433912,0,50,0,50,30.7692,accident
48.1343,26.6272,97.6772,0.284868,0.295553,46.4286,21.4286,10.7143,21.4286,54.6499,42.0952,25.0658,0,11.2528,66.6667,69.8113,511.579,84.9206,0.753733,0.520906,28.5714,0,42.8571,28.5714,22.2222,127.551,-8.90269,59.8935,0.193202,0.754606,0,25,0,75,49.2347,53.5147,-5.05051,152.965,0.222691,0.698764,0,54.5455,45.4545,0,11,42.8571,11.7347,44.7427,42.963,-12.5425,0.357796,0.353822,0,50,0,50,39.881,accident
44.3724,-9.87918,67.668,0.30326,0.363968,41.9355,19.3548,12.9032,25.8065,48.1884,47.5976,26.2012,0,12.4721,55.2632,11.8846,538.014,22.4561,0.540433,0.233569,37.5,12.5,25,25,42.9825,104.132,69.7138,189.3,0.346692,0.622838,25,0,0,75,43.1818,48.2456,-11.4551,207.876,0.309,0.569892,66.6667,33.3333,0,0,9,43.0303,9.44179,42.4554,108.654,87.4661,0.818896,0.284633,25,12.5,50,12.5,20,accident
51.6747,67.6251,30.5882,0.325787,0.423647,23.0769,38.4615,13.4615,25,55.0537,42.7861,21.1305,0,7.42056,52.8037,19.6262,784.962,62.6168,0.770694,0.482401,59.0909,0,22.7273,18.1818,42.0561,64.5,124.726,103.926,0.406026,0.67159,0,12.5,0,87.5,33.8462,54.7777,-33.6315,98,0.278712,0.41261,50,20,10,20,20,31.2857,6.61682,47.4669,98.1308,95,0.334967,0.271802,9.09091,72.7273,0,18.1818,38,accident
51.4187,71.6456,97.6339,0.50105,0.630652,42.5926,37.037,7.40741,12.963,60.5417,40.9735,21.164,0,8.00089,48.4523,51.9574,906.007,79.1667,0.598816,0.374347,52.6316,10.5263,21.0526,15.7895,42.7083,70.1675,66.0636,64.3301,0.547999,0.654375,8.33333,16.6667,0,75,29.8839,49.9205,1.04167,-32.912,0.381254,0.590232,55,45,0,0,20,40.1596,8.06738,43.2292,87.6426,-5.45749,0.553468,0.643285,21.4286,50,21.4286,7.14286,33.2447,accident
54.0354,18.2094,97.8909,0.410676,0.486022,34.7826,36.9565,8.69565,19.5652,53.0084,40.6472,19.7875,1,7.87346,50.7333,15.3871,846.356,62.7148,0.625759,0.287347,53.3333,6.66667,26.6667,13.3333,32.9897,59.5925,-21.1466,4.68863,0.319168,0.596464,0,0,0,100,34.2006,56.1856,-23.7338,72.9861,0.379956,0.465943,27.2727,59.0909,4.54545,9.09091,22,35.6209,8.24742,45.4777,69.775,-6.0469,0.336375,0.242527,30,40,0,30,31.3725,accident
49.0676,30.2473,14.9729,0.466415,0.433007,24.3902,41.4634,14.6341,19.5122,53.8355,41.2512,19.1838,1,7.74935,60.9195,26.4368,723.481,81.0345,0.783372,0.342147,43.75,6.25,50,0,43.1034,60.1226,1.14943,100.59,0.257573,0.480302,29.4118,5.88235,0,64.7059,30.1792,56.5718,97.7011,118.098,0.474609,0.507939,38.8889,50,11.1111,0,18,25.9601,9.01001,43.6782,88.0786,-3.49205,0.49054,0.541434,38.4615,53.8462,7.69231,0,40.8602,accident
49.5345,14.7167,2.31146,0.438463,0.376835,27.907,41.8605,9.30233,20.9302,52.5086,37.7219,21.7492,0,9.50187,52.0408,120.824,1152.61,69.6429,0.74865,0.429393,32,12,32,24,40.8163,74.5751,68.0155,83.8048,0.44857,0.706721,0,14.2857,0,85.7143,32.7723,56.9156,-38.0377,80.2761,0.522889,0.499019,23.5294,47.0588,17.6471,11.7647,17,40.8602,8.72284,42.3469,89.2963,-19.5837,0.571866,0.369342,38.4615,53.8462,0,7.69231,37.0968,accident
