%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE black_pixel NUMERIC
@ATTRIBUTE HarrisCorners NUMERIC
@ATTRIBUTE Airs NUMERIC
@ATTRIBUTE Taille_coutours NUMERIC
@ATTRIBUTE class {accident, bomb, car, casualty, electricity, fire-brigade, flood, gas, injury, paramedics, person police, road-block}

@DATA
1578,59712,245.5,1353.17,casualty
1540,4,58,494.174,casualty
1381,59369,129,650.264,casualty
1549,35,123,563.495,casualty
1180,19,63,357.362,casualty
758,59214,428,271.664,casualty
671,13,85,322.191,casualty
664,90,392.5,247.664,casualty
819,14,434.5,204.794,casualty
786,5,196.5,370.475,casualty
1700,59691,4615,577.779,casualty
1596,58743,4753,537.997,casualty
1635,57238,139.5,665.134,casualty
1783,20,129.5,865.193,casualty
1545,12,123.5,676.021,casualty
1193,57991,898.5,411.948,electricity
1026,150,255,734.725,electricity
918,81,277,428.274,electricity
963,25,709,367.161,electricity
1136,57711,818,362.475,electricity
1260,58029,979.5,433.144,electricity
1071,57921,304.5,753.151,electricity
1199,56760,871.5,431.831,electricity
1230,35,397.5,798.624,electricity
1243,58561,891.5,418.919,electricity
1305,53,313.5,948.732,electricity
1272,58933,1027.5,494.517,electricity
1221,57789,854.5,409.262,electricity
1116,17,859.5,412.919,electricity
1229,57897,114.5,850.021,electricity
1139,35,817.5,418.777,electricity
1314,58064,53.5,874.34,electricity
1066,232,768.5,364.149,electricity
1068,57988,349,459.747,electricity
1215,55,70,809.352,electricity
482,18,485.5,220.409,electricity
786,39,474,256.652,electricity
847,57885,517.5,253.38,electricity
823,8,49.5,352.919,electricity
667,40,418,189.681,electricity
987,21,740,384.191,electricity
998,58611,253.5,744.039,electricity
994,58886,257.5,453.747,electricity
1066,22,790,388.392,electricity
1064,34,287,455.505,electricity
861,112,370.5,184.811,fire-brigade
887,57213,632.5,308.978,fire-brigade
734,59039,650.5,344.635,fire-brigade
801,59234,980,233.338,fire-brigade
912,58545,126.5,554.659,fire-brigade
2355,58365,1249,574.274,fire-brigade
1862,58550,1063,483.99,fire-brigade
2038,89,1226.5,528.683,fire-brigade
1990,32,1696,742.122,fire-brigade
2040,39,1867,831.72,fire-brigade
1137,58492,312.5,497.169,fire-brigade
1155,57920,277.5,396.257,fire-brigade
1245,58507,2801,561.328,fire-brigade
1183,58866,2659.5,222.995,fire-brigade
1356,31,179,1258.05,fire-brigade
1879,47,1486,812.063,fire-brigade
1659,2,1008.5,424.056,fire-brigade
1571,24,262.5,1186.86,fire-brigade
1724,57872,314.5,844.857,fire-brigade
1728,109,1369,560.784,fire-brigade
1628,57860,1359,591.269,fire-brigade
1613,58243,742,690.524,fire-brigade
1362,111,155,1129.97,fire-brigade
1441,59643,1011.5,442.659,fire-brigade
1542,112,1181.5,515.973,fire-brigade
3083,62068,1714.5,707.845,fire-brigade
2266,57261,784,1034.16,fire-brigade
2474,197,1941.5,857.217,fire-brigade
2323,81,1884.5,802.69,fire-brigade
3274,65628,1072,595.36,fire-brigade
1657,58181,767,416.825,fire-brigade
1238,86,1033.5,430.801,fire-brigade
1288,20,297,559.293,fire-brigade
1180,6,130.5,802.933,fire-brigade
1188,45,171,517.789,fire-brigade
1716,59260,1404,999.543,fire
1749,57766,105,903.779,fire
1881,57887,1995,953.786,fire
2032,152,200.5,1359.29,fire
2026,13,553,956.087,fire
794,58334,72.5,776.281,fire
791,58364,842,380.818,fire
938,58111,2497,416.86,fire
978,50,2227,302.593,fire
1001,7,74.5,485.286,fire
1481,58825,89.5,848.708,fire
1800,57978,205.5,1695.31,fire
2001,57944,105.5,956.649,fire
1989,57952,9323.5,1284.84,fire
2242,57131,11561,1033.74,fire
1555,17,101.5,958.649,fire
1551,58104,7350,989.418,fire
1521,58558,5700.5,618.843,fire
1547,38,50,571.73,fire
1696,51,93.5,704.767,fire
724,58764,36.5,384.291,fire
919,38,132.5,873.561,fire
981,9,72,764.382,fire
966,59033,104,820.749,fire
1147,120,1344.5,701.796,fire
1289,59749,715,958.833,fire
1338,57782,5744.5,968.891,fire
1443,7,5799.5,649.227,fire
1534,31,6112,546.718,fire
1369,59034,133.5,1323.38,fire
2390,127,242.5,2086.33,fire
2750,15,487,1869.41,fire
2607,57715,102,829.637,fire
2833,30,107.5,1037.9,fire
2523,4,99,925.092,fire
1522,58706,168,742.573,flood
1597,3,333,1424.49,flood
1761,58264,984.5,722.933,flood
1543,58280,148,741.661,flood
1502,59074,203.5,975.81,flood
2828,58083,226,1218.99,flood
2496,133,1469.5,1697.27,flood
2605,57777,212,1105.63,flood
2848,57471,272.5,1342.51,flood
2936,57828,285,1252.87,flood
1426,58848,368,1290.73,flood
1437,57563,834,392.215,flood
1451,58260,695,740.975,flood
1461,58352,758,693.235,flood
1723,56284,1021,711.779,flood
1987,58448,1247.5,1357.74,flood
1608,58493,109.5,651.595,flood
1886,58273,166,820.715,flood
1661,57376,193,906.597,flood
1856,58596,895.5,902.053,flood
1549,57328,179,797.519,flood
1797,57865,876.5,934.497,flood
1525,57021,265,1464.07,flood
1626,14,270,1513.93,flood
1551,56952,903.5,1105.93,flood
1578,59034,975.5,651.921,flood
1649,57143,947.5,406.257,flood
1795,8,1058.5,447.713,flood
1672,144,160,840.087,flood
1859,5,568.5,1365.17,flood
1203,59393,148,562.725,flood
1656,60783,158,825.46,flood
1233,57861,226.5,1194.52,flood
1188,59370,702.5,523.227,flood
1230,57402,1183,573.411,flood
743,58363,130.5,700.649,flood
872,58346,573,258.877,flood
840,34,899.5,382.517,flood
831,53,364,409.789,flood
1150,58090,117,619.293,flood
2779,58886,1048,798.212,gas
2489,58339,942,652.632,gas
2369,58485,827,777.242,gas
2144,59102,768,1301.18,gas
2423,57518,956.5,677.803,gas
2204,4,468,662.365,gas
2192,57550,849.5,354.801,gas
2022,58217,815.5,808.739,gas
2195,5,841.5,362.316,gas
2264,57907,877.5,369.973,gas
3471,58055,1238.5,1081.71,gas
3573,4,284,1050.39,gas
3578,58279,1345,1143.94,gas
3512,59013,1248,944.906,gas
3219,58801,300.5,1126.03,gas
2053,3,742.5,702.406,gas
1926,57408,759,654.164,gas
1984,4,658.5,585.938,gas
2209,58599,903.5,673.46,gas
2074,57397,753.5,605.779,gas
2058,58810,830.5,614.164,gas
2064,57927,831,711.945,gas
2029,60969,679,666.046,gas
2224,90,862.5,632.063,gas
2184,56595,843.5,710.188,gas
1952,4,189.5,1689.52,injury
1806,7,70.5,924.767,injury
1773,2,478.5,594.576,injury
1888,9,110.5,1161.08,injury
1705,56823,61.5,568.375,injury
1230,4,358,696.943,injury
1356,59,108.5,1031.76,injury
1162,58285,743,815.779,injury
1327,20,94.5,920.507,injury
1464,12,707,711.553,injury
1721,61393,52.5,518.517,injury
1140,50,645.5,472.558,injury
1133,20,275,918.365,injury
1340,58600,401,620.34,injury
1278,57313,234.5,479.671,injury
1193,10,1028.5,724.299,injury
1578,15,2536.5,612.458,injury
2178,61723,99.5,1049.54,injury
1417,80,2003,748.014,injury
1506,77,2718.5,575.973,injury
1205,21,423,490.132,injury
1232,38,117.5,1099.36,injury
1388,58198,105.5,974.164,injury
1318,32,625,754.524,injury
1556,55,874,378.132,injury
1789,58729,667.5,758.181,injury
1800,27,109.5,865.477,injury
2810,63231,3334.5,937.37,injury
2057,57100,2221,510.149,injury
2099,56416,2106,642.257,injury
748,58476,252,473.789,injury
946,58156,157,810.122,injury
975,19,207,653.671,injury
1066,322,556,254.652,injury
988,57045,935.5,266.693,injury
2162,64,26,797.446,paramedics
2058,13,1571.5,727.605,paramedics
1978,57810,1246,580.167,paramedics
2333,6,1356.5,986.86,paramedics
2080,5,7732,426.25,paramedics
2232,152,355.5,1134.68,paramedics
1928,57981,7684,641.421,paramedics
1940,43,475.5,1671.76,paramedics
1583,168,1309.5,621.404,paramedics
2088,56617,841,823.73,paramedics
2649,57703,60.5,1892.73,paramedics
2636,118,41,1895.44,paramedics
2579,56097,2003,1457.35,paramedics
2677,49,527.5,968.96,paramedics
2514,240,41,1556.44,paramedics
3132,56888,19,1280.66,paramedics
3288,53336,1203.5,1263.81,paramedics
2975,169,29,1240.58,paramedics
2924,28,59,2262.57,paramedics
2625,54960,82,2023.77,paramedics
2087,59291,332.5,771.806,paramedics
2122,58641,415,944.676,paramedics
2016,34,6949,672.333,paramedics
2480,61792,1267,557.563,paramedics
1908,57775,1494.5,689.948,paramedics
1118,58786,486,544.475,paramedics
1040,59073,207,799.085,paramedics
1176,26,31,821.387,paramedics
1082,8,272,827.186,paramedics
1011,77,215,604.191,paramedics
2144,58564,1065,524.392,paramedics
1813,30,1530,725.161,paramedics
1441,57288,610.5,291.439,paramedics
1658,34,703,347.196,paramedics
1712,56609,23.5,650.149,paramedics
2488,60011,1464.5,728.919,paramedics
2636,4,473.5,1238.16,paramedics
2607,55980,517,1181.1,paramedics
2465,124,1947,903.848,paramedics
2264,57688,79,2027.2,paramedics
1952,184,276,902.365,person
1952,59205,278,388.233,person
1294,93,144.5,477.161,person
1250,6,127,661.269,person
1301,41,440.5,894.08,person
1402,58132,713,343.505,person
1382,58276,101,762.122,person
1241,235,230.5,454.818,person
2017,62788,110.5,827.252,person
1262,16,187,673.387,person
1161,121,344.5,309.321,person
1292,15,200.5,406.617,person
2115,58108,394.5,1025.19,person
2361,22,185.5,1177.47,person
1780,11,510.5,588.392,person
1980,35,640.5,552.607,person
1950,58408,387,594.683,person
660,123,79.5,692.624,person
857,32,88.5,614.139,person
668,67,94.5,397.688,person
743,42,78,540.014,person
789,25,71.5,509.772,person
2436,5,193,960.739,police
2815,56925,281,1113.82,police
2596,4,2177,952.847,police
2926,10,555.5,2174.87,police
2555,2,418,1857.7,police
2042,58102,699.5,1297.84,police
1911,122,131,630.181,police
3159,63166,462,1339.88,police
1764,56,239,1151.27,police
2062,22,460.5,886.555,police
2311,4,359.5,1525.13,police
1846,8,182,621.619,police
2005,58071,5805,672.489,police
1919,58941,598.5,839.301,police
1863,7,921,808.288,police
1862,140,656,873.744,police
1548,59323,579.5,586.056,police
1565,11,133,573.98,police
2372,64490,214.5,1036.04,police
1636,58416,206,1117.59,police
2200,60006,411,1530.02,police
1900,5,908,993.249,police
2349,56896,1196.5,505.169,police
3023,4,1127.5,581.553,police
2656,6,11267,1316.54,police
817,34,2454,389.463,road-block
537,59193,27.5,272.894,road-block
711,58676,576,295.421,road-block
805,13,53,482.759,road-block
752,19,50.5,482.032,road-block
1197,6,60.5,540.316,road-block
1259,2,57.5,441.203,road-block
1249,57990,98,814.808,road-block
1007,58781,58,475.588,road-block
1305,57854,63,494.902,road-block
2212,6,86.5,718.624,road-block
2113,58681,78.5,630.541,road-block
1927,58597,94,804.808,road-block
1944,58742,143,1091.34,road-block
2045,58694,63.5,625.428,road-block
1789,60236,96,716.039,road-block
1310,58978,69.5,524.115,road-block
1405,57666,238.5,1170.7,road-block
1303,58668,123.5,911.762,road-block
1376,58805,120.5,682.884,road-block
