@relation 'Imagette-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 10'

@attribute Airs_Center_X_GLOBAL numeric
@attribute Airs_Triangle_2_X_GLOBAL numeric
@attribute Harris_Corners_X_GLOBAL numeric
@attribute Mass_Center_X_Global numeric
@attribute Mass_Center_Y_Global numeric
@attribute Hough_Lines_Vertical_Global numeric
@attribute Hough_Lines_Horizontal_Global numeric
@attribute Hough_Lines_DiagonalPos_Global numeric
@attribute Hough_Lines_DiagonalNeg_Global numeric
@attribute Hough_Circles_X_Global numeric
@attribute Hough_Circles_Radius_Global numeric
@attribute Rows_Or_Cols_Global numeric
@attribute Airs_Center_X_0 numeric
@attribute Airs_Triangle_2_X_0 numeric
@attribute Harris_Corners_X_0 numeric
@attribute Mass_Center_X_0 numeric
@attribute Hough_Lines_Vertical_0 numeric
@attribute Hough_Lines_Horizontal_0 numeric
@attribute Hough_Lines_DiagonalPos_0 numeric
@attribute Hough_Lines_DiagonalNeg_0 numeric
@attribute Hough_Circles_Radius_0 numeric
@attribute Black_Pixel_1 numeric
@attribute Airs_Center_X_1 numeric
@attribute Airs_Center_Y_1 numeric
@attribute Mass_Center_Y_1 numeric
@attribute Hough_Lines_Vertical_1 numeric
@attribute Hough_Lines_Horizontal_1 numeric
@attribute Hough_Lines_DiagonalNeg_1 numeric
@attribute Airs_Center_X_2 numeric
@attribute Airs_Triangle_1_Y_2 numeric
@attribute Mass_Center_Y_2 numeric
@attribute Hough_Lines_Vertical_2 numeric
@attribute Hough_Lines_DiagonalPos_2 numeric
@attribute Hough_Lines_DiagonalNeg_2 numeric
@attribute Black_Pixel_3 numeric
@attribute Airs_Center_Y_3 numeric
@attribute Airs_Triangle_1_X_3 numeric
@attribute Mass_Center_X_3 numeric
@attribute Hough_Lines_Vertical_3 numeric
@attribute Hough_Lines_DiagonalPos_3 numeric
@attribute Hough_Lines_DiagonalNeg_3 numeric
@attribute Hough_Lines_Nb_3 numeric
@attribute Black_Pixel_4 numeric
@attribute Airs_Center_X_4 numeric
@attribute Airs_Triangle_1_X_4 numeric
@attribute Airs_Triangle_1_Y_4 numeric
@attribute Mass_Center_Y_4 numeric
@attribute Hough_Lines_Vertical_4 numeric
@attribute Hough_Lines_Horizontal_4 numeric
@attribute Hough_Lines_DiagonalPos_4 numeric
@attribute Hough_Lines_Nb_4 numeric
@attribute Airs_Center_X_5 numeric
@attribute Airs_Triangle_1_Y_5 numeric
@attribute Mass_Center_Y_5 numeric
@attribute Hough_Lines_Vertical_5 numeric
@attribute Hough_Lines_Horizontal_5 numeric
@attribute Hough_Lines_DiagonalPos_5 numeric
@attribute Hough_Lines_DiagonalNeg_5 numeric
@attribute Black_Pixel_6 numeric
@attribute Airs_Triangle_1_Y_6 numeric
@attribute Mass_Center_X_6 numeric
@attribute Mass_Center_Y_6 numeric
@attribute Hough_Lines_Vertical_6 numeric
@attribute Hough_Lines_DiagonalPos_6 numeric
@attribute Hough_Lines_DiagonalNeg_6 numeric
@attribute Hough_Circles_Radius_6 numeric
@attribute Black_Pixel_7 numeric
@attribute Airs_Center_X_7 numeric
@attribute Airs_Center_Y_7 numeric
@attribute Airs_Triangle_1_Y_7 numeric
@attribute Airs_Triangle_2_X_7 numeric
@attribute Airs_Contours_7 numeric
@attribute Mass_Center_X_7 numeric
@attribute Mass_Center_Y_7 numeric
@attribute Hough_Lines_Vertical_7 numeric
@attribute Hough_Lines_Horizontal_7 numeric
@attribute Hough_Lines_DiagonalNeg_7 numeric
@attribute Airs_Center_X_8 numeric
@attribute Airs_Triangle_1_Y_8 numeric
@attribute Mass_Center_X_8 numeric
@attribute Mass_Center_Y_8 numeric
@attribute Hough_Lines_Vertical_8 numeric
@attribute Hough_Lines_Horizontal_8 numeric
@attribute Hough_Lines_DiagonalPos_8 numeric
@attribute Hough_Lines_DiagonalNeg_8 numeric
@attribute Class {accident,bomb,car,casualty,electricity,fire-brigade,fire,flood,gas,injury,paramedics,person,police,road-block}

@data
48.8133,35.3296,72.588,0.293244,0.371986,20,32,8,40,51.2615,26.7925,0,80.2326,221.741,75.5814,0.816279,100,0,0,0,60,15.2824,50,138.776,0.576073,0,0,100,0,0,0,0,0,0,8.77076,138.776,-14.5877,0.416667,0,100,0,2,6.77741,49.7704,111.205,8.16327,0.260317,100,0,0,2,40.6977,269.388,0.549014,0,0,0,100,9.56811,273.034,0.093023,0.134524,0,0,0,0,11.0963,48.8372,232.653,82.2881,94.9418,227.394,0.139452,0.130056,0,100,0,48.0643,-14.8423,0.7853,0.304109,0,60,0,40,accident
48.5065,-6.91273,31.9254,0.25036,0.27642,11.7647,58.8235,11.7647,17.6471,53.208,30.4784,0,75.6757,255.661,95.4955,0.786418,0,0,100,0,66.6667,11.2112,32.4324,192.044,0.595568,0,0,100,0,0,0,0,0,0,13.3133,178.326,62.1622,0.588088,50,50,0,2,8.60861,48.6487,2.7027,360.193,0.194444,33.3333,33.3333,0,3,45.9459,342.936,0.680691,0,0,0,100,13.2132,377.039,0.085874,0.179883,20,20,0,51.8519,12.2122,0,0,0,0,0,0,0,0,100,0,72.973,149.836,0.73964,0.22037,0,66.6667,33.3333,0,accident
50.3938,102.835,39.7326,0.328429,0.443691,4.7619,38.0952,19.0476,38.0952,54.6415,31.5949,0,87.1429,269.388,96.1905,0.9,0,0,0,0,0,16.4835,45.7143,184.911,0.414856,0,0,100,0,0,0,0,0,0,9.67033,184.911,70,0.606429,0,100,0,2,10.2198,53.3868,140,14.7929,0.135043,50,50,0,2,30,394.323,0.646591,0,0,0,100,13.4066,355.03,0.200011,0.339832,25,25,0,0,13.0769,48.5714,288.462,184.7,158.834,160.453,0,0,0,100,0,68.5714,-73.9645,0.717409,0.335184,0,80,0,20,accident
45.6981,-10.4908,97.1267,0.261047,0.576684,40.9091,18.1818,4.54545,36.3636,60.5442,24.9504,0,78.125,292.969,81.25,0.414062,100,0,0,0,0,14.9414,43.75,151.367,0.642613,0,0,100,0,0,0,0,0,0,10.3516,151.367,-7.45192,0.445818,50,50,0,4,4.10156,84.375,75,9.76562,0.075521,0,0,0,0,39.0625,58.1499,0.619792,50,0,0,50,13.8672,273.438,0.126265,0.451339,0,0,0,40.625,12.5,44.4491,183.899,21.4942,57.0725,173.137,0,0,0,100,0,46.875,-47.3633,0.739689,0.267088,0,33.3333,66.6667,0,accident
49.382,25.4499,83.0065,0.322595,0.454779,11.1111,44.4444,14.8148,29.6296,59.418,28.5621,0,72.619,48.186,92.8571,0.719373,0,0,100,0,50,16.8768,48.8095,147.059,0.551938,16.6667,0,83.3333,0,0,0,0,0,0,7.63305,142.734,-17.2932,0.315334,0,100,0,3,4.48179,51.6678,7.11875,7.59932,0.058824,100,0,0,2,47.619,276.817,0.504389,0,0,0,100,9.94398,268.166,0.183986,0.584166,0,0,50,0,11.9748,48.8095,224.913,276.817,-22.6757,213.819,0.141062,0.137955,0,100,0,75,-52.6895,0.77235,0.261134,0,40,60,0,accident
37.3134,-15.7791,93.3494,0.318409,0.478789,50,0,25,25,0,0,1,61.5385,355.03,84.6154,0,0,0,0,0,0,29.3269,46.1538,292.969,0.477778,100,0,0,11.5385,546.875,0.854167,0,0,0,21.6346,273.438,55.2448,0,0,0,0,0,14.9038,46.1538,7.69231,39.0625,0.694444,0,0,0,0,50,159.505,0.429688,100,0,0,0,17.7885,195.312,0.430769,0.667708,0,0,0,0,17.3077,33.4008,299.137,580.897,-78.2592,58.2732,0,0,0,0,0,42.3077,39.0625,0.380037,0.172619,0,0,0,0,accident
48.494,-65.4372,23.0999,0.453049,0.470497,20,40,0,40,45.5285,30.303,0,57.6923,650.888,76.9231,0.613054,0,0,0,0,0,17.4825,38.4615,413.223,0.307359,0,0,0,0,0,0,0,0,0,21.6783,371.901,18.4615,0.192308,0,0,0,0,28.6713,69.2308,53.8462,82.6446,0.278788,0,0,0,0,0,0,0,0,0,0,0,23.0769,0,0,0,0,0,0,0,29.3706,46.9231,619.835,550.964,-177.515,36.8191,0.230769,0.590909,0,0,0,42.3077,-578.512,0.653846,0.30303,0,0,0,0,accident
44.3342,-38.7903,38.3781,0.541455,0.444733,40,20,10,30,43.1818,31.25,1,67.8571,612.245,92.8571,0.535714,0,0,0,0,0,26.3393,46.4286,292.969,0.46875,0,0,100,14.2857,468.75,0.84375,0,0,0,20.5357,292.969,7.14286,0.410714,0,100,0,1,11.1607,0,0,0,0,0,0,0,0,46.4286,39.0625,0.350893,100,0,0,0,19.6429,379.136,0.365079,0.642361,0,0,0,0,22.7679,46.4286,429.688,304.688,51.0204,59.7,0,0,0,0,0,42.8571,480.386,0.55291,0.525463,0,0,100,0,accident
37.1007,-49.5397,36.0548,0.359561,0.247399,12.5,37.5,25,25,47.2,33.0909,1,62.5,546.875,81.25,0.68287,100,0,0,0,0,28.125,43.75,262.346,0.431336,0,0,100,0,0,0,0,0,0,14.2361,246.914,6.25,0.25,100,0,0,1,7.98611,87.5,87.5,30.8642,0,0,0,0,0,46.875,580.247,0.515873,50,50,0,0,16.3194,308.642,0.21875,0.703704,0,0,0,0,16.6667,62.5,185.185,61.7284,546.875,39.9706,0.486742,0.407407,0,100,0,40.625,154.321,0.6875,0.083333,0,0,0,0,accident
40.8653,56.1431,41.4665,0.30139,0.60599,27.2727,27.2727,9.09091,36.3636,57.6271,22.4638,1,73.6842,304.709,94.7368,0.355263,100,0,0,0,0,25.8581,52.6316,207.939,0.529547,0,0,100,0,0,0,0,0,0,20.8238,207.939,61.9433,0.342776,50,50,0,2,7.78032,47.3684,5.26316,111.059,0.277536,0,0,0,0,42.1053,591.412,0.597765,0,0,0,0,17.6201,330.813,0.131579,0.73913,0,0,0,0,12.1281,23.6842,94.518,44.1084,92.3361,19.4853,0.209177,0.238573,0,100,0,44.7368,-32.4571,0.52924,0.311836,0,100,0,0,accident
46.8212,58.0182,4.12497,0.359659,0.34238,41.1765,35.2941,17.6471,5.88235,52.3236,30.1587,0,72.2222,342.936,96.2963,0.7597,100,0,0,0,0,16.5981,47.0679,144.033,0.135802,50,50,0,37.037,2.21249,0.577389,0,0,75,14.2661,178.326,7.40741,0.315329,100,0,0,2,11.9342,24.0741,37.037,13.7174,0.514918,100,0,0,2,77.7778,176.518,0.296296,100,0,0,0,20.8505,205.761,0.274799,0.530562,33.3333,0,66.6667,0,23.7311,45.1389,205.761,-59.2015,13.7174,181.363,0.355967,0.355453,0,100,0,46.2963,-19.5963,0.6298,0.327702,33.3333,0,66.6667,0,accident
47.453,-14.6252,3.37607,0.538769,0.464844,15.7895,47.3684,15.7895,21.0526,61.2795,26.9628,0,48.6111,123.457,52.7778,0.497068,66.6667,0,33.3333,0,0,18.1034,45.2441,178.359,0.488123,0,0,100,29.1667,233.188,0,0,0,0,10.3448,166.468,51.0582,0.225694,100,0,0,2,9.38697,16.6667,20.5556,11.8906,0.396552,100,0,0,2,58.3333,-132.382,0.305454,0,25,0,75,17.6245,198.897,0.154101,0.467532,0,0,0,0,23.1801,45.665,184.304,-35.6718,7.71605,294.262,0.631301,0.482394,0,80,0,43.0556,182.683,0.437879,0.289394,0,50,50,0,accident
50.8572,41.2369,4.96802,0.496825,0.360012,66.6667,11.1111,0,22.2222,52.5373,31.9149,1,50,230.919,56.8182,0.569913,100,0,0,0,0,17.1554,40.9091,166.493,0.3947,100,0,0,22.7273,351.197,0,0,0,100,18.0352,156.087,3.7037,0,100,0,0,2,11.7302,40.9091,21.039,-35.9744,0,100,0,0,3,61.3636,-70.2393,0,100,0,0,0,19.6481,-36.7673,0.290634,0.453568,0,0,50,0,18.0352,53.9256,175.48,-40.5752,379.779,151.267,0.347125,0.607113,0,100,0,47.7273,-58.0536,0.441041,0.514598,0,0,100,0,accident
46.3235,-52.4438,24.5844,0.420579,0.425181,45,10,35,10,52.6961,19.7101,1,81.8182,330.579,95.4545,0.818182,0,0,0,0,0,19.378,50,135.042,0.458851,20,0,40,18.1818,170.331,0.437719,0,0,0,19.2584,128.116,96.2451,0.505682,50,50,0,2,11.244,29.5455,20.7071,367.036,0.269737,100,0,0,3,50,-125.131,0.197055,75,0,0,25,24.5215,64.9238,0.458321,0.575146,40,20,40,0,17.9426,36.3636,138.504,-19.3906,20.6612,183.45,0.535343,0.518313,0,66.6667,0,40.9091,159.28,0.367832,0.214119,0,50,50,0,accident
50,80.1057,3.98422,0.481359,0.364955,47.3684,26.3158,15.7895,10.5263,55.2268,23.4432,1,88.4615,325.444,96.1538,0.903846,0,0,0,0,0,20.8791,51.1704,131.738,0.439358,60,20,0,26.9231,269.388,0.666753,100,0,0,16.3736,138.776,121.368,0.569153,0,100,0,2,10.6593,50,92.3077,-253.061,0.228571,100,0,0,2,63.4615,37.597,0.085714,100,0,0,0,20.5495,342.642,0.401584,0.668168,33.3333,0,66.6667,31.4286,17.9121,48.0769,204.082,85.2245,100.592,238.98,0.17447,0.145618,0,100,0,46.1538,-33.5601,0.581825,0.54986,0,0,100,0,accident
46.5311,20.1924,67.2609,0.309221,0.445842,38.8889,25,13.8889,22.2222,50.6186,22.1497,0,0,0,96.9697,0,0,0,0,0,0,13.6093,50.1243,104.165,0.607007,28.5714,0,57.1429,0,0,0,0,0,0,6.27706,89.2857,104.235,0.71149,20,80,0,5,5.05952,59.8534,23.7077,3.18878,0.02381,100,0,0,4,37.8788,-13.5984,0.502674,14.2857,0,0,85.7143,11.2284,-12.9855,0.231013,0.607301,33.3333,22.2222,0,26.7857,8.19805,49.2424,156.25,91.265,77.1033,327.019,0.152653,0.198636,0,75,0,44.5213,-17.8733,0.405137,0.187735,0,66.6667,0,33.3333,accident
47.1888,-0.484731,16.4501,0.315677,0.363264,20,40,13.3333,26.6667,54.3404,25.1515,0,0,0,91.0448,0,0,0,0,0,0,13.4036,52.1287,119.469,0.706432,50,0,50,0,0,0,0,0,0,3.83377,126.874,97.0149,0.86874,33.3333,66.6667,0,3,5.35558,49.2537,45.3315,164.387,0.242647,100,0,0,5,44.7761,60.5501,0.492228,0,0,0,100,10.9745,-10.7509,0.233551,0.766982,20,40,0,32.3529,7.9602,49.2537,159.554,81.5989,92.4781,339.001,0.205402,0.165616,0,100,0,48.5075,-25.6795,0.454809,0.102424,50,50,0,0,accident
47.7333,-2.64405,42.4907,0.360084,0.343161,18.4211,28.9474,18.4211,34.2105,53.6977,22.5656,0,87.6923,108.538,98.4615,0,50,0,50,0,0,10.2051,55.3147,77.904,0.42633,41.6667,0,50,8.46154,129.861,0.900463,0,0,100,5.48718,81.9445,48,0.589596,87.5,12.5,0,8,3.94872,33.0769,37.0234,6.7029,0.325,100,0,0,3,53.0769,-107.639,0.483047,0,0,0,100,7.25641,129.567,0.224946,0.382674,33.3333,22.2222,22.2222,66.1111,6.25641,49.2308,144.444,161.111,-12.8487,323.37,0.229864,0.272794,0,100,0,46.9231,122.222,0.47558,0.286839,0,60,40,0,accident
44.8419,-3.53621,41.06,0.384436,0.489332,34.2105,26.3158,15.7895,23.6842,55.6455,21.8015,0,81.3433,115.096,84.5771,0.843805,80,0,20,0,53.7946,9.46828,49.2537,84.2285,0.408157,20,0,50,5.97015,127.93,0.924479,0,0,0,5.50373,76.9043,101.99,0.487437,66.6667,33.3333,0,6,4.19776,67.9105,57.1476,22.1897,0.398438,100,0,0,4,40.2985,-136.719,0.490572,25,0,0,75,8.39552,142.723,0.141904,0.362374,25,12.5,0,53.3854,6.62313,47.7612,120.85,71.1169,135.952,350.054,0.626214,0.738498,25,75,0,44.2542,-15.569,0.553533,0.220075,12.5,25,25,37.5,accident
50.7879,66.7668,48.3638,0.429734,0.383475,30,30,20,20,48.1878,24.8311,0,95.5882,142.734,97.0588,0.955882,0,0,0,0,0,10.1357,48.0648,91.6857,0.395787,27.2727,9.09091,18.1818,27.9412,4.30692,0.648211,25,0,75,5.8371,75.7396,126.07,0.660283,16.6667,83.3333,0,6,2.08145,50.7353,45.5882,9.46746,0,100,0,0,3,72.7941,2.36686,0.27945,0,0,0,100,6.8552,120.746,0.215178,0.327141,12.5,50,0,52.9231,6.49321,50.5218,118.472,41.3001,107.003,320.296,0,0,0,100,0,49.2647,147.685,0.095588,0.458974,0,100,0,0,accident
46.2314,25.6471,62.7049,0.338556,0.272536,23.8095,33.3333,14.2857,28.5714,53.8194,31.2778,1,79.6875,292.969,88.5417,0.750417,66.6667,0,33.3333,0,0,19.2235,43.75,146.924,0.661526,40,0,60,0,0,0,0,0,0,8.04924,91.8274,7.8125,0,100,0,0,3,5.87121,52.8109,7.8125,9.18274,0.103114,100,0,0,1,37.5,208.969,0.576997,0,0,0,100,8.71212,254.747,0.104167,0.818182,0,0,0,0,11.4583,46.6189,188.811,16.7245,99.1786,164.273,0.119792,0.064815,0,100,0,40.625,-51.2242,0.784655,0.266999,25,75,0,0,accident
