@relation 'Imagette-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 10'

@attribute Airs_Center_X_GLOBAL numeric
@attribute Harris_Corners_X_GLOBAL numeric
@attribute Mass_Center_X_Global numeric
@attribute Mass_Center_Y_Global numeric
@attribute Hough_Lines_Vertical_Global numeric
@attribute Hough_Lines_Horizontal_Global numeric
@attribute Hough_Lines_DiagonalPos_Global numeric
@attribute Hough_Lines_DiagonalNeg_Global numeric
@attribute Hough_Lines_Nb_Global numeric
@attribute Hough_Circles_X_Global numeric
@attribute Hough_Circles_Radius_Global numeric
@attribute Rows_Or_Cols_Global numeric
@attribute Airs_Center_X_0 numeric
@attribute Airs_Triangle_2_X_0 numeric
@attribute Airs_Contours_0 numeric
@attribute Harris_Corners_X_0 numeric
@attribute Mass_Center_X_0 numeric
@attribute Hough_Lines_Nb_0 numeric
@attribute Airs_Center_X_1 numeric
@attribute Hough_Lines_Horizontal_1 numeric
@attribute Airs_Center_X_2 numeric
@attribute Airs_Triangle_2_X_2 numeric
@attribute Mass_Center_X_2 numeric
@attribute Hough_Lines_Vertical_2 numeric
@attribute Hough_Lines_DiagonalNeg_2 numeric
@attribute Airs_Center_X_3 numeric
@attribute Airs_Center_Y_3 numeric
@attribute Hough_Lines_Vertical_3 numeric
@attribute Hough_Lines_DiagonalPos_3 numeric
@attribute Hough_Lines_DiagonalNeg_3 numeric
@attribute Black_Pixel_4 numeric
@attribute Airs_Center_X_4 numeric
@attribute Airs_Center_Y_4 numeric
@attribute Airs_Triangle_2_X_4 numeric
@attribute Hough_Lines_Vertical_4 numeric
@attribute Hough_Lines_Horizontal_4 numeric
@attribute Airs_Center_X_5 numeric
@attribute Mass_Center_X_5 numeric
@attribute Airs_Center_X_6 numeric
@attribute Airs_Triangle_1_X_6 numeric
@attribute Airs_Triangle_1_Y_6 numeric
@attribute Airs_Center_X_7 numeric
@attribute Airs_Center_Y_7 numeric
@attribute Airs_Triangle_1_X_7 numeric
@attribute Mass_Center_X_7 numeric
@attribute Hough_Lines_Vertical_7 numeric
@attribute Airs_Center_X_8 numeric
@attribute Airs_Contours_8 numeric
@attribute Harris_Corners_X_8 numeric
@attribute Mass_Center_Y_8 numeric
@attribute Black_Pixel_9 numeric
@attribute Airs_Center_X_9 numeric
@attribute Airs_Center_Y_9 numeric
@attribute Airs_Length_Contours_9 numeric
@attribute Mass_Center_X_9 numeric
@attribute Hough_Lines_Nb_9 numeric
@attribute Airs_Center_X_10 numeric
@attribute Mass_Center_X_10 numeric
@attribute Hough_Lines_Horizontal_10 numeric
@attribute Hough_Lines_Nb_10 numeric
@attribute Airs_Center_X_11 numeric
@attribute Airs_Contours_11 numeric
@attribute Mass_Center_Y_11 numeric
@attribute Airs_Center_X_12 numeric
@attribute Airs_Triangle_1_Y_12 numeric
@attribute Hough_Lines_Horizontal_12 numeric
@attribute Airs_Center_Y_13 numeric
@attribute Harris_Corners_X_13 numeric
@attribute Mass_Center_X_13 numeric
@attribute Mass_Center_Y_13 numeric
@attribute Hough_Lines_DiagonalPos_13 numeric
@attribute Black_Pixel_14 numeric
@attribute Airs_Center_X_14 numeric
@attribute Airs_Triangle_2_X_14 numeric
@attribute Mass_Center_X_14 numeric
@attribute Hough_Lines_Vertical_14 numeric
@attribute Black_Pixel_15 numeric
@attribute Airs_Center_X_15 numeric
@attribute Airs_Center_Y_15 numeric
@attribute Airs_Triangle_1_Y_15 numeric
@attribute Mass_Center_Y_15 numeric
@attribute Airs_Center_X_16 numeric
@attribute Airs_Center_Y_16 numeric
@attribute Mass_Center_Y_16 numeric
@attribute Hough_Lines_Horizontal_16 numeric
@attribute Airs_Center_X_17 numeric
@attribute Airs_Triangle_1_X_17 numeric
@attribute Harris_Corners_X_17 numeric
@attribute Mass_Center_Y_17 numeric
@attribute Airs_Center_X_18 numeric
@attribute Airs_Center_Y_18 numeric
@attribute Harris_Corners_X_18 numeric
@attribute Hough_Lines_Vertical_18 numeric
@attribute Airs_Center_X_19 numeric
@attribute Airs_Center_Y_19 numeric
@attribute Harris_Corners_X_19 numeric
@attribute Airs_Center_X_20 numeric
@attribute Mass_Center_X_20 numeric
@attribute Hough_Lines_Horizontal_20 numeric
@attribute Airs_Triangle_2_X_21 numeric
@attribute Airs_Contours_21 numeric
@attribute Mass_Center_X_21 numeric
@attribute Airs_Center_Y_22 numeric
@attribute Airs_Triangle_1_Y_22 numeric
@attribute Mass_Center_X_22 numeric
@attribute Hough_Lines_Vertical_22 numeric
@attribute Hough_Lines_Horizontal_22 numeric
@attribute Airs_Center_X_23 numeric
@attribute Airs_Center_Y_23 numeric
@attribute Mass_Center_Y_23 numeric
@attribute Black_Pixel_24 numeric
@attribute Airs_Center_X_24 numeric
@attribute Airs_Center_Y_24 numeric
@attribute Class {accident,bomb,car,casualty,electricity,fire-brigade,fire,flood,gas,injury,paramedics,person,police,road-block}

@data
48.8133,72.588,0.293244,0.371986,20,32,8,40,25,51.2615,26.7925,0,0,0,0,96.1538,0,0,65.3846,0,61.5385,435.085,0.651977,50,0,86.5385,204.082,100,0,0,1.4652,0,0,0,0,0,63.4615,0.677808,9.61539,3.84615,340.136,26.9231,204.082,3.84615,0.240415,0,0,0,63.4615,0,2.74725,34.6154,430.839,0,0,0,0,0,0,0,44.2308,108.267,0.475096,42.3077,430.839,0,328.798,25.9615,0,0,0,15.7509,48.0769,88.7574,0,0,17.5824,46.4113,272.555,-36.8481,0.02381,48.0769,226.757,0,100,46.1538,-65.3846,87.1795,0.196599,0,0,1.92308,0,0,0,0,90.3846,0,0,200.761,136.878,0.458384,226.757,44.158,0.863636,0,0,25,260.771,0.638356,1.28205,0,0,accident
48.5065,31.9254,0.25036,0.27642,11.7647,58.8235,11.7647,17.6471,17,53.208,30.4784,0,0,0,0,93.9394,0,0,56.8182,0,68.1818,346.074,0.740909,0,0,65.9091,292.969,100,0,0,2.55682,86.3636,58.5938,371.901,0,0,47.7273,0.425568,11.3636,4.54545,507.812,38.6364,292.969,40.9091,0.368939,100,0,0,86.3636,0,51.9886,0,0,0,0,0,0,0,0,0,47.7273,130.882,0.479688,6.81818,507.812,0,253.906,3.97727,0.050505,0.163194,0,22.1591,47.7273,431.405,0,0,18.4659,0,0,0,0,0,0,0,100,31.8182,22.7273,27.2727,0,0,0,0,0,0,0,0,90.9091,0,0,87.8099,104.574,0.134091,312.5,958.227,0.46392,0,66.6667,0,0,0,0,0,0,accident
50.3938,39.7326,0.328429,0.443691,4.7619,38.0952,19.0476,38.0952,21,54.6415,31.5949,0,0,0,0,0,0,0,76.1905,0,78.5714,493.633,0.833333,0,0,16.6667,266.667,0,0,0,12.0635,11.9048,311.111,45.3515,0,0,47.619,0.504604,0,0,0,52.381,311.111,88.0952,0,0,0,0,2.38095,0,2.85714,0,0,0,0,0,85.7143,0,0,0,40.4762,73.3994,0.540341,26.1905,577.778,0,311.111,4.7619,0.154762,0.233333,0,20.6349,47.619,430.839,0,0,23.8095,59.5238,133.333,88.8889,0,0,0,0,100,50,90.4762,95.2381,0.283626,0,0,0,0,0,0,0,0,0,0,408.163,64.7696,0.469048,311.111,44.4444,0.690418,0,0,9.52381,533.333,0.814815,0,0,0,accident
45.6981,97.1267,0.261047,0.576684,40.9091,18.1818,4.54545,36.3636,22,60.5442,24.9504,0,0,0,0,0,0,0,55.2632,0,68.4211,216.066,0.75,0,0,7.89474,235.457,0,0,0,26.3158,0,0,0,0,0,52.6316,0.599624,13.1579,5.26316,387.812,31.5789,249.307,5.26316,0.274366,0,0,0,94.7368,0,3.04709,13.1579,401.662,0,0,0,0,0,0,0,47.3684,115.728,0.344991,26.3158,335.873,0,318.56,21.0526,0.267419,0.616792,0,19.3906,47.3684,27.7008,0,0,19.9446,47.3684,263.158,193.906,0,0,0,0,100,44.7368,5.26316,42.1053,0.151822,0,0,10.5263,0,0,0,0,0,0,0,200.831,130.569,0.504386,207.756,-44.3213,0.697368,0,0,21.0526,373.961,0.736842,9.41828,0,0,accident
49.382,83.0065,0.322595,0.454779,11.1111,44.4444,14.8148,29.6296,27,59.418,28.5621,0,0,0,0,0,0,0,54,25,54,320,0.5575,100,0,0,0,100,0,0,30.4,0,0,0,0,0,66,0.777111,30,52,250,18,237.5,18.5714,0.249524,100,0,0,84,0,0.6,0,0,0,0,0,0,0,0,0,68,90.7401,0.460367,40,140.625,100,212.5,78,0.325604,0.364312,0,16.8,48,384,0,0,21.8,46.8333,289.583,-41.6667,0.038889,18,212.5,0,100,46,64,62,0.0875,0,0,2,0,0,0,0,82,0.83,0,-194.732,94.858,0.056667,112.5,25,0.848205,0,0,34,275,0.643611,15.8,0,0,accident
37.3134,93.3494,0.318409,0.478789,50,0,25,25,8,0,0,1,0,0,0,71.4286,0,0,21.4286,0,0,0,0,0,0,71.4286,370.37,0,0,0,11.1111,14.2857,679.012,204.082,0,0,64.2857,0.642857,35.7143,14.2857,246.914,0,0,0,0,0,0,0,28.5714,0,7.93651,0,0,0,0,0,57.1429,0,0,0,42.8571,25.5563,0.291005,42.8571,370.37,0,432.099,42.8571,0.380952,0.287037,0,33.3333,42.8571,204.082,0,0,33.3333,0,0,0,0,0,0,0,0,0,0,85.7143,0,0,0,57.1429,0,0,0,0,0,0,0,612.245,12.6569,0,185.185,123.457,0.642857,0,0,42.8571,493.827,0.375661,44.4444,0,0,accident
48.494,23.0999,0.453049,0.470497,20,40,0,40,5,45.5285,30.303,0,0,0,0,87.5,0,0,46.25,0,37.5,468.75,0,0,0,0,0,0,0,0,10.4167,75,277.778,937.5,0,0,0,0,0,0,0,31.25,694.444,12.5,0,0,0,0,87.5,0,10.4167,0,0,0,0,0,50,0,0,0,18.75,2,0,12.5,833.333,0,0,62.5,0,0,0,37.5,0,0,0,0,45.8333,43.75,555.556,555.556,0,43.75,555.556,0,0,37.5,112.5,62.5,0,0,0,50,0,0,0,31.25,56.25,0.5625,0,156.25,0,0,0,0,0,0,0,0,0,0,25,0,0,accident
44.3342,38.3781,0.541455,0.444733,40,20,10,30,10,43.1818,31.25,1,0,0,0,28.125,0,0,43.75,0,50,1015.62,0,0,0,0,0,0,0,0,41.6667,0,0,0,0,0,68.75,0,37.5,12.5,123.457,0,0,0,0,0,0,0,87.5,0,4.16667,0,0,0,0,0,0,0,0,0,43.75,30.4368,0.37037,43.75,370.37,0,0,62.5,0,0,0,36.1111,43.75,937.5,0,0,36.1111,43.75,679.012,493.827,0,43.75,617.284,0,0,0,0,6.25,0,0,0,6.25,0,0,0,0,75,0,0,156.25,24.5563,0,246.914,123.457,0.625,0,0,43.75,432.099,0.570106,76.3889,0,0,accident
37.1007,36.0548,0.359561,0.247399,12.5,37.5,25,25,8,47.2,33.0909,1,0,0,0,90,0,0,49.5098,0,40,66.6667,0,0,0,65,165.289,0,0,0,27.2727,0,0,0,0,0,55,0.683333,30,10,330.579,0,0,0,0,0,0,0,60,0,20.9091,50,661.157,0,0.4,0,45,0.15,0,0,35,24.2652,0.230303,45,743.802,0,454.545,5,0,0,0,15.4545,0,0,0,0,9.09091,40,82.6446,82.6446,0,0,0,0,0,0,0,60,0,0,0,60,0,0,0,25,65,0.325,0,300,42.0416,0.337037,247.934,82.6446,0.7,0,0,35,413.223,0.255892,63.6364,0,0,accident
40.8653,41.4665,0.30139,0.60599,27.2727,27.2727,9.09091,36.3636,11,57.6271,22.4638,1,0,0,0,90.9091,0,0,54.5455,0,54.5455,330.579,0.606061,0,0,45.4545,325.444,0,0,0,70.6294,0,0,0,0,0,50,0.612587,18.1818,9.09091,532.544,27.2727,325.444,9.09091,0.272727,0,0,0,90.9091,0,9.09091,16.8831,507.185,6,0.232323,0,0,0,0,0,40.9091,61.3553,0.370513,31.8182,133.136,0,414.201,38.1818,0.318182,0.535256,0,22.3776,0,0,0,0,11.1888,0,0,0,0,43.75,236.686,0.241026,0,18.1818,9.09091,4.54545,0,0,0,12.1212,0,0,0,0,0,0,0,-115.702,56.6181,0.260101,295.858,59.1716,0.662534,0,0,22.7273,532.544,0.692308,0,0,0,accident
46.8212,4.12497,0.359659,0.34238,41.1765,35.2941,17.6471,5.88235,17,52.3236,30.1587,0,0,0,0,93.75,0,0,56.25,0,56.25,58.5938,0.58044,0,0,0,0,0,0,0,20.3125,15.625,295.974,156.25,0,0,0,0,68.75,39.7727,-234.375,25,292.969,12.5,0.203125,0,78.125,7.82843,81.25,0.833333,18.3594,46.875,292.969,9,0.170139,0,0,0,0,0,59.375,63.3363,0.718561,0,0,0,214.844,36.6071,0.481927,0.291578,0,26.9531,52.694,234.375,0,0,30.8594,42.0673,273.438,-107.422,0,46.875,253.906,0,0,28.125,6.25,12.5,0.1875,43.75,351.562,15.625,0,9.375,527.344,6.25,60.7706,0.795833,0,39.0625,76.531,0.234375,507.812,468.75,0.09375,0,0,0,0,0,25.3906,46.875,312.5,accident
47.453,3.37607,0.538769,0.464844,15.7895,47.3684,15.7895,21.0526,19,61.2795,26.9628,0,47.4138,103.93,102.623,83.3333,0.833333,0,4.7619,100,35.7143,68.0272,0.404762,100,0,85.7143,173.01,0,0,0,6.16246,7.14286,380.623,22.6757,0,0,0,0,61.9048,43.2712,-254.25,19.0476,276.817,23.8095,0,100,78.5714,18.6569,76.1905,0.769608,17.0868,46.0317,294.118,20,0.412037,1,85.7143,0,0,0,47.619,93.468,0.523068,52.381,-138.408,0,173.01,35.7143,0.30776,0.154139,0,25.2101,51.1905,-244.742,0.095238,0,27.1709,44.709,259.516,-131.488,0,47.619,207.612,0.2507,100,0,0,2.38095,0,0,0,2.38095,0,0,0,28.5714,69.0476,0.761905,0,430.839,35.1421,0.8322,0,0,0,0,0,47.619,259.516,0,8.40336,0,0,accident
50.8572,4.96802,0.496825,0.360012,66.6667,11.1111,0,22.2222,18,52.5373,31.9149,1,80.7692,591.716,15,92.3077,0,0,19.2308,0,53.8462,224.007,0,0,0,0,0,0,0,0,20.0855,0,0,0,0,0,0,0,50,76.9231,30.8642,26.9231,262.346,-23.0769,0,100,0,0,80.7692,0,9.40171,61.5385,447.531,0,0.367521,0,7.69231,0,0,0,53.8462,68.3755,0.811728,57.6923,30.8642,0,108.025,69.2308,0.15641,0.075926,0,24.359,46.1538,562.13,0.567766,0,22.6496,46.1538,354.938,419.103,0.631173,46.1538,277.778,0.506734,0,26.9231,7.69231,6.15385,0.218107,23.0769,370.37,3.84615,0,0,0,0,69.2308,0,0,59.1716,30.9814,0,308.642,123.457,0,0,0,53.8462,246.914,0,7.69231,0,0,accident
