@relation 'Imagette-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 10'

@attribute Airs_Center_X_GLOBAL numeric
@attribute Airs_Triangle_2_X_GLOBAL numeric
@attribute Harris_Corners_X_GLOBAL numeric
@attribute Mass_Center_X_Global numeric
@attribute Mass_Center_Y_Global numeric
@attribute Hough_Lines_Vertical_Global numeric
@attribute Hough_Lines_Horizontal_Global numeric
@attribute Hough_Lines_DiagonalPos_Global numeric
@attribute Hough_Lines_DiagonalNeg_Global numeric
@attribute Hough_Circles_Radius_Global numeric
@attribute Rows_Or_Cols_Global numeric
@attribute Airs_Center_X_0 numeric
@attribute Airs_Triangle_2_X_0 numeric
@attribute Airs_Contours_0 numeric
@attribute Harris_Corners_X_0 numeric
@attribute Mass_Center_X_0 numeric
@attribute Hough_Lines_Horizontal_0 numeric
@attribute Hough_Lines_Nb_0 numeric
@attribute Black_Pixel_1 numeric
@attribute Airs_Center_X_1 numeric
@attribute Hough_Lines_Vertical_1 numeric
@attribute Hough_Lines_Horizontal_1 numeric
@attribute Black_Pixel_2 numeric
@attribute Airs_Center_X_2 numeric
@attribute Mass_Center_X_2 numeric
@attribute Mass_Center_Y_2 numeric
@attribute Hough_Lines_Horizontal_2 numeric
@attribute Hough_Lines_Nb_2 numeric
@attribute Airs_Center_X_3 numeric
@attribute Airs_Center_Y_3 numeric
@attribute Airs_Contours_3 numeric
@attribute Mass_Center_Y_3 numeric
@attribute Hough_Lines_Vertical_3 numeric
@attribute Hough_Lines_DiagonalPos_3 numeric
@attribute Hough_Lines_DiagonalNeg_3 numeric
@attribute Airs_Center_X_4 numeric
@attribute Airs_Center_Y_4 numeric
@attribute Mass_Center_X_4 numeric
@attribute Mass_Center_Y_4 numeric
@attribute Hough_Lines_Vertical_4 numeric
@attribute Hough_Lines_Horizontal_4 numeric
@attribute Hough_Lines_DiagonalPos_4 numeric
@attribute Hough_Lines_DiagonalNeg_4 numeric
@attribute Black_Pixel_5 numeric
@attribute Airs_Center_X_5 numeric
@attribute Airs_Center_Y_5 numeric
@attribute Airs_Triangle_1_Y_5 numeric
@attribute Airs_Triangle_2_X_5 numeric
@attribute Mass_Center_X_5 numeric
@attribute Mass_Center_Y_5 numeric
@attribute Hough_Lines_Vertical_5 numeric
@attribute Hough_Lines_Horizontal_5 numeric
@attribute Hough_Lines_DiagonalNeg_5 numeric
@attribute Airs_Center_X_6 numeric
@attribute Airs_Triangle_1_X_6 numeric
@attribute Mass_Center_X_6 numeric
@attribute Mass_Center_Y_6 numeric
@attribute Hough_Lines_Horizontal_6 numeric
@attribute Airs_Center_X_7 numeric
@attribute Airs_Triangle_1_Y_7 numeric
@attribute Airs_Triangle_2_X_7 numeric
@attribute Harris_Corners_X_7 numeric
@attribute Mass_Center_X_7 numeric
@attribute Mass_Center_Y_7 numeric
@attribute Hough_Lines_DiagonalNeg_7 numeric
@attribute Airs_Center_X_8 numeric
@attribute Airs_Center_Y_8 numeric
@attribute Airs_Triangle_1_Y_8 numeric
@attribute Mass_Center_Y_8 numeric
@attribute Hough_Lines_Vertical_8 numeric
@attribute Hough_Lines_Horizontal_8 numeric
@attribute Hough_Lines_DiagonalNeg_8 numeric
@attribute Airs_Center_X_9 numeric
@attribute Airs_Center_Y_9 numeric
@attribute Airs_Triangle_1_X_9 numeric
@attribute Mass_Center_Y_9 numeric
@attribute Hough_Lines_Vertical_9 numeric
@attribute Hough_Lines_DiagonalPos_9 numeric
@attribute Black_Pixel_10 numeric
@attribute Airs_Center_X_10 numeric
@attribute Airs_Triangle_2_X_10 numeric
@attribute Mass_Center_X_10 numeric
@attribute Mass_Center_Y_10 numeric
@attribute Hough_Lines_Vertical_10 numeric
@attribute Hough_Lines_DiagonalPos_10 numeric
@attribute Hough_Lines_DiagonalNeg_10 numeric
@attribute Airs_Center_X_11 numeric
@attribute Airs_Triangle_2_X_11 numeric
@attribute Airs_Length_Contours_11 numeric
@attribute Harris_Corners_X_11 numeric
@attribute Mass_Center_Y_11 numeric
@attribute Hough_Lines_Vertical_11 numeric
@attribute Hough_Lines_Horizontal_11 numeric
@attribute Airs_Center_X_12 numeric
@attribute Airs_Center_Y_12 numeric
@attribute Mass_Center_X_12 numeric
@attribute Mass_Center_Y_12 numeric
@attribute Hough_Lines_Horizontal_12 numeric
@attribute Hough_Lines_DiagonalNeg_12 numeric
@attribute Airs_Center_X_13 numeric
@attribute Airs_Triangle_1_Y_13 numeric
@attribute Airs_Triangle_2_X_13 numeric
@attribute Mass_Center_Y_13 numeric
@attribute Airs_Center_X_14 numeric
@attribute Airs_Center_Y_14 numeric
@attribute Airs_Triangle_1_X_14 numeric
@attribute Mass_Center_Y_14 numeric
@attribute Hough_Lines_Vertical_14 numeric
@attribute Hough_Lines_DiagonalPos_14 numeric
@attribute Hough_Lines_DiagonalNeg_14 numeric
@attribute Black_Pixel_15 numeric
@attribute Airs_Center_X_15 numeric
@attribute Airs_Center_Y_15 numeric
@attribute Airs_Triangle_1_Y_15 numeric
@attribute Mass_Center_X_15 numeric
@attribute Hough_Lines_Vertical_15 numeric
@attribute Hough_Lines_Horizontal_15 numeric
@attribute Hough_Lines_DiagonalNeg_15 numeric
@attribute Class {accident,bomb,car,casualty,electricity,fire-brigade,fire,flood,gas,injury,paramedics,person,police,road-block}

@data
48.8133,35.3296,72.588,0.293244,0.371986,20,32,8,40,26.7925,0,0,0,0,82.8125,0,0,0,15.9856,49.3952,25,0,0.240385,0,0,0,0,0,39.0625,192.308,325.345,0.469117,0,0,100,6.25,22.1893,0,0,0,100,0,0,15.7452,48.4375,184.911,336.501,-32.1575,0.280556,0.05812,0,100,0,0,0,0,0,100,48.4375,-39.3783,260.096,96.875,0.81043,0.20784,0,21.875,266.272,177.515,0.76295,0,0,100,0,0,0,0,0,0,9.375,73.4375,292.969,0.795455,0.554945,50,50,0,37.4383,-30.9245,12,62.5,0.121083,100,0,62.5,170.118,0.65474,0.476701,0,100,3.125,355.03,9.76562,0,31.25,184.911,66.5179,0.491071,0,100,0,2.76442,67.1875,125.74,14.7929,0.572917,0,0,0,accident
48.5065,-6.91273,31.9254,0.25036,0.27642,11.7647,58.8235,11.7647,17.6471,30.4784,0,91.0714,318.878,3.82843,96.4286,0.910714,0,0,23.2143,44.6429,20,0,5.35714,80.3571,0.803571,0.15,0,0,48.2143,250,134.224,0.546354,0,0,33.3333,48.2143,225,0.218821,0.431349,50,50,0,0,17.5,0,0,0,0,0,0,0,100,0,0,0,0,0,100,58.9286,25,140.306,55.3571,0.493386,0.109259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2143,69.6429,298.645,0.747959,0.511429,100,0,0,55.4835,85.0583,11.5,26.1905,0.253175,100,0,39.2857,262.5,0.300893,0.564955,0,100,0,0,0,0,41.0714,237.5,82.1429,0.480628,100,0,0,5.35714,33.9286,237.5,380,0,100,0,0,accident
50.3938,102.835,39.7326,0.328429,0.443691,4.7619,38.0952,19.0476,38.0952,31.5949,0,0,0,0,96.1538,0,0,0,22.6721,57.6923,33.3333,0,4.25101,82.6923,0.846154,0.131579,0,0,32.6923,263.158,78.6513,0.572029,100,0,0,48.0769,318.56,0.17748,0.285132,0,0,0,0,17.004,48.0769,373.961,304.709,355.03,0,0,0,100,0,6.73077,19.2308,0,0,100,59.6154,-138.504,263.583,96.1538,0.723161,0.285929,0,5.76923,443.213,415.512,0.842105,0,0,0,0,0,0,0,0,0,3.64372,86.5385,310.651,0.865385,0.789474,0,0,0,40.7023,-58.5552,17,1.92308,0.312281,100,0,44.2308,263.158,0.399496,0.48654,0,100,0,0,0,0,59.6154,249.307,91.8803,0.522515,0,0,0,5.46559,0,0,0,0,0,0,0,accident
45.6981,-10.4908,97.1267,0.261047,0.576684,40.9091,18.1818,4.54545,36.3636,24.9504,0,0,0,0,85.4167,0,0,0,26.9097,46.1038,40,0,1.04167,89.5833,0.902778,0.055556,0,0,50,199.653,191.836,0.471188,0,0,100,47.9167,199.653,0.153108,0.464947,0,100,0,0,17.1875,47.9167,303.819,376.462,381.944,0.75,0.770833,0,100,0,0,0,0,0,100,47.9167,-6.94444,381.944,52.0833,0.420486,0.304514,0,8.33333,355.903,329.861,0.854167,0,0,0,0,0,0,0,0,0,10.2431,75,243.056,0.77381,0.709821,100,0,0,29.1667,219.907,30,2.08333,0.222222,100,0,47.9167,190.972,0.48958,0.449814,0,75,0,0,0,0,35.4167,199.653,66.6667,0.463975,33.3333,66.6667,0,1.5625,66.6667,381.944,381.944,0,0,0,0,accident
49.382,25.4499,83.0065,0.322595,0.454779,11.1111,44.4444,14.8148,29.6296,28.5621,0,87.0968,260.146,21.641,96.7742,0.862366,0,0,21.8065,48.3871,33.3333,66.6667,15.871,0,0,0,0,0,56.4516,192,129.995,0.366529,0,0,100,48.3871,200,0.249271,0.474465,0,33.3333,0,66.6667,15.7419,48.3871,216,377.756,-75.2519,0,0,0,100,0,48.3871,-21.9461,0,0,100,67.7419,171.636,146.628,77.4194,0.616066,0.224784,0,20.9677,304,211.556,0.804762,0,0,0,0,0,0,0,0,0,10.8387,66.129,354.954,0.659882,0.477421,50,50,0,51.6129,187.305,6,54.8387,0,100,0,59.6774,168,0.638602,0.359179,33.3333,66.6667,14.5161,272,10.4058,0.404848,29.0323,136,19.6129,0.312,100,0,0,1.29032,0,0,0,0,0,0,0,accident
37.3134,-15.7791,93.3494,0.318409,0.478789,50,0,25,25,0,1,0,0,0,88.8889,0,0,0,45.3704,38.8889,0,0,37.037,0,0,0,0,0,38.8889,381.944,50.2132,0.642196,0,0,0,44.4444,416.667,0.441358,0.49537,0,0,0,0,24.0741,44.4444,416.667,-69.4445,864.198,0,0,0,0,0,38.8889,66.6667,0,0,0,22.2222,69.4445,123.457,33.3333,0,0,0,33.3333,520.833,347.222,0.638889,0,0,0,0,0,0,0,0,0,25.9259,0,0,0,0,0,0,0,44.4444,123.457,4,44.4444,0.246528,0,0,55.5556,277.778,0.555556,0.354167,0,0,22.2222,347.222,123.457,0.583333,50,381.944,33.3333,0,0,0,0,9.25926,61.1111,104.167,69.4445,0,0,0,0,accident
48.494,-65.4372,23.0999,0.453049,0.470497,20,40,0,40,30.303,0,70,600,8.65685,80,0.7,0,0,33.75,45,0,0,33.75,0,0,0,0,0,20,703.125,7.82843,0,0,0,0,0,0,0,0,0,0,0,0,32.5,45,703.125,208.333,833.333,0.6,0.5625,0,0,0,45,10,0,0,0,40,446.429,-242.857,20,0.6,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,400,0.325,0.1875,0,0,0,0,0,0,80,0,0,0,40,546.875,0.32381,0.35119,0,0,0,0,0,0,25,546.875,60,0.375,0,0,0,21.25,0,0,0,0,0,0,0,accident
44.3342,-38.7903,38.3781,0.541455,0.444733,40,20,10,30,31.25,1,77.2727,661.157,3.82843,90.9091,0,0,0,42.4242,45.4545,0,0,30.303,0,0,0,0,0,36.3636,381.944,48.296,0.208333,0,0,0,59.0909,451.389,0,0,0,0,0,0,31.8182,45.4545,486.111,69.4445,495.868,0,0,0,0,0,45.4545,9.09091,0,0,0,0,0,0,18.1818,0,0,0,40.9091,590.278,578.704,0.708333,0,0,0,0,0,0,0,0,0,26.5152,50,716.253,0.568182,0.666667,0,0,0,31.8182,322.314,5.5,4.54545,0,0,0,50,312.5,0.675758,0.222222,0,0,27.2727,324.074,82.6446,0.625,0,0,0,0,0,0,0,12.1212,0,0,0,0,0,0,0,accident
37.1007,-49.5397,36.0548,0.359561,0.247399,12.5,37.5,25,25,33.0909,1,75,555.556,11.2426,91.6667,0.791667,0,0,35.8974,42.5926,0,0,7.05128,70.8333,0,0,0,0,41.6667,325.444,64.2548,0.434802,0,0,0,45.8333,502.959,0,0,0,0,0,0,13.4615,83.3333,147.929,59.1716,694.444,0,0,0,0,0,33.3333,8.33333,0.166667,0.192308,0,0,0,0,18.0556,0,0,0,25,502.959,355.03,0.663004,0,0,0,0,0,0,0,0,0,25,50,138.889,0.510031,0.490029,0,0,0,20.8333,69.4445,0,4.16667,0,0,0,45.8333,355.03,0.593254,0.395604,0,0,12.5,591.716,69.4445,0.820513,16.6667,207.101,8.33333,0,0,0,0,7.05128,0,0,0,0,0,0,0,accident
40.8653,56.1431,41.4665,0.30139,0.60599,27.2727,27.2727,9.09091,36.3636,22.4638,1,0,0,0,92.8571,0,0,0,39.916,48.6905,0,0,0.420168,0,0,0,0,0,50,276.817,72.7401,0.408593,100,0,0,46.4286,397.924,0.25,0.644608,0,100,0,0,18.9076,60.7143,51.9031,69.2042,306.122,0.650794,0.091503,0,0,0,36.8227,118.004,0.636905,0.45098,100,42.8571,34.6021,51.0204,21.4286,0.485714,0.205882,0,14.2857,467.128,415.225,0.794118,0,0,0,0,0,0,0,0,0,23.1092,67.8571,255.102,0.75,0.573529,0,0,0,32.1429,51.0204,4.5,3.57143,0.392157,100,0,46.4286,294.118,0.535329,0.412678,0,100,7.14286,519.031,51.0204,0,35.7143,276.817,-3.99516,0.385621,100,0,0,10.084,57.1429,276.817,-449.827,0.392857,0,0,0,accident
46.8212,58.0182,4.12497,0.359659,0.34238,41.1765,35.2941,17.6471,5.88235,30.1587,0,87.5,425,4.41421,95,0,0,0,24,32.5,33.3333,0,14.25,0,0,0,0,0,72.5,237.5,72.476,0.4,100,0,0,47.5,200,0.370979,0.416259,0,100,0,0,31.25,47.5,225,407.143,-100,0.270833,0.053125,0,100,0,42.2059,5,0.0625,0.038542,100,40,25,404.167,75,0.408039,0.231127,0,47.5,175,366.667,0,0,100,0,25,350,5,0.662821,0,0,17,62.5,81.25,0.627143,0.556429,100,0,0,65,308,2.5,60,0.489583,100,0,0,0,0,0,0,0,47.5,282.353,297.059,0,27.5,237.5,1,0.3,100,0,0,10,72.5,175,25,0.8,100,0,0,accident
