%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Harris_Corners_2 NUMERIC
@ATTRIBUTE  Harris_Corners_3 NUMERIC
@ATTRIBUTE  Harris_Corners_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
124,171,236,227,4216,4166,4213,4214,59.0062,6.65609,26.2107,19.1111,13.7469,25.912,25.4263,32.2279,bomb
136,95,221,263,4204,4206,4206,4191,59.0339,5.17315,45.4289,16.4879,20.3939,28.9769,35.5739,28.9026,bomb
98,77,204,182,6,19,2,4186,61.5,5.75459,36.5877,14.3071,20.375,7.31401,13.6028,51.2222,bomb
56,161,203,213,5,4152,4184,4215,61.5,11.834,48.4674,11.0281,19,9,32.9676,27.7698,bomb
204,2,198,246,4190,4,4141,4191,54.8839,0,46.8391,12.9574,13.969,0,39.7361,31.2477,bomb
187,8,299,163,4195,8,4204,25,55.8806,0,52.9988,7.06823,32.2806,0,24.4767,38.3421,bomb
202,45,254,276,4143,17,4194,4176,54.2,3.6875,37.4951,21.7069,39.3655,6.625,28.0614,39.6797,bomb
198,63,237,306,4185,4210,4162,4164,60.5139,4.54321,56.7272,9.85438,31.8111,23.1358,20.0191,23.8272,bomb
161,120,309,259,4031,4134,4187,4213,30.4167,20.8472,47.9938,7.36,11.3333,9.90079,28.3664,27.4548,bomb
205,211,386,418,4217,4149,4124,4144,53.9218,12.8424,39.2205,25.2205,42.8177,6.83608,30.6212,31.3881,bomb
186,105,193,329,28,4181,4209,4050,56.7275,11.7516,34.141,11.475,41.2362,9.55645,24.4017,30.701,bomb
325,213,337,469,4160,4192,4208,4214,38.3184,7.71694,40.194,14.3867,34.1498,34.937,33.2056,26.5908,bomb
121,202,255,381,4143,4209,6,4206,62,8.46389,45.4103,15.9369,30.9,37.2319,39.1564,23.9131,bomb
166,138,273,313,4147,4209,4213,4217,58.4958,11.8642,31.8602,10.4477,30.6723,26.6004,33.5842,27.4046,bomb
316,114,283,250,3978,12,4203,4207,38.2339,4.49444,44.283,18.5606,28.6156,30.0889,54.2556,36.3168,bomb
249,32,293,255,3920,4215,4167,46,53.2417,1.5,49.8618,11.7589,39.8778,8,35.2852,29.8679,bomb
136,69,253,203,4173,4169,4202,4193,62.5,6.61111,53.6074,8.25415,21,9.23504,24.834,39.3211,bomb
145,208,224,228,24,4061,4162,4116,0,5.87879,48.625,8.83335,0,15.1777,29.1156,25.4824,bomb
40,257,243,250,4192,4200,4192,4201,52.8,8.02879,47.7072,9.3685,60.5,26.7815,26.3879,25.2948,bomb
225,210,342,355,4199,35,4201,4198,55.5859,5.75758,42.9246,19.4199,47.5656,31.9566,39.0482,49.2321,bomb
316,21,339,265,4130,4215,4218,4219,52.7534,0,43.1361,17.4217,43.5007,0,31.6472,38.2319,bomb
284,22,321,248,4116,6,4166,4111,55.2511,0,51.1893,14.6091,29.1758,0,26.1548,28.2939,bomb
93,151,298,263,4204,4160,4166,4202,0,9.29167,34.6707,11.2452,0,11.7325,19.0666,33.2928,bomb
84,153,270,286,4207,4109,4190,4212,0,12.0805,49.9108,12.0757,0,10.2529,29.6846,30.3123,bomb
185,96,163,246,7,4186,4205,3992,53.8023,11.1312,32.2772,13.4322,39.5763,8.5,22.2248,26.3944,bomb
67,123,171,78,4205,4199,4175,15,46.7725,8.84795,48.8587,13.7681,56.5106,43.2705,41.1812,54.8406,bomb
278,2,183,269,4170,4,4186,4205,42.2245,0,30.9062,23.2437,30.2124,0,19.8207,25.8971,bomb
170,35,184,232,4125,4,4095,7,58.6389,0,48.9867,12.6054,2.88889,0,36.5765,29.2797,bomb
91,139,233,261,11,41,4176,4184,61.9,5.52167,35.6933,25.3524,32.75,33.4723,37.7092,30.519,bomb
411,86,430,382,4166,4195,4099,4219,56.2083,4.5,58.0387,7.2933,41.25,58.625,26.2679,35.6532,bomb
325,51,304,371,4165,4191,4204,4205,52.0309,2.63889,58.3792,10.0448,35.9739,4.92222,38.4027,30.6615,bomb
179,161,361,344,13,4139,4213,4212,60.5,9.08824,50.9075,9.75139,37.3333,13.402,36.1413,35.4917,bomb
358,98,481,355,34,4214,4213,4168,53.1659,2.25,49.1599,8.61571,34.973,4.91667,49.6048,38.4137,bomb
248,196,481,306,4175,4111,4213,4214,53.7585,11.1667,49.9997,11.3569,43.2291,13.8738,24.2821,37.6766,bomb
299,84,425,374,4157,4207,4208,4182,54.2953,3.25,51.5497,12.2208,37.9516,7.75,23.4676,34.7578,bomb
214,245,369,397,16,4184,4163,4174,60.9556,6.25028,46.807,16.6971,40.2111,24.836,36.1435,34.3448,bomb
328,234,356,321,4203,3,4182,4214,0,0,50.8232,9.65443,0,0,54.8131,44.7027,bomb
413,204,448,475,4173,4202,4106,4221,60.0704,3.8642,45.5332,17.0046,40.1852,24.1358,45.0623,50.6606,bomb
225,292,506,504,18,4148,4173,4187,58.0436,12.6969,47.359,12.6059,46.9603,20.3232,37.841,32.2601,bomb
127,201,258,267,24,4156,4170,4212,61.0648,6.325,42.5695,19.5867,50.5046,38.9694,50.7573,48.5281,bomb
171,141,320,317,24,4117,4173,4186,55.8333,8.28571,48.648,16.426,59.8333,17.5302,26.7377,30.0029,bomb
199,184,266,293,4151,71,4188,4203,53.3114,5.71003,48.8776,19.14,42.8391,23.9386,35.0209,28.5807,bomb
114,133,277,195,4,4091,4217,4210,60.6891,8.1503,52.4656,12.4874,30.4619,30.314,30.8601,38.1661,bomb
119,193,181,282,5,3955,4106,15,57.7597,7.85556,51.6421,13.088,35.8981,22.6111,47.9019,31.0992,bomb
143,193,361,363,23,8,101,111,37.3781,47.037,20.481,26.936,48.2853,44.5741,10.5852,12.1619,car
144,166,300,336,4122,36,37,3873,17.8135,25.5271,16.0684,25.1919,50.7772,33.3821,7.82017,8.08411,car
105,145,366,422,23,14,3936,42,48.3651,22.8889,25.4656,28.027,46.6196,24.6667,8.68327,14.0345,car
270,288,396,412,4059,3996,33,3978,29.5191,28.63,27.1148,31.6786,53.5871,45.0367,11.8199,9.28467,car
201,225,498,495,4125,4046,4077,90,32.2136,42.0655,24.7136,37.7753,45.0885,48.5595,11.8275,11.6177,car
409,423,419,723,2,4164,4118,6,31.5205,47.6296,19.3254,22.5256,52.7754,41.8704,7.20986,10.542,car
465,503,731,661,4130,4115,4188,119,26.9422,37.4083,40.5711,28.2453,50.2554,46.775,17.2518,12.5737,car
336,380,604,525,4187,4138,4200,4205,33.4188,53.2901,36.5347,15.7573,45.3922,56.3711,12.3218,10.915,car
249,313,472,512,4154,4119,4167,6,46.6389,57.5481,25.9111,28.6055,55.0345,50.8158,5.35467,11.5257,car
292,245,524,625,4062,4152,79,35,30.3776,49.2381,36.1767,31.4904,38.8157,50.8333,14.0691,12.3685,car
233,285,466,441,11,9,3867,67,16.5317,48.7303,26.3429,31.9136,30.8513,47.3374,20.5642,7.79986,car
375,382,550,468,7,4086,3971,3907,27.2288,27.0414,16.0055,21.9872,54.1884,45.9961,6.9317,8.59292,car
325,272,531,552,4114,4053,4187,4187,28.4034,12.5714,28.2645,29.256,42.0922,53.0357,8.81512,11.0722,car
227,256,586,570,4169,4023,4202,4216,37.3229,40.4444,31.52,28.4732,47.2914,39.5556,19.1822,25.4271,car
253,326,706,819,4138,4077,4212,4124,43.6502,21.6049,37.9228,24.163,44.6284,51.8902,13.4095,8.84345,car
253,280,509,568,4194,3914,70,4091,34.3889,40.2137,32.98,33.8377,42.1389,44.8117,13.1378,12.2446,car
303,289,620,712,4172,4138,4182,15,32.8326,51.1731,35.7512,20.8713,44.3193,45.8625,14.8781,13.0806,car
253,209,458,474,3943,4173,4173,60,27.591,53.2615,41.6334,36.7427,39.6181,46.2999,18.113,18.601,car
286,256,471,429,3936,4144,4167,4132,23.8613,58.5741,41.8197,33.9724,41.2254,51.3565,14.4452,15.0868,car
292,224,788,752,19,4166,4109,4100,38.5298,15.1976,29.4488,31.9672,40.9025,49.7074,17.7257,10.0582,car
216,273,482,449,4179,14,4142,4019,24.8758,53.1667,32.1611,32.4998,42.7948,20.3333,21.5158,19.9354,car
292,337,750,937,4013,3992,17,4141,35.4229,19.6217,41.9481,28.271,39.526,34.6623,24.569,14.8674,car
250,518,722,832,4175,3906,4219,4163,41.4771,55.5333,28.8505,13.9658,44.3861,39.2,14.5181,19.607,car
273,445,822,942,4170,20,4219,4205,45.552,15.9045,32.6738,30.3114,35.5982,14.2507,17.6875,29.1632,car
222,330,675,743,3988,42,3999,4136,43.9079,29.8506,22.5536,22.4175,43.0364,31.8921,16.0967,23.0506,car
258,258,419,376,4062,4126,4118,4059,33.2113,43.9352,22.2491,29.7753,50.5253,50.6204,7.10943,10.9854,car
233,186,319,384,17,4197,13,117,18.7363,55.1431,31.6279,16.9758,45.8817,36.5686,10.3018,11.9127,car
216,217,350,482,8,4203,3696,3975,25.4839,46.5175,26.7027,12.0747,47.1771,45.8133,11.5014,10.7303,car
204,250,469,444,4129,4184,4181,3767,26.4221,52.7756,31.8074,27.0788,41.6654,29.0897,16.9185,11.9805,car
217,253,687,368,17,4062,4155,8,22.4402,49.6434,25.2961,29.6365,47.8846,36.9482,8.90714,17.6362,car
209,284,519,423,4109,4173,7,8,29.6988,31.9192,35.9612,33.0366,49.6561,24.5354,7.80766,7.30959,car
291,260,599,684,4005,4090,3853,4130,25.9677,43,27.3989,26.3613,44.1033,52.5952,14.9608,11.5344,car
298,343,445,628,4178,4193,4151,3597,28.9828,35.4815,24.3086,29.0823,53.8332,47.0185,10.6612,10.5014,car
150,171,385,407,4075,4167,3650,68,42.2153,42.9116,38.7622,20.4908,48.6799,54.969,10.7047,12.47,car
160,264,374,467,4115,4184,3986,67,38.1967,39.734,37.0384,28.223,50.1116,56.0358,7.67842,6.5146,car
176,182,311,337,4138,4153,4031,3902,6.49688,48.9762,23.7471,32.8584,29.3004,52.4643,7.3955,9.71341,car
167,257,362,513,4113,3976,4173,4168,29.0736,60.1667,26.3559,29.2236,51.71,38.8333,8.41894,11.9182,car
189,201,444,484,4044,4216,72,48,32.6436,47.694,36.1605,29.4813,49.3236,47.8111,8.25278,11.5368,car
161,178,338,445,4155,4149,4031,4042,31.8056,45.7917,39.3571,32.7748,52.9074,49.8048,11.0156,9.7734,car
165,171,454,403,4077,4051,4166,68,38.7399,47.2424,35.9489,36.5018,49.1635,51.3939,13.6123,17.279,car
181,183,370,390,4058,4159,105,3,29.5962,39.5535,30.3452,28.6407,49.7885,49.4334,12.8883,10.5434,car
227,218,356,466,4104,4051,4117,4093,13.9491,55.5467,25.0377,36.7158,36.6343,50.0733,4.45437,10.1522,car
220,213,557,543,4177,4125,4031,4138,35.5882,46.7756,22.9747,39.0913,46.9806,55.1474,12.1102,12.2163,car
227,218,574,519,4206,4168,4109,6,18.6808,46.0997,34.6977,31.3144,50.0829,50.6953,14.0666,16.7515,car
197,218,300,530,4086,4187,3972,4173,26.5248,48.9356,30.8307,21.8555,51.4001,47.7986,6.11376,7.86801,car
174,181,386,379,4174,4186,3755,65,30.2932,0,24.651,25.4117,46.75,0,9.95443,14.8146,car
188,181,380,395,4044,4057,4003,4160,31.4683,55.2759,32.965,23.2632,44.5933,44.6726,9.66455,15.2102,car
196,225,421,424,3931,4093,43,3959,30.3351,52.0286,26.5947,25.6607,45.6803,43.3429,15.1596,11.9121,car
189,209,418,378,3984,4085,4066,13,30.6379,56.1867,29.3571,28.4994,47.0473,47.2726,15.8428,10.241,car
295,349,571,840,3873,4034,4116,4107,34.7507,43.7573,24.3068,16.67,43.6865,42.4743,13.5347,16.4451,car
191,261,460,369,4155,11,4014,4198,25.9594,28.6566,39.0935,32.4892,51.6004,28.5657,9.01468,9.98501,car
208,406,531,532,4083,28,4021,95,35.6234,33.5089,34.2357,19.6099,50.2412,41.5774,12.192,10.0619,car
225,215,435,547,4082,3907,4160,11,15.7656,50.9444,23.8483,19.9662,54.1719,47.5556,8.86635,14.2517,car
239,228,498,547,4128,4154,4145,22,20.875,52.5889,33.8146,15.5613,53.3013,55.6505,7.45012,7.31282,car
307,260,311,267,13,4177,3904,41,46.0946,28.0586,55.5203,12.0512,43.0748,28.5141,14.9189,24.7624,casualty
152,306,495,300,4,4174,4170,4134,30.7042,18.3254,42.1995,8.28901,21.625,43.0714,21.129,24.1065,casualty
206,284,383,316,4,4183,57,4179,47.74,16.3528,33.9667,10.5204,35.5239,29.8444,11.6034,20.0024,casualty
251,221,394,383,4201,14,3771,3888,52.249,10.1,49.4613,13.8149,10.4688,12.4444,24.5157,26.5341,casualty
252,235,440,395,4200,15,4,4108,43.813,15.9317,41.0201,13.9438,16.8064,24.1883,25.1842,22.3787,casualty
276,203,325,313,4185,3925,4045,27,40.8312,17.5721,45.8148,14.3179,14.7337,33.4895,21.5752,23.5548,casualty
303,225,292,275,3895,4148,3947,51,37.4875,21.9999,35.808,14.9106,45.2071,48.3069,21.9277,17.197,casualty
288,268,219,235,3762,7,35,80,37.5294,25.9794,50.0274,9.49511,36.0095,49.6342,28.6809,20.6165,casualty
280,272,363,280,37,8,3593,28,36.7433,29.5692,34.684,13.9805,31.9885,39.8128,19.3354,22.5775,casualty
314,308,327,237,3,10,23,3942,39.9856,19.084,48.5625,12.8413,23.6845,36.2109,20.9407,27.3061,casualty
640,604,658,62,3996,4192,3914,52,32.8729,17.3162,46.7336,3.55556,35.2722,28.8492,20.8665,32.9722,casualty
407,484,501,286,4176,4213,17,4059,53.1237,21.1854,54.483,8.56175,41.4719,33.7959,23.1446,26.1174,casualty
352,503,435,460,4160,4188,4114,39,48.3452,16.5025,50.3441,13.3985,39.8146,49.112,24.5712,16.2562,casualty
587,562,501,254,3769,4209,130,4108,37.4862,26.0722,48.7303,5.91696,44.5948,30.493,22.3051,13.0863,casualty
321,458,778,293,4211,4171,4192,4118,46.2489,26.854,47.9525,9.08477,21.2914,41.8485,21.9554,28.6394,casualty
209,206,263,220,3982,3964,3756,58,33.5468,21.4806,45.9731,15.6125,45.9999,53.3587,24.9522,31.4309,casualty
236,260,226,149,4072,4167,3979,26,32.0476,22.6461,54.7759,9.43817,29.0897,52.5813,29.4028,31.873,casualty
257,221,197,207,4049,4206,4044,31,35.6181,26.3687,52.8579,9.53964,26.9431,41.8226,29.6794,31.1241,casualty
226,256,227,216,4176,5,62,28,43.6369,24.2255,47.0105,13.4814,25.1071,44.7944,39.9377,34.8965,casualty
196,240,228,211,4067,4167,4012,29,46.8352,18.9669,30.202,10.0049,26.7327,50.3279,21.9669,23.1879,casualty
202,287,365,380,4151,41,4177,20,24.2339,32.7456,40.9768,14.0728,25.8899,57.8674,24.704,21.443,casualty
374,391,488,304,3908,4122,4004,4138,42.7404,17.775,36.5617,11.1347,27.8383,28.5782,19.3131,18.392,casualty
436,343,288,187,4192,11,3985,29,41.8423,23.2389,47.2096,8.116,25.898,42.4566,28.047,12.6817,casualty
364,342,382,255,4203,8,3989,4160,42.4437,15.7407,47.7914,16.5474,17.0288,32.2458,26.8055,25.7733,casualty
259,505,336,289,4171,3741,8,35,55.2618,28.6828,44.1448,11.7829,36.4447,34.5715,31.229,17.9036,casualty
622,412,643,432,4210,4196,4202,4079,40.7297,16.3765,45.0732,14.2345,25.0376,30.9564,18.5418,11.9096,casualty
525,478,836,816,4198,4179,4147,4208,48.9083,0,44.8709,14.8185,15.9139,0,29.4415,26.6698,casualty
405,544,540,343,4188,4110,4169,4197,53.3251,24.952,34.448,6.16632,39.9432,25.3187,22.2614,17.2858,casualty
662,278,374,691,4079,4211,12,4216,34.2821,34.0156,55.5179,16.6138,28.4402,53.3219,19.7038,17.695,casualty
461,567,723,334,4172,4131,4073,4018,48.0887,26.3434,48.0736,7.26778,24.9523,40.9852,21.206,29.2938,casualty
280,256,279,180,8,4192,4079,4108,51.7389,16.1373,47.9522,9.95603,24.5638,45.5842,30.0396,26.4047,casualty
256,458,367,126,4195,6,4197,4189,56.0334,19.0588,46.4425,8.60703,35.9516,22.1473,30.9985,35.2248,casualty
264,314,307,259,3,8,4111,3922,55.4277,24.1048,49.3362,12.299,29.4549,44.456,23.9994,30.201,casualty
304,364,316,264,4157,8,4118,3997,37.1332,15.0366,37.2423,11.1204,28.1923,20.5996,22.4299,22.0276,casualty
249,279,387,354,4098,5,16,4110,40.37,14.8662,50.286,15.7198,31.5867,28.5076,15.9619,20.8122,casualty
303,329,369,188,4055,27,4133,53,44.5911,11.9252,51.0072,5.85152,44.1578,24.6422,21.794,19.6399,casualty
274,325,279,190,4176,4205,4165,4115,50.314,16.4736,51.3139,7.23169,46.5292,26.6044,33.8486,30.9097,casualty
232,375,249,260,13,49,4140,51,50.835,16.8198,40.0705,14.6343,46.9324,32.2119,18.073,29.6578,casualty
352,339,306,254,4169,4,3981,4117,51.3364,11.0621,32.5137,14.1181,30.9352,20.9953,17.9469,31.4737,casualty
441,363,393,379,3997,4197,3796,3896,30.4097,15.0114,41.1693,19.2393,32.4239,25.5288,31.8049,31.3133,casualty
423,329,341,283,4117,4194,53,4210,29.4385,19.7084,34.7948,12.1128,31.9851,38.5451,14.9772,19.4542,casualty
401,528,494,504,4204,4133,4075,4025,45.2952,29.5486,35.2632,18.6777,32.9619,49.698,19.9045,22.8005,casualty
354,515,369,339,4200,4176,4061,3984,42.5824,29.1249,43.3018,14.8978,44.951,39.7262,35.2979,23.1191,casualty
291,414,341,218,4152,11,4151,4064,54.1936,17.3627,49.6155,10.4906,34.6667,25.8145,31.6086,27.8168,casualty
245,394,279,234,8,4110,4121,4076,52.4642,15.1972,37.149,8.496,24.8218,32.2238,15.2739,23.1541,casualty
541,472,267,383,4153,4158,4087,4104,41.7858,32.672,47.9485,17.7918,29.2893,35.3939,31.1668,25.5869,casualty
526,487,292,327,4134,4181,3917,61,26.7035,19.712,51.3817,13.2086,28.6097,29.9673,30.0385,26.6392,casualty
392,434,358,277,4147,4166,3929,3922,36.1667,33.563,44.5991,16.4592,39.1024,37.2609,27.272,25.4877,casualty
431,335,490,335,4048,4141,3724,3948,20.8646,20.3657,34.8135,14.3808,35.6337,34.9097,18.8872,23.1667,casualty
328,462,311,241,4168,3722,26,4031,48.1209,25.1025,33.5844,10.0324,40.8906,29.3011,15.2504,31.8411,casualty
372,374,386,473,3837,3954,3880,3886,43.341,25.8783,50.3348,17.3759,33.3659,28.0157,17.9304,22.036,casualty
241,286,231,199,13,3,4101,41,43.0741,16.3795,52.6092,10.1441,25.9947,25.8626,21.6882,25.0329,casualty
447,286,227,290,23,4201,3960,57,44.5573,14.5635,53.3736,13.3677,34.9461,32.8423,29,28.7666,casualty
348,299,281,263,7,3924,4006,12,40.4996,21.5915,49.9284,14.9973,44.3398,40.0241,29.8822,29.7421,casualty
286,264,308,334,4122,5,4021,4026,40.914,20.6521,49.9583,13.5349,13.8752,39.1135,17.8482,21.6523,casualty
191,29,345,306,4208,4189,18,4086,51.0568,0,44.5722,11.908,20.0084,0,23.3014,28.2187,electricity
215,90,133,220,4165,4177,42,3932,34.9797,12.037,36.2885,8.52869,18.1583,38.0741,33.0048,34.5129,electricity
248,84,226,326,4016,4154,4105,3899,48.2024,12.9206,41.702,8.23944,19.6905,61.5317,28.2298,18.782,electricity
