%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Length_Area_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
850,16861,293.706,65.9394,72.6954,bomb
1206,16700,592.583,70.4921,73.4542,bomb
809,16845,223.279,62.8043,77.2766,bomb
1314,16882,612.725,65.1375,63.4767,bomb
952,5,250.149,63.9724,88.1993,bomb
877,16878,275.179,61.6161,87.812,bomb
913,16873,664.399,70.0383,65.8027,bomb
824,16837,323.505,62.8335,68.2956,bomb
648,16879,467.831,65.8817,64.627,bomb
651,16768,541.186,70.4286,60.7819,bomb
774,16873,797.862,68.6605,71.8817,bomb
1081,16808,566.056,63.5288,59.6452,bomb
943,16882,354.777,54.8966,66.7529,bomb
881,16118,554.583,70.7891,88.692,bomb
809,16827,632.843,70.216,75.161,bomb
793,16830,691.595,69.7882,55.2665,bomb
643,16807,272.032,51.6438,74.4554,bomb
445,24,626.666,61.4087,96.0277,bomb
717,16776,383.688,63.3169,79.3448,bomb
575,16357,317.966,66.8413,92.4447,bomb
722,16846,519.914,67.3084,87.6719,bomb
1310,16894,572.985,57.712,66.7044,bomb
1038,16822,277.161,65.5546,80.7356,bomb
1028,16873,508.701,59.0499,67.3564,bomb
1300,16885,230.35,62.784,77.3502,bomb
1219,16869,355.487,64.2106,76.9472,bomb
1182,16838,700.323,59.6302,78.6557,bomb
1236,16820,894.129,69.2406,63.2518,bomb
1005,16879,648.399,41.1709,66.2779,bomb
1512,16792,541.914,63.0557,57.027,bomb
1524,16782,502.742,70.6577,81.5561,bomb
858,16746,581.37,65.7815,71.9106,bomb
963,16629,706.666,63.4832,68.074,bomb
933,16798,632.524,59.7095,51.4041,bomb
725,16869,485.772,66.2357,69.2403,bomb
774,16745,395.529,67.5195,77.093,bomb
1050,195,559.103,35.7879,51.6568,car
940,243,1253.34,29.746,39.0355,car
1038,210,769.754,45.7503,55.1106,car
1346,80,428.978,63.8059,67.2247,car
1407,113,1158.87,44.6895,71.6099,car
1962,15,1471.49,55.3436,64.2422,car
2362,297,1260.97,58.98,74.9961,car
1841,16807,1067.16,44.6488,64.0088,car
1529,13,954.004,61.1939,62.9087,car
1670,117,1177.8,47.4818,76.4243,car
1438,16071,714.767,47.8781,71.2193,car
1787,21,649.085,56.7071,63.105,car
1672,16810,676.156,44.4785,61.7058,car
1631,16886,519.245,51.4105,79.2547,car
2122,16888,1285.27,60.0678,64.8855,car
1586,16686,1256.6,63.4983,69.4079,car
1937,133,731.553,44.8062,65.3549,car
1387,143,1012.05,78.2175,76.6292,car
1425,15994,1222.74,52.8966,68.3127,car
2053,15299,757.619,52.027,65.2302,car
1419,16393,1131.38,65.343,81.9413,car
2291,44,1341.72,61.4589,81.6463,car
2328,16863,401.505,47.1245,75.1893,car
2495,16848,1075.5,64.3983,82.1932,car
1981,110,1603.24,55.3892,75.837,car
1309,16474,835.737,63.7925,62.836,car
1115,15035,333.664,40.602,47.6607,car
1265,16091,752.465,63.7175,72.8766,car
1363,16711,938.205,47.0343,58.6019,car
1523,15092,965.737,49.9124,69.8914,car
1436,10,807.495,72.5723,70.6199,car
1841,16288,1484.06,64.8874,74.6296,car
1720,384,935.938,67.5321,71.6097,car
1111,104,1087.5,58.8845,72.003,car
1251,14915,662.181,68.5888,63.9841,car
978,15509,985.411,68.8217,72.4408,car
1273,16454,731.227,59.2655,68.0372,car
1302,16065,1075.8,61.4308,73.701,car
1119,16423,1049.66,66.6651,64.6896,car
1187,119,1130,65.7721,77.3388,car
1145,4,455.73,59.3634,69.0022,car
1252,16184,600.902,75.4871,65.5644,car
1539,16741,1045.03,60.6479,65.3888,car
1541,8,1599.07,75.5771,83.2376,car
1230,16724,1208.21,63.203,65.4178,car
1105,15910,525.245,55.621,61.5949,car
1133,16467,784.281,58.7414,68.6896,car
1239,16362,737.186,44.8864,65.7642,car
1186,18,524.919,63.5788,71.4863,car
2023,16562,613.772,51.7214,69.7636,car
1238,16154,659.47,56.7987,63.7509,car
1689,126,1330.3,58.7702,72.2263,car
1418,7,495.647,65.8955,77.7321,car
1504,43,913.838,50.387,55.5506,car
1137,16688,1056.02,67.2075,50.2253,casualty
1219,4,387.061,58.4569,67.349,casualty
1132,26,424.767,56.7635,50.7946,casualty
1196,69,439.546,70.676,66.0542,casualty
1261,5,463.973,63.5392,50.8812,casualty
1098,16663,489.997,49.6876,43.3695,casualty
1057,15631,464.181,64.2612,61.474,casualty
988,16223,476.222,54.4796,56.5508,casualty
1165,36,764.313,66.9405,43.4511,casualty
1161,7,1007.17,58.1995,32.0051,casualty
1929,16607,518.021,53.0627,39.5703,casualty
1640,19,547.838,78.5799,47.9202,casualty
1635,16284,1092.12,63.4129,60.8516,casualty
1885,16771,434.725,66.6719,46.7187,casualty
1826,16805,342.132,62.8853,51.1498,casualty
874,87,626.815,63.6372,68.4797,casualty
852,16326,840.999,64.7199,60.5323,casualty
870,15407,520.399,64.1763,74.4593,casualty
873,4,388.375,61.7557,60.7203,casualty
859,16192,521.252,65.1068,67.3529,casualty
1129,16837,461.553,60.7399,57.0877,casualty
1511,16273,439.144,47.8541,57.8355,casualty
1206,15493,1030.82,59.602,58.4789,casualty
1291,16836,530.323,56.2225,37.1329,casualty
1403,19,556.399,75.1432,53.4015,casualty
2044,16885,410.541,60.7556,46.653,casualty
2499,16797,297.463,51.2736,67.0797,casualty
1811,16693,303.907,65.8189,46.0541,casualty
1954,16843,499.955,71.1807,57.3336,casualty
1997,16814,491.63,68.1058,57.517,casualty
970,10,349.404,61.4,54.9049,casualty
1187,8,396.375,62.5673,47.39,casualty
1125,7,337.505,66.9405,64.3433,casualty
1183,9,1433,39.8207,26.7636,casualty
1177,35,532.968,70.0107,58.3904,casualty
1170,16530,367.186,65.2516,51.0935,casualty
1080,16739,373.529,67.9233,55.4948,casualty
1101,33,564.583,62.1523,53.1761,casualty
1269,4,475.838,58.1897,33.9603,casualty
1536,16276,587.335,55.2517,53.2272,casualty
1280,15919,506.181,54.2118,48.6729,casualty
1878,16766,631.009,67.1973,67.006,casualty
1532,16474,449.696,70.0971,57.102,casualty
1234,24,523.897,68.5384,52.5797,casualty
1155,12,771.193,64.2699,45.8211,casualty
1645,16539,550.649,62.9899,49.9456,casualty
1595,16571,454.181,59.781,43.0627,casualty
1403,16103,674.004,78.9933,44.5659,casualty
1568,16204,466.181,52.0803,63.5605,casualty
1329,65,476.139,74.0738,44.6252,casualty
1579,16501,627.117,63.5418,41.8195,casualty
949,68,489.63,58.0025,40.9241,casualty
1222,38,421.553,68.0397,62.7341,casualty
1174,9,565.37,62.18,63.8404,casualty
1178,16297,409.796,59.3577,50.8325,casualty
857,15660,981.259,61.6516,93.7348,electricity
665,16018,771.453,47.449,53.7954,electricity
874,16832,398.534,52.2636,77.3593,electricity
649,16597,544.073,53.5128,53.8888,electricity
996,16771,458.701,65.7738,54.0406,electricity
724,16667,750.649,49.651,90.8439,electricity
720,16761,413.647,71.3347,56.3842,electricity
478,16151,576.583,50.5433,82.7852,electricity
796,15618,725.009,61.6339,89.1646,electricity
792,15762,687.169,66.5195,72.0759,electricity
933,16503,733.352,43.856,54.5631,electricity
873,16670,642.902,64.6472,95.5098,electricity
961,16628,446.801,53.009,64.3249,electricity
962,16691,349.463,58.1334,55.6859,electricity
831,15980,658.056,49.2371,64.9582,electricity
666,16719,662.482,62.5321,76.4757,electricity
2191,16884,349.522,60.8797,80.6526,electricity
1926,16894,582.607,43.7197,81.041,electricity
2911,16884,473.245,45.8812,74.7745,electricity
1688,16872,262.024,55.1434,80.7743,electricity
641,16684,653.595,63.0487,83.4188,electricity
605,16557,482.357,56.6001,101.34,electricity
580,20,847.176,67.1859,75.1164,electricity
542,16375,333.262,66.183,89.7479,electricity
637,9,454.943,74.0467,78.8315,electricity
1284,16385,675.963,38.2592,48.0345,electricity
1077,16844,319.99,65.1612,90.2454,electricity
921,14,316.108,47.4854,59.8064,electricity
845,47,446.659,65.9694,75.3517,electricity
1298,16776,897.602,64.9419,86.5721,electricity
1034,14,619.654,59.1606,82.7136,electricity
820,16776,581.671,64.0052,81.8606,electricity
1160,16807,637.931,55.5771,64.1767,electricity
882,16740,620.742,54.7222,51.9874,electricity
651,16723,627.453,58.329,59.5609,electricity
653,16231,366.718,58.47,87.6247,electricity
540,16786,369.362,67.7057,92.9765,electricity
610,110,343.078,53.2012,65.1483,electricity
607,16387,641.002,59.922,98.6799,electricity
573,16348,394.09,55.0219,56.8897,electricity
880,16549,612.056,63.325,42.2849,electricity
915,16546,566.24,48.5922,57.222,electricity
1142,16283,1045.71,56.027,84.7561,electricity
759,16833,658.725,69.7979,89.017,electricity
772,17,323.505,66.7728,68.7789,electricity
693,16559,350.416,64.0424,72.5215,electricity
592,32,638.365,53.9349,97.3922,electricity
879,16809,634.708,65.4051,79.896,electricity
755,16750,651.193,67.5134,82.8072,electricity
833,16749,446.399,67.7946,94.8649,electricity
752,18,332.233,68.6864,71.1448,electricity
795,16701,664.825,67.703,85.3779,electricity
614,16823,648.156,60.9807,97.2074,electricity
876,15939,535.671,61.3099,70.799,electricity
825,16752,808.122,64.8972,81.6318,electricity
1429,15791,795.495,45.724,35.8914,fire-brigade
1691,16413,1069.32,48.6084,52.883,fire-brigade
1623,16146,1058.25,82.1518,43.0093,fire-brigade
1905,16003,1252.48,60.0297,58.5283,fire-brigade
1822,4,652.735,67.0221,51.2927,fire-brigade
1826,15051,483.328,56.4463,41.9427,fire-brigade
2159,16889,323.404,57.9107,52.9622,fire-brigade
2325,16453,806.053,43.0389,37.6979,fire-brigade
2614,16637,697.98,71.0076,55.18,fire-brigade
2117,16442,481.654,67.7967,39.2148,fire-brigade
1601,15697,577.806,46.1323,39.2303,fire-brigade
1337,15412,581.019,61.3996,66.7246,fire-brigade
1232,15546,406.284,48.3635,50.6777,fire-brigade
1469,15806,1292.13,53.0882,45.9433,fire-brigade
1410,16017,1062.93,56.249,59.3297,fire-brigade
1088,16209,448.475,55.0271,62.2605,fire-brigade
1916,75,812.742,53.0244,68.8938,fire-brigade
1976,16789,665.897,59.8785,81.8269,fire-brigade
2304,16745,666.073,57.3476,70.9276,fire-brigade
2000,16725,526.115,55.1055,40.8253,fire-brigade
1103,16750,575.127,37.9409,52.8849,fire-brigade
1174,225,478.51,56.3092,72.7448,fire-brigade
1116,16370,440.759,43.234,44.961,fire-brigade
1321,15038,1189,53.0358,52.0701,fire-brigade
1164,15325,453.681,54.4512,57.5366,fire-brigade
2186,16867,410.215,57.0239,54.0955,fire-brigade
2347,16043,1355.75,45.2912,36.9768,fire-brigade
2506,16750,698.299,53.1273,54.6738,fire-brigade
1952,64,1178.23,49.3382,33.8585,fire-brigade
2665,16895,873.561,41.4875,34.9083,fire-brigade
2121,16783,784.039,55.9421,56.1734,fire-brigade
2817,16428,1289.95,48.9715,43.1063,fire-brigade
2386,14323,1405.08,66.418,54.0031,fire-brigade
1912,5,692.86,58.0441,62.5258,fire-brigade
2581,16496,988.021,34.2762,46.9383,fire-brigade
2202,16828,1051.54,37.0367,43.2613,fire-brigade
3269,16780,430.836,51.5432,62.8131,fire-brigade
3189,16816,984.781,44.7696,42.0106,fire-brigade
2525,15737,702.583,30.6452,39.6333,fire-brigade
2801,20,1458.42,27.6057,46.9907,fire-brigade
1525,16581,1412.18,71.6614,55.1456,fire-brigade
1734,16309,937.938,41.9293,44.2354,fire-brigade
1722,14697,793.813,42.9164,68.4367,fire-brigade
2155,16762,1736.48,46.2547,48.5087,fire-brigade
1825,123,1290.33,40.4182,47.5149,fire-brigade
1332,16474,264.25,62.697,57.429,fire
1240,53,633.47,56.2632,45.7906,fire
1568,194,449.103,51.6304,52.7705,fire
1115,63,840.808,60.4737,54.425,fire
1139,62,822.624,71.355,54.2784,fire
1165,15898,308.936,42.0833,31.537,fire
1258,16073,610.659,68.62,72.5882,fire
1224,16817,438.149,39.9569,37.6136,fire
1049,15445,288.208,43.8127,37.4255,fire
993,56,532.409,57.6127,74.8036,fire
1133,39,369.362,46.6923,57.6456,fire
1755,16750,369.463,54.5313,59.3045,fire
1041,16841,348.409,72.8326,78.9806,fire
1997,8,466.434,58.3966,61.2369,fire
1030,30,611.085,53.6577,57.0058,fire
1110,15933,301.095,36.8633,34.6616,fire
1191,21,1221.46,67.2215,59.0652,fire
1276,77,763.286,55.6069,65.7723,fire
982,15274,680.676,38.7399,35.0433,fire
1570,15544,581.186,49.4581,64.4684,fire
1084,15770,501.688,65.5906,69.5109,fire
1263,53,766.357,52.1676,49.5067,fire
1296,57,455.421,44.5348,35.8661,fire
1167,114,415.12,52.8068,50.9108,fire
1417,16,564.032,52.9365,59.4755,fire
904,9,478.032,57.4574,72.6502,fire
1058,16222,563.404,32.3702,34.0367,fire
863,121,709.914,60.4641,68.01,fire
934,32,503.706,39.2029,42.9889,fire
1233,16806,464.291,61.8526,52.9995,fire
1192,15893,505.428,49.2628,59.9856,fire
1442,15872,921.519,42.7313,56.5238,fire
1604,16040,767.051,68.934,55.7031,fire
1119,44,588.316,53.9074,63.4425,fire
1131,47,614.475,56.8156,50.8384,fire
985,16524,422.777,56.1859,52.7376,fire
1038,16844,436.09,50.477,42.591,fire
1405,14,719.73,47.3111,59.783,fire
1433,16131,1337.97,42.9253,50.3831,fire
1598,16529,621.789,46.3747,64.8513,fire
1018,15522,858.624,36.7,49.9928,fire
1203,63,643.002,48.7332,57.9069,fire
1049,20,877.897,39.2468,34.255,fire
1344,71,1113.09,63.2208,54.1713,fire
1156,44,316.309,39.284,45.2051,fire
945,48,269.882,40.3633,44.5372,fire
1178,16146,431.279,54.9624,50.3818,fire
1121,32,791.872,55.5018,72.2486,fire
1316,25,578.007,64.6484,76.7668,fire
1150,33,537.806,55.0553,73.3117,fire
1311,16565,435.262,54.7806,81.2548,fire
2580,16842,645.563,50.064,64.2949,fire
1109,15,648.818,58.591,74.1375,fire
1726,16758,1020.97,50.5367,60.021,fire
1478,16758,652.316,63.3623,85.9103,fire
1253,46,681.578,65.586,69.4088,flood
1181,144,571.051,62.7029,78.6495,flood
1313,15795,523.938,50.619,59.6748,flood
995,74,401.973,61.5117,59.5808,flood
1008,48,838.514,60.0981,72.3165,flood
1097,16890,445.955,56.2973,54.1016,flood
1371,16812,650.992,56.9618,64.157,flood
1649,16238,635.495,55.9398,60.7018,flood
1396,15680,1012.56,65.4563,67.022,flood
1267,16065,1424.55,57.2577,83.3377,flood
803,16270,654.566,63.7375,70.4722,flood
1309,16778,791.862,64.728,77.4572,flood
1612,16469,515.571,64.8677,70.4506,flood
1486,16314,488.843,56.7536,76.2878,flood
1364,14,591.678,79.135,62.6437,flood
1430,16895,904.756,39.0107,66.4439,flood
2426,16764,584.808,57.3351,56.1404,flood
2271,16714,893.016,43.5474,47.0795,flood
1589,16692,640.909,53.6174,62.3923,flood
1569,16257,343.161,51.821,55.0195,flood
1134,82,1257.09,56.452,59.3145,flood
1097,16802,1231.13,68.4948,70.3475,flood
991,177,826.857,78.8001,73.2888,flood
901,40,746.23,69.3484,60.5296,flood
910,45,711.318,70.2885,62.8003,flood
1182,16212,704.933,49.0055,66.2721,flood
1324,16767,771.886,72.0666,69.0351,flood
1461,15950,783.502,60.71,78.5674,flood
1127,15251,375.286,59.3189,66.4369,flood
1563,16498,792.288,67.0617,60.8862,flood
1207,16743,764.087,71.2606,70.7357,flood
1431,16601,1037.63,75.7283,48.3671,flood
1363,16738,664.281,67.0355,60.9003,flood
1315,15938,676.063,67.4499,63.4044,flood
1251,253,858.957,54.6323,65.2185,flood
1331,16491,1102.3,70.4623,75.1267,flood
1640,16889,1055.79,66.1471,69.463,flood
1510,16329,689.335,74.0808,76.3497,flood
1295,15546,432.701,69.6791,62.0517,flood
1382,15029,604.08,57.4194,70.9142,flood
1213,100,509.227,56.1753,69.8244,flood
1563,50,641.37,59.4524,81.8125,flood
1223,86,1158.22,67.8267,68.7514,flood
1149,51,873.384,71.1541,68.2005,flood
1204,14566,496.843,63.1444,68.2158,flood
1336,15947,795.217,71.5551,64.1103,flood
1855,16770,760.632,57.2493,65.5728,flood
1537,16760,754.774,89.6425,51.6874,flood
1802,16664,986.212,62.7303,68.0329,flood
1996,537,493.612,65.9222,42.3606,flood
1356,13,1339.82,37.898,79.1516,flood
1406,16207,588.222,67.2539,69.0013,flood
1392,15548,1100.58,55.0764,58.7849,flood
1470,15218,838.171,54.7721,66.9954,flood
1394,15638,1042.98,58.7948,60.2582,flood
1071,15361,617.754,70.2909,49.9819,gas
1118,20,636.222,49.4531,53.5148,gas
874,96,819.134,72.8608,65.7299,gas
1621,2,681.838,61.2717,61.2949,gas
1834,16782,894.857,42.9858,71.8719,gas
2314,16879,648.039,70.5845,64.3484,gas
2012,5,672.909,79.2864,62.2626,gas
1987,16755,549.671,68.1238,63.669,gas
2683,16851,722.365,78.3598,75.2098,gas
2365,16527,638.607,45.2235,51.6757,gas
2147,16711,682.299,41.181,51.0918,gas
2221,13,703.411,54.7472,34.7246,gas
2133,11,684.423,52.8358,32.625,gas
1863,16669,680.247,51.6464,58.2865,gas
2421,16831,707.696,46.4125,41.7741,gas
1201,16804,539.019,54.6506,14.4997,gas
1245,8,1258.6,73.192,52.9297,gas
1523,5,781.044,59.8889,40.1432,gas
1816,17,467.546,80.3725,53.7231,gas
1201,14830,648.441,72.5962,62.6011,gas
1915,16780,567.612,75.8758,56.3899,gas
1900,16625,722.607,79.828,51.7534,gas
2034,15975,1042.61,65.0274,58.3438,gas
2053,16860,725.009,62.769,40.5878,gas
1808,15752,612.198,44.5479,39.5169,gas
1737,15164,605.671,60.2677,28.9819,gas
1804,56,685.637,63.3574,31.8532,gas
1558,16244,650.347,48.3507,40.0231,gas
1641,16549,635.897,73.0758,47.6159,gas
2197,16766,684.767,76.0661,47.9512,gas
1156,43,467.22,70.1882,39.9593,gas
1215,7,697.997,59.9281,33.9948,gas
1379,8,630.985,60.2585,45.3638,gas
1409,5,625.838,64.9965,57.8433,gas
1440,16621,334.676,53.4888,48.488,gas
1668,16872,648.156,88.0149,59.8043,gas
1634,16852,616.566,72.3041,48.8823,gas
1730,16566,329.404,73.6191,61.9436,gas
1774,16874,634.708,62.3097,62.2161,gas
1843,16733,577.051,50.724,54.2676,gas
1526,22,627.955,61.6668,34.2071,gas
1707,14583,722.139,70.3138,40.1762,gas
1993,16893,390.316,62.3505,46.1063,gas
1847,13,546.115,60.3545,39.1834,gas
2065,16596,662.808,72.5655,59.0502,gas
1514,13,538.843,59.3355,36.5098,gas
1662,9,713.477,58.3434,32.3819,gas
1366,10,429.203,53.447,33.8133,gas
1665,20,706.708,83.2627,41.0088,gas
2009,47,684.264,75.0509,40.6138,gas
1578,17,640.198,54.6677,45.7272,gas
1948,13,693.051,59.1035,33.8017,gas
1618,20,791.335,52.0928,31.2224,gas
2136,3,791.578,67.0521,45.6456,gas
1566,16,822.59,65.8187,52.5124,gas
887,16360,660.659,52.979,63.6492,injury
854,15973,552.558,71.4505,58.853,injury
775,16493,501.321,66.6874,57.4156,injury
879,67,461.345,49.9422,62.3599,injury
759,16338,504.6,47.0315,62.205,injury
767,100,552.357,39.6919,60.4469,injury
838,16676,697.37,50.3413,56.46,injury
833,48,434.032,43.3204,60.8936,injury
732,16663,936.465,48.4966,61.0286,injury
714,138,403.487,53.342,56.3042,injury
1567,16649,899.98,52.4374,68.3113,injury
1696,16752,581.387,62.4329,55.441,injury
1569,163,448.735,56.6109,52.8439,injury
1302,18,507.387,53.2561,58.3925,injury
952,16736,417.245,52.0286,58.5686,injury
801,10,459.647,44.0718,58.2668,injury
804,24,597.848,46.7071,64.877,injury
869,16063,1040.1,50.8747,63.2623,injury
1120,224,535.487,49.8789,54.1315,injury
900,114,620.215,51.2895,49.0846,injury
818,59,664.843,32.0633,59.2693,injury
1038,52,870.264,54.6709,57.5941,injury
976,16188,614.642,79.7943,56.3354,injury
1014,15879,628.316,59.3157,60.9527,injury
970,16288,373.279,52.9842,58.4044,injury
834,92,595.688,58.1178,59.6982,injury
899,8,576.174,47.4804,54.2725,injury
1029,16599,690.5,65.3718,56.3242,injury
1081,4,583.161,55.2922,65.0158,injury
1004,25,948.566,56.6494,51.9318,injury
1143,16088,640.617,51.5154,54.0675,injury
1351,16443,384.149,42.5739,56.8553,injury
1145,16434,694.926,47.5989,60.6773,injury
1274,91,730.056,47.3768,66.401,injury
1430,16010,475.12,57.458,59.7667,injury
1401,16786,485.99,55.0736,66.626,injury
1246,16776,407.262,56.7023,56.0267,injury
1292,10,466.902,61.228,62.5627,injury
1311,16151,678.926,58.2976,65.0782,injury
1646,16251,498.86,55.7702,55.3923,injury
1073,8,884.683,51.3249,55.8001,injury
1140,16603,813.737,66.2817,63.2087,injury
1367,16515,499.061,47.6075,63.8908,injury
1048,98,888.281,49.2145,64.0264,injury
985,19,593.286,43.1429,44.4411,injury
969,16758,536.049,64.9729,63.2603,injury
1239,16657,873.009,43.2262,45.1293,injury
1146,7,847.495,44.3586,66.517,injury
927,16720,747.169,45.2886,57.4957,injury
926,22,965.762,52.7575,61.7979,injury
3225,16257,803.293,53.3447,56.5455,paramedics
2677,15350,972.808,61.5517,61.0222,paramedics
2767,231,1329,52.1539,52.7382,paramedics
2241,16565,1557.89,53.2142,62.0747,paramedics
2001,48,475.872,50.836,57.2315,paramedics
1907,27,592.333,48.3464,54.7443,paramedics
2248,16644,700.517,70.0569,58.2902,paramedics
2364,16706,833.404,58.8555,38.8603,paramedics
2677,16585,631.345,59.0755,51.7648,paramedics
2195,16725,1266.08,63.2554,44.3623,paramedics
1453,16895,869.446,50.9744,43.2189,paramedics
1836,15822,1154.18,47.4263,47.7399,paramedics
1670,16352,764.032,59.6388,49.0835,paramedics
1560,16316,656.215,69.565,54.2648,paramedics
2772,16450,711.203,63.5023,38.57,paramedics
1043,6,441.581,38.1511,37.4866,paramedics
1173,59,526.475,37.9598,52.4804,paramedics
1278,67,486.635,47.1046,64.7099,paramedics
1194,15917,563.848,70.3252,59.4106,paramedics
1315,41,548.174,63.0314,65.0125,paramedics
1424,63,741.085,46.7104,51.5396,paramedics
1610,16837,369.563,43.2878,49.8249,paramedics
1767,91,729.446,75.9007,53.5988,paramedics
1543,16611,594.257,51.5848,44.5062,paramedics
2041,16791,742.181,60.3348,51.8342,paramedics
2254,16709,872.867,37.2718,46.1813,paramedics
2215,16885,634.458,51.6957,58.8403,paramedics
1863,16210,1078.77,53.9267,45.16,paramedics
2079,16816,731.227,54.31,66.9388,paramedics
2277,16847,718.146,38.5874,43.0112,paramedics
1221,16487,414.392,46.8442,43.4602,paramedics
1863,16888,715.002,62.1445,55.1742,paramedics
1615,7,1317.08,55.6831,50.3683,paramedics
1852,16623,653.144,58.7785,47.7897,paramedics
2098,58,1017.65,54.6781,50.7413,paramedics
1707,39,1249.6,56.4914,45.6531,paramedics
1813,140,606.233,46.398,34.1492,paramedics
1818,52,741.955,65.202,61.6653,paramedics
2036,16117,1132.35,57.8187,47.8964,paramedics
2195,16839,912.5,53.1633,36.6444,paramedics
1435,15447,486.108,41.7854,33.7904,paramedics
1431,16587,1199.81,45.7718,48.9877,paramedics
2040,21,396.316,40.6617,46.3993,paramedics
2125,16876,581.855,51.5601,56.1889,paramedics
3058,16368,800.566,34.3353,44.5987,paramedics
1139,43,711.245,57.2521,56.147,paramedics
1702,15852,1290.83,57.2588,50.2628,paramedics
1703,16330,1268.3,52.5112,44.2781,paramedics
1929,16085,916.617,67.6421,60.0891,paramedics
1803,33,1357.03,43.7949,36.845,paramedics
1301,11,355.681,65.6644,36.6073,paramedics
1412,16382,740.115,51.4396,44.1119,paramedics
1523,16313,1392.45,45.1225,49.503,paramedics
1170,15893,478.066,47.0917,43.5588,paramedics
1208,16455,662.541,63.9585,63.2077,paramedics
762,70,677.831,68.0969,34.405,person
898,15951,840.742,57.24,40.7949,person
866,15987,853.512,50.7311,68.2551,person
989,76,515.078,59.5301,56.1968,person
1050,29,595.789,55.0467,62.7922,person
739,16544,441.948,62.7485,58.077,person
698,16533,550.073,53.8016,66.8712,person
875,16023,615.931,64.0683,68.5175,person
817,16270,327.037,58.6831,61.6212,person
