%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Harris_Corners_2 NUMERIC
@ATTRIBUTE  Harris_Corners_3 NUMERIC
@ATTRIBUTE  Harris_Corners_4 NUMERIC
@ATTRIBUTE  Length_Area_1 NUMERIC
@ATTRIBUTE  Length_Area_2 NUMERIC
@ATTRIBUTE  Length_Area_3 NUMERIC
@ATTRIBUTE  Length_Area_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
448,199,511,321,3761,4051,59,4219,124.267,91.0538,205.983,157.782,28.5763,25.7507,27.5597,18.9508,20.8018,20.5299,36.5024,28.3574,accident
412,282,365,296,4120,4205,40,79,196.894,163.296,122.142,157.581,27.0073,35.5434,17.7588,20.365,24.2556,13.4277,25.6314,45.2533,accident
383,417,648,401,4066,5,53,3517,277.706,198.794,230.953,180.468,53.3742,12.686,20.923,28.8897,36.0787,23.8349,19.0938,36.0786,accident
537,207,453,423,4061,4102,4157,4095,208.309,108.167,225.539,100.912,34.6229,18.8465,25.3231,34.234,20.9963,45.4564,18.4741,29.8782,accident
287,417,387,552,4055,4177,31,4167,128.569,155.054,212.167,203.012,58.6042,8.25719,47.5377,16.179,22.375,8.5641,39.2024,37.3827,accident
259,448,291,476,6,4079,4,4198,137.74,160.711,167.64,145.355,59.5,8.56426,35.581,12.4098,14.5833,11.3861,18.3287,35.2493,accident
551,208,771,544,3971,4102,3598,3985,135.598,94.9117,250.066,203.723,34.5356,8.20833,40.89,24.5398,22.6845,44.8667,32.9134,28.8989,accident
605,365,700,401,4185,3939,48,145,151.296,149.966,263.764,140.936,41.2952,22.9885,42.8815,16.0003,26.4048,40.8005,35.732,15.568,accident
255,378,435,396,4106,20,5,11,147.64,159.095,271.664,339.563,44.0624,12.9007,26.1041,15.3347,36.7041,18.9194,39.7919,15.7264,accident
391,169,281,323,4213,3960,4189,9,170.711,111.882,70.6274,179.497,31.4304,9.53137,26.2037,20.4519,6.01272,33.9314,18.8426,44.3148,accident
157,464,498,380,4169,4200,4106,3945,78.0833,192.125,313.647,149.782,56.3833,3.59829,36.14,19.1584,48.2,13.1179,41.3949,14.0285,accident
238,385,471,341,4058,3989,21,38,86.4264,203.338,315.019,348.149,39.3611,15.0665,43.1827,18.1029,27.1296,11.162,41.8071,27.2346,accident
229,463,423,398,4053,3771,4152,8,116.711,176.61,217.054,247.681,51.4364,11.1936,28.5508,26.0079,41.8318,28.2355,23.3365,27.9603,accident
93,172,213,189,4199,4178,4162,4190,58.6274,106.125,168.024,160.267,30,9.12714,45.2766,15.5342,12.5,39.4959,34.3417,35.1304,bomb
222,123,228,209,4189,4214,4116,4210,160.953,60.5269,92.1838,156.953,54.819,10.3856,37.3528,16.1865,36.4373,38.7222,31.146,49.5081,bomb
138,97,218,233,4178,4094,4167,4146,84.4264,60.5269,182.368,168.51,54.5318,3.37121,44.1061,12.3977,18.1349,34.9394,32.2477,48.8005,bomb
171,130,240,234,4181,4205,4149,4155,72.7696,50.0416,98.1838,125.782,56.0374,4.53333,36.8397,18.3789,24.5825,45.125,31.6423,48.3497,bomb
199,22,249,214,4189,22,4152,4154,135.439,19.6569,145.054,152.853,52.0974,0,51.7431,7.555,28.3692,0,26.9707,20.875,bomb
146,168,211,282,4111,4120,4153,41,81.2548,74.8112,152.853,188.167,60.7727,7.70126,35.5222,25.8043,18.0636,32.2761,27.5526,23.779,bomb
133,67,242,215,5,10,4017,74,66.7696,63.2548,106.811,129.338,58.25,4.55429,42.9364,15.9967,45.2557,29.6591,21.3576,43.5759,bomb
111,109,280,318,4115,4202,4163,4206,92.8112,67.9828,211.823,184.894,59.1869,4.66004,41.1048,15.4772,20.7929,24.8894,30.3775,22.0821,bomb
166,144,265,221,24,4198,4077,4176,81.9411,38.9706,195.338,171.137,41.1111,5.7037,25.6855,22.799,13.7778,17.6287,18.4532,21.04,bomb
105,209,254,288,16,32,4145,4188,83.0122,138.024,203.48,178.794,61.8571,6.99621,39.6433,19.1125,43.5714,33.6449,29.34,21.0422,bomb
56,236,207,187,15,4165,4196,4197,0,161.095,168.953,163.439,0,8.65772,38.9055,18.7047,0,24.6268,36.3784,49.6364,bomb
124,171,236,227,4216,4166,4213,4214,82.3259,73.397,208.995,156.61,59.0062,6.65609,26.2107,19.1111,13.7469,25.912,25.4263,32.2279,bomb
136,95,221,263,4204,4206,4206,4191,104.326,46.5269,183.581,166.853,59.0339,5.17315,45.4289,16.4879,20.3939,28.9769,35.5739,28.9026,bomb
98,77,204,182,6,19,2,4186,92.1838,40.5269,309.806,73.4975,61.5,5.75459,36.5877,14.3071,20.375,7.31401,13.6028,51.2222,bomb
56,161,203,213,5,4152,4184,4215,48.6274,60.0833,166.61,174.167,61.5,11.834,48.4674,11.0281,19,9,32.9676,27.7698,bomb
204,2,198,246,4190,4,4141,4191,139.64,0,135.924,147.095,54.8839,0,46.8391,12.9574,13.969,0,39.7361,31.2477,bomb
187,8,299,163,4195,8,4204,25,149.439,0,184.51,182.451,55.8806,0,52.9988,7.06823,32.2806,0,24.4767,38.3421,bomb
202,45,254,276,4143,17,4194,4176,130.368,28.6274,92.3259,76.7696,54.2,3.6875,37.4951,21.7069,39.3655,6.625,28.0614,39.6797,bomb
198,63,237,306,4185,4210,4162,4164,131.397,29.5563,160.752,191.48,60.5139,4.54321,56.7272,9.85438,31.8111,23.1358,20.0191,23.8272,bomb
161,120,309,259,4031,4134,4187,4213,98.2843,82.9117,164.853,139.095,30.4167,20.8472,47.9938,7.36,11.3333,9.90079,28.3664,27.4548,bomb
205,211,386,418,4217,4149,4124,4144,111.196,99.1543,201.966,190.309,53.9218,12.8424,39.2205,25.2205,42.8177,6.83608,30.6212,31.3881,bomb
186,105,193,329,28,4181,4209,4050,111.054,69.598,65.2132,216.25,56.7275,11.7516,34.141,11.475,41.2362,9.55645,24.4017,30.701,bomb
325,213,337,469,4160,4192,4208,4214,95.1543,77.8406,180.853,177.137,38.3184,7.71694,40.194,14.3867,34.1498,34.937,33.2056,26.5908,bomb
121,202,255,381,4143,4209,6,4206,78.2843,92.7696,124.569,151.48,62,8.46389,45.4103,15.9369,30.9,37.2319,39.1564,23.9131,bomb
166,138,273,313,4147,4209,4213,4217,108.669,74.3259,84.8701,138.995,58.4958,11.8642,31.8602,10.4477,30.6723,26.6004,33.5842,27.4046,bomb
316,114,283,250,3978,12,4203,4207,100.627,45.6985,167.983,157.823,38.2339,4.49444,44.283,18.5606,28.6156,30.0889,54.2556,36.3168,bomb
249,32,293,255,3920,4215,4167,46,140.51,22.1421,147.64,161.137,53.2417,1.5,49.8618,11.7589,39.8778,8,35.2852,29.8679,bomb
136,69,253,203,4173,4169,4202,4193,93.3137,52.7696,156.711,142.066,62.5,6.61111,53.6074,8.25415,21,9.23504,24.834,39.3211,bomb
145,208,224,228,24,4061,4162,4116,0,152.125,184.51,172.693,0,5.87879,48.625,8.83335,0,15.1777,29.1156,25.4824,bomb
40,257,243,250,4192,4200,4192,4201,32.9706,163.338,172.267,152.652,52.8,8.02879,47.7072,9.3685,60.5,26.7815,26.3879,25.2948,bomb
225,210,342,355,4199,35,4201,4198,82.0833,74.7696,164.953,177.681,55.5859,5.75758,42.9246,19.4199,47.5656,31.9566,39.0482,49.2321,bomb
316,21,339,265,4130,4215,4218,4219,140.569,0,97.8406,158.024,52.7534,0,43.1361,17.4217,43.5007,0,31.6472,38.2319,bomb
284,22,321,248,4116,6,4166,4111,158.51,10.8284,171.782,296.96,55.2511,0,51.1893,14.6091,29.1758,0,26.1548,28.2939,bomb
93,151,298,263,4204,4160,4166,4202,60.4853,100.426,162.853,163.338,0,9.29167,34.6707,11.2452,0,11.7325,19.0666,33.2928,bomb
84,153,270,286,4207,4109,4190,4212,61.3137,101.983,172.51,344.475,0,12.0805,49.9108,12.0757,0,10.2529,29.6846,30.3123,bomb
185,96,163,246,7,4186,4205,3992,123.095,68.0833,107.64,73.8822,53.8023,11.1312,32.2772,13.4322,39.5763,8.5,22.2248,26.3944,bomb
67,123,171,78,4205,4199,4175,15,58.8701,125.882,93.9828,130.894,46.7725,8.84795,48.8587,13.7681,56.5106,43.2705,41.1812,54.8406,bomb
278,2,183,269,4170,4,4186,4205,195.421,0,129.782,170.61,42.2245,0,30.9062,23.2437,30.2124,0,19.8207,25.8971,bomb
170,35,184,232,4125,4,4095,7,132.87,0,120.468,153.539,58.6389,0,48.9867,12.6054,2.88889,0,36.5765,29.2797,bomb
91,139,233,261,11,41,4176,4184,68.2843,54.0833,174.853,179.238,61.9,5.52167,35.6933,25.3524,32.75,33.4723,37.7092,30.519,bomb
411,86,430,382,4166,4195,4099,4219,146.953,22.7279,128.569,97.7401,56.2083,4.5,58.0387,7.2933,41.25,58.625,26.2679,35.6532,bomb
325,51,304,371,4165,4191,4204,4205,140.024,26.1421,123.054,117.397,52.0309,2.63889,58.3792,10.0448,35.9739,4.92222,38.4027,30.6615,bomb
179,161,361,344,13,4139,4213,4212,87.9411,75.7401,181.338,152.953,60.5,9.08824,50.9075,9.75139,37.3333,13.402,36.1413,35.4917,bomb
358,98,481,355,34,4214,4213,4168,135.882,39.799,126.125,68.5269,53.1659,2.25,49.1599,8.61571,34.973,4.91667,49.6048,38.4137,bomb
248,196,481,306,4175,4111,4213,4214,93.6396,84.2254,194.066,112.267,53.7585,11.1667,49.9997,11.3569,43.2291,13.8738,24.2821,37.6766,bomb
299,84,425,374,4157,4207,4208,4182,116.326,38.6274,161.681,157.338,54.2953,3.25,51.5497,12.2208,37.9516,7.75,23.4676,34.7578,bomb
214,245,369,397,16,4184,4163,4174,95.2548,59.0122,196.995,160.309,60.9556,6.25028,46.807,16.6971,40.2111,24.836,36.1435,34.3448,bomb
328,234,356,321,4203,3,4182,4214,133.941,0,108.669,238.108,0,0,50.8232,9.65443,0,0,54.8131,44.7027,bomb
413,204,448,475,4173,4202,4106,4221,129.296,41.799,161.296,175.238,60.0704,3.8642,45.5332,17.0046,40.1852,24.1358,45.0623,50.6606,bomb
225,292,506,504,18,4148,4173,4187,76.669,102.711,151.74,166.551,58.0436,12.6969,47.359,12.6059,46.9603,20.3232,37.841,32.2601,bomb
127,201,258,267,24,4156,4170,4212,45.1127,102.912,174.024,176.652,61.0648,6.325,42.5695,19.5867,50.5046,38.9694,50.7573,48.5281,bomb
171,141,320,317,24,4117,4173,4186,107.012,85.7401,173.924,173.823,55.8333,8.28571,48.648,16.426,59.8333,17.5302,26.7377,30.0029,bomb
199,184,266,293,4151,71,4188,4203,73.0122,116.368,167.64,197.279,53.3114,5.71003,48.8776,19.14,42.8391,23.9386,35.0209,28.5807,bomb
114,133,277,195,4,4091,4217,4210,40.6274,99.8822,118.326,138.267,60.6891,8.1503,52.4656,12.4874,30.4619,30.314,30.8601,38.1661,bomb
119,193,181,282,5,3955,4106,15,52.1838,98.2254,109.64,164.368,57.7597,7.85556,51.6421,13.088,35.8981,22.6111,47.9019,31.0992,bomb
143,193,361,363,23,8,101,111,115.924,157.698,374.25,206.167,37.3781,47.037,20.481,26.936,48.2853,44.5741,10.5852,12.1619,car
144,166,300,336,4122,36,37,3873,141.154,128.368,165.598,469.889,17.8135,25.5271,16.0684,25.1919,50.7772,33.3821,7.82017,8.08411,car
105,145,366,422,23,14,3936,42,103.439,134.527,239.48,332.794,48.3651,22.8889,25.4656,28.027,46.6196,24.6667,8.68327,14.0345,car
270,288,396,412,4059,3996,33,3978,133.64,136.87,159.054,175.296,29.5191,28.63,27.1148,31.6786,53.5871,45.0367,11.8199,9.28467,car
201,225,498,495,4125,4046,4077,90,139.338,159.74,537.304,250.451,32.2136,42.0655,24.7136,37.7753,45.0885,48.5595,11.8275,11.6177,car
409,423,419,723,2,4164,4118,6,153.48,184.184,156.51,173.782,31.5205,47.6296,19.3254,22.5256,52.7754,41.8704,7.20986,10.542,car
465,503,731,661,4130,4115,4188,119,172.167,203.012,199.137,503.789,26.9422,37.4083,40.5711,28.2453,50.2554,46.775,17.2518,12.5737,car
336,380,604,525,4187,4138,4200,4205,147.966,182.125,184.368,151.054,33.4188,53.2901,36.5347,15.7573,45.3922,56.3711,12.3218,10.915,car
249,313,472,512,4154,4119,4167,6,120.024,175.841,235.924,437.789,46.6389,57.5481,25.9111,28.6055,55.0345,50.8158,5.35467,11.5257,car
292,245,524,625,4062,4152,79,35,125.48,140.527,198.752,576.576,30.3776,49.2381,36.1767,31.4904,38.8157,50.8333,14.0691,12.3685,car
233,285,466,441,11,9,3867,67,143.924,171.296,204.024,347.38,16.5317,48.7303,26.3429,31.9136,30.8513,47.3374,20.5642,7.79986,car
375,382,550,468,7,4086,3971,3907,146.752,149.74,382.534,260.208,27.2288,27.0414,16.0055,21.9872,54.1884,45.9961,6.9317,8.59292,car
325,272,531,552,4114,4053,4187,4187,143.723,133.255,173.397,477.061,28.4034,12.5714,28.2645,29.256,42.0922,53.0357,8.81512,11.0722,car
227,256,586,570,4169,4023,4202,4216,120.267,140.87,262.693,291.764,37.3229,40.4444,31.52,28.4732,47.2914,39.5556,19.1822,25.4271,car
253,326,706,819,4138,4077,4212,4124,233.706,133.924,194.51,423.688,43.6502,21.6049,37.9228,24.163,44.6284,51.8902,13.4095,8.84345,car
253,280,509,568,4194,3914,70,4091,159.355,163.723,324.392,319.806,34.3889,40.2137,32.98,33.8377,42.1389,44.8117,13.1378,12.2446,car
303,289,620,712,4172,4138,4182,15,144.309,172.811,205.882,362.978,32.8326,51.1731,35.7512,20.8713,44.3193,45.8625,14.8781,13.0806,car
253,209,458,474,3943,4173,4173,60,171.179,161.983,336.392,386.635,27.591,53.2615,41.6334,36.7427,39.6181,46.2999,18.113,18.601,car
286,256,471,429,3936,4144,4167,4132,183.522,168.912,258.208,319.747,23.8613,58.5741,41.8197,33.9724,41.2254,51.3565,14.4452,15.0868,car
292,224,788,752,19,4166,4109,4100,148.693,123.782,251.966,215.037,38.5298,15.1976,29.4488,31.9672,40.9025,49.7074,17.7257,10.0582,car
216,273,482,449,4179,14,4142,4019,153.782,205.355,352.492,478.919,24.8758,53.1667,32.1611,32.4998,42.7948,20.3333,21.5158,19.9354,car
292,337,750,937,4013,3992,17,4141,147.522,182.995,171.539,569.914,35.4229,19.6217,41.9481,28.271,39.526,34.6623,24.569,14.8674,car
250,518,722,832,4175,3906,4219,4163,126.167,196.326,149.397,376.434,41.4771,55.5333,28.8505,13.9658,44.3861,39.2,14.5181,19.607,car
273,445,822,942,4170,20,4219,4205,137.48,219.439,286.693,318.978,45.552,15.9045,32.6738,30.3114,35.5982,14.2507,17.6875,29.1632,car
222,330,675,743,3988,42,3999,4136,133.723,197.723,522.357,387.404,43.9079,29.8506,22.5536,22.4175,43.0364,31.8921,16.0967,23.0506,car
258,258,419,376,4062,4126,4118,4059,152.309,144.527,212.752,273.522,33.2113,43.9352,22.2491,29.7753,50.5253,50.6204,7.10943,10.9854,car
233,186,319,384,17,4197,13,117,160.409,138.912,240.551,435.647,18.7363,55.1431,31.6279,16.9758,45.8817,36.5686,10.3018,11.9127,car
216,217,350,482,8,4203,3696,3975,147.823,164.752,366.877,226.853,25.4839,46.5175,26.7027,12.0747,47.1771,45.8133,11.5014,10.7303,car
204,250,469,444,4129,4184,4181,3767,319.831,180.184,497.286,416.877,26.4221,52.7756,31.8074,27.0788,41.6654,29.0897,16.9185,11.9805,car
217,253,687,368,17,4062,4155,8,148.51,175.924,479.505,495.688,22.4402,49.6434,25.2961,29.6365,47.8846,36.9482,8.90714,17.6362,car
209,284,519,423,4109,4173,7,8,135.095,172.326,547.103,300.693,29.6988,31.9192,35.9612,33.0366,49.6561,24.5354,7.80766,7.30959,car
291,260,599,684,4005,4090,3853,4130,161.48,134.225,316.693,250.936,25.9677,43,27.3989,26.3613,44.1033,52.5952,14.9608,11.5344,car
298,343,445,628,4178,4193,4151,3597,134.61,161.698,317.279,277.037,28.9828,35.4815,24.3086,29.0823,53.8332,47.0185,10.6612,10.5014,car
150,171,385,407,4075,4167,3650,68,111.681,138.326,244.51,395.907,42.2153,42.9116,38.7622,20.4908,48.6799,54.969,10.7047,12.47,car
160,264,374,467,4115,4184,3986,67,112.853,148.083,258.409,197.439,38.1967,39.734,37.0384,28.223,50.1116,56.0358,7.67842,6.5146,car
176,182,311,337,4138,4153,4031,3902,138.77,140.527,202.125,319.078,6.49688,48.9762,23.7471,32.8584,29.3004,52.4643,7.3955,9.71341,car
167,257,362,513,4113,3976,4173,4168,233.865,174.385,119.255,514.475,29.0736,60.1667,26.3559,29.2236,51.71,38.8333,8.41894,11.9182,car
189,201,444,484,4044,4216,72,48,126.51,145.012,224.711,253.137,32.6436,47.694,36.1605,29.4813,49.3236,47.8111,8.25278,11.5368,car
161,178,338,445,4155,4149,4031,4042,125.196,142.083,153.397,423.404,31.8056,45.7917,39.3571,32.7748,52.9074,49.8048,11.0156,9.7734,car
165,171,454,403,4077,4051,4166,68,121.095,136.669,298.995,349.179,38.7399,47.2424,35.9489,36.5018,49.1635,51.3939,13.6123,17.279,car
181,183,370,390,4058,4159,105,3,138.51,151.439,232.995,145.64,29.5962,39.5535,30.3452,28.6407,49.7885,49.4334,12.8883,10.5434,car
227,218,356,466,4104,4051,4117,4093,139.598,155.497,179.882,251.865,13.9491,55.5467,25.0377,36.7158,36.6343,50.0733,4.45437,10.1522,car
220,213,557,543,4177,4125,4031,4138,146.752,148.669,410.877,170.125,35.5882,46.7756,22.9747,39.0913,46.9806,55.1474,12.1102,12.2163,car
227,218,574,519,4206,4168,4109,6,142.326,143.154,316.836,406.777,18.6808,46.0997,34.6977,31.3144,50.0829,50.6953,14.0666,16.7515,car
197,218,300,530,4086,4187,3972,4173,139.681,152.468,172.284,461.931,26.5248,48.9356,30.8307,21.8555,51.4001,47.7986,6.11376,7.86801,car
174,181,386,379,4174,4186,3755,65,134.995,130.627,526.416,174.024,30.2932,0,24.651,25.4117,46.75,0,9.95443,14.8146,car
188,181,380,395,4044,4057,4003,4160,148.167,141.154,206.894,305.037,31.4683,55.2759,32.965,23.2632,44.5933,44.6726,9.66455,15.2102,car
196,225,421,424,3931,4093,43,3959,143.238,159.841,199.154,531.446,30.3351,52.0286,26.5947,25.6607,45.6803,43.3429,15.1596,11.9121,car
189,209,418,378,3984,4085,4066,13,149.439,152.326,176.225,412.291,30.6379,56.1867,29.3571,28.4994,47.0473,47.2726,15.8428,10.241,car
295,349,571,840,3873,4034,4116,4107,172.894,199.296,251.823,388.149,34.7507,43.7573,24.3068,16.67,43.6865,42.4743,13.5347,16.4451,car
191,261,460,369,4155,11,4014,4198,129.782,192.468,126.953,251.137,25.9594,28.6566,39.0935,32.4892,51.6004,28.5657,9.01468,9.98501,car
208,406,531,532,4083,28,4021,95,119.196,158.368,404.09,478.558,35.6234,33.5089,34.2357,19.6099,50.2412,41.5774,12.192,10.0619,car
225,215,435,547,4082,3907,4160,11,145.397,147.355,245.681,255.622,15.7656,50.9444,23.8483,19.9662,54.1719,47.5556,8.86635,14.2517,car
239,228,498,547,4128,4154,4145,22,144.711,141.497,133.355,329.764,20.875,52.5889,33.8146,15.5613,53.3013,55.6505,7.45012,7.31282,car
307,260,311,267,13,4177,3904,41,138.083,152.024,276.759,231.848,46.0946,28.0586,55.5203,12.0512,43.0748,28.5141,14.9189,24.7624,casualty
152,306,495,300,4,4174,4170,4134,103.255,145.296,174.108,95.196,30.7042,18.3254,42.1995,8.28901,21.625,43.0714,21.129,24.1065,casualty
206,284,383,316,4,4183,57,4179,126.811,181.681,275.73,165.765,47.74,16.3528,33.9667,10.5204,35.5239,29.8444,11.6034,20.0024,casualty
251,221,394,383,4201,14,3771,3888,145.983,128.326,279.002,159.764,52.249,10.1,49.4613,13.8149,10.4688,12.4444,24.5157,26.5341,casualty
252,235,440,395,4200,15,4,4108,154.368,109.054,216.635,157.823,43.813,15.9317,41.0201,13.9438,16.8064,24.1883,25.1842,22.3787,casualty
276,203,325,313,4185,3925,4045,27,156.953,146.267,122.61,181.664,40.8312,17.5721,45.8148,14.3179,14.7337,33.4895,21.5752,23.5548,casualty
303,225,292,275,3895,4148,3947,51,167.681,179.48,119.238,171.622,37.4875,21.9999,35.808,14.9106,45.2071,48.3069,21.9277,17.197,casualty
288,268,219,235,3762,7,35,80,176.51,187.966,98.5097,162.451,37.5294,25.9794,50.0274,9.49511,36.0095,49.6342,28.6809,20.6165,casualty
280,272,363,280,37,8,3593,28,169.823,185.622,224.534,184.978,36.7433,29.5692,34.684,13.9805,31.9885,39.8128,19.3354,22.5775,casualty
314,308,327,237,3,10,23,3942,215.966,173.279,320.416,99.3381,39.9856,19.084,48.5625,12.8413,23.6845,36.2109,20.9407,27.3061,casualty
