%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Black_Pixel_9 NUMERIC
@ATTRIBUTE  Black_Pixel_10 NUMERIC
@ATTRIBUTE  Black_Pixel_11 NUMERIC
@ATTRIBUTE  Black_Pixel_12 NUMERIC
@ATTRIBUTE  Black_Pixel_13 NUMERIC
@ATTRIBUTE  Black_Pixel_14 NUMERIC
@ATTRIBUTE  Black_Pixel_15 NUMERIC
@ATTRIBUTE  Black_Pixel_16 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Harris_Corners_2 NUMERIC
@ATTRIBUTE  Harris_Corners_3 NUMERIC
@ATTRIBUTE  Harris_Corners_4 NUMERIC
@ATTRIBUTE  Harris_Corners_5 NUMERIC
@ATTRIBUTE  Harris_Corners_6 NUMERIC
@ATTRIBUTE  Harris_Corners_7 NUMERIC
@ATTRIBUTE  Harris_Corners_8 NUMERIC
@ATTRIBUTE  Harris_Corners_9 NUMERIC
@ATTRIBUTE  Harris_Corners_10 NUMERIC
@ATTRIBUTE  Harris_Corners_11 NUMERIC
@ATTRIBUTE  Harris_Corners_12 NUMERIC
@ATTRIBUTE  Harris_Corners_13 NUMERIC
@ATTRIBUTE  Harris_Corners_14 NUMERIC
@ATTRIBUTE  Harris_Corners_15 NUMERIC
@ATTRIBUTE  Harris_Corners_16 NUMERIC
@ATTRIBUTE  Length_Area_1 NUMERIC
@ATTRIBUTE  Length_Area_2 NUMERIC
@ATTRIBUTE  Length_Area_3 NUMERIC
@ATTRIBUTE  Length_Area_4 NUMERIC
@ATTRIBUTE  Length_Area_5 NUMERIC
@ATTRIBUTE  Length_Area_6 NUMERIC
@ATTRIBUTE  Length_Area_7 NUMERIC
@ATTRIBUTE  Length_Area_8 NUMERIC
@ATTRIBUTE  Length_Area_9 NUMERIC
@ATTRIBUTE  Length_Area_10 NUMERIC
@ATTRIBUTE  Length_Area_11 NUMERIC
@ATTRIBUTE  Length_Area_12 NUMERIC
@ATTRIBUTE  Length_Area_13 NUMERIC
@ATTRIBUTE  Length_Area_14 NUMERIC
@ATTRIBUTE  Length_Area_15 NUMERIC
@ATTRIBUTE  Length_Area_16 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_9 NUMERIC
@ATTRIBUTE  Mass_Center_X_10 NUMERIC
@ATTRIBUTE  Mass_Center_X_11 NUMERIC
@ATTRIBUTE  Mass_Center_X_12 NUMERIC
@ATTRIBUTE  Mass_Center_X_13 NUMERIC
@ATTRIBUTE  Mass_Center_X_14 NUMERIC
@ATTRIBUTE  Mass_Center_X_15 NUMERIC
@ATTRIBUTE  Mass_Center_X_16 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_9 NUMERIC
@ATTRIBUTE  Mass_Center_Y_10 NUMERIC
@ATTRIBUTE  Mass_Center_Y_11 NUMERIC
@ATTRIBUTE  Mass_Center_Y_12 NUMERIC
@ATTRIBUTE  Mass_Center_Y_13 NUMERIC
@ATTRIBUTE  Mass_Center_Y_14 NUMERIC
@ATTRIBUTE  Mass_Center_Y_15 NUMERIC
@ATTRIBUTE  Mass_Center_Y_16 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
24,136,0,51,109,114,112,93,34,0,92,61,79,70,80,70,999,89,0,24,10,976,962,990,997,0,978,1021,959,944,943,991,19.3137,123.782,0,35.4558,70.4264,60.4853,60.4853,60.4853,22.3848,0,69.598,53.799,58.4264,54.4264,65.1127,58.8284,14,11.384,0,26.7976,6.81579,6.08333,1.5,0,3.175,0,19.8333,9.66667,19.3942,10.95,6.25,0,13.25,12.5996,0,5.8254,18.6228,2.875,2.875,0,27.6167,0,14.9444,13.1667,7.62681,23.25,10.2833,0,accident
75,106,51,95,127,107,127,127,89,44,98,77,13,104,59,90,22,12,1016,977,897,962,1001,944,961,9,961,970,1015,966,1010,1008,59.3553,71.8406,0,62.9706,88.669,44.1421,62.9706,87.6985,63.1127,0,67.1127,100.971,0,79.9828,43.3137,61.3137,22.875,13.0227,0,12.75,7.71498,7.46667,1.6875,14.3333,14,0,12.25,0,0,12.2661,0,0,18.2361,10.3939,0,1,16.9092,8.7,2,6.33333,25.5625,0,8.95833,0,0,13.8564,0,0,accident
35,120,51,100,99,157,88,140,63,0,94,76,77,35,62,54,978,18,16,1001,913,964,1007,941,932,0,974,1005,932,15,946,997,28.9706,55.9411,0,69.598,78.669,65.799,64.6274,106.527,43.598,0,68.7696,56.4853,55.2548,24.9706,49.799,37.6569,28,13.8924,0,12.6667,12.4012,2.625,0,24.6333,6.87255,0,19,0,23,2.75,6.81667,0,25.75,6.95231,0,11.8889,17.7099,1.875,0,14.7333,22.9804,0,12.625,0,9.96875,26.3,9.46667,0,accident
23,150,11,105,159,86,110,144,134,18,70,62,62,119,113,39,3,22,1014,988,965,986,992,965,19,14,973,987,1004,961,986,1012,0,107.296,0,62.9706,97.0122,60.9706,59.6569,98.8701,73.4975,10.4853,46.6274,32.1421,51.3137,71.2548,69.598,44.9706,0,15.4008,0,0,8.15079,9.73333,3,24.2838,13.8724,3,26.9667,2.5,2.5,11.3351,15.3333,0,0,12.8786,0,0,18.9921,5.23333,2.83333,25.4273,20.8064,28.5,23.3333,5,5.5,9.73188,16.3167,0,accident
30,189,2,94,115,185,125,133,11,0,105,82,94,76,93,60,17,33,6,975,856,917,1000,977,1012,0,917,985,948,958,997,1002,15.3137,284.375,0,66.2843,68.5269,58.8284,58.8284,93.6985,4.82843,0,70.1838,59.4558,69.0122,52.4264,67.1127,45.6569,14,14.057,0,24.3526,5.20202,6.86905,0,26.8466,2,0,19.2904,27.75,18.7201,10.225,6.67857,0,13.375,10.4187,0,6.79304,20.2434,1.18452,0,19.3466,29.5,0,15.3846,12.25,7.62644,22.8667,9.38095,0,accident
0,62,29,93,68,41,96,114,97,96,53,108,59,91,88,13,0,966,1011,1011,7,1020,9,4,929,877,21,927,1010,1009,983,1017,0,41.9411,26,62.1421,117.497,24.8284,127.539,62.4853,71.0122,66.8701,0,70.4264,38.8284,58.8284,63.4558,8.82843,0,24.75,0,0,17.2361,0,10.7754,6.94444,8.96135,3.31481,0,10.549,0,0,26.5,1.5,0,22.9062,0,0,17.8611,0,24.5602,19.2222,7.62681,5.62963,0,13.028,0,0,17.5,3,accident
0,74,10,94,56,116,70,104,132,48,0,132,226,92,55,103,0,954,13,999,3,15,977,995,925,985,0,942,51,1005,982,986,0,53.0122,0,58.8284,89.1127,111.012,30.4853,63.799,87.2548,36.4853,0,67.1127,0,59.6569,44.1421,48.4853,0,23.5736,0,0,23.5,11.5486,6,0,15.6202,0,0,11.6,0,0,0,0,0,20.6305,0,0,8.66667,13.4931,12.8333,0,4.88059,0,0,9.13333,0,0,0,0,accident
0,55,69,88,87,102,7,92,146,4,2,114,13,78,87,50,0,953,51,1005,6,1020,4,988,37,1020,2,816,1020,1008,959,986,0,43.9411,0,60.4853,52.9706,32.3848,0,64.6274,113.397,0,0,72.669,0,62.1421,65.4558,0,0,24.8725,0,0,9.04167,13,0,4.25,13.2782,0,0,13.4428,0,0,14.75,0,0,22.6152,0,0,8.91667,6.16667,0,3,4.93012,0,0,17.0452,0,0,3.5,0,accident
0,110,37,115,32,92,67,133,155,45,30,88,98,73,82,83,0,951,1019,1013,1018,13,993,5,891,2,1004,943,954,990,975,1020,0,70.3259,0,62.1421,0,29.2132,0,64.3848,93.4975,0,21.3137,57.1127,25.6569,55.3137,59.1127,0,0,20.6106,0,0,0,23.3333,0,11.4185,13.4319,0,14,5.41667,0,0,20.6722,0,0,16.7457,0,0,0,17.8333,0,26.8296,5.95297,0,13.25,11.0417,0,0,11.4889,0,accident
8,104,16,101,78,152,86,114,134,11,15,156,46,54,89,26,2,995,22,1004,6,23,888,6,909,6,1018,20,976,1004,997,1014,0,79.1543,0,62.1421,56.0416,67.4558,54.4853,64.9706,86.669,0,0,64.6274,35.3137,42.4853,62.9706,0,0,18.7502,0,0,19.5278,4.93333,0,5.18518,17.7574,0,0,6.86667,0,0,0,0,0,14.3517,0,0,14.8056,1.46667,0,19.1111,10.9583,0,0,3.76667,0,0,0,0,accident
32,209,310,107,136,206,240,268,75,10,439,211,379,154,184,78,17,989,1015,23,1013,1003,1018,1011,996,6,1014,928,994,63,9,1000,0,65.4558,52.4853,45.6985,56.3848,0,36.6274,87.0122,38.3848,0,0,71.8406,69.598,0,64.4264,33.799,0,25.0903,14.4144,4.7193,15.3167,0,26.3167,14.236,3.03788,0,0,15.2662,9.59091,0,25.2382,4.1,0,23.2778,12.3407,23.5504,5.06667,0,24.6,9.89593,26.5758,0,0,13.9481,11.4303,0,20.1042,8.4,accident
79,257,47,154,159,262,184,7,88,0,36,233,194,148,160,180,9,986,25,984,20,999,26,12,1021,0,1002,978,953,2,1019,1004,0,64.0833,0,59.9411,68.8701,69.3553,71.8406,3.41421,30.1421,0,23.6569,67.1127,0,0,63.799,161.64,0,19.0455,0,5.98611,8.45185,12.068,16.0507,1.33333,0,0,29.5,6.18889,0,0,14.25,11.4028,0,21.5455,0,25,5.63704,15.9485,8.26449,1.33333,0,0,22,10.3889,0,0,5,12.9306,accident
0,74,16,178,169,190,253,45,203,335,6,238,77,161,185,89,0,15,6,1009,1001,955,947,1009,12,4,3,1014,994,1015,1004,991,0,7.65685,0,66.2843,73.3553,63.5563,76.8112,19.5563,75.397,0,0,75.9828,0,0,69.598,56.9706,0,29,0,9.35,20.7498,15.8611,13.9487,4.24242,11.3904,0,0,22.4803,0,0,22.7747,14.6389,0,28.5,0,24.7375,17.5096,17.8056,12.3698,4.33333,7.64474,0,0,18.79,0,0,16.1319,12.2222,accident
4,175,17,167,223,193,191,151,237,3,34,222,84,165,209,69,5,961,5,979,998,1001,990,1002,986,4,1008,1017,64,1016,989,28,0,69.3553,0,0,76.8701,62.1421,65.4558,57.6985,80.5685,0,19.8995,71.2548,0,68.7696,68.5269,26.9706,0,22.6291,0,0,20.1907,0,21.5417,9.75556,20.5833,0,28.2381,14.5131,0,4,23.0098,22.5,0,14.9183,0,0,20.1676,0,19.7292,10.8722,14.5,0,26.8095,14.9735,0,7.5,10.6569,29,accident
99,18,79,244,170,183,184,101,78,106,225,202,24,202,177,201,1011,1019,1000,982,1001,1005,979,27,12,1010,1010,1015,11,997,1011,1019,45.6985,13.6569,28.3848,80.468,73.2132,65.4558,64.5269,0,15.0711,0,67.9411,64.6274,0,66.8701,62.9706,95.598,23.5037,29,25.2051,12.3417,4.01852,24.75,14.3575,0,1.66667,0,12.1111,27.1667,0,26.4722,3.5,13.8056,22.4481,28,26.7436,14.5521,12.537,12.6667,4.33772,0,29.6667,0,14.1667,7.91667,0,24.5741,3.75,9.55556,accident
34,69,45,69,65,52,25,41,110,72,95,80,4,101,90,70,6,54,1022,1010,9,979,1017,10,16,962,1012,944,8,987,997,1007,28.1421,49.3553,0,55.6569,35.799,40.9706,21.3137,33.5563,65.4558,47.9411,66.2843,64.2843,0,64.6274,63.799,60.4853,29.25,6.37667,0,0,4.88194,24.3333,1.5,23.4083,18.443,6.25,21.75,27.5,0,6.25,5.25,0,24,8.31111,0,0,13.2083,12.4444,4.5,27.6167,15.2934,20.9583,11.6667,11.6,0,1.5,5.75,0,accident
0,100,50,76,87,37,73,70,79,0,35,111,45,64,95,47,0,15,15,1005,973,973,936,926,944,0,989,8,14,931,991,999,0,67.6985,0,61.3137,63.5563,62.2843,38.2843,51.9411,54.3259,0,26.4853,46.9706,31.6985,49.1127,64.6274,38.8284,0,19.6167,0,0,20.131,21.1111,14.6833,4.5,9.11378,0,0,13.9167,25.623,5.125,0,0,0,6.07778,0,0,28.3333,24.7778,23.0583,15.1667,21.8862,0,0,7,5.12698,19.4464,0,0,accident
67,99,7,3,36,58,40,113,107,68,94,65,9,124,99,57,4,991,5,2,13,1005,11,8,888,3,999,8,1020,920,979,972,109.941,68.7696,0,0,22.9706,47.799,30.3848,74.0833,72.0833,0,66.2843,45.6569,5.41421,79.8823,64.6274,41.8995,25.25,16.4,0,0,3.13889,17.1389,4,23.0011,15.0494,0,6,0,29.6667,16.2234,5.25,0,6,6.325,0,0,27.9861,7.61111,2.66667,20.272,22.6938,0,10.5,0,1.33333,14.7062,1,0,accident
19,112,8,96,62,47,85,133,95,0,98,49,21,101,91,36,4,12,5,988,9,1010,973,976,875,0,976,3,23,956,985,1004,12.2426,54.1838,0,61.3137,33.2132,35.3137,52.1421,87.6985,63.2548,0,66.2843,60.6274,15.8995,70.9117,64.6274,28.2426,29.3333,13.4954,0,0,10.2812,9.5,0,19.4613,10.775,0,24.7,19.3333,27.0952,9.4308,5.25,0,25.3333,13.0008,0,0,26.4062,5,0,19.0825,22.8167,0,9,18.7778,2.7619,14.4509,5,0,accident
4,158,19,104,119,74,80,128,74,9,99,57,44,116,109,41,2,14,4,998,940,969,951,952,11,5,1009,973,8,953,994,946,0,117.196,0,61.3137,75.3553,111.941,49.4558,75.8406,49.1127,0,68.7696,34.7279,28.9706,71.9828,67.9411,73.799,0,13.4048,0,0,5.95805,6.77778,20.625,18.0565,9.34091,0,22.9394,16.3333,25.5,13.0418,11.5,10.25,0,13.5893,0,0,16.3631,9,27.0417,12.7835,25.4167,0,16.5379,16.6667,3.25,17.8893,9.08333,7,accident
4,121,12,102,146,107,130,107,88,62,107,46,33,102,112,17,3,888,1020,1004,948,961,1021,1005,3,969,970,990,1015,1009,1004,1020,0,77.6396,0,0,53.8995,59.6569,60.4853,82.5269,49.4558,41.4558,66.8701,50.9706,18.8284,63.799,64.6274,11.6569,0,12.4286,0,0,6.525,0,3.5,21.2434,18.832,4.625,28.6389,0,0,6.25,0,0,0,12.2252,0,0,18.6667,0,0.5,14.9283,11.6462,22.5,5.22222,0,0,11.5,0,0,accident
65,148,23,21,47,160,104,70,19,92,61,139,55,89,55,121,26,1008,1001,1004,4,982,992,958,16,1012,1007,995,36,1013,1003,878,0,78.8112,17.6569,0,60.2843,62.1421,65.4558,47.1127,0,65.4558,53.4558,62.9706,0,60.4853,38.1421,72.8284,0,20.6035,3,0,21.3333,0.592593,25.3333,7.07222,0,2.31667,17.6667,1.31944,0,0,20.25,25.1667,0,19.0469,13.25,0,24.5238,0.740741,19.6667,10.5389,0,7.83333,15.6667,1.94444,0,0,8.5,24.8889,accident
25,198,54,47,151,142,136,85,41,94,86,103,63,10,126,69,15,10,1018,1015,956,16,953,993,36,32,994,37,982,6,1003,1001,17.3137,90.468,36.9706,29.6569,70.8701,62.1421,67.1127,46.5269,19.5563,63.2548,48.6274,22.8284,54.9706,0,62.9706,31.3137,28.7778,11.2694,3,15,22.6748,9.77778,23.1561,7.26667,28.2323,8.35,28.3,1,3.02778,0,0,9.5,24.7778,10.8563,13.0833,28,25.1434,1.72222,20.5251,9.55238,2.76768,17.7083,18.8,3.25,2.55556,0,0,14.75,accident
118,98,16,115,98,115,159,3,76,96,82,115,187,114,44,109,72,12,1013,870,16,1013,966,4,24,995,1011,972,27,1005,1023,970,35.5563,0,10.8284,66.2843,45.4558,60.4853,83.6396,0,0,56.5269,38.1421,65.2132,0,61.3137,0,122.385,22.9889,0,29.5,3.16667,13.3016,0,17.1108,0,0,5.01471,11.3333,12.4417,0,0,0,0,21.6222,0,28,19.4167,11.3016,0,18.4277,0,0,15.2696,5.36111,1.56667,0,0,0,0,accident
125,172,62,117,164,274,145,78,170,49,118,78,56,137,95,107,1,990,14,1010,13,995,938,1008,5,16,952,959,980,995,988,940,0,120.853,68.6274,63.799,72.0416,64.6274,65.4558,40.0416,108.368,24.1421,67.1127,36.9706,57.4558,65.4558,59.799,127.397,0,18.2834,17.5556,0,18.2222,17.5,13.9444,8.45253,16.6304,3.5,26.5,19.1722,2.5,9.5,0,19.1667,0,19.9651,27.3333,0,11.3185,7.33333,10.3704,6.20404,7.6939,24,15,17.7333,9.16667,13,0,12.5,accident
118,170,270,146,76,182,129,114,25,0,126,118,148,29,114,82,985,943,5,1020,970,1003,1003,9,1017,0,992,998,28,16,13,1007,62.9706,82.7107,0,73.7401,0,63.799,46.3848,94.0833,13.8995,0,63.799,41.3137,78.1249,14.7279,118.083,101.941,12.25,18.3869,0,13.9425,0,12.0833,4,20.3833,3.61905,0,11.25,8.33333,18.1388,3.25926,11.4286,10.75,13.5,13.5397,0,13.2644,0,6.25833,4.25,23.4833,28.2381,0,1.5,6.66667,12.5732,27.7407,21.2857,9.5,accident
