%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Black_Pixel_9 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE  Airs_9 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Harris_Corners_2 NUMERIC
@ATTRIBUTE  Harris_Corners_3 NUMERIC
@ATTRIBUTE  Harris_Corners_4 NUMERIC
@ATTRIBUTE  Harris_Corners_5 NUMERIC
@ATTRIBUTE  Harris_Corners_6 NUMERIC
@ATTRIBUTE  Harris_Corners_7 NUMERIC
@ATTRIBUTE  Harris_Corners_8 NUMERIC
@ATTRIBUTE  Harris_Corners_9 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
112,269,0,211,259,194,286,257,240,14,45.5,0,16.5,12.5,24,6.5,2.5,13,1815,19,0,1786,1619,23,1801,1602,1751,accident
157,355,29,207,135,293,334,346,109,11,27,3,19,2,30.5,7.5,10,14,1818,37,7,1783,1735,1685,1768,1720,1803,accident
183,413,24,206,354,117,353,377,324,0,23,0,15,8,6,15,122.5,16.5,80,1807,9,50,1805,1802,1796,27,1724,accident
129,336,6,294,461,37,433,517,457,3.5,17,0,17,11,4.5,9.5,143,30.5,19,1765,11,1790,1688,1836,1798,1744,123,accident
78,223,71,182,142,187,140,171,210,9,29,0,25.5,3.5,30.5,4.5,15.5,11.5,1805,1809,22,1733,1792,1775,51,1827,1838,accident
124,92,0,272,173,207,149,173,113,8,14.5,0,15,21,14,5,0,7.5,40,1767,0,1767,1762,1708,1808,1647,1689,accident
56,175,3,205,227,158,143,194,234,5,17.5,0,20,17.5,23.5,10.5,0,13.5,1830,1823,4,108,1755,1648,1797,14,1747,accident
245,263,139,228,107,242,117,229,261,4.5,31.5,0,19,8.5,26.5,5.5,0,27,9,1789,28,1769,14,23,28,1647,1828,accident
158,225,76,143,132,236,131,213,156,13.5,21,0,17,6.5,33.5,5.5,0,7.5,31,1778,13,29,19,1723,1816,1842,1843,accident
419,452,211,281,257,270,162,333,166,4,27,0,0,13.5,11,0.5,0,0,1845,1806,57,1792,1821,1831,1838,1812,1828,accident
432,448,1082,418,584,505,316,483,829,12,3.5,0,0,0,0,0,0,0,1837,1843,1831,1834,1814,1841,1842,1843,1802,accident
488,473,14,383,62,448,265,445,370,3,29,0,0,0,18.5,0,0,0,1840,60,1843,1843,1828,1797,1838,1841,1845,accident
358,579,26,502,289,530,111,41,609,10.5,18,3,0,3.5,28.5,0,0,4,1846,1844,1834,1799,1830,1844,1846,1845,1842,accident
248,432,25,350,205,285,223,281,299,8,27.5,0,17.5,12,24.5,0,12,13.5,1818,1838,6,1834,48,1842,1797,100,1843,accident
310,226,360,260,277,217,276,395,405,18.5,0,16.5,9,6.5,0,10.5,7,15.5,1847,1842,1841,1741,28,1799,1746,1795,1751,accident
131,223,106,218,176,205,269,381,217,5,16,0,5,157,15.5,6.5,5,17,1829,1812,1808,1800,1739,23,1770,1757,1791,accident
203,311,92,246,179,211,241,336,223,7,6,0,0,0,6.5,7.5,61.5,18.5,1784,1746,1821,1816,1822,1845,1809,1764,1843,accident
3,358,189,175,187,180,116,334,60,0,29,0,6,2,8,19,24.5,7.5,2,1675,95,1791,1804,1843,1811,1793,1832,accident
2,403,125,209,186,224,274,328,235,0,13,11,15,3,3,14.5,101,11.5,2,1774,1774,1799,1803,1847,1746,1767,1828,accident
23,211,8,126,104,148,193,141,169,0,27.5,0,19.5,3.5,32,11,23,12.5,8,15,8,1722,15,1690,5,11,1715,accident
4,155,12,92,122,152,158,115,134,0,20.5,0,12,6,32,22.5,13,2,2,1753,2,1782,29,1713,4,11,1789,accident
59,176,19,105,82,154,123,116,113,0,34,3,13,0,33.5,10,0,1,1833,47,16,1840,1831,1646,1719,11,13,accident
79,168,22,113,80,139,147,125,164,9,35,3.5,8,0,26,6,0,11.5,1732,1583,1833,1741,1737,1772,1762,1752,1724,accident
2,185,96,123,45,90,134,43,51,0,23,20.5,19,0,20,17,0,0,2,1801,1734,1698,1834,1731,40,1819,1823,accident
236,324,125,159,149,197,137,230,248,11,28.5,0,0,11.5,23,1.5,24.5,29.5,6,1836,10,32,110,1762,5,1707,1842,accident
468,200,140,75,177,159,245,251,441,26,24.5,0,0,19.5,17.5,0,0,26,1842,1828,49,1847,25,21,1840,1745,1682,accident
88,269,29,203,111,210,86,198,211,4,27.5,0,23.5,8.5,31,8.5,0,14.5,1793,1745,6,1719,22,1649,29,1830,89,accident
103,344,13,184,224,167,139,226,285,6,24.5,0,19,10,21.5,8.5,48.5,20,1825,1768,2,1713,1777,1751,15,24,1780,accident
99,267,8,187,154,167,123,215,279,10.5,31,0,22,3.5,18.5,0,0,21,1813,1711,13,1742,18,1787,1805,1681,30,accident
93,407,32,213,107,302,238,166,259,0,36.5,2.5,18,0,32.5,4.5,0,16.5,28,1811,1837,1708,1811,1718,1799,1820,1819,accident
42,257,62,165,131,182,121,166,197,6,26.5,0,28,8.5,30,5,0,10.5,25,1813,15,1657,1827,12,37,1818,1774,accident
8,259,42,182,158,163,133,160,190,1,24.5,0,32.5,10.5,25.5,2,1,11.5,6,1475,4,15,22,1704,56,1762,1751,accident
101,268,39,175,196,172,200,171,246,0,26,0,13,12.5,25.5,15,16.5,14,1835,43,12,1758,20,1725,1789,1826,1747,accident
193,352,20,191,143,257,225,232,209,16,33.5,3,5,0,34.5,1,8.5,7.5,23,15,1841,1819,1692,1816,1842,21,1835,accident
119,152,10,124,115,148,163,175,127,22.5,32,1,13,5,30.5,12,51,0,1781,1684,10,1807,1821,33,16,1781,1808,accident
147,145,64,117,123,141,153,213,197,15.5,11,13,2,0,10,12.5,5.5,1.5,42,4,5,1795,1826,1820,1706,1820,1749,accident
110,188,14,124,102,142,163,162,207,32,35.5,2,5.5,1,21,13.5,0,4.5,10,55,15,1735,1826,1760,1704,1816,1770,accident
80,246,107,153,119,146,215,148,210,7,37.5,20,13,0,3,14.5,17,7.5,1781,33,1753,1826,1810,1797,1777,1785,1753,accident
151,208,12,140,121,173,190,233,195,29.5,22.5,0,14,1,27.5,7.5,1.5,5.5,1787,1724,1840,1811,1820,1591,1581,1748,1794,accident
75,184,151,131,85,126,125,89,172,0,31.5,4.5,8,0,0,5,13.5,2,1,1700,1779,1744,1799,1823,11,10,7,accident
2,180,138,128,106,128,102,192,136,0,27.5,7.5,1,1,0,5,4,0,2,1792,1816,1771,1833,1819,4,1820,1809,accident
1,150,116,120,70,120,148,85,122,0,29.5,3.5,9.5,4,0,2,2.5,2,1,1686,14,1625,8,1827,1661,1843,1844,accident
38,207,114,151,94,149,60,122,184,3,27,3,18.5,0.5,0,1.5,7.5,2.5,1817,1646,1785,1776,1831,1822,20,13,5,accident
51,190,88,125,108,132,142,190,158,4,26,2,0,0,0,1.5,5.5,3,1804,1657,1735,1772,1815,1841,8,1781,6,accident
301,488,118,213,448,175,304,408,416,0,10.5,0,18,8,13,17,6.5,16.5,102,1815,1826,1818,1836,1775,1815,49,1830,accident
79,424,248,279,212,181,348,380,137,4,25.5,0,5,1.5,9.5,21.5,11,14.5,1826,1827,61,1835,1830,1754,9,1811,1837,accident
142,299,161,235,156,233,298,336,190,0,53.5,0,21,32.5,7,15.5,92.5,22,8,12,1825,1839,1824,1834,1817,1755,1785,accident
22,400,157,283,131,238,352,283,280,2,14,14,18,3,0,9.5,17.5,8.5,6,1766,23,1792,1843,1796,1840,1821,1809,accident
175,175,178,358,321,320,255,295,154,17.5,13,0,6,4.5,20,3.5,7,14,1827,1842,1829,1822,1804,1756,1821,1835,1795,accident
117,127,147,132,118,126,94,97,54,15,16,20.5,2,2,0,6,9,3.5,1739,17,1840,1813,1820,1832,7,1798,10,accident
69,163,41,124,93,120,121,79,127,0,43,9,1,2.5,9.5,3.5,6.5,16,1794,5,1808,1786,15,1820,1794,48,1789,accident
122,156,86,136,114,81,63,99,120,2,19,16,2,0,17,6,15,13,4,1707,10,1812,1743,1765,13,1824,10,accident
94,155,59,136,86,145,88,97,192,18,29,13,3,4.5,8.5,7.5,2.5,5.5,7,1763,9,1792,3,1670,9,1810,1767,accident
106,181,62,143,88,165,177,103,203,8,54.5,10,10.5,5.5,15.5,11.5,2,15.5,11,11,1775,1782,1739,1706,1764,1765,1785,accident
105,129,144,147,83,133,219,195,173,14,12.5,17.5,1,1,2,2.5,2.5,6.5,8,14,1804,1816,1811,1845,1719,1835,1836,accident
73,168,129,124,129,70,125,230,111,9,18,3,11,1,0,7.5,3,15.5,1827,31,1839,1730,10,1840,7,1828,1829,accident
208,157,129,168,107,8,232,304,174,10,17,21.5,6,0,0,6.5,9.5,17.5,25,28,1769,1841,1834,1843,1759,1702,1835,accident
245,100,180,18,153,163,150,187,118,24,3.5,13.5,1,0,1,7,14.5,11,94,16,1834,1834,1841,1779,1665,1791,1791,accident
113,231,178,178,184,169,270,373,172,11,33.5,15.5,5,12,1,7,3,11.5,2,5,1813,1835,1820,1842,39,1674,1821,accident
474,340,671,404,122,490,356,291,372,11,19.5,0,0,9.5,30,0,7,2.5,1846,11,31,1688,33,1729,1845,1846,1846,accident
325,697,25,381,338,490,241,319,578,11.5,26,3.5,14,0,23,7.5,0,4,1778,1797,1828,1834,1806,1633,1841,4,1843,accident
308,387,840,210,219,524,260,344,230,11,25.5,0,10,7,31,6.5,0,7.5,1843,1842,3,1769,1840,1808,1844,1840,1846,accident
270,351,71,154,341,218,68,345,172,6,26.5,0,9,17.5,17,0,8,5.5,1746,1803,18,1832,1492,1776,1828,15,1844,accident
82,589,35,274,263,354,120,327,229,6,34.5,5,21,3,27.5,7,38,8,1837,1809,30,1789,1830,1845,1842,60,1836,accident
81,310,1,220,140,327,236,234,211,8,26.5,0,16,3,30.5,7,22,17.5,1830,1634,2,63,1770,1661,1743,1643,1835,accident
89,177,68,154,240,216,115,203,193,15,19,0,22,11.5,30.5,2,17.5,48,1781,1732,6,1714,29,1782,1803,8,1844,accident
30,297,34,177,217,185,115,243,224,0,32,0,27,7,25.5,2,0,16.5,8,1828,9,59,1798,1751,37,1825,1801,accident
130,287,72,192,111,264,270,199,161,2,31,0,11,7.5,32.5,13.5,0,8,1799,1680,1839,1685,27,1810,1663,1836,17,accident
175,240,0,179,247,198,177,199,205,7,26,0,10,14,26.5,4,0,64.5,1810,112,0,1634,1555,1770,55,1725,83,accident
7,395,88,188,248,217,228,243,273,0,12,0,17,12,28,26.5,5.5,19,3,1840,26,12,1675,1665,13,9,1814,accident
122,262,19,202,180,218,88,228,206,14,20,0,22,11.5,29.5,2.5,2.5,8.5,1753,1841,10,1796,42,1683,1831,1839,1843,accident
120,370,109,220,185,231,308,155,327,0,26,0,12.5,8.5,26.5,7,3,19,1796,1815,13,1631,16,1784,1738,1818,1821,accident
104,278,150,177,220,210,146,208,276,9,31,0,19,5,27,7.5,0,11.5,1819,1761,24,1646,1786,1746,1829,1799,10,accident
199,373,40,170,185,152,135,204,282,12,25.5,0,18,9.5,20,1,4.5,15,1786,1670,11,1739,50,1795,1719,1831,15,accident
217,231,143,172,199,195,152,252,184,5,34.5,0,2,4.5,29.5,3.5,57,12,1799,1689,6,1814,1816,1750,20,1799,1816,accident
51,394,28,56,294,205,149,346,172,0,19,1,1,1,1,10,8.5,1.5,11,1811,1839,1832,1777,1816,18,1830,1823,accident
31,290,144,40,277,166,92,259,192,0,14,9,3,2,0,3,18,3.5,6,1622,36,1835,1792,1813,7,1802,1799,accident
11,400,42,215,375,85,350,368,269,0,18.5,0,7,8,8,10,96.5,18,1846,1768,9,1715,1740,1816,1807,1694,1655,accident
35,457,19,248,218,338,253,426,42,1,29.5,2.5,8,188,35.5,45,32.5,6.5,1831,1664,13,1830,1826,1631,5,1823,1826,accident
2,341,88,160,37,167,227,244,197,0,14,6,13,0,8,20,11,23,2,32,14,1787,17,1791,4,12,10,accident
80,265,54,132,134,99,98,186,174,1,30,0,0,4,2,0,4.5,1.5,1833,1839,16,1816,1732,1800,1710,1778,7,accident
20,281,66,59,259,185,286,219,174,0,22,0,7,14,8.5,42,6,10,3,1706,1834,1815,1697,1697,1778,1823,1763,accident
0,211,154,24,263,165,240,243,134,0,19.5,3,2,7,0,34.5,10,55,0,1646,1804,1823,1695,1827,21,1793,17,accident
18,325,81,129,205,184,213,199,181,0,25.5,0,12,9,1,8.5,0.5,3,9,1583,1829,1763,1751,1799,1818,1797,9,accident
72,151,34,78,64,126,67,7,51,0,21,6,0,0,59.5,0,0,0,1753,1730,1818,49,1815,14,14,9,1842,accident
6,177,57,103,50,139,130,113,93,0,31,11.5,0,0,28.5,15,13.5,0,4,4,1794,1771,1842,26,5,10,1698,accident
34,221,28,89,46,127,95,15,46,0,21,4.5,0,0,23,12,8,13,1814,1739,1821,19,1824,1770,1708,7,13,accident
47,173,54,115,63,135,180,125,101,0,21,10,4,0,28,27.5,4.5,0,1814,1759,10,1709,1823,1688,3,9,1797,accident
62,165,19,100,36,134,60,89,132,0,40.5,3,23.5,0,27,2,15,7,9,5,1835,1753,1842,1738,41,6,1813,accident
65,275,78,165,160,144,261,304,279,0,27.5,0,8,4,20.5,10.5,3,33,1806,76,6,1817,1830,1705,1801,1753,8,accident
60,408,3,124,279,163,186,285,323,0,15.5,0,28.5,4,0,23,4.5,24.5,1845,1777,1846,1778,1775,1799,4,1809,1835,accident
0,277,0,97,382,103,243,321,266,0,6.5,0,13.5,12,15.5,26,104.5,13,0,1796,0,1770,1541,1753,1764,29,1759,accident
91,354,57,180,226,148,276,283,256,2,26,0,0,1,9,9.5,105,13.5,1823,1803,17,1836,1718,1819,1835,1809,1800,accident
24,320,52,77,257,177,307,286,287,0,19,0,9,6,2.5,31,16.5,15,7,1607,1826,1789,1690,1764,1646,1594,1706,accident
111,241,34,167,203,88,222,187,235,0,22,0,0,5,7,19.5,87,19.5,1817,1627,1832,1841,1756,1782,4,1798,1636,accident
24,244,82,151,127,151,166,231,193,1,26,1,0,0,0,3,3,4,1840,1714,12,1836,1818,1842,1716,1648,1812,accident
254,352,102,109,196,109,166,224,147,0,21,0,0,0,1,18,19.5,5.5,33,31,11,1805,1830,1792,5,1828,1829,accident
18,309,83,122,180,137,227,308,203,0,11,0,3,1,9,15.5,7.5,20.5,8,1365,1,1821,1764,1799,14,1799,1627,accident
2,290,2,18,294,142,238,218,242,0,3,0,2,9,2,41.5,2.5,12.5,3,7,4,1840,1767,1823,15,1806,1734,accident
78,389,64,173,59,183,154,182,296,0,21,0,3.5,4,24.5,0,13,18,1804,31,5,1812,15,1727,1830,7,1764,accident
48,200,20,154,160,206,115,55,198,0,63.5,0,0,3.5,35,6,32,8,15,1835,2,61,9,1695,13,1733,1830,accident
175,183,0,138,107,199,62,177,174,17,26.5,0,11,11,31,0,0,16.5,32,40,0,1763,1795,1735,1832,1658,1786,accident
51,264,99,175,136,181,208,167,195,4,31,0,23,6,29.5,7.5,0,12.5,16,1725,12,20,16,1713,13,9,1785,accident
87,216,100,139,110,205,115,151,171,0,28,0,11,2.5,34,15,4,13,2,1825,7,1723,1691,1694,20,10,38,accident
0,129,0,34,179,35,75,152,61,0,14,0,3,14.5,0,1,23,1,0,1795,0,1822,1823,1845,5,1686,1749,bomb
0,131,0,73,196,90,77,163,79,0,10,0,9,14,0,7.5,10.5,3,0,1834,0,1793,1840,1816,1788,1775,23,bomb
0,137,0,33,213,45,70,165,42,0,17.5,0,5,20,3.5,4,18,2,0,1810,0,14,1831,1833,1745,1664,1804,bomb
0,157,0,63,194,61,78,143,90,0,14.5,0,10.5,17,0,9.5,9.5,9,0,1826,0,1806,1829,1834,1808,1822,1695,bomb
120,145,0,47,239,13,56,192,57,0,19,0,0,7.5,0,5,16.5,4,36,1814,0,14,1787,1840,1787,1825,1799,bomb
48,250,65,113,180,138,150,218,131,0,15.5,7.5,0,14.5,9.5,11,11.5,7,13,1817,1790,1847,1824,1818,1842,1695,1826,bomb
0,213,0,91,194,78,110,222,107,0,47,0,0,0,5,3,21,4,0,1793,0,1844,1764,1827,1827,1681,30,bomb
79,147,0,54,131,123,68,184,105,0,36,0,0,0,7,9,12,0,6,1829,0,1823,11,1808,3,1807,19,bomb
0,178,273,106,208,114,138,183,133,0,21.5,0,0,0,2,17,10.5,11.5,0,1832,62,1837,1831,1803,30,1812,1765,bomb
71,197,4,132,95,103,162,171,112,0,18.5,0,0,0,8.5,13,12.5,17,2,1747,12,1844,44,1839,48,1770,1831,bomb
53,183,35,18,193,56,99,123,65,0,24.5,1,0,14.5,7.5,5.5,12.5,9,3,27,1824,6,20,1825,1808,1810,1796,bomb
10,238,0,43,259,24,129,145,94,0,18,0,4,14.5,4,7.5,9.5,8,5,1727,0,16,1742,1833,1775,1793,8,bomb
13,356,72,64,361,83,151,177,107,0,24,7,8.5,19,0,8.5,10,10,1842,1773,1822,1821,1614,1831,1827,1657,1814,bomb
0,145,164,99,290,47,131,195,33,0,17,23,14,10,0,10,22.5,0,0,1750,1793,7,18,1831,10,1655,6,bomb
25,221,72,50,313,66,160,154,90,2.5,16.5,8.5,6,18.5,3.5,10.5,5.5,11.5,10,1732,1816,1822,1821,18,1821,1811,1822,bomb
3,363,453,133,234,95,151,218,125,0,24,0,7,12,0,11,9.5,9,1,1809,10,1744,1841,1833,19,1781,1812,bomb
99,231,191,72,275,66,123,245,111,0,21,0,0,15.5,6.5,5,16,6,10,1797,17,1813,1843,1843,1799,1776,1769,bomb
159,239,41,134,173,182,169,214,102,0,19,0,10.5,8,10.5,12,13.5,10,1845,1822,1847,1844,1833,1841,1827,1780,1824,bomb
0,294,64,125,302,76,175,218,155,0,27,0,8.5,12.5,3,12.5,10.5,15,0,12,6,1843,20,32,1810,1795,1813,bomb
162,280,231,142,198,111,269,266,203,15.5,8,12.5,0,0,2.5,16.5,6.5,18,1810,1746,9,1699,8,1840,1815,1802,1800,bomb
13,322,68,231,153,213,221,270,163,0,16,0,8,0,5,18,12,17,1836,1814,34,1830,1811,1832,1809,90,1761,bomb
90,199,64,190,279,280,226,46,215,0,17.5,8,0,0.5,10.5,16,3.5,14,21,1805,1805,1839,1828,1708,1815,1836,1784,bomb
5,313,3,128,96,229,166,210,157,0,37.5,0,0,0,11.5,18,10,14.5,2,1800,3,1837,1780,1798,1801,13,1813,bomb
182,283,60,132,260,158,162,230,152,0,19.5,3,0,0,10,15.5,10,13,37,1822,1840,1844,1659,1809,1836,1807,1705,bomb
92,221,27,151,165,178,191,245,95,0,17.5,2,0,7,10.5,8.5,19.5,8,8,1756,10,1836,45,9,1827,111,1826,bomb
0,158,0,48,235,93,147,13,131,0,20,0,8.5,19,9,6.5,2,10.5,0,1690,0,1808,1721,1797,1767,5,1787,bomb
3,132,0,42,179,0,94,180,71,0,30,0,0,18.5,0,8,16,10,7,6,0,16,20,0,1744,29,8,bomb
0,151,0,24,229,72,124,135,83,0,22.5,0,4.5,15,8.5,9,10,8.5,0,1768,0,1824,1839,9,1629,1796,10,bomb
0,133,0,47,230,55,127,118,82,0,13,0,9,12.5,9,9.5,11.5,9.5,0,1737,0,1798,1839,16,1769,1788,1795,bomb
0,200,154,20,252,45,134,107,87,0,30,0,4.5,11,10,10.5,9,13,0,15,15,12,5,1791,1635,1770,1779,bomb
15,143,13,86,64,91,125,30,110,0,25,0,0,2.5,9.5,15.5,0,19,10,1707,3,1830,1842,1815,1779,21,1787,bomb
29,188,6,115,80,119,109,119,136,0,19.5,0,11.5,0,14.5,21.5,8.5,19.5,17,1689,1839,1820,80,1834,1818,1830,1777,bomb
12,227,48,72,28,95,108,135,107,0,15.5,0,0,0,22.5,17.5,15.5,17,1843,1716,11,1818,6,1821,1746,1767,1729,bomb
50,163,109,81,171,79,87,132,88,0,24.5,0,0,11,10.5,12,9.5,9,1842,1637,5,1815,54,1836,1813,1800,1793,bomb
132,164,0,102,161,115,106,133,110,0,18,0,17.5,1.5,17.5,15.5,6,16.5,8,1695,0,1816,28,1841,1788,1823,1773,bomb
2,193,37,39,360,6,93,242,80,0,33.5,0,1.5,11,0,6,12.5,5,2,1752,17,1840,1818,7,1791,1728,1805,bomb
0,192,15,56,293,47,139,160,113,0,3.5,0,4.5,30.5,8,13.5,9.5,13.5,0,21,1840,15,1793,16,1818,1765,1710,bomb
0,164,37,35,264,112,160,94,115,0,6.5,2.5,8.5,27,15.5,11.5,5,15.5,0,1770,1841,8,45,1801,1743,1783,1821,bomb
0,163,0,5,294,58,124,141,99,0,28,0,0,22,5,14.5,11,8,0,1818,0,1,1767,12,1762,1771,1800,bomb
0,153,41,28,309,71,154,112,131,0,21,2,5,37,11,20.5,4.5,15.5,0,1800,1843,15,1737,1808,18,1795,1798,bomb
0,116,27,59,136,78,97,119,77,0,9,0,10,8,0,9,13,9,0,1795,1846,1839,1840,11,1753,1713,8,bomb
0,158,0,30,201,81,102,146,70,0,24.5,0,6.5,10,7,9.5,15,3,0,1795,0,1815,81,1833,1830,1788,10,bomb
0,153,0,36,216,45,87,159,65,0,14.5,0,0,18,0,6,14.5,1,0,1823,0,12,1648,9,1813,1687,1760,bomb
0,111,9,0,184,53,65,160,50,0,16.5,0,0,23,0,2,18,2,0,1820,5,0,2,7,1817,1644,1788,bomb
0,140,6,34,205,5,55,185,33,0,19.5,1,0,20.5,0,0,23,0,0,1780,8,1,11,1844,1828,1627,1840,bomb
0,144,0,8,175,12,34,228,53,0,7.5,0,0,6,0,1,13.5,3,0,1812,0,4,12,4,1838,1784,44,bomb
0,114,0,0,163,0,0,373,0,0,11.5,0,0,16.5,0,0,759,0,0,1829,0,0,1842,0,0,65,0,bomb
47,162,29,1,309,20,82,161,72,0,23,0,0,11.5,0,4,9,4,9,1764,22,1,1716,7,1791,43,43,bomb
0,182,8,0,307,11,0,294,8,0,12.5,0,0,39,0,0,21,0,0,1822,4,0,1847,12,0,1790,1841,bomb
0,155,47,54,247,15,106,266,17,0,6.5,8,0,8.5,0,12.5,12.5,0,0,1773,12,18,1823,10,1739,1803,1841,bomb
32,203,46,71,412,103,136,165,135,0,14.5,7.5,11,18.5,0,12,6.5,15.5,1837,1781,16,1821,1306,1837,1781,1769,1813,bomb
32,201,38,39,303,3,34,255,9,0,21.5,0,0,18.5,0,0,24.5,0,13,1806,1823,3,119,8,1842,1732,4,bomb
24,260,132,84,435,73,155,184,158,0,17,0,10,24,0,7,14.5,10,5,1811,102,1811,1796,18,1816,1742,8,bomb
0,162,66,108,325,55,66,191,106,0,9.5,4.5,0,19,0,11,15.5,11,0,1839,1844,10,6,1845,5,13,1807,bomb
0,185,38,73,294,69,88,260,23,0,16.5,6.5,0,16,0,6,16.5,0,0,1820,1834,17,1782,1843,1833,1772,1835,bomb
0,228,102,4,325,79,103,171,69,0,6,0,0,25.5,8,5.5,18.5,10,0,1797,1833,3,1527,1845,1786,1694,1792,bomb
9,195,106,15,268,78,54,192,25,0,32.5,5.5,0,39.5,3,6,26.5,3,10,1810,1793,7,1719,20,6,1740,32,bomb
11,247,76,7,350,17,124,289,11,0,21.5,6,1,23.5,2.5,8,26,0,4,1806,9,4,1668,16,1840,18,1842,bomb
0,237,31,91,402,164,261,205,184,0,23.5,2,10.5,5.5,17.5,12.5,6,19.5,0,1759,1833,10,1831,1839,1842,1619,1807,bomb
0,188,98,1,424,3,226,198,174,0,10,4,0,31.5,0,19,6,19,0,9,1815,1,1554,3,1818,1817,3,bomb
56,263,235,147,530,143,134,321,121,0,10,18.5,11,26.5,6,4.5,18.5,10.5,34,1816,1810,1842,1673,1845,1758,1775,19,bomb
0,262,127,14,594,48,127,362,32,0,19.5,3,0,10.5,3,6,22,1,0,1842,1838,6,1810,1844,3,1729,1834,bomb
117,421,36,38,613,17,47,446,43,0,0,0,2,20,0,3.5,14.5,0,32,1814,1835,1844,1826,1842,1839,1832,6,bomb
