%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Black_Pixel_9 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE  Airs_9 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_9 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_9 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
98,294,125,203,253,303,504,382,378,0,22.5,6,18,11.5,7,13,21.5,22,0,29.091,3.33333,33.0722,28.2639,15,12.4614,20.8356,19.1225,0,26.9118,30.75,28.3333,16.3056,19.2143,12.4839,4.02667,16.1218,accident
112,269,0,211,259,194,286,257,240,14,45.5,0,16.5,12.5,24,6.5,2.5,13,34.4464,13.236,0,16.5913,26.618,12.824,4.73194,11.0583,29.4932,31.625,32.8827,0,17.9429,7.04642,28.9476,13.5594,4.30833,7.55039,accident
157,355,29,207,135,293,334,346,109,11,27,3,19,2,30.5,7.5,10,14,37.176,12.357,4.33333,19.3807,4.63889,22.8395,5.32458,9.73968,22.7381,24.6864,26.9579,39.5,16.1018,7,16.5041,21.2532,9.83016,6.45833,accident
183,413,24,206,354,117,353,377,324,0,23,0,15,8,6,15,122.5,16.5,0,18.5014,0,31.6843,21.9076,5.16667,15.037,9.69526,18.3401,0,21.1638,0,23.2475,11.7535,34.8333,32.3657,12.2424,16.2857,accident
129,336,6,294,461,37,433,517,457,3.5,17,0,17,11,4.5,9.5,143,30.5,38.3452,12.1342,0,23.1783,24.44,3.25926,4.53216,6.06138,9.10701,34.1667,19.5707,0,20.8676,19.7172,37.8519,7.77193,7.26389,10.1831,accident
78,223,71,182,142,187,140,171,210,9,29,0,25.5,3.5,30.5,4.5,15.5,11.5,36.75,17.3285,0,18.3742,15.1667,15.7581,2.2963,6.4127,36.4578,34.0833,30.6956,0,20.5967,9.05556,24.3879,3.07407,3.69841,10.5872,accident
124,92,0,272,173,207,149,173,113,8,14.5,0,15,21,14,5,0,7.5,35.9891,6.82285,0,22.9564,27.9643,20.5357,2.5,0,30.5778,30.1012,35.2116,0,19.2821,10.25,30.9973,5.16667,0,4.77778,accident
56,175,3,205,227,158,143,194,234,5,17.5,0,20,17.5,23.5,10.5,0,13.5,38.95,12.6238,0,23.9762,32.5113,12.2042,2.75,0,21.3597,37.1,30.5143,0,21.419,8.72619,29.9273,11.1,0,8.70053,accident
245,263,139,228,107,242,117,229,261,4.5,31.5,0,19,8.5,26.5,5.5,0,27,29,15.9172,0,18.1132,37.0196,13.6652,3.65873,0,35.2928,17.9074,23.3617,0,19.7742,5.14216,27.0882,14.9683,0,8.61505,accident
158,225,76,143,132,236,131,213,156,13.5,21,0,17,6.5,33.5,5.5,0,7.5,29.3551,13.3826,0,12.0302,38.4872,19.4637,4.97685,0,35.2778,24.2388,20.2761,0,14.9349,3.26282,24.1841,24.4954,0,10.3056,accident
419,452,211,281,257,270,162,333,166,4,27,0,0,13.5,11,0.5,0,0,38.6667,17.8896,0,0,34.4207,6.03509,24.3333,0,0,11.5,28.1759,0,0,8.73029,20.5965,40.6667,0,0,accident
432,448,1082,418,584,505,316,483,829,12,3.5,0,0,0,0,0,0,0,27.7778,10.0952,0,0,0,0,0,0,0,9.77778,11.3333,0,0,0,0,0,0,0,accident
488,473,14,383,62,448,265,445,370,3,29,0,0,0,18.5,0,0,0,40,17.1072,0,0,0,9,0,0,0,8,25.896,0,0,0,7.13636,0,0,0,accident
358,579,26,502,289,530,111,41,609,10.5,18,3,0,3.5,28.5,0,0,4,28.8646,24.3594,2.44444,0,38.2381,15.1122,0,0,19.5208,26.9688,22.1094,39,0,3.33333,24.6569,0,0,1.75,accident
248,432,25,350,205,285,223,281,299,8,27.5,0,17.5,12,24.5,0,12,13.5,36.9167,13.4803,0,21.8687,26.2541,11.4716,0,11.6,17.5833,24,20.9978,0,19.596,12.4715,28.6171,0,14.5,16.125,accident
310,226,360,260,277,217,276,395,405,18.5,0,16.5,9,6.5,0,10.5,7,15.5,30.2405,0,25.7619,5.16667,4.99111,0,17.9793,14.9907,28.109,16.9737,0,22.2381,22.9444,12.1644,0,29.0766,19.3333,23.7753,accident
131,223,106,218,176,205,269,381,217,5,16,0,5,157,15.5,6.5,5,17,20.95,35.8485,0,8.7,7.62879,36.981,11.141,22.9071,18.4278,27.275,25.2424,0,17.8,12.0303,21.0378,15.5128,14.8631,9.51196,accident
203,311,92,246,179,211,241,336,223,7,6,0,0,0,6.5,7.5,61.5,18.5,34.6333,12.697,0,0,0,0,28.0838,22.8744,11.075,15.9,28.1212,0,0,0,0,20.901,20.3678,20.5713,accident
3,358,189,175,187,180,116,334,60,0,29,0,6,2,8,19,24.5,7.5,0,24.2277,0,37.0194,4.08333,11.3333,36.8056,18.2357,4.12222,0,20.8158,0,17.0167,12.4444,30.4444,24.4123,18.5431,5.78889,accident
2,403,125,209,186,224,274,328,235,0,13,11,15,3,3,14.5,101,11.5,0,26.9585,5.09091,34.5917,7.27778,8.16667,28.3349,28.1407,15.1462,0,17.0479,31.2909,21.9875,10.4444,3,28.9297,31.1556,24.637,accident
23,211,8,126,104,148,193,141,169,0,27.5,0,19.5,3.5,32,11,23,12.5,0,17.587,0,26.8481,24.119,15.9259,7.30409,11.6444,37.3799,0,29.3205,0,22.6466,3.19048,22.6233,18.1041,12.8444,13.2479,accident
4,155,12,92,122,152,158,115,134,0,20.5,0,12,6,32,22.5,13,2,0,13.6697,0,32.2306,38.2833,20.8672,19.5583,23,40,0,21.7999,0,30.6389,3.13333,23.4403,10.8333,12.7778,3,accident
59,176,19,105,82,154,123,116,113,0,34,3,13,0,33.5,10,0,1,0,16.2437,3,18.1,0,22.2488,7.375,0,40.5,0,28.7864,39.3333,35.4,0,20.9005,13.875,0,2,accident
79,168,22,113,80,139,147,125,164,9,35,3.5,8,0,26,6,0,11.5,36.7444,25.6905,2.7619,12.5,0,18,6.125,0,37,24.9333,22.1347,38.381,35.5,0,20.9615,10.1667,0,5.74286,accident
2,185,96,123,45,90,134,43,51,0,23,20.5,19,0,20,17,0,0,0,24.5483,11.065,26.75,0,32,10.1753,0,0,0,22.7448,28.7374,31.25,0,11.7375,13.3597,0,0,accident
236,324,125,159,149,197,137,230,248,11,28.5,0,0,11.5,23,1.5,24.5,29.5,23.2407,11.3672,0,0,16.7555,11.837,5.33333,7.5,28.6704,11.4074,28.8605,0,0,5.85481,26.9222,38.8889,4.75,15.797,accident
468,200,140,75,177,159,245,251,441,26,24.5,0,0,19.5,17.5,0,0,26,20.6839,11.9813,0,0,32.8341,8.00317,0,0,25.6645,17.8685,30.1246,0,0,10.2233,32.9492,0,0,25.6319,accident
88,269,29,203,111,210,86,198,211,4,27.5,0,23.5,8.5,31,8.5,0,14.5,38.0417,15.2703,0,21.0347,19.0613,16.7187,3.87745,0,37.6465,32.875,26.2853,0,23.0515,2.38725,26.7527,6.51961,0,8.75758,accident
103,344,13,184,224,167,139,226,285,6,24.5,0,19,10,21.5,8.5,48.5,20,35.75,13.607,0,21.6564,31.6875,10.3224,5.2549,36.5,31.3594,36.25,19.6641,0,20.7512,19.1,28.7058,7.37255,8,13.2094,accident
99,267,8,187,154,167,123,215,279,10.5,31,0,22,3.5,18.5,0,0,21,33.8667,13.0847,0,12.7757,11.5,10.7929,0,0,15.7688,29.0917,18.1116,0,22.7896,18.5,26.4417,0,0,6.10417,accident
93,407,32,213,107,302,238,166,259,0,36.5,2.5,18,0,32.5,4.5,0,16.5,0,18.5791,2.86667,14.1929,0,22.3085,4.81482,0,30.4427,0,22.916,38.1333,28.65,0,16.9055,4.81482,0,19.7205,accident
42,257,62,165,131,182,121,166,197,6,26.5,0,28,8.5,30,5,0,10.5,39.25,8.51202,0,21.3269,37.6226,16.8367,2.63889,0,37.9204,37.8333,17.8943,0,21.2747,5.29289,26.3633,2.98889,0,7.25,accident
8,259,42,182,158,163,133,160,190,1,24.5,0,32.5,10.5,25.5,2,1,11.5,40.5,12.1417,0,24.1096,24.7487,13.2787,1.25,0,23.1087,40,23.2755,0,18.8765,3.9037,28.5633,2.75,0,3.68927,accident
101,268,39,175,196,172,200,171,246,0,26,0,13,12.5,25.5,15,16.5,14,0,13.0562,0,24.6364,20.5883,14.4795,8.22576,12.3333,36.2872,0,28.4749,0,26.4965,4.05444,29.335,11.497,12.3333,14.4506,accident
193,352,20,191,143,257,225,232,209,16,33.5,3,5,0,34.5,1,8.5,7.5,27.4806,18.6692,2.5,9.425,0,20.9107,19,13.7639,32.451,19.4151,20.7665,39,15.475,0,19.21,19.75,23.3194,11.4336,accident
119,152,10,124,115,148,163,175,127,22.5,32,1,13,5,30.5,12,51,0,32.8333,21.3468,2,12.4135,4.16667,25.2926,5.04386,5.86667,0,18.9798,22.4113,40.5,19.3045,7.66667,15.875,21.0819,5.78333,0,accident
147,145,64,117,123,141,153,213,197,15.5,11,13,2,0,10,12.5,5.5,1.5,28.2318,12.5758,12.4615,9.25,0,28.0196,8.86222,6.16944,13.9444,15.2242,12.2121,33.5385,5.25,0,9.26274,28.4397,5.17222,13.1111,accident
110,188,14,124,102,142,163,162,207,32,35.5,2,5.5,1,21,13.5,0,4.5,35.0899,11.9592,2,13.5682,0,14.9762,24.8256,0,33.9395,13.2407,9.35351,39.5,14.0606,0,18.3571,21.7299,0,17.4099,accident
80,246,107,153,119,146,215,148,210,7,37.5,20,13,0,3,14.5,17,7.5,37.2571,21.7925,12.9118,22.2692,0,26.6667,8.59448,6.41667,23.5225,30.9429,21.4342,30.3897,22.8846,0,6.5,23.7469,10.5,24.2849,accident
151,208,12,140,121,173,190,233,195,29.5,22.5,0,14,1,27.5,7.5,1.5,5.5,33.4205,11.2259,0,11.25,15.5,23.7853,12.976,1.86111,37.4156,16.5406,16.9699,0,21.5,4.5,15.7214,20.2467,6.93056,30.5974,accident
75,184,151,131,85,126,125,89,172,0,31.5,4.5,8,0,0,5,13.5,2,0,18.0181,13.2407,35.675,0,0,21.75,32.7754,8.84444,0,19.8097,4.31481,16.4125,0,0,29.8889,35.5602,21.8556,accident
2,180,138,128,106,128,102,192,136,0,27.5,7.5,1,1,0,5,4,0,0,15.7811,5.99402,19.25,0,0,32.3,16.25,0,0,17.67,6.77009,8,0,0,24.7667,14.8333,0,accident
1,150,116,120,70,120,148,85,122,0,29.5,3.5,9.5,4,0,2,2.5,2,0,16.904,1.61905,34.9401,11.5,0,9.04167,18,11.25,0,19.3616,1.52381,14.1023,13.6667,0,14.4167,24,13.75,accident
38,207,114,151,94,149,60,122,184,3,27,3,18.5,0.5,0,1.5,7.5,2.5,40,22.8148,2.5,26.5611,0,0,17.3333,12.3333,22.4185,37.5,9.76655,15.1667,21.7634,0,0,1.33333,28.8333,37.8296,accident
51,190,88,125,108,132,142,190,158,4,26,2,0,0,0,1.5,5.5,3,19.25,20.1349,3.25,0,0,0,6.27778,1.26667,3.75,16.125,15.0759,23,0,0,0,9.5,5.13333,9.83333,accident
301,488,118,213,448,175,304,408,416,0,10.5,0,18,8,13,17,6.5,16.5,0,18.0427,0,32.9041,17.4653,6.875,18.071,20.6361,13.9615,0,28.4562,0,29.7473,12.2222,31.4583,13.1943,8.48195,24.8737,accident
79,424,248,279,212,181,348,380,137,4,25.5,0,5,1.5,9.5,21.5,11,14.5,39,17.7667,0,33.0333,2.97222,8.5,20.2512,16.4136,10.6486,31.5,11.5833,0,10.4333,29.9444,26,18.881,17.3326,9.7803,accident
142,299,161,235,156,233,298,336,190,0,53.5,0,21,32.5,7,15.5,92.5,22,0,28.3522,0,31.1612,5.4391,10.75,22.7707,26.6733,12.1011,0,12.9607,0,23.7564,4.8641,20,27.183,21.6129,14.4826,accident
22,400,157,283,131,238,352,283,280,2,14,14,18,3,0,9.5,17.5,8.5,40,10.1032,7.07143,30.2944,18,0,20.6077,25.2778,19.1176,38.5,18.2698,30,18.6722,4.33333,0,31.4426,21.7639,22.6569,accident
175,175,178,358,321,320,255,295,154,17.5,13,0,6,4.5,20,3.5,7,14,21.9046,19.6333,0,15.5208,7.33333,28.562,4.21429,25.5,9.03571,25.3909,32.3481,0,16.8542,19.1389,29.8342,23.5952,19.4286,6.25,accident
117,127,147,132,118,126,94,97,54,15,16,20.5,2,2,0,6,9,3.5,33.8167,14.9667,14.5683,15.75,14.75,0,4.88194,17.5,34.4083,16.075,22.5222,18.5762,20.25,4.5,0,18.7083,21.75,38.6167,accident
69,163,41,124,93,120,121,79,127,0,43,9,1,2.5,9.5,3.5,6.5,16,0,13.9165,4.87879,16.25,8.25,15.8103,20.131,30.25,10.854,0,16.2612,37.3712,5,3.25,7.95285,39.3333,36.7083,30.5583,accident
122,156,86,136,114,81,63,99,120,2,19,16,2,0,17,6,15,13,25.25,23.5298,11.7404,6,0,32.7696,2.19444,18.4458,34.0011,6,15.3123,33.8733,5,0,8.93479,21.9931,16.7417,31.272,accident
94,155,59,136,86,145,88,97,192,18,29,13,3,4.5,8.5,7.5,2.5,5.5,31.4,22.151,9.51282,18.5,7.875,24.032,7.41667,2.66667,15.0097,25.6833,14.5,35.5,14.9167,8.08333,8.15425,21.1429,7,15.237,accident
106,181,62,143,88,165,177,103,203,8,54.5,10,10.5,5.5,15.5,11.5,2,15.5,33.375,19.8901,7.63333,17.8353,8.08333,26.8037,14.0352,8.5,24.4247,28.25,17.3333,37,16.7698,15.1667,9.56174,22.8556,10,26.086,accident
105,129,144,147,83,133,219,195,173,14,12.5,17.5,1,1,2,2.5,2.5,6.5,34.9722,12.9027,9.95168,13.75,0,11.75,6.525,4.95556,32.0699,25.2103,12.5539,13.1071,1,0,6,26.8167,3.48889,26.0804,accident
73,168,129,124,129,70,125,230,111,9,18,3,11,1,0,7.5,3,15.5,37.3444,9.33179,12.6667,19.8333,11.5,0,30.9852,16.5,15.8805,31.0222,11.3642,6.5,11.2083,39.6667,0,19.2815,12.0417,23.3427,accident
208,157,129,168,107,8,232,304,174,10,17,21.5,6,0,0,6.5,9.5,17.5,16.35,14.0646,15.9431,28.5833,0,0,22.6748,5.45833,16.0304,14.2417,19.7843,13.4472,7.58333,0,0,36.1434,2.75,21.1222,accident
245,100,180,18,153,163,150,187,118,24,3.5,13.5,1,0,1,7,14.5,11,27.3639,14.2667,14.5285,8.75,0,19,13.3016,15.0809,6.62611,24.1167,34.7667,13.4071,2.5,0,26.5,18.6349,15.6767,14.2852,accident
113,231,178,178,184,169,270,373,172,11,33.5,15.5,5,12,1,7,3,11.5,35.25,15.3466,8.2621,22.85,15.3611,7.16667,9.13761,10.9167,17.6225,28.6534,18.9653,18.1573,13.3,17.8333,3.66667,11.1359,7.16667,17.45,accident
474,340,671,404,122,490,356,291,372,11,19.5,0,0,9.5,30,0,7,2.5,34.7137,13.6978,0,0,34.1404,18.6905,0,5.24242,4.26667,14.9274,29.6967,0,0,5.75439,22.0915,0,23.3333,8.26667,accident
325,697,25,381,338,490,241,319,578,11.5,26,3.5,14,0,23,7.5,0,4,33.4815,14.5653,3,20.5679,0,18.5098,3.53571,0,18.8571,23.7852,18.4521,39.3333,18.7196,0,12.7843,17.5714,0,33.6667,accident
308,387,840,210,219,524,260,344,230,11,25.5,0,10,7,31,6.5,0,7.5,22.2547,20.4977,0,6.49524,24.65,23.802,3.14815,0,14.9719,23.338,24.274,0,14.8952,7.05,24.1061,26.5093,0,7.35104,accident
270,351,71,154,341,218,68,345,172,6,26.5,0,9,17.5,17,0,8,5.5,34.6458,11.9056,0,23.2099,34.2509,7.55882,0,27.2778,10.1585,24.125,30.0097,0,12,10.1342,30.0686,0,24.6111,10.257,accident
82,589,35,274,263,354,120,327,229,6,34.5,5,21,3,27.5,7,38,8,38,17.3265,3.46667,24.5112,22.0833,16.5833,8.69444,35.5833,31.4658,32.5,18.8343,38,21.3811,22.1667,18.9525,10.7778,11.0278,13.5641,accident
81,310,1,220,140,327,236,234,211,8,26.5,0,16,3,30.5,7,22,17.5,37.5179,16.9881,0,19.4074,21.5556,21.0994,4.5,18.0556,32.4518,34.5536,31.5388,0,21.0403,7.83333,19.4249,10.25,6.16667,6.13158,accident
89,177,68,154,240,216,115,203,193,15,19,0,22,11.5,30.5,2,17.5,48,33.9211,13.7785,0,12.4789,21.2373,17.8009,7.5,7.15143,33.4297,34.1596,34.1498,0,16.1341,10.1278,25.955,9.25,4.06286,10.2656,accident
30,297,34,177,217,185,115,243,224,0,32,0,27,7,25.5,2,0,16.5,0,19.5759,0,28.3333,39,12.1258,2,0,22.2418,0,27.8117,0,14.2,4.42857,26.5886,2.5,0,5.71316,accident
130,287,72,192,111,264,270,199,161,2,31,0,11,7.5,32.5,13.5,0,8,37.75,18.1354,0,22.5545,38.9556,18.4706,16.3534,0,36.713,28.5,28.8282,0,23.3955,3.04444,24.6224,19.9738,0,6.60185,accident
175,240,0,179,247,198,177,199,205,7,26,0,10,14,26.5,4,0,64.5,37.787,11.2934,0,15.6004,22.7723,14.7689,3,0,31.8101,12.213,31.9689,0,22.3298,5.22327,29.3828,5.625,0,12.788,accident
7,395,88,188,248,217,228,243,273,0,12,0,17,12,28,26.5,5.5,19,0,16.4714,0,33.2222,29.4167,14.4063,13.9167,12.5062,30.3398,0,22.128,0,17.9444,14.5417,27.3399,14.1667,21.1235,16.5362,accident
122,262,19,202,180,218,88,228,206,14,20,0,22,11.5,29.5,2.5,2.5,8.5,35.0532,15.3327,0,15.995,35.796,16.8236,19.7778,5.55556,36.6395,28.8389,27.5549,0,20.1404,5.98328,27.1001,19.7778,7.55556,7.45432,accident
120,370,109,220,185,231,308,155,327,0,26,0,12.5,8.5,26.5,7,3,19,0,16.4295,0,23.2522,38.3726,14.5959,13.9167,6.77778,32.7422,0,16.2496,0,19.8356,4.34804,25.7476,23.4551,36.9444,4.65527,accident
104,278,150,177,220,210,146,208,276,9,31,0,19,5,27,7.5,0,11.5,35.4537,16.2463,0,20.322,30.1111,13.25,14.5,0,31.6909,34.2593,14.5568,0,21.8947,3.71111,24.266,28,0,20.503,accident
199,373,40,170,185,152,135,204,282,12,25.5,0,18,9.5,20,1,4.5,15,32.9493,13.6903,0,14.7754,37.4055,9.87634,0,9.91667,25.8535,23.1649,16.8218,0,17.4572,6.98485,28.6406,0,37.8333,20.3559,accident
217,231,143,172,199,195,152,252,184,5,34.5,0,2,4.5,29.5,3.5,57,12,32.5519,18.8255,0,7.5,17.6358,14.8743,9.19048,8.41667,32.4208,14.4815,24.2234,0,19,13.8642,21.3407,4.19048,11.5083,19.2833,accident
51,394,28,56,294,205,149,346,172,0,19,1,1,1,1,10,8.5,1.5,0,25.6376,1.5,37.5,6.91667,8.5,34.25,25.301,8.62963,0,12.8876,36,39,14.5833,24,12.5667,19.7192,25.6296,accident
31,290,144,40,277,166,92,259,192,0,14,9,3,2,0,3,18,3.5,0,27.2018,4.55556,40.1667,8.16667,0,27.7778,25.8088,4.48571,0,13.6659,19.8333,33.6667,15.6667,0,21.2222,20.1688,37.3571,accident
11,400,42,215,375,85,350,368,269,0,18.5,0,7,8,8,10,96.5,18,0,9.40279,0,34.9623,20.1833,3.5,23.2525,14.2832,15.6473,0,10.4983,0,24.3095,17.625,35.75,19.8864,17.2528,11.606,accident
35,457,19,248,218,338,253,426,42,1,29.5,2.5,8,188,35.5,45,32.5,6.5,40.5,16.5633,2.66667,34.4611,10.7229,17.4213,23.7167,16.2365,4.25641,34,15.0725,39.7333,20.2944,13.3426,21.3413,16.5458,17.1247,4.25641,accident
2,341,88,160,37,167,227,244,197,0,14,6,13,0,8,20,11,23,0,26.3256,4.91667,33.4979,0,19.1042,10.3687,6.20635,32.1594,0,10.7078,29.5833,22.1581,0,20.9583,28.0747,5.38889,16.0507,accident
80,265,54,132,134,99,98,186,174,1,30,0,0,4,2,0,4.5,1.5,19.25,9.04634,0,0,19.75,1.25,0,9.91204,4.40741,14.5,8.7366,0,0,3.375,8.5,0,10.9213,13.0741,accident
20,281,66,59,259,185,286,219,174,0,22,0,7,14,8.5,42,6,10,0,18.4924,0,38.75,10.7695,14.0931,26.4885,23.9167,23.1101,0,14.7519,0,37.2143,13.3474,33.2059,28.9356,3.375,6.65058,accident
0,211,154,24,263,165,240,243,134,0,19.5,3,2,7,0,34.5,10,55,0,28.0767,3.33333,40,3.21429,0,28.5851,17.0944,19.3738,0,16.8317,13.1667,38,10.6786,0,31.2804,22.5889,11.8309,accident
18,325,81,129,205,184,213,199,181,0,25.5,0,12,9,1,8.5,0.5,3,0,27.3973,0,34.9444,13.7,15,17.0357,9.66667,11.4583,0,13.5154,0,29.5139,12.0111,31,14.0893,1.33333,18.7083,accident
72,151,34,78,64,126,67,7,51,0,21,6,0,0,59.5,0,0,0,0,31.3738,3,0,0,22.9048,0,0,0,0,16.1476,37.5,0,0,18.8179,0,0,0,accident
6,177,57,103,50,139,130,113,93,0,31,11.5,0,0,28.5,15,13.5,0,0,19.3292,5.75459,0,0,26.6257,5.41667,34.0556,0,0,11.6786,34.3787,0,0,20.1209,10.8333,19.5556,0,accident
34,221,28,89,46,127,95,15,46,0,21,4.5,0,0,23,12,8,13,0,20.7644,2.37963,0,0,17.6571,7.5,25.7333,34.8462,0,10.5818,38.4815,0,0,23.3301,32.75,20.2667,4.97436,accident
47,173,54,115,63,135,180,125,101,0,21,10,4,0,28,27.5,4.5,0,0,17.75,5.25,27.7083,0,25.1242,11.8606,16.1667,0,0,7.22969,34.0571,28.625,0,20.0764,20.7697,20.9167,0,accident
